name,score,address,img_url,reviews,open_hour
훼미리365의원,3.7,"용산구 장문로 96 2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F6b13c7c88067f76d8bc39e3a7e0126a011044f75%3Foriginal,"[{'작성자': 'duqdf', '별점': '5.0', '날짜': '2025.03.20.', '내용': '완전 친절하세여', '좋아요': '0'}, {'작성자': '이진', '별점': '5.0', '날짜': '2023.11.13.', '내용': '오래됐지만 참 친절하다고 느꼈습니다\n일단 매일 휴진 없이 여신다는점이 존경스럽네요', '좋아요': '3'}, {'작성자': '데니즈', '별점': '5.0', '날짜': '2023.07.01.', '내용': '토욜 감기몸살이 와서 갔어요 주말은 갈 병원이 없는줄 알았는데 가깝게 있었네요. 선생님 차근히 증상 잘 들어주시고 (진료시간이 길었어요. ) 간... 더보기', '좋아요': '2'}]",{}
대한민국한의원,5.0,용산구 보광로 19 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F27190d90b51b99b9e424d5efb5432c3c30f9a6020fb0439db61955aed65ed6fa,"[{'작성자': '데니즈', '별점': '5.0', '날짜': '2025.02.12.', '내용': '건강할 때는 지나다니면서도 모르다가 아프니 눈에 들어오네요\n리뷰가 좋고 7시까지 하셔서 들어가게 되었어요\n원장님... 더보기', '좋아요': '0'}, {'작성자': '백', '별점': '5.0', '날짜': '2022.12.21.', '내용': '원장님..랩퍼인줄 ㅎㅎ 너무 잼있고 \n친절하셔요 진찰도 잘봐주시네요!!', '좋아요': '0'}, {'작성자': '막내 (소유)', '별점': '5.0', '날짜': '2022.02.18.', '내용': '오른쪽 허리가 너무 아파서 \n오늘도 침 맞고 왔네요.\n첫날에는 봉침 맞고, 그 ... 더보기', '좋아요': '1'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '14:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
원바른의원,1.0,용산구 보광로 41,,"[{'작성자': 'sk', '별점': '1.0', '날짜': '2024.07.29.', '내용': '실비 빼먹기에 혈안된 나이롱\n절대 가지마세요\n치료는 개뿔', '좋아요': '2'}, {'작성자': '쏠', '별점': '1.0', '날짜': '2024.06.03.', '내용': '전문성 하나 없고 환자를 돈으로만 여기는 곳', '좋아요': '2'}, {'작성자': '맛외에는 신경안씀', '별점': '1.0', '날짜': '2023.01.26.', '내용': '정형외과 전문의 아님\n설날에 영업 하는것 외, 장점 없음\n발목 다쳤... 더보기', '좋아요': '2'}]","{'월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 13:30', '일': '휴무일', '휴무일': '공휴일'}"
신경란의원,3.7,용산구 우사단로 2-1 2층,,"[{'작성자': '소식좌', '별점': '4.0', '날짜': '2023.01.12.', '내용': '시설은 조금 오래되어보이지만 꼼꼼히 잘봐주시고 무심한듯 신경써주시고 좋은 말씀 많이 해주세요 다만 엄청 …천천히 여유로우신데 일하다 중간에 진료보러 온거라 조금 똥줄탔어요', '좋아요': '0'}, {'작성자': '토토', '별점': '5.0', '날짜': '2022.09.26.', '내용': '의사 선생님 친절하시고 꼼꼼하게 진료를 잘 봐주셔서 좋았어요. 감사합니다ㅠㅠ', '좋아요': '0'}, {'작성자': 'YJ Kim', '별점': '1.0', '날짜': '2022.07.09.', '내용': '엄청 느리고 불편한 병원', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '휴무일', '휴무일': '매달 첫번째, 세번째, 다섯번째 토요일'}"
백두한의원,0.0,용산구 보광로 23-1 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F40A3B2F9834C407F80F2D7E18048BFE2,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:10 ~ 18:30', '화': '09:10 ~ 18:30', '수': '09:10 ~ 18:30', '목': '09:10 ~ 18:30', '금': '09:10 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
은혜정형외과의원,3.5,용산구 보광로 35 2층,,"[{'작성자': 'St1', '별점': '1.0', '날짜': '2025.03.26.', '내용': '항상 엑스레이 4만원 주고 1-2장 찰칵 3초컷 여기보다 엑스레이 훨 싸게 찍어주는 곳 갔는데 훨씬 정성스럽게 찍어주셔서 놀람\n호구는 저 하나로 족합니다~', '좋아요': '0'}, {'작성자': '이연', '별점': '3.0', '날짜': '2024.11.05.', '내용': '너무시끄러운데통제를안함..치료받으러가서 정신이너무없어..이태원역정형외과로 옮김', '좋아요': '0'}, {'작성자': 'Emily', '별점': '1.0', '날짜': '2024.03.03.', '내용': '발가락이 아프길래 갔는데 엑스레이 찍고 그 다음 초음파 5초정도 찍음. 이럴거면 초음파는 왜 찍나 했는데 결국엔 엑스레이 사진만보고 설명. 비용계산은 초음파까지 다 결제.', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '일': '휴무일', '휴무일': '매주 일요일'}"
힐탑치과의원,5.0,용산구 우사단로 3,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F167E8AEEF28B4525A1D1016E625E578D,"[{'작성자': '상훈', '별점': '5.0', '날짜': '2025.02.28.', '내용': '사랑니 뺀줄도 몰랐는데 끝남 ㄷㄷ 쩔음', '좋아요': '0'}, {'작성자': '토토', '별점': '5.0', '날짜': '2021.05.21.', '내용': '방금 사랑니 뽑고 오는 길입니다.. 결론은 1도 안 아파서 어안이 벙벙. 치과 의사선생님이 사랑니 30초만에 뽑아주셨어요 ㄷ.ㄷ.ㄷ. 주변 사람들은 사랑니 뺄 때 마취주... 더보기', '좋아요': '0'}, {'작성자': '박창훈', '별점': '5.0', '날짜': '2018.04.25.', '내용': '방금 사랑니 뺏는대... 진짜 최곤대요....? 마취하는건 알앗는다 안아픔.. 몇연전에도 뽑앗는대 1분안에 끝남. 쵝오 원장님 진짜 쵝오 입니다.', '좋아요': '0'}]","{'월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '일': '휴무일', '휴무일': '공휴일'}"
열린보광의원,5.0,용산구 우사단로 3,,"[{'작성자': '이진', '별점': '5.0', '날짜': '2025.01.22.', '내용': '친절해요 맥까지 짚어주셔서 좋아요 ㅋ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:30'}"
밝은연세안과의원,2.9,용산구 장문로 104 2층,,"[{'작성자': '노아', '별점': '4.0', '날짜': '2024.12.10.', '내용': '친절하시진않은데 실력만있음되죠', '좋아요': '0'}, {'작성자': '박혜경', '별점': '1.0', '날짜': '2024.02.14.', '내용': '데스크 직원 의사 모두 아직도 불친절해요..\n대기는 없어요.\n아이도 다시는... 더보기', '좋아요': '1'}, {'작성자': '졸린두부', '별점': '5.0', '날짜': '2022.12.13.', '내용': '좋음', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
최석진치과의원,1.0,용산구 장문로 86,,"[{'작성자': 'tree', '별점': '1.0', '날짜': '2025.02.08.', '내용': '여기는 데스크 직원 여자분 바꿔야 할 듯\n원장님 엑스맨인가요?? 진료 좋은데 직원분 너무 불친절해서 못가겠어요 정말....', '좋아요': '0'}]","{'월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 14:00'}"
