name,score,address,img_url,reviews,open_hour
차내과의원,3.3,용산구 신흥로20길 8 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fbfbf8b5394fbc85311a31a90c4b53d153c3cca6a%3Foriginal,"[{'작성자': '평일에만 방문함', '별점': '4.0', '날짜': '2025.03.12.', '내용': '의외로 인테리어가 깨끗한 내부\n원래 있던 질환으로 약만 타야하고 스겜해야한다면 추천입니다. 이분도 약간 츤데레 김첨... 더보기', '좋아요': '0'}, {'작성자': '유유희', '별점': '5.0', '날짜': '2024.08.10.', '내용': '종합병원에서 당뇨치료를 받다가 의료파업 파동때 예약이 안되어 동네병원으로 옮겼습니다. 동네병원이라 선생님과 차분하게 여러 이야기를 나누고 말씀을 들을 수 있어서 너무 좋더군요. 궁금한것 물... 더보기', '좋아요': '0'}, {'작성자': '♥jayden Choi', '별점': '5.0', '날짜': '2024.03.21.', '내용': '직원분들도 상냥하시고 원장님도 편안하게 환자를 돌봐주시더군요.^^*', '좋아요': '1'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '휴무일', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:30', '일': '휴무일', '휴무일': '공휴일'}"
세명치과의원,5.0,용산구 신흥로20길 1,,"[{'작성자': '정원조', '별점': '5.0', '날짜': '2024.06.18.', '내용': '진료을 받으면서 가족같은 느낌을 받았습니다!\n좋은 치과 찾기가 어려운 세태 속에서 단골로 등재합니다 ^^\n고맙습니다 ~', '좋아요': '0'}, {'작성자': 'The Man From Nowhere', '별점': '5.0', '날짜': '2022.08.14.', '내용': '다들 친절하시고 정직하십니다.\n원장님이 영어가 매우 유창하셔서 외국인들이 이용하기도 좋아요.', '좋아요': '0'}, {'작성자': 'summer', '별점': '5.0', '날짜': '2021.08.27.', '내용': '제일 꼼꼼하고 친절하세요\n너무 좋아요', '좋아요': '0'}]","{'월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 13:00'}"
우리들가정의원,5.0,용산구 신흥로 53 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA1MTRfMTg3%2FMDAxNjg0MDE1ODEyOTky.OEI19BuGnoAVwJCRfCk6tpFAKBAPQ9b0cp0OOXZ2uekg.0G7o8xK_YV6C9HjIb7ynpIqQPEkuDqZ2JFZMbcyQbpMg.JPEG.callmehlin%2FIMG_1537.jpg%3Ftype%3Dw773,"[{'작성자': '보니', '별점': '5.0', '날짜': '2025.01.06.', '내용': '바뀌신 선생님이 매우 잘봐주세요 친절하시고 아주 좋았습니다', '좋아요': '0'}, {'작성자': '장군', '별점': '5.0', '날짜': '2024.02.15.', '내용': '02 749 0970 번호바뀜 주치의바뀜', '좋아요': '0'}, {'작성자': '산아야(신경문)', '별점': '5.0', '날짜': '2023.09.28.', '내용': '우리동네 주치의입니다', '좋아요': '0'}]","{'월': '08:45 ~ 18:00', '화': '08:45 ~ 18:00', '수': '08:45 ~ 18:00', '목': '08:45 ~ 13:00', '금': '08:45 ~ 18:00', '토': '08:45 ~ 13:00'}"
조치과의원,0.0,용산구 신흥로 85-1,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '14:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 13:00'}"
박소아과의원,2.9,용산구 신흥로 93,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F98bc97ac9c60e987ef4609b83f70e239564331d7%3Foriginal,"[{'작성자': '사슴', '별점': '4.0', '날짜': '2022.10.12.', '내용': '깔끔한 올드패션드 소아과\n의사 선생님은 친절합니다.', '좋아요': '0'}, {'작성자': '망원동지키', '별점': '1.0', '날짜': '2022.08.20.', '내용': '한개도 주기싫은 곳 최악의\n프론트 간호사 말도 재수없게하고 절대가지마세요', '좋아요': '0'}, {'작성자': '냠냠', '별점': '1.0', '날짜': '2022.07.27.', '내용': '너무 불친절 합니다.', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:30', '일': '휴무일', '휴무일': '공휴일'}"
김호선한의원,5.0,용산구 신흥로 94 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjlfMjg0%2FMDAxNzMyODQwNTkxNjEy.7vDq3FRvuMu9DqRSVY9HkxMZ_LfWSJY5XjG731pI5Z4g.gp1pYqtezgsnth_KXLREmDvDJ_FrZdratVmcqCtJJu4g.JPEG%2F%25EC%2586%258C%25EC%2595%2584%25EC%25BD%2594%25EA%25B3%25A8%25EC%259D%25B4_4571.jpg%3Ftype%3Dw773,"[{'작성자': '사슴', '별점': '5.0', '날짜': '2023.01.30.', '내용': '친절 청결 전문성!^^', '좋아요': '0'}, {'작성자': '진진자라', '별점': '5.0', '날짜': '2021.08.25.', '내용': '해방촌 명의 호선쌤과 너무너무 친절한 직원분들! 목요일마다 오시는 친절만땅 여자 한의원 쌤도 너무 좋아요! \n더위 먹고 잠 못 잘 때, 생리통 심... 더보기', '좋아요': '0'}, {'작성자': '태군', '별점': '5.0', '날짜': '2019.07.29.', '내용': '원장님이 실력도 좋은거 같고 친절하세요 ^^', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '휴무일', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
온한의원,5.0,용산구 소월로20길 52,,"[{'작성자': '파파파', '별점': '5.0', '날짜': '2023.05.17.', '내용': '몇 달동안 앓은 무릎 통증이 다른 데서 물리치료 받아도 나아지지 않았는데, 여기 두번 방문으로 다 나아졌어요. 원장님도 무척 친절하세요! 관절 문제나 여기저기 통증 있으신 분 여기 완전 완전 강추입니다!', '좋아요': '0'}, {'작성자': '김한상', '별점': '5.0', '날짜': '2022.07.13.', '내용': 'ㅋㅋ 여긴 진짜 대박 관절 다치고 다른데서 치료받아도 차도가 없으면 한번 꼭 가보세요', '좋아요': '1'}, {'작성자': 'sudameli', '별점': '5.0', '날짜': '2021.04.28.', '내용': '선생님께서 정말 정성을 다해 진료해주세요! 최고입니다~!', '좋아요': '2'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00'}"
우리가정의원,3.7,용산구 신흥로 149 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe98ab8622af2894fe29c37dc2cac1343c456d4bf%3Foriginal,"[{'작성자': '영준', '별점': '1.0', '날짜': '2024.03.21.', '내용': '전화받는 간호사 ㅋㅋㅋ 엄청 귀찮아 하는 것 처럼 느껴짐,\n빨리 끊어라는 식으로 듣는둥 마는둥 네~~ 네~~~\n이러고만 있다 건성건성... 더보기', '좋아요': '1'}, {'작성자': '후암동', '별점': '5.0', '날짜': '2023.04.02.', '내용': '친절한 원장님이십니다', '좋아요': '0'}, {'작성자': '김동현', '별점': '5.0', '날짜': '2022.12.02.', '내용': '참 친철하고 따뜻한 원장님입니다. 고생 많으십니다 : )', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '휴무일', '일': '09:00 ~ 15:00', '휴무일': '공휴일'}"
평강한의원,5.0,용산구 신흥로 150,,"[{'작성자': '♡', '별점': '5.0', '날짜': '2024.11.26.', '내용': '신촌 쪽 한의원 2군데 방문해보고 영 아니어서 3번째로 간 곳인데 너무 좋았어요! 여기서 꾸준히 치료받고 좀 안 아프고 싶네요ㅠㅠ 선생님이 천천히 잘 살펴봐주시고 침, 뜸, 물리치료 등등 잘 받았어요', '좋아요': '0'}, {'작성자': '맛집러러러', '별점': '5.0', '날짜': '2024.11.15.', '내용': '진짜 용하십니다', '좋아요': '0'}, {'작성자': '아빠솜', '별점': '5.0', '날짜': '2022.02.04.', '내용': '용하네요', '좋아요': '1'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 15:00'}"
서은치과의원,5.0,용산구 신흥로36길 1,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F2CD285FB174C42D39B34DCD4C88497D2,"[{'작성자': 'dear my night', '별점': '5.0', '날짜': '2024.02.27.', '내용': '동네 치과라 걱정했는데, 의사선생님 젠틀&나이스\n간호사님들은 엄마처럼 포근하고 친... 더보기', '좋아요': '0'}]","{'월': '10:00 ~ 17:30', '화': '10:00 ~ 17:30', '수': '10:00 ~ 17:30', '목': '10:00 ~ 17:30', '금': '10:00 ~ 17:30', '토': '10:00 ~ 12:30', '일': '휴무일', '휴무일': '공휴일'}"
