name,score,address,img_url,reviews,open_hour
금강아산병원,,용산구 이촌로 318,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE6CAB66EC4B4444B923D8ACB3E36E935,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:30 ~ 16:30', '수': '08:30 ~ 16:30', '목': '08:30 ~ 16:30', '금': '08:30 ~ 16:30', '토': '08:30 ~ 11:30', '일': '휴무일', '월': '08:30 ~ 16:30', '휴무일': '공휴일'}"
센트럴서울안과의원,,용산구 이촌로 224 한강쇼핑센터 2-3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEyMjBfNjUg%2FMDAxNjcxNTA1MjE5MDg3.Xt7EX4c1vtIgAUVP3btga_kHIMpCywW2jLGkGyLh9Mgg.CVx6CFJqeSSqtwbD3r3yffsPZwSia4JHOETYexi1lI4g.JPEG.cshappylab%2F%25EB%25B2%25A0%25EC%258A%25A4%25ED%258A%25B8%25EB%2593%259C%25EB%25A0%2588%25EC%2584%259C-k.JPG%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '휴무일': '공휴일'}"
서울삼성내과의원,,용산구 이촌로 206 3~4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjVfMzkg%2FMDAxNzMyNTA2MzgyMzg2.QrGAE9WYUdVMhNusO3P9oORw5pKGbYD7LZCAmZnd4Swg.KGvEfQYYNCjVgxZEb9qjipU36wvCXJa10ykuOao2-wMg.PNG%2Fimage.png%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 18:00', '휴무일': '공휴일'}"
김향내과의원,5.0,용산구 이촌로88길 16 미학빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F839FE3AEA0B94A5D9E7A8FE7930E30FD,"[{'작성자': 'A', '별점': '5.0', '날짜': '2025.02.12.', '내용': '진심으로 좋았어요! 저는 병원을 자주 다니는 사람이 아니라 세세하게 병원에 대한 평가를 하기엔 어렵지만, 제가 그동안 다닌곳 중엔 가장 친절하시고 전문적이신것 같습니다. 동네에 ... 더보기', '좋아요': '0'}]","{'화': '09:30 ~ 17:30', '수': '09:30 ~ 17:30', '목': '09:30 ~ 17:30', '금': '09:30 ~ 17:30', '토': '09:30 ~ 14:00', '월': '09:30 ~ 17:30', '휴무일': '공휴일'}"
이촌이비인후과의원,3.5,용산구 이촌로 224 한강쇼핑센터 2층 215호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTZfMzUg%2FMDAxNzM0MzExNTA2MjM4.BhQ8SCV56S-_xyTDkcJSqy76aVy7e0DA0Q1roNPu5Esg.roYRrEHX-ITYmRE8jfUJc7aQc6LqBFZW2qd2SsnqKhgg.JPEG%2FKakaoTalk_20220531_094035579_09_005.jpg%3Ftype%3Dw466,"[{'작성자': 'ВИКТОР', '별점': '1.0', '날짜': '2025.03.02.', '내용': '분명 기침이 심하다고 말했는데 3일째 기침을 심하게 함. 왜 기침을 하는지도 안알려주고, 항생제 받으러간 느낌이네. 그냥 한층 위로 가세요.', '좋아요': '0'}, {'작성자': 'dreamboat', '별점': '5.0', '날짜': '2024.10.30.', '내용': '급성 후두염으로 방문했는데 여선생님 굉장히 친절하시고 설명도 자세히 해주세요', '좋아요': '0'}, {'작성자': '발', '별점': '1.0', '날짜': '2024.05.23.', '내용': '왜 별점이 높은지 모르겠음.. 이석증은 한층 위로 올라가세요.. 나는 어지러운데 별로 안심하다하고 대충 치료하는 듯 .. 돈만 받고 의사샘은 사라짐..', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
이인주정형외과의원,4.3,용산구 이촌로 200 LG프라자,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FFF55E272AE454B059E2F182B2A603257,"[{'작성자': '내일은홈런왕!', '별점': '5.0', '날짜': '2025.01.23.', '내용': '선생님이 점잖으시면서 과잉치료 안하시고 심지어 약 과잉처방도 안하세요. 추천합니다.', '좋아요': '0'}, {'작성자': 'kim', '별점': '2.0', '날짜': '2025.01.21.', '내용': '오래된 곳인가봐요...\n나이드신 원장님께서 진료해주십니다.\n설명 잘해주시고 친절하시긴 한데\n제대로 봐... 더보기', '좋아요': '0'}, {'작성자': '🐥🐥', '별점': '5.0', '날짜': '2024.08.21.', '내용': '후기대로 원장님께서 되게 자세히 설명해주시고 과잉진료 없으심. 그리고 물리치료 선생님께서도 친절하셔서 재방문 할거 같아요~~', '좋아요': '0'}]","{'화': '09:00 ~ 17:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '토': '09:00 ~ 12:30', '월': '09:00 ~ 17:00'}"
김연일정형외과,3.3,용산구 이촌로84길 9-18,,"[{'작성자': 'notorious', '별점': '1.0', '날짜': '2025.01.17.', '내용': '구박하면서 시전하신 할아버지의 구수한 영어가 잊혀지지 않네요. 투라이앵귤러 화이브로카튈리... 더보기', '좋아요': '0'}, {'작성자': '김진형', '별점': '5.0', '날짜': '2022.12.14.', '내용': '의사선생님께서 치료를 전문성있게 잘 해 주셨고 시설도 만족합니다. 같은 동네의 개원한지 몇년 안 되는 곳이랑 너무 차이가 나더라고요. 간호사님도 친절하시고요^.^', '좋아요': '0'}, {'작성자': 'Carlos', '별점': '1.0', '날짜': '2020.09.29.', '내용': '카운터에 앉아있는 단발컷 아줌마 인성 문제있음!\n완전 불친절합니다!!', '좋아요': '3'}]","{'화': '09:30 ~ 17:30', '수': '09:30 ~ 17:30', '목': '09:30 ~ 17:30', '금': '09:30 ~ 17:30', '토': '09:00 ~ 12:00', '일': '휴무일', '월': '09:30 ~ 17:30', '휴무일': '공휴일'}"
예담피부과의원,3.3,용산구 이촌로 276 하나빌딩 4층,,"[{'작성자': 'ptk', '별점': '5.0', '날짜': '2025.01.15.', '내용': '친절하지않다고 댓글달았었는데 \n요새는 너무 친절하시고 잘해주십니다.\n뚱... 더보기', '좋아요': '3'}, {'작성자': 'keanu', '별점': '1.0', '날짜': '2024.06.11.', '내용': '후기 달기 위해 로그인.. 데스크에 살 많은 사람 정말 최악입니다^^ 같은 한국인인게 부끄러운 지경', '좋아요': '1'}, {'작성자': '710km', '별점': '1.0', '날짜': '2023.05.03.', '내용': '데스크에 있는 간호사분 진짜 싸우자는 건가 싶을정도;; 엄청 강압적입니다 1시간 넘게 기다리다 언제 들어갈수 있냐고 물었더니 그냥 기다리라고만 하고 그제서야 ... 더보기', '좋아요': '3'}]","{'화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 15:00', '월': '09:30 ~ 19:00'}"
닥터유이비인후과의원,,용산구 이촌로 200 LG프라자 2층 205호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MDZfMTc1%2FMDAxNzEyMzYyNDk5NTc0.vRaii7O0v-GLTI__9f_vBlMsRVVhwt0ivR3dQNvxGJAg.18K5iueKfehEpk2XNU7YnFzsitYJhyMRym-77qtRlvkg.JPEG%2FIMG_1234.JPG%3Ftype%3Dw580%26jopt%3D2,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 14:00', '월': '10:00 ~ 18:00'}"
굿모닝치과의원,3.7,용산구 이촌로 264,,"[{'작성자': '블루블루', '별점': '1.0', '날짜': '2024.08.09.', '내용': '사랑니빼러 갔는데 못한다고 그냥 가라네요 오래 기다리게 했으면서!', '좋아요': '0'}, {'작성자': '아도니스', '별점': '5.0', '날짜': '2024.01.24.', '내용': '오래다니고 있는 치과에요~\n동네가 재개발하고 있는데 상가동은 그대로 놔뒀으면 좋겠어요.\n여튼 많이 친절하고 좋아요~', '좋아요': '0'}, {'작성자': '강성욱', '별점': '5.0', '날짜': '2022.10.25.', '내용': '어금니가 아파서 가서 확인 했는데, 썩어서 아픈줄 알앗는데, 뿌리가 상했더군요. 하나로 버티고 있어서 아픈 거였어요. 바로 빼고 , 6개월 뒤 에나 확인 할수 있다고 하시더군요, 인플란트건 틀니건 바로 작업 해주셔서 감사합니다.', '좋아요': '0'}]","{'화': '10:00 ~ 14:00', '수': '10:00 ~ 18:30', '목': '휴무일', '금': '10:00 ~ 18:30', '토': '10:00 ~ 14:00', '월': '10:00 ~ 18:30', '휴무일': '매주 목요일'}"
