name,score,address,img_url,reviews,open_hour
이태원정형외과의원,4.6,용산구 이태원로 186 4-5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB8BC5676F0C84D8FAE9A06542711EC4F,"[{'작성자': '해워니짱', '별점': '5.0', '날짜': '2025.03.24.', '내용': '도수치료+운동같이 해주는데 좋습니다.', '좋아요': '0'}, {'작성자': 'jay', '별점': '5.0', '날짜': '2025.03.21.', '내용': '도수치료 다른곳이랑 다른 방법으로 접근하는 방식으로 해주는데 무엇인가 좋아지는 기분', '좋아요': '0'}, {'작성자': '정미영', '별점': '5.0', '날짜': '2025.03.20.', '내용': '순천향병원에서 가까운 병원 꼬멘거 여기서 소독가능함', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 13:30', '일': '11:00 ~ 15:30', '월': '10:00 ~ 19:00', '휴무일': '공휴일'}"
해밀턴치과의원,3.7,용산구 보광로60길 3 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FCF2So%2FbtsISKMrLGM%2FrNBK0aFMPtiZFqYlm38Zo1%2Fimg.jpg,"[{'작성자': '야생베타', '별점': '5.0', '날짜': '2025.01.16.', '내용': '스케일링 받으러 갔는데 꼼꼼하게 해줍니다 \n검진 결과도 물어보니 자세히 설명해주고요. 가격은 어차피 국민보험되니 거의다 같습니다', '좋아요': '1'}, {'작성자': '돼히', '별점': '1.0', '날짜': '2024.01.18.', '내용': '교정유지장치가 떨어졌는데 원래 다니던 치과가 멀어 통화 후 붙여준다하여 갔습니다. \n\n4시 49... 더보기', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '월': '09:30 ~ 18:30'}"
엘리엇의원,3.5,용산구 이태원로 186 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA3MDFfMjYg%2FMDAxNjU2NjQzODA1NzI0.zaT-2GElHwDQjpi4afNTXlUjeMvDdhbCA1gqodJax7Qg.HefJnXBmpcdYDzZ5zja2G3IyWj81TwZbVaV5MJvygfog.PNG.coiz_oxygen%2F1.png%3Ftype%3Dw966,"[{'작성자': '냥냥', '별점': '5.0', '날짜': '2024.07.26.', '내용': '별점 왜이렇게 안좋죠..? 저는 갈때마다 큰 문제 없이 잘 받고 예약도 별로 안어려워서 만족 중입니다', '좋아요': '0'}, {'작성자': 'le', '별점': '1.0', '날짜': '2024.07.05.', '내용': '문 밖에 예약 환자만 받는다고 써두시던가요… 예약하지 않고 방문했더니 기분이 좋지 않네요.', '좋아요': '0'}, {'작성자': 'Katrin', '별점': '1.0', '날짜': '2024.07.02.', '내용': '외국인을 차별하고 진료를 거부할 거면, 왜 이태원에 병원을 열었는지 모르겠어요', '좋아요': '1'}]","{'화': '10:00 ~ 19:00', '수': '휴무일', '목': '10:00 ~ 19:00', '금': '10:00 ~ 21:00', '토': '10:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '공휴일'}"
허내과의원,3.7,용산구 회나무로13길 5,,"[{'작성자': '장군', '별점': '1.0', '날짜': '2025.01.07.', '내용': '독감접종 4만원', '좋아요': '0'}, {'작성자': 'abc', '별점': '5.0', '날짜': '2023.10.14.', '내용': '친절하시고 외국인 응대도 잘해주세요', '좋아요': '0'}, {'작성자': '고앵', '별점': '5.0', '날짜': '2023.08.05.', '내용': '아무것도 안하고 별로 뭐 안 물어보고 약 처방하는 곳도 많은데 청진기로 문진 후 배 눌러보시고 증상 이것 저것 물어보심. 밑에 댓글 보고 기대 하나도 안 하고 갔는데 잘 봐주셨어요. 그리고 이건 호불호 갈릴 수 있는데 약을... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 17:50', '수': '09:00 ~ 17:50', '목': '09:00 ~ 17:50', '금': '09:00 ~ 17:50', '토': '09:00 ~ 12:50', '월': '09:00 ~ 17:50'}"
혜광의원,3.9,용산구 회나무로6길 5 혜광빌딩 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F18697F0B4C51475101,"[{'작성자': '장호석', '별점': '5.0', '날짜': '2023.01.06.', '내용': '아주친절하고 좋습니다 \n친철하기에.항상.바쁘다고 생각합니다', '좋아요': '0'}, {'작성자': '반달곰', '별점': '1.0', '날짜': '2021.08.02.', '내용': '불친절해요', '좋아요': '0'}, {'작성자': '홍승표', '별점': '5.0', '날짜': '2021.05.17.', '내용': '실력있고 친절해요. 짱 입니다.', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 13:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 11:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
용훼미리의원,,용산구 우사단로 36 포린푸드마트 4층 401호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F94A488A41E5C4FE1B7C9152F856948B6,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 13:00', '토': '휴무일', '일': '휴무일', '월': '10:00 ~ 18:00', '휴무일': '공휴일'}"
삼성신경외과의원,3.4,용산구 회나무로6길 5 혜광빌딩 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff656d38c3e829509bf74e867fdbb3581bca1f637%3Foriginal,"[{'작성자': '특등사수', '별점': '5.0', '날짜': '2024.04.12.', '내용': '지인 추천으로 왔는데 매우 만족합니다. 인테리어등이 오래된 느낌이 나긴 하지만 원장님 내공이 상당합니다. \n물리치료 + 침... 더보기', '좋아요': '0'}, {'작성자': '영숙', '별점': '5.0', '날짜': '2023.02.20.', '내용': '밤낮없이 쑤시던 등쪽 통증이 2주 전에 주사 한 번 맞은 후 통증이 사라져서 살것 같고 \n지금은 열심히 물 리치료 받고있구요~\n함께 다니는 지인도... 더보기', '좋아요': '0'}, {'작성자': '박재우', '별점': '1.0', '날짜': '2019.11.07.', '내용': '직원이 싸기지  없고  물리치료도 대충하고  원장도 무똑똑하고 치료효과도 없고 최악이네요', '좋아요': '3'}]","{'화': '09:00 ~ 13:00', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30'}"
이태원의원,5.0,용산구 우사단로 46 3층,,"[{'작성자': '이연', '별점': '5.0', '날짜': '2024.11.05.', '내용': '약처방 필요한것만 딱해줘 부담안감', '좋아요': '0'}, {'작성자': '요', '별점': '5.0', '날짜': '2024.07.15.', '내용': '진짜 친절하시고 주사 무서워하는데 안아프게 놔주셨어요', '좋아요': '0'}, {'작성자': '돌길이', '별점': '5.0', '날짜': '2023.10.27.', '내용': '친절하시고 좋습니다~!', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:30 ~ 18:00', '휴무일': '공휴일'}"
글로벌치과의원,4.7,용산구 이태원로 142-1 3층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FE0EF092530794C43A4AFDD441BB05DAF,"[{'작성자': 'lalala', '별점': '2.0', '날짜': '2025.02.18.', '내용': '항상 반겨주는 의사선생님들과 직원이 있어 좋은마음으로 방문하고 있었습니다.유독 한 직원이 높은 직급인지 의사는 아닌데 환자 옆에서 다른 직원... 더보기', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.10.10.', '내용': '스케일링 겸 정기검진으로 방문하였습니다. 의사선생님 설명 친절하시고 스케일링도 제가 그동안 관리안한것 을 생각해 감안한다면 별로 아프지 않았습니다.  스케일링 한후 말끔한 치아가 되어 기분이 좋네요.', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.02.12.', '내용': '치과에 굉장히 예민한 편인데 친절하고 꼼꼼하고 과잉진료가 없는편..! 이태원 터줏대감이 되어주세요🥰', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '공휴일'}"
봄산부인과의원,4.0,용산구 회나무로13길 5 혜천상가 4층,,"[{'작성자': 'baguette', '별점': '1.0', '날짜': '2025.03.24.', '내용': '질 초음파 검사하는데 필요 이상으로 오랫동안 기계를 넣고 말씀하셔서 힘들었습니다. 검사 당시엔 어떨결에 대답하긴 했지만.. \n생각할수록 불쾌한 기분이 들어서 후기 남깁... 더보기', '좋아요': '0'}, {'작성자': 'h a p p y', '별점': '1.0', '날짜': '2025.01.21.', '내용': '질초음파 하는 중 몸에 기계를 넣은 상태에서 의사선생님이 휴대폰 전화를 받으시네요 정말 불쾌한 경험이었습니다.  자세한 설명을 감사하게 생각하는 사람도 있겠지만,  긴 시간 설명하는 내내 기계를 몸에 넣고 있는 여자 환자... 더보기', '좋아요': '2'}, {'작성자': '💖', '별점': '5.0', '날짜': '2024.08.05.', '내용': '제가 프로예민러 산모라서 뱃속의 아기에 대한 걱정을 산더미로 안고 진료 끝나는 시간쯤 방문을 했는데요, 선생님이 단순히 진료만 봐주시는게 아니라 정말 따뜻하게 마음으로 공감해주시고 조... 더보기', '좋아요': '1'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
