name,score,address,img_url,reviews,open_hour
소화의원,3.5,용산구 청파로 383 종근당건강빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjJfMTY1%2FMDAxNzM0ODYyNjYwMTI2.lyPV5QvdENXmsXfETXwojPGI6frE07Gxwmxa7qfLRv4g.deOfvWMOwrlV90tEANoM4zonRIImaWFq5sZ6lnuip1Ig.JPEG%2F1734861881422.jpg%3Ftype%3Dw773,"[{'작성자': 'Yn', '별점': '5.0', '날짜': '2025.03.15.', '내용': '저는 여기서 태어났어요. 여전히 남아있어서 기쁨니다.', '좋아요': '0'}, {'작성자': '🐇', '별점': '5.0', '날짜': '2024.11.02.', '내용': '똑닥 안해서 오히려좋음~', '좋아요': '0'}, {'작성자': 'hjlee____', '별점': '5.0', '날짜': '2024.09.16.', '내용': '엄마 첫 직장이었어서 5점드립니다.', '좋아요': '1'}]","{'화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '일': '휴무일', '월': '08:30 ~ 17:30', '휴무일': '매주 일요일'}"
용산더힐내과의원,3.6,용산구 청파로 251 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fstorep-phinf.pstatic.net%2Fogq_601ffac3ee2a8%2Foriginal_12.png%3Ftype%3Dp100_100,"[{'작성자': '꾜', '별점': '1.0', '날짜': '2025.02.25.', '내용': '증상을 말씀드려도 원인이 많다고 그럴수도 있다 하고 넘기심.. 진료 1분컷.. 다시는 안 가요~', '좋아요': '0'}, {'작성자': '낤', '별점': '5.0', '날짜': '2025.01.08.', '내용': '독감검사비 및 독감수액  애오개~ 숙대 남영~ 병원 10곳정도 확인했는데 여기가 저렴한 편입니다 \n의사선생님 진료 합리적으로 잘 ... 더보기', '좋아요': '0'}, {'작성자': 'ㅎㅎ', '별점': '1.0', '날짜': '2024.12.31.', '내용': '의사가.. \n말일이라 건강검진 대기자가 많아 얌전히 기다리고 있었는데, 엑스레이 하나 남겨두고 40분 째 대기하고 있으려니 초조해지기 시작하더라구요. 그래도 병리사선생님들이 너무 바빠보이셔서 기다... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
대한민국의원,,"용산구 청파로47길 7 3,4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6B298B0E97CA44A1AF9496AB478FD854,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 19:00', '휴무일': '공휴일'}"
대한민국365한의원,,"용산구 청파로47길 7 3,4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F96A88736A7024A40A42CD1A8AA9D5DEE,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00', '일': '09:00 ~ 16:00', '월': '09:00 ~ 19:00', '휴무일': '추석당일, 설당일'}"
서울영재의원,5.0,용산구 만리재로 176 2-3층,,"[{'작성자': 'LGTV', '별점': '5.0', '날짜': '2023.03.23.', '내용': '의사선생님이 어머님같아요 정말 잘 봐주시네요.믿음이가요', '좋아요': '0'}, {'작성자': 'mim', '별점': '5.0', '날짜': '2023.02.14.', '내용': '병원 깨끗하고 선생님이랑 직원분들 다 친절해요', '좋아요': '0'}, {'작성자': '으노으노', '별점': '5.0', '날짜': '2022.12.19.', '내용': '내부는 깔끔하고 의사선생님은 항상 친절하게 상담해주시고 간호사선생님들도 기계적업무처리가 아닌 마음으로 일하시는 것이 느껴집니다. 감사합니다. 아기들 전담병원으로 지정할꺼에요 ㅎㅎ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '휴무일', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
연세이비인후과의원,3.5,용산구 만리재로 134 힐타워빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb23a748e318c571ad1cc914f37fd4a152b38c675%3Foriginal,"[{'작성자': '선유달', '별점': '1.0', '날짜': '2025.03.14.', '내용': '3년 동안 여기만 다녔는데 과잉진료 진짜 대박입니다,,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 혹시 비염약 3일치만 처방해주는 거 들어본 적 있으세요?? 그것도 한두 번만 그런 게 아니라 갈 때마다요. 아무리 길게 달라고 해도 최대 4일치밖... 더보기', '좋아요': '0'}, {'작성자': '프로 리뷰러..', '별점': '3.0', '날짜': '2025.01.15.', '내용': '감기 때문에 내원했고, 의사쌤 간호사쌤 모두 친절하세요!\n\n근데 처방약은 효과 없어용..', '좋아요': '0'}, {'작성자': '닝냥', '별점': '1.0', '날짜': '2024.10.18.', '내용': '진짜 진료 대충보네요.. 기침이 한달째 이어지고, 다른병원에서 탄 5일치 감기약이랑 항새제 복용해도 효과 없다니까, ""감기겠죠? 요즘 환절기라"" 하면서 또 감기약과 항생제 처방. 적어도 전 병원서 어떤 약 처방받았는지라도 물어봐야 하는 것 아닌가?', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '10:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
서울역예치과의원,3.7,용산구 청파로 395 창성빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA2MjJfMjcw%2FMDAxNjg3Mzk2Mjg1NjA1.vGvgMWNjq2mjioxNQta7NxD6mqjaVCsXltf06xbP3gMg.0zwvxi9NX9wbYzQkSXf0KxGmysMjoq8HikOOBana5OEg.PNG.civilc110%2F%25EC%259D%25B4%25EB%25AF%25B8%25EC%25A7%2580_(2).png%3Ftype%3Dw966,"[{'작성자': '노나영', '별점': '5.0', '날짜': '2025.03.25.', '내용': '오랜만에 스케일링 받았는데 엄청 시원하네요 개운해서 좋았습니다', '좋아요': '0'}, {'작성자': '서수희', '별점': '5.0', '날짜': '2025.03.17.', '내용': '초딩때부터 다니던 치과^^ 어느새 성인이 되었지만 항상 잘 봐주세요', '좋아요': '0'}, {'작성자': '류윤주', '별점': '5.0', '날짜': '2025.03.11.', '내용': '임플란트 수술 받았는데 선생님이 편안하게 잘 해주세요 식립된거 지금도 잘 쓰고 있습니다', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
경희황금손한의원,5.0,용산구 만리재로 134 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F72AC9BD8E25349D59ED8650475926AC7,"[{'작성자': '나름 미식가', '별점': '5.0', '날짜': '2025.04.01.', '내용': '제가 만성 허리통증으로 몇년째 고생을 하느라 여기저기 많은 한의원을 다녔죠 자주가는 단골 한의원도 있고요 근데 제가 2주전에 넘어지면서 어깨를 다쳐서  한의원 여기저... 더보기', '좋아요': '0'}, {'작성자': '파이리', '별점': '5.0', '날짜': '2020.01.09.', '내용': '약 5년 전엔 무릎이 아파서\n최근에는 어깨가 아파서\n삶의 질이 떨어졌... 더보기', '좋아요': '0'}, {'작성자': '욱이-', '별점': '5.0', '날짜': '2019.10.23.', '내용': '원장님께서 아픈 곳 전부 꼼꼼하게 봐주시고, 질문한것도 친절하게 설명 잘해주세요~\n간호사 선생님들도 잘해주셔서 편하게 치료받고왔습니다^^', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:30', '일': '휴무일', '월': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
한마음치과의원,4.5,용산구 효창원로 265,,"[{'작성자': '최일구', '별점': '5.0', '날짜': '2024.10.09.', '내용': 'MBC,MBN앵커.\n지금은 TBS허리케인라디오 앵커하는\n최일구 입니다.\n한... 더보기', '좋아요': '0'}, {'작성자': '소민맘', '별점': '5.0', '날짜': '2022.09.01.', '내용': '직원분들 친절하시고, 치료 설명도 꼼꼼히 잘해주셔서 치료 잘 받았네요.', '좋아요': '0'}, {'작성자': 'Darren', '별점': '5.0', '날짜': '2022.08.26.', '내용': '신경치료 받았는데 마취주사가 하나도 안아팠어요ㅎㅎ 많이 긴장했는데 의사선생님이랑 간호사님들이 친절하게 대해주셔서 치료 잘 받고 갑니다~~ㅎㅎㅎㅎ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00'}"
김승욱내과,3.9,용산구 만리재로 134,,"[{'작성자': '백발백종원', '별점': '5.0', '날짜': '2024.12.06.', '내용': '친절하셔서 좋았어요!! 내공이 느껴지시는 원장님입니다', '좋아요': '0'}, {'작성자': '柳錫東', '별점': '5.0', '날짜': '2024.01.26.', '내용': '원장님 친절하게 봐주시고 다좋아요', '좋아요': '0'}, {'작성자': 'mind', '별점': '5.0', '날짜': '2023.12.15.', '내용': '저는 감동받았던 기억으로 다시 찾았는데, 아래 다른 댓글 들은 다른 경험을 하셨나봅니다', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
