name,score,address,img_url,reviews,open_hour
순천향대학교 부속 서울병원,2.5,용산구 대사관로 59,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF7571287C06848CB8E0A11F8B0BC606B,"[{'작성자': '호이', '별점': '5.0', '날짜': '2025.02.24.', '내용': '이정재교수님 최고☝️👍 교수님들이 오히려 친절한 아이러닠ㅋㄱㅋㅋㅋ다른병원은 반대이던데\n왜때무네 간호사들이 더불친절한거임?', '좋아요': '0'}, {'작성자': 'Ray', '별점': '1.0', '날짜': '2025.01.27.', '내용': '안면외상 치료 받으려하니 외래에선 안되니 응급실 가라하고\n응급실가니까 또 안된다고 하고\n치료도 못받고 그냥 왔네요\n... 더보기', '좋아요': '0'}, {'작성자': 'HH', '별점': '5.0', '날짜': '2025.01.27.', '내용': '많은 분들 의견처럼 주차가 아쉽지만 의사 간호사 선생님들은 정말 진료 성의껏 봐주시고 친절하세요.', '좋아요': '0'}]","{'화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '토': '09:00 ~ 12:00', '일': '휴무일', '월': '09:00 ~ 17:00', '휴무일': '공휴일'}"
하예스킨의원,4.8,용산구 독서당로 80 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTdfMTM1%2FMDAxNzM0NDIyOTA2MjU0.fwSlj1b8_L3tMYYu3kBKGwQ7JkVsdoI61sM090WFb0kg.AB0C4vj8BLrgOoAJ78KEHmYTIkN7Mh_uh9GOzA6EbIog.JPEG%2F31244572_RVjz3kCs_1a751c19d48e6d4d685201529cabb922383943fd.jpg%3Ftype%3Dw466,"[{'작성자': 'dd', '별점': '5.0', '날짜': '2025.03.26.', '내용': '원장님께서 너무 친절하셔서 리뷰를 안 남길 수가 없네요!! 얼태기 와서 좀 관리 받으려고 간 곳인데 세심하게 상담부터 시술까지 해주시니까 넘 좋았어요!!! 시술 받고 친구들이 효과 좋다고 칭찬까지 해줘서 더 기분 좋아졌어요 앞으로 자주 갈게용!!', '좋아요': '0'}, {'작성자': '김하영', '별점': '5.0', '날짜': '2025.03.17.', '내용': '피부과 유목민이라서 정착할 곳 찾다가 오게 됐는데 원장님 너무 친절하시고 제 피부에 딱 맞는 시술만 진행해주시니까 좋은 것 같아요! 꼼꼼하게 체크하시면서 시술 해주셔서 그... 더보기', '좋아요': '0'}, {'작성자': '선미', '별점': '5.0', '날짜': '2025.03.13.', '내용': '원장님이 이렇게 친절하신 피부과는 처음인 것 같아요 상담할 때 피부 고민도 진지하게 잘 들어주시고 저에게 필요한 시술을 권유해주시더라구요 원장님이 손기술 덕분에 제 피부가 좋아졌습니다 앞으로 자주 방문할게요', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '10:00 ~ 21:00', '목': '휴무일', '금': '10:00 ~ 19:00', '토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '매주 목요일, 일요일'}"
홈스피탈내과의원,4.0,용산구 한남대로 76 한남프라자 5층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe39291511f6b7c2ff8ed46171276cf895fb54083%3Foriginal,"[{'작성자': '맛집방황러', '별점': '1.0', '날짜': '2025.01.04.', '내용': '기본적인 약 처방도 잘 못해줍니다. \n진료받고 집에와서 처방된 약 다시 확인보니 독감에 꼭 있어야할 약이 없길래 전화해보니 잘못 ... 더보기', '좋아요': '0'}, {'작성자': 'HR', '별점': '5.0', '날짜': '2024.08.10.', '내용': '토요일오후 5시까지 진료!!!  주말에 급하게 병원 찾았는데 꼼꼼히 진료해주셔서 감사합니다!', '좋아요': '0'}, {'작성자': 'BM', '별점': '1.0', '날짜': '2024.08.06.', '내용': '코로나 키트 두줄이라 검사하고 약처방 받으러 갔다가 그냥 나왔습니다. 키트 두줄이라 말씀드리니 데스크에 앉아 계시던 여성분이 병원 내부도 아닌 에어컨도 없는 외부에 앉으라고 하더군요 더운데 안에 있으면 ... 더보기', '좋아요': '0'}]","{'화': '08:00 ~ 19:00', '수': '08:00 ~ 19:00', '목': '08:00 ~ 19:00', '금': '08:00 ~ 19:00', '토': '08:00 ~ 19:00', '일': '휴무일', '월': '08:00 ~ 19:00', '휴무일': '매주 일요일'}"
국제의원,3.7,용산구 이태원로 211 한남빌딩 5층 501호,,"[{'작성자': '마르티나', '별점': '5.0', '날짜': '2024.06.18.', '내용': 'Hello, I’m from Italy and I recommend this clinic if you need English consultation. They treat me well and very kind.. you can pay with or without national healthcare so it’s easy for foreigners too :)', '좋아요': '0'}, {'작성자': 'Jeany', '별점': '5.0', '날짜': '2024.06.14.', '내용': ""The doctor is amazing and really thorough. He explains everything to you really well and all in English. I've been to my fair share of korean doctors too and this dude is the best. Get their early, it gets busy quick."", '좋아요': '0'}, {'작성자': 'Galina Kan', '별점': '1.0', '날짜': '2023.03.06.', '내용': 'Terrible customer service,very rude and unfriendly staff.', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '휴무일', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '휴무일': '매주 목요일'}"
순천향대학교 부속 서울병원 응급실,1.9,용산구 대사관로 59,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMjBfMiAg%2FMDAxNzQwMDE5MjU0ODU4.A0qYy0uUENOiAVYq5Hr3JSYqvIdUzeYbr5cam9ZqMB8g.ANYh5edi7Ny8WdQUOoVcA5OkL2wGZ_XPkWRjPwXrsAwg.JPEG%2F900%25EF%25BC%25BF20250206%25EF%25BC%25BF140134.jpg%3Ftype%3Dw580,"[{'작성자': '미미', '별점': '1.0', '날짜': '2025.02.11.', '내용': '너무 아파서 쓰러질 뻔하면서 끙끙 참고 갔는데 \n앞에 울면서 도와달라 해도 할 수 있는 게 없다고 대학 병원인데 진통제주사도 못 넣어줌. 편의점 가서 타이래놀이... 더보기', '좋아요': '0'}, {'작성자': 'EJ', '별점': '5.0', '날짜': '2024.11.27.', '내용': '선생님들 모두 친절하시고 아이 케어도 잘 해주셨어요!', '좋아요': '0'}, {'작성자': '사리추가해주세요', '별점': '1.0', '날짜': '2023.11.05.', '내용': '왤케 싸가지가 없는지.. 진짜 웬만해선 불친절하다고 1점 주고 싶지 않은데 싸가지없는 게 도를 넘음', '좋아요': '0'}]",{}
구도피부과의원,0.0,용산구 독서당로 124 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEyMjFfNjIg%2FMDAxNzAzMTM4OTMzNjcz.4PBKEeWOmA13PTZOflUmi07q44QYmzPHUytdBNVJsSAg.PNGEyiDmqzSjBCee_sMEj6aNOecrXBb1jK3qKvy_nKsg.JPEG.ohwai%2F%25EC%2595%2584%25EC%259D%25B4-4_copy.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 20:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '월': '10:00 ~ 19:00'}"
호수의원,1.0,용산구 독서당로 85 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA7F99B16C07B42C7A59A01C5C9151173,"[{'작성자': '🐾ㅖ린', '별점': '1.0', '날짜': '2024.02.24.', '내용': '염증주사 맞으러 예약하고 갔는데 한참 기다린 경험이 있네요ㅠ', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '휴무일', '목': '10:00 ~ 19:00', '금': '10:00 ~ 21:00', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '공휴일'}"
한동철내과의원,4.7,용산구 이태원로 239 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F797F1747D5044EDCB738B97E3C7EDC3B,"[{'작성자': '도로로롱', '별점': '5.0', '날짜': '2025.02.18.', '내용': '간호사 분들이 너무.. 따수우셔서.. 안아파도 오고십네요.. 최고..', '좋아요': '0'}, {'작성자': 'min', '별점': '1.0', '날짜': '2024.12.06.', '내용': '약을 너무 과하게 많이 처방해주시네요ㅠㅠ..\n그냥 감기인데\n약을 12가지 처방해주시면..... 더보기', '좋아요': '1'}, {'작성자': '리아요', '별점': '5.0', '날짜': '2024.11.04.', '내용': '세심한 의사 선생님께서 진료해주는 곳이에요. 이태원, 한남동에는 전문의 있는 병원이 별로 없어서 서초 강남으로 가야하나 고... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '목': '09:00 ~ 11:00', '금': '09:00 ~ 17:00', '토': '09:00 ~ 11:00', '일': '휴무일', '월': '09:00 ~ 17:00', '휴무일': '매주 일요일'}"
나비드치과의원,4.8,용산구 한남대로21길 17,,"[{'작성자': '냥냥', '별점': '5.0', '날짜': '2024.11.08.', '내용': '간호사쌤들도 다 실력 좋으시고 경험이 많아보이세요 실제로 스켈링도 안아프게 해주셨답니다?', '좋아요': '0'}, {'작성자': '별점쓰러옴', '별점': '5.0', '날짜': '2023.12.30.', '내용': '다른 치과에서 해결못한거 이 치과 와서 금방 해결했었어요… 의사샘 간호사샘들 전부 다 친절하고 치료 중 농담도 가끔씩 해주시니 치료 힘들어도 마음 편해지고 넘 좋습니다 스케일링 하나도 꼼꼼히 해 주세요', '좋아요': '0'}, {'작성자': 'ㅅㅎ', '별점': '5.0', '날짜': '2023.04.13.', '내용': '진짜 치과계의 또간집.. \n이렇게 간호사쌤도 너무 친절하고 의사쌤도 너무 편하고 친절하게 대해주셔서 그동안 궁금한거 다물어봤네요 🥺... 더보기', '좋아요': '0'}]","{'화': '10:00 ~ 20:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '월': '10:00 ~ 19:00'}"
강원한의원,4.6,용산구 이태원로 270 호성빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F2D18543B003E479282DD3B35D7E94F64,"[{'작성자': 'J', '별점': '5.0', '날짜': '2023.09.04.', '내용': '수술 후에 건강 검진 및 보약 처방을 위해서 방문 했습니다. 원장님께서 친절하게 설명 해주시고 무엇보다 건강을 어렵게 달성해야 할 목표가 아닌 일상 속에서 쉽게 오늘부터 할수... 더보기', '좋아요': '0'}, {'작성자': 'yourii♡', '별점': '5.0', '날짜': '2023.09.01.', '내용': '원장님이 친절하시고 설명도 상세히 전문적으로 해주세요. 임신 전에 가서 검진 받고 보약 지어먹고 출산 후엔 여기 유명한 디톡스 프로그램 했는데 몸도 너무 가볍고 살, 붓기 빠지는데 효과 제대로 봤어요~', '좋아요': '1'}]","{'화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '매주 일요일'}"
