name,score,address,img_url,reviews,open_hour
이주영치과의원,5.0,과천시 과천대로6가길 52 어반프라자 502~504호,,"[{'작성자': '튼튼', '별점': '5.0', '날짜': '2024.09.03.', '내용': '좋은곳\n아픈곳이 아닌 좋은곳^^', '좋아요': '0'}]","{'화': '09:30 ~ 20:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 20:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
서울행복내과의원 과천점,4.3,과천시 과천대로2길 6 테라스원 4층 402~405호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF738125427B3426A8C88F4F1138625A0,"[{'작성자': '롱롱', '별점': '5.0', '날짜': '2025.02.28.', '내용': '원장님 친절하시고 병원 깨끗해서 좋아요!!!', '좋아요': '0'}, {'작성자': '오인성', '별점': '5.0', '날짜': '2025.02.28.', '내용': '감기몸살로 방문 했는데 진료도 잘 봐주시고 친절하게 응대 해주셔서 아프지만 기분좋게 진료 받고 왔네요^^', '좋아요': '0'}, {'작성자': '정민류', '별점': '1.0', '날짜': '2025.02.13.', '내용': '1. 실비서류 수령 후 하나가 빠진 것 같다고  전화했더니 다 드렸다고 해서 보험사에 서류 제출했는데 알고보니 하나를 누락시켜서 다시 받으러 감.\n2. 건강보험공단 건강검진과(위내시경) 실비로 대장내시경  받았는데 진단... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
시원숨이비인후과의원,3.0,과천시 과천대로6가길 52 어반프라자 2층 201~203-2호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MTlfMTkx%2FMDAxNzI2NzM0OTg5MzUz.bTZTtN-eeAYSK019JEO3u7WW6aAq-DMBTxeGR14ch4wg.WrSTg46CmwEp5egXQPrk25AQHovG3m5puXGA1OUUHVsg.JPEG%2F%25EC%258B%259C%25EC%259B%2590%25EC%2588%25A8%25EC%259D%25B4%25EB%25B9%2584%25EC%259D%25B8%25ED%259B%2584%25EA%25B3%25BC_%25EC%25A7%2584%25EB%25A3%258C%25EC%258B%25A42-003.jpg%3Ftype%3Dw966,"[{'작성자': '라임오렌지', '별점': '3.0', '날짜': '2024.12.27.', '내용': '깨끗하고 잘봐주는데  이상하게 비싸요\n기본 진료만보고 호흡기 치료도 안했는데 9,700원 나왔어요. 갸우뚱~?', '좋아요': '1'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
펄어비스 부속의원,0.0,과천시 과천대로2길 48 펄어비스홈원 지하1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '월': '09:00 ~ 18:00'}"
과천밸런스마취통증의학과의원,,과천시 과천대로7길 46 과천Creation Tower 2층 201~204호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE38FA93E9EEF456CA2A9E3DE1E440B9C,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 19:30', '수': '10:00 ~ 19:30', '목': '10:00 ~ 19:30', '금': '10:00 ~ 19:30', '토': '휴무일', '월': '10:00 ~ 19:30', '휴무일': '매주 토요일'}"
지정타한의원,5.0,과천시 과천대로7길 20 스마트케이 업무시설 A동 2층 227호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F121EF89B7E1A403CB2B1C433A08D65B2,"[{'작성자': 'EunQ', '별점': '5.0', '날짜': '2024.04.04.', '내용': '원장님 친절하시고 꼼꼼하셔서 좋아요^^! 결혼 준비로 다이어트 한약 구매했는데 저렴하고 효과 좋네요!! 우선 한달치 샀는데 계속 구매해서 복용할꺼 같아요~ 목표 체중까지 잘 부탁드려요~~^^', '좋아요': '0'}, {'작성자': '120', '별점': '5.0', '날짜': '2024.01.24.', '내용': '원장님 친절하시고 새로 개원한 곳이라 시설이 깔끔해서 좋아요!!', '좋아요': '1'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.01.23.', '내용': '깨끗하고 조용해서 좋았어요 무엇보다 쌤이 침을 엄청 잘 놔주세요! 침대도 따뜻하니 잠이 솔솔 옵니당ㅋㅋ 인바디 기계도 써봤는데 새거라서 그런지 알아서 안내 다 해줘서 놀랐어요ㅋㅋ', '좋아요': '1'}]","{'화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '매주 토요일'}"
다시봄날의원 과천점,0.0,과천시 과천대로7길 33 디테크타워 B동 1층 121~123호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTRfMTY2%2FMDAxNzMxNTc3NzkzNzY4.n2tNC8ZJQQ0W0cEFmEhaQy5xFR0zHPvu9E097-Uz7Xog.eBH1TdkK9sFznHfjGXV2E-pNlI_ngrQUuEbLIysnRNgg.JPEG%2F002.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 21:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 21:00', '토': '10:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '공휴일'}"
삼성나비산부인과의원,3.0,과천시 과천대로5길 6 과천아이플렉스 3층 301~302호,,"[{'작성자': 'itnunde', '별점': '5.0', '날짜': '2025.02.14.', '내용': '친절하셔서 좋았어요~ 상세히 잘 봐주시던데용 자주 찾아갈 수 있는 산부인과 생겨서 좋습니다', '좋아요': '0'}, {'작성자': 'J0000', '별점': '1.0', '날짜': '2025.02.08.', '내용': '집 가까워서 갔는데 시간도 돈도 아까운 진료였습니다. 소독솜을 너무 뜨겁게해서 놀라기도했고 환자 동의 없이 질유산균을 넣으려고 하셔서 당황했어요.\n그리고 임신 진료는 많이 안 해보신건지 초음파 볼 때부터 ... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
과천연세정형외과의원,0.0,과천시 과천대로5길 6 과천 아이플렉스 3층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:30', '휴무일': '공휴일'}"
서울시카고치과의원,5.0,과천시 과천대로7길 20 과천스마트케이 업무시설 A동 208호,,"[{'작성자': '송아림', '별점': '5.0', '날짜': '2025.01.29.', '내용': '충치 나서 직장 근처에 서울대 출신 원장이라 믿고 갔는데 너무 친절하고 하나도 안 아프고 깔끔하게 치료해주셔서 좋았어요👍 다음에 치과 갈 일 있으면 또 들릴 것 같아요☺️', '좋아요': '0'}, {'작성자': 'ㅅㅇㅅ', '별점': '5.0', '날짜': '2023.11.05.', '내용': '여기 원장님 서울대 나오시고 미국시카고대학교수셨나 해서 치과이름이 이렇습니다\n약력도 어마어마하시지만 그에 걸맞는 실력을 갖추고 계시다는 느낌이 치료받을때 팍 들었어요\n\n저는 여기서 임플란트했고 일년정도 되... 더보기', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '공휴일'}"
