name,score,address,img_url,reviews,open_hour
최원호병원,,은평구 서오릉로 45 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FAD4AEF047FA94419B5D4829B16BBE1C4,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '00:00 ~ 24:00', '일': '00:00 ~ 24:00', '월': '09:00 ~ 18:00'}"
연세에덴요양병원,3.0,은평구 통일로 669,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMjhfNzQg%2FMDAxNzMwMDkzODIyMzcw.CEQrcoXGjruvpBXjq-wDCLONeBEDwu0fpMYNb-68mosg.oHgbu06rSajT3tnya5qkb13wE3toVyT3HfEc0vy0HuMg.JPEG%2F%25EC%2597%25B0%25EC%2584%25B8%25EC%2597%2590%25EB%258D%25B4%25EC%259A%2594%25EC%2596%2591%25EB%25B3%2591%25EC%259B%2590.jpg%3Ftype%3Dw773,"[{'작성자': '수양버들', '별점': '5.0', '날짜': '2020.09.12.', '내용': '처음으로 부모님을 요양병원에 모실려니 참 어려움이 많았습니다 오늘 아버지 장례를 잘 마치고 고마워서 한글 적습니다 코로나로 힘들때지만 아버지 상태가 안좋아질때 마다 의사 선생님께서 전화주셔서 ... 더보기', '좋아요': '0'}, {'작성자': 'peace(김간디)', '별점': '1.0', '날짜': '2020.02.22.', '내용': '불친절의 끝판왕\n코로나 질병때문에 상담 거절하는건 이해합니다.\n그런데 거절할때는 그렇게 하는게 아니에요.\n""현재 코로나 바이러스때문에 모든 면회와 상담이 금지되었습니다. 죄송합니다. 전화상담은 가능하니 전화 주시면 상... 더보기', '좋아요': '6'}, {'작성자': '혜영세실리아', '별점': '1.0', '날짜': '2020.02.10.', '내용': '간병사관리가 제대로 안되는 병원으로 수개월 계시는 동안 보호자와 환자 모두 상처받고 가슴아픈 사연이 많아 적응과정이 힘들었음. 인성면에서 간병사의 전반적인 체계관리가 필요함.', '좋아요': '3'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
은평 포레스트한방병원,4.3,"은평구 통일로 636 은평미드스퀘어 4,5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCCF7CB0C89114E13948DE15596165E3A,"[{'작성자': '맛있는거먹고잘래', '별점': '1.0', '날짜': '2025.03.21.', '내용': '웨딩업계 패키지여행업계를 능가하는 수완이라고 불러드려야 할까요...? 감탄스럽네요 많이 버십시오', '좋아요': '0'}, {'작성자': 'Wnawna', '별점': '5.0', '날짜': '2024.12.03.', '내용': '본병원에서 알게 된 분이 추천해주셔서 왔습니다. 들었던 것처럼, 밥이 정말 맛있습니다 ㅋㅋㅋ 경장육사? 살면서 이런 메뉴가 있는 거 처음 알았습니다. 치료 받으면서 없어진 입맛... 더보기', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.12.02.', '내용': '통창으로 되어있어서 답답하지않았네요~ 창밖 경치도 좋고 산도 보이고, 가까운 산책로 많고, 시설 깨끗하고, 암환자 만을 위한 휴식 공간, 똑똑하고 전문적인 의료진, 따뜻한 직원... 더보기', '좋아요': '0'}]","{'화': '09:30 ~ 20:30', '수': '09:30 ~ 20:30', '목': '09:30 ~ 20:30', '금': '09:30 ~ 20:30', '토': '09:30 ~ 16:30', '일': '09:30 ~ 16:30', '월': '09:30 ~ 20:30'}"
연세노블병원,,은평구 서오릉로 37,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3C58B48915BF4A70B7F4337341B4E049,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 12:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
미래아산내과의원,4.3,"은평구 은평로 227 MD빌딩 4,5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F62DEA95E7E62486A82043114BA044020,"[{'작성자': '수니', '별점': '5.0', '날짜': '2025.01.14.', '내용': '깔끔하고 친절함', '좋아요': '0'}, {'작성자': '새겨듣길', '별점': '5.0', '날짜': '2024.07.29.', '내용': '주차도 편하고, 간호사쌤 원장님 모두 친절하셔서\n위대장내시경 편하게 받고 갑니다 :)', '좋아요': '1'}, {'작성자': '너나잘해ㅋ', '별점': '1.0', '날짜': '2024.07.25.', '내용': '예의도 없고 배려도 없는 직원+의사', '좋아요': '0'}]","{'화': '08:30 ~ 18:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 13:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '월': '08:30 ~ 20:00', '휴무일': '공휴일'}"
연세우리피부과의원,3.7,은평구 통일로 626 유림빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F2923373A8DFA4F849C022EFF5AEF540F,"[{'작성자': '냠냠이', '별점': '5.0', '날짜': '2024.09.02.', '내용': '설명을 명료하고 친절히 해주셔요 !', '좋아요': '0'}, {'작성자': '호호왕자', '별점': '5.0', '날짜': '2024.08.06.', '내용': '진료 잘 보십니다\n과잉 진료 없고 설명도 잘 해주시고 처치도 좋습니다\n다양한 사유로 방문했는데 항상 만족스러워요', '좋아요': '0'}, {'작성자': '야식공룡', '별점': '5.0', '날짜': '2024.05.10.', '내용': '저는 미용목적은 아니고 피부질환 관련해서 찾아가 보았어요. 의사쌤은 처음에 말씀도 크게 많진 않았는데 진료에 필요한 내용을 간결하고 정확하게 말씀하시고 질문에 따른 답변도 성의있고 역시 간결하셨어요. 뾰루... 더보기', '좋아요': '1'}]","{'화': '10:00 ~ 20:00', '수': '휴무일', '목': '10:00 ~ 20:00', '금': '10:00 ~ 19:00', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '공휴일'}"
동민정신건강의학과의원,3.0,은평구 은평로 227 MD빌딩 3층,,"[{'작성자': '감자', '별점': '1.0', '날짜': '2024.09.07.', '내용': '시간 많으신 분만 가면 좋을듯\n예약하면 대기 한시간 안 하면 못해도 2시간은 대기해야 합니다 \n하도 오래 기다려서 언제 되냐고 물어보면 다음이라고만 하고 갑자기 순서가 바뀌는 것 같은데... 더보기', '좋아요': '0'}, {'작성자': '김슭', '별점': '1.0', '날짜': '2024.04.15.', '내용': '선생님 약 처방이 잘드는거 같아서 대기가 길어도 참고 다녔어요 그런데 오늘은 2:30 예약한 저보다  10-15분 늦게 온 여자분이 먼저 들어가셔서 왜 먼저 들어가냐고... 더보기', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '휴무일': '매주 일요일'}"
예스필의원,4.6,은평구 통일로 636 2층 220호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMTBfMTI3%2FMDAxNzM2NDc1NjQyMjEw.eYH5Y2EYYcJfoIHRJ0n78gOLt1_YtS5JimJx6s5JOg0g._f5YUwYD_fxA8-NKvLlTK-SihL1KSFiL1CyxWmlaHm0g.JPEG%2F2I7A9711.JPG%3Ftype%3Dw966,"[{'작성자': '김치만두', '별점': '5.0', '날짜': '2025.01.08.', '내용': 'Best.', '좋아요': '0'}, {'작성자': 'Jellys2', '별점': '5.0', '날짜': '2024.12.23.', '내용': '원장님 넘 꼼꼼하게 잘봐주세요~\n시술받을때마다 너무 만족스럽습니다!\n이사오고 근처에 정착할만한 피부과가 없어서\n걱정 많이 했는데 앞으로 여기 자주 올거같아요!!', '좋아요': '0'}, {'작성자': 'juhee', '별점': '5.0', '날짜': '2024.12.11.', '내용': '색소 굿 치료쌤 너무친절해요', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '10:00 ~ 21:00', '목': '휴무일', '금': '10:00 ~ 19:00', '토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '공휴일'}"
참뿌리한의원,4.8,"은평구 진흥로 150 2, 4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_174166292,"[{'작성자': '서춘식', '별점': '5.0', '날짜': '2024.01.06.', '내용': '원장님 넘\n진료진심\n친절해요^^', '좋아요': '0'}, {'작성자': '🐣깨', '별점': '4.0', '날짜': '2021.08.02.', '내용': '계속 다니는 한의원이고 선생님들도 모두 좋긴한데 3인에게 동일하게 진료 받는다..라는 취지는 아직 잘 모르겠습니다. 동일하게 만나던 선생님이 아닐 경우에 결국 차트..기록이나 환자의 말을 듣고 침을 놓는데\n\n계속 봐오던... 더보기', '좋아요': '4'}, {'작성자': '샾# 피아노', '별점': '5.0', '날짜': '2021.07.14.', '내용': '교통사고로 이명이 생겨서~\n잠도 제대로 못자고 힘들었는데~\n참뿌리한의원 입원해서 치료 받고 통원치료 받으면서 많이 좋아졌어요 ~^^\n원장님도 친절하시고 이쁘시고 명의~!... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '09:00 ~ 14:00', '월': '09:00 ~ 20:00'}"
밝은내일 재활의학과의원,,은평구 은평로 227 MD빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF29D7FC5E97343ACA4C602EF2A745DCC,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '휴무일': '공휴일'}"
