name,score,address,img_url,reviews,open_hour
대한결핵협회 서울특별시지부 복십자의원,4.2,관악구 남부순환로 1533 1-2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTdfMTUz%2FMDAxNzMxODU0NDMwMzc4.MTGp90jEWFLomMsvcGZI0DpLQn9stDzZ60DRsVFIBLAg.Pu4gnu1RvvhWYcTi0CVkadTK0mYjKlJZT2-xFV41ZQsg.JPEG%2FIMG_9322.jpg%3Ftype%3Dw773,"[{'작성자': '뀨꽁', '별점': '1.0', '날짜': '2025.03.17.', '내용': '금방 끝난대서왔더니 채혈실안에 직원 둘이서 남욕하느라 바쁨 둘이서 떠드느라 앞에 사람이 대기해도 본체도 안하네요 참나...', '좋아요': '0'}, {'작성자': '캌', '별점': '5.0', '날짜': '2025.02.24.', '내용': '사람많을때가면 오래기다려야하는데 사람들이 기다릴줄모름;; 접수처 직원분들 친절하시고 좋아용', '좋아요': '0'}, {'작성자': '최종숙', '별점': '5.0', '날짜': '2024.12.13.', '내용': '여기서 늘 독감 기타 접종합니다 가격도  타병원보다 저렴하고  간호사 선생님 두분  의사샘까지  모두 친절하십니다', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
심정병원,4.0,관악구 남부순환로 1485 삼남빌딩 2~7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7099daa84c27ba54c18f9edf86e12cb34ea73f82%3Foriginal,"[{'작성자': '텔레토비', '별점': '5.0', '날짜': '2025.02.21.', '내용': '병원 시설이 깨끗하고 직원분들도 친절하셔서 편안하게 진료받을 수 있었어요 의사 선생님께서 꼼꼼하게 설명해 주셔서 믿음이 갔어요 추천합니다!', '좋아요': '1'}, {'작성자': '판매19장', '별점': '5.0', '날짜': '2024.08.22.', '내용': '흠 한국어 못하는 조선족이 온갖 데 별점테러하고 다니네..', '좋아요': '0'}, {'작성자': 'JLee', '별점': '2.0', '날짜': '2024.08.02.', '내용': '수술비 비싸요', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '08:30 ~ 17:30', '목': '09:00 ~ 18:00', '금': '08:30 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
바를정한방병원,3.0,"관악구 남부순환로 1485 삼남빌딩 1,7,8층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTBfMjE1%2FMDAxNzMzODExMTE5Nzc2.PC9mT4jxrqGPX_y8zXL_wDFdkjJv7C4Q0a6Mt8c3mPsg.O19txVnHO3xYClueE-IQDcOoB_hFN0OO6z2jx5q55DQg.JPEG%2FGettyImages-2148081861-010.jpg%3Ftype%3Dw966,"[{'작성자': 'ㄷㄷ', '별점': '1.0', '날짜': '2024.10.29.', '내용': '여러 곳에서 치료받아 봤는데 좀 전문성이 부족하다고 느껴졌어요', '좋아요': '0'}, {'작성자': 'Be', '별점': '5.0', '날짜': '2021.01.15.', '내용': '원장님이 잘생겼어요', '좋아요': '1'}]","{'화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '일': '09:00 ~ 15:00', '월': '09:00 ~ 20:00'}"
으뜸이비인후과의원,3.4,관악구 난곡로 316 5층,,"[{'작성자': '므아', '별점': '1.0', '날짜': '2025.03.21.', '내용': '가까워서 방문했고 3일치 약 처방 받고도 차도가 전혀없음. 의사선생님이 기계같음. 진료비가 비싼데 왜 비싼지 모르겠음. 다시는 안갈듯.', '좋아요': '0'}, {'작성자': '고은비', '별점': '2.0', '날짜': '2025.01.24.', '내용': '원장선생님이 친절한 로봇같아요. 지금껏 이비인후과 다니면서 가장 비싼 진료비인 것 같아요', '좋아요': '0'}, {'작성자': ""'ㅅ '♡"", '별점': '5.0', '날짜': '2025.01.14.', '내용': '원장선생님이 촬영한 사진 데이터 기반으로 진료 설명하십니다. 진료비가 14000원이네요? 이유는 모르겠으나, 단순 감기로 방문한거라 그냥 의아할뿐 ㅎ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
최진현내과의원,3.8,관악구 남부순환로 1479 2층,,"[{'작성자': '너리널', '별점': '5.0', '날짜': '2024.09.29.', '내용': '의사쌤 너무 친절하시고 모든 분들이 존중해주는걸 느낌\n일단 다른 내과에서 당뇨진단받고 약먹었었는데 \n공복 기준 200으로 잘 내려가지도 않던 내가\n이분 만나서 새 약 받아먹으니 6-70 떨어짐 (평균 공복 1... 더보기', '좋아요': '0'}, {'작성자': '유진', '별점': '5.0', '날짜': '2024.08.28.', '내용': '의사쌤 완전 인상도 좋으시고 친절하고 착해요', '좋아요': '0'}, {'작성자': '쪽파', '별점': '3.0', '날짜': '2024.08.05.', '내용': '간호사 분들 전부 말고 한분만 불친절하시네요\n오늘따라 사람이 많아 오래 기다리는데 나이 드신분이 많더라구요.\n태블릿으로 접수하는데 당연히 모르시는 분이 많을텐데 순서대로 안 한다며 큰소리... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
예당한의원,5.0,관악구 남부순환로161가길 26 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fcdn.pixabay.com%2Fphoto%2F2017%2F06%2F08%2F06%2F07%2Fpills-2382646_1280.jpg,"[{'작성자': '윤혜화(liila 릴라)', '별점': '5.0', '날짜': '2022.08.06.', '내용': '쉽고 자세한 설명으로 \n명의이십니다', '좋아요': '0'}, {'작성자': '김범진', '별점': '5.0', '날짜': '2019.12.04.', '내용': '편안하고 원장님이하 간호사님 모두 친절 하시고 시설 또한 으뜸 제일 중요한 의술 역시 따봉 입니다', '좋아요': '1'}]","{'화': '09:00 ~ 19:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30'}"
가야한의원,5.0,관악구 남부순환로 1539 2층,,"[{'작성자': '김상Ho‘oponopono', '별점': '5.0', '날짜': '2023.03.17.', '내용': '원장님 꼼꼼하시고, 간호사님 엄청 친절하시네요', '좋아요': '0'}, {'작성자': 'ddong-uk', '별점': '5.0', '날짜': '2021.06.15.', '내용': '친절하고 좋아요~~', '좋아요': '0'}, {'작성자': '냠', '별점': '5.0', '날짜': '2021.05.30.', '내용': '물리치료도 좋구 저 여기서 보약이랑 공진단 지어먹고 수험생활했어요 합격했어요!!! 공진단 사향 엄청 강해요 굿굿!!\n\n+이전후기 2020년 12월 초에 썼는데 후기 추가합니다 발목 꺾여서... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:30'}"
엄창수신경외과의원,3.9,관악구 난곡로 316 진성타워 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMjNfMTc1%2FMDAxNjc5NTY0NTY5NTk5.h_t-l474hwTWWiRGlDnbm2-MrsY_TcSz-kOKe94lOtEg.Yrf1OQYO5SZ8INFKuM-XCG5OX7q6MD2hqk6izOBTbfwg.JPEG.jixiah%2FIMG_5247.jpg%3Ftype%3Dw966,"[{'작성자': 'MJ', '별점': '5.0', '날짜': '2025.03.14.', '내용': '환자 얘기도 꼼꼼하게 잘 들어주시고, 피드백도 잘 해주십니다. 물리치료사 선생님들도 친절하세요.', '좋아요': '0'}, {'작성자': 'kiwi', '별점': '2.0', '날짜': '2024.10.28.', '내용': '계시는분들 모두 친절하십니다만 치료에 차도가없으면 다른 병원가시는걸 추천합니다.', '좋아요': '0'}, {'작성자': '맛사냥', '별점': '5.0', '날짜': '2024.05.06.', '내용': '선생님이 친절하세요. 간호사도 친절. 과잉 진료없이 잘 봐주세요.', '좋아요': '0'}]","{'화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 21:00'}"
청아피부과,3.3,관악구 남부순환로161길 70 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE7B29AF8BA4E4698B092D2C266A52F91,"[{'작성자': '호쟈쟈', '별점': '4.0', '날짜': '2024.07.03.', '내용': '선생님이 진료를 성심성의껏 잘 봐주셔요!', '좋아요': '0'}, {'작성자': 'djskz', '별점': '1.0', '날짜': '2024.03.06.', '내용': '왜내가갈대만대기가길지', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2023.08.01.', '내용': '선생님이 매우 상세히 설명해주시고\n간호사 세분도 친절하셨습니다\n처방해 주신 연고 발랐더니 좋아졌습니다', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
닥터강이비인후과의원,2.5,관악구 남부순환로161길 70 2층,,"[{'작성자': 'H', '별점': '5.0', '날짜': '2024.10.14.', '내용': '다른병원에서 1주일동안 안나아서 힘들었는데\n바로 차도가있어요ㅜㅜ\n컨디션 회복되서 넘. 좋습니다', '좋아요': '1'}, {'작성자': '거짓에맞서다', '별점': '2.0', '날짜': '2024.04.03.', '내용': '두 번 가봤는데, 아래 부정적인 의견 말이 맞는 듯.', '좋아요': '3'}, {'작성자': '뫄뫄', '별점': '5.0', '날짜': '2024.01.12.', '내용': '사람이 평소에 엄청 많아요. 근처에 이비인후과가 여기밖에 없어서 그런듯\n평일 오전이든 오후이든 제가 갔을땐 앞에 5~6명은 꼭 있었어요... 진료까지 20~30분은 잡아두고 가는게 좋을것같아요!', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 15:00', '월': '09:00 ~ 18:30'}"
