name,score,address,img_url,reviews,open_hour
본서부병원,,은평구 은평로 133,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1084350213,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설전날, 설다음날, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
서울특별시 은평병원,3.6,은평구 백련산로 90,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTJfNTUg%2FMDAxNzMzOTg2ODAwMzcw.MBfDw6yPpacm3qXLWpwtOVS0mz6b4BbO5IxdGfmG8fMg.pRmVzCuh4w0RImYmQ9wT3G2uSKZjX-184uhBGqDqs7sg.JPEG%2FSE-cab60aa5-de1d-4f02-a737-b0d44fbeabc2.jpg%3Ftype%3Dw773,"[{'작성자': '라무진', '별점': '5.0', '날짜': '2025.01.07.', '내용': '독감주사 맞으러갔습니다\n주차가 불편하긴하지만 접수받는 분이란 간호사 의사 모두 친절했어요\n저는 잘 이용하구 왔습니다', '좋아요': '0'}, {'작성자': '익스프레스', '별점': '3.0', '날짜': '2024.12.18.', '내용': '직장을 이직하기 위해서 채용검진을 받으러 갔는데 넘 까다롭네요..\n뭔가 하나라도 이상 있으면 다니던 병원에서 소견서를 받아오라고 \n합니다.. 채용검진을 할 병원을 찾는다면 개인병원을 추천합니다..', '좋아요': '0'}, {'작성자': '솔직한리뷰', '별점': '5.0', '날짜': '2024.08.10.', '내용': '내과 진료 잘 받았습니다~', '좋아요': '0'}]","{'화': '09:30 ~ 17:00', '수': '09:30 ~ 17:00', '목': '09:30 ~ 17:00', '금': '09:30 ~ 17:00', '토': '휴무일', '일': '휴무일', '월': '09:30 ~ 17:00', '휴무일': '공휴일'}"
인정병원,,은평구 응암로 164,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F44C78770BDF64FB19EFA4E4A728C7B98,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 17:30', '휴무일': '공휴일'}"
한국효재활요양병원,,은평구 은평로 170,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FbvK5TP%2FbtrwpujxS01%2FZXxQx6NRWI8AcLLZquE391%2Fimg.jpg,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 18:00', '일': '09:00 ~ 18:00', '월': '09:00 ~ 18:00'}"
은평탑내과의원,4.1,은평구 은평로 116 위산일리온시티 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F589b1ada0ea252b2c8968d244ebd71ed917fe7ee%3Foriginal,"[{'작성자': '플라이트', '별점': '5.0', '날짜': '2025.03.23.', '내용': '원장님 친절하시고 전문적인 진료에 감동받았습니다.^^', '좋아요': '0'}, {'작성자': '버들버들', '별점': '1.0', '날짜': '2025.01.07.', '내용': '프론트 간호조무사 예의 없으십니다. \n다짜고짜 반말했어요. \n나이 어려보인다고 무시하는 성격인듯..', '좋아요': '4'}, {'작성자': '프로맛집러', '별점': '5.0', '날짜': '2024.10.23.', '내용': '건너편 내과갔을 땐 낫지도 않던 위염이 여기 갔다오자마자 바로 나았어요;;\n의사 선생님 친절 & 전문적이심', '좋아요': '1'}]","{'화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 15:00', '일': '휴무일', '월': '08:30 ~ 18:30', '휴무일': '공휴일'}"
한마음이비인후과의원,,"은평구 은평로 136 은경빌딩 1, 2층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyMjA1MjZfMjcz%2FMDAxNjUzNTUzMDM0MzYw.CzBOxOf6aZwtlj3c2ra9p49goGRMSo8cTxnIT_dbfW4g.x6LG4pSZg_r-YTqm71qtJxKwLML-UaVIfvCvntrIuhMg.JPEG.hanmaum8275%2F%25ED%2595%259C%25EB%25A7%2588%25EC%259D%258C%25EC%259D%25B4%25EB%25B9%2588%25ED%259B%2584%25EA%25B3%25BC_%25ED%2599%2588%25ED%258E%2598%25EC%259D%25B4%25EC%25A7%2580_%25EB%25B0%2594%25EB%25A1%259C%25EA%25B0%2580%25EA%25B8%25B0.jpg%3Ftype%3Dw1,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:00', '휴무일': '공휴일'}"
홍익안과의원,4.8,은평구 은평로 144 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4eeaec41f581d6266f13f8e295ad108db015065d4b7474ac3d0d1a1a291f6ae4,"[{'작성자': '장첸', '별점': '5.0', '날짜': '2024.10.04.', '내용': '명의입니다,  제 느낌으로는 딱 필요한 진료 이외에도 신경써주셔서 좋아요!', '좋아요': '0'}, {'작성자': '펭귄', '별점': '5.0', '날짜': '2024.06.14.', '내용': '어렸을때 엄마 손잡고 가던 안과 느낌이나요~\n간호사분들 다들 친절하시고 의사쌤도 잘 봐주셔요', '좋아요': '0'}, {'작성자': '화이팅', '별점': '5.0', '날짜': '2024.06.14.', '내용': '친절하고 설명 알아듣기 쉽게 해주고 과잉진료 안하고 깔끔합니다', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
밝은빛안과의원,3.7,"은평구 응암로 183 2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2ea24b7062dc208c2190c7d04d0feae94d4518be%3Foriginal,"[{'작성자': '.', '별점': '5.0', '날짜': '2025.03.14.', '내용': '친절 빠름', '좋아요': '0'}, {'작성자': '몽', '별점': '5.0', '날짜': '2025.02.26.', '내용': '의사 선생님, 간호사 선생님 너무 친절하세요. 손님이 많아서 대기시간이 길긴한데, 이름 적어놓고 집에 갔다 오면 돼서 괜찮았어요.', '좋아요': '0'}, {'작성자': 'mark', '별점': '1.0', '날짜': '2023.10.12.', '내용': '잘하고 못하고 / 친절하고 불친절한 문제가 아님\n2시간 기다리고 1분 진료 완전 극악\n시간적 여유가 있어도 다른 병원으로 가세요', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '08:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
엘비뇨기과의원,5.0,은평구 응암로 179 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMTdfMTUg%2FMDAxNjc5MDEyNTAyMzgz.TSWjdT8l-CSLfJCvnf8VcMo_zNp2qZWvZS8xkdFBUugg.HUD7HZGmaxTBPDt-UC0fq4uXs3AhTWlhAjjyL1XQeCkg.JPEG.bekk93%2Foutput_26371564.jpg%3Ftype%3Dw966,"[{'작성자': '얏이', '별점': '5.0', '날짜': '2023.08.14.', '내용': '잘하십니다.', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '휴무일', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '휴무일': '매주 수요일'}"
새하얀피부과의원 은평점,3.7,은평구 은평로 200-1 삼영빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD62A66688CDB4676AAC7EED2669CE106,"[{'작성자': '888', '별점': '1.0', '날짜': '2025.03.18.', '내용': '맘에 안드는 리뷰는 계속 신고하나요? ㅡㅡ;;; 뭐지 진짜... 이러면 리뷰 누가 봅니까. 친절하지 않고 설명은 부실하고 비용은 비쌉니다. 가실 분들 ""꼭"" 참고하세요.', '좋아요': '1'}, {'작성자': 'saraa', '별점': '3.0', '날짜': '2024.11.25.', '내용': '원장님 진료는 최고 경험이 많으셔서 척 보면 척\n대기는 최악(보통 1시간~) 그 이상\n일반 진료 예약은 안되고 미용 예... 더보기', '좋아요': '0'}, {'작성자': '진짜 올리고 싶어서 쓰는 사람', '별점': '2.0', '날짜': '2024.09.02.', '내용': '미용목적 손님이 많아요\n평일 오후 4시에 갔는데 대기 1시간 20분 했습니다\n일반적인 피부 치료 목적이시면 다른 피부과 추천합니다', '좋아요': '0'}]","{'화': '10:00 ~ 19:30', '수': '10:00 ~ 19:30', '목': '10:00 ~ 19:30', '금': '10:00 ~ 19:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 19:30', '휴무일': '설전날, 설당일, 설다음날'}"
