name,score,address,img_url,reviews,open_hour
푸른정형외과의원,3.0,은평구 증산로 295,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F998fd8f2118af603aa23d46a3632e3f7a95f2fc8%3Foriginal,"[{'작성자': '💕', '별점': '5.0', '날짜': '2025.01.14.', '내용': '새끼발가락을 다쳐서 아침일찍(토요일은 8시부터)서둘러 갔더니 실금이ㅠㅠ.밤새 아파 잠한숨 못자고 얼굴도 퉁퉁부운 ... 더보기', '좋아요': '1'}, {'작성자': '나는나다', '별점': '5.0', '날짜': '2023.11.03.', '내용': '신랑오십견으로엑스레이를찍고보시더니심각한건아니라고~~푸하하~과잉진료안하시고설명꼼꼼히해주셔서감사합니다', '좋아요': '1'}, {'작성자': '☆ ☆', '별점': '1.0', '날짜': '2023.10.10.', '내용': '근처에 정형외과가 없어서 그런지 간호사나 물리치료사들이 전반적으로 불툴명스럽게 대답하고 모두가 불친절하다.\n의사나 사무장이 직원들 신경은 전혀 안쓰는듯 뭐 ... 더보기', '좋아요': '4'}]","{'화': '09:00 ~ 19:00', '수': '08:00 ~ 13:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '08:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
아이엠유의원,3.2,은평구 수색로 지하 175 디지털미디어씨티역 1층 0004호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F3939602109447f6090cc1f61904f3c1388bcec79%3Foriginal,"[{'작성자': '.', '별점': '1.0', '날짜': '2025.01.30.', '내용': '6개월 아기가 너무 아파서 연곳이 여기뿐이였는데\n진료 거부하심 ... 하.... 진짜 ...', '좋아요': '1'}, {'작성자': '서대문구감별사', '별점': '1.0', '날짜': '2025.01.26.', '내용': '접수 20분 걸리고 증상 이야기했더니 도와줄 수 없다고 내쫒음 의사 선생님은 뵙지도 못함', '좋아요': '0'}, {'작성자': '아지랑이', '별점': '5.0', '날짜': '2025.01.25.', '내용': '집앞이라 가까워 3년간 다니다 요번에 처음보는 의사선생님 때문에 후기남겨요 너무 정성스럽고 정확하게 진료해주셔서 감사했습니다(방문일 : 25년 1월 25일 오전 9시)', '좋아요': '0'}]","{'화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 18:00', '일': '09:00 ~ 18:00', '월': '09:00 ~ 22:00'}"
프리즘클리닉,4.6,은평구 수색로 191 두빌빌딩 4층 401호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F3CB3CA26F8D64578834D2C8B7B787822,"[{'작성자': '또리누나', '별점': '5.0', '날짜': '2025.03.24.', '내용': '원장님이 넘 친절하시고 시술까지 진짜 꼼꼼하게 잘 해주셔서 좋아요 최고ㅠㅠ 진작 여기로 올걸 ㅠ 다른데서 돈만 쓰고 효과 못봐서 스트레스 받았는데 너무 잘해주셔서 아주 만족해요! 원장님 진짜 감사합... 더보기', '좋아요': '0'}, {'작성자': '으니', '별점': '5.0', '날짜': '2025.03.24.', '내용': '들어가는 순간부터 VIP 관리란 이런 것이구나 느낄 수 있었던 프리즘의원! 모든 직원분들이 친절하셨고, 시설도 쾌적하고, 관리까지 넘 완벽했어요! 요즘 얼굴이 볼륨이 없고, 피부가 쳐지는 느낌이 들어서 추... 더보기', '좋아요': '0'}, {'작성자': '쏘우', '별점': '5.0', '날짜': '2025.03.21.', '내용': '다들 정말 친절하세요. 상담 실장님과 원장님이 불필요한 시술을 권유하지 않습니다. 장사꾼 느낌이 아니라 의료진이라는 느낌이 들어서 신뢰가 갔습니다. 지금까지 10번 이상 방문했었는데, 항상 오래 기다... 더보기', '좋아요': '2'}]","{'화': '09:00 ~ 20:00', '수': '09:00 ~ 18:30', '목': '휴무일', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
증산밝은미소치과의원,4.9,은평구 증산로3길 6 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F275C0995CFD145549313CDDE63F91FA4,"[{'작성자': '김뱅', '별점': '5.0', '날짜': '2025.01.25.', '내용': '의사랑 간호사분 들이 너무 다 친절하시고 설명도 다 해주셔요 과잉진료도 안해서 양심 있고 너무 좋은곳이에요 여기만 다닐려구요', '좋아요': '0'}, {'작성자': '동범', '별점': '5.0', '날짜': '2024.11.30.', '내용': '의사선생님 정직 하시고 환자를 진심으로 대해주십니다👍', '좋아요': '0'}, {'작성자': '온달', '별점': '4.0', '날짜': '2024.09.20.', '내용': '발치 첫 경험한 아들이 다음에도 유치 흔들리면 이 곳에서 치료 받느냐? 는 질문에 다른 치과 갈꺼라 이야기 하니 몸을 베베 꼬며 ""아니~왜~?"" 하네요.', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 13:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
연세가정의원,5.0,은평구 증산로3길 6 비자림빌딩 2층,,"[{'작성자': '윤다혜', '별점': '5.0', '날짜': '2023.12.30.', '내용': '매달 마지막주 토요일 휴진이라고 합니다.', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
연세열린의원,1.6,은평구 증산로 297 201호,,"[{'작성자': '전소라', '별점': '1.0', '날짜': '2023.04.22.', '내용': '수요일에만 가세요. 원장님이시라는 분이 참 터프하시네요. 옷을 막 잡아끌고..병원에서 참 신기한 경험했습니다. \n*수요일에는 다른 의사분이 오시는데 그분은 매우 친절하십니다.', '좋아요': '0'}, {'작성자': '이승현', '별점': '1.0', '날짜': '2022.08.19.', '내용': '건강검진했는데 무슨 결과지를 한달동안이나 안보내주시고 누락됐는데도 따로 연락을 안주고 뭐 한마디 없이 ...ㅋㅋ', '좋아요': '0'}, {'작성자': 'Kyss032', '별점': '1.0', '날짜': '2022.07.19.', '내용': '의사가나이있는여성분이신데 환자를 넘막대하듯하네요 진료 들어갔더니 다리를 쩍벌하고 앉아있질안나 짜증스러운말투 당황스러운적이 한두번아닙니다 여러많지만 귀차나서요것만... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 17:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 17:00'}"
수색지앤미치과의원,5.0,은평구 수색로 200 DMC센트럴자이 401동 상가 221호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FAD9D8C68444048B9841D955D4DD4CF2A,"[{'작성자': '삼둥이아빠', '별점': '5.0', '날짜': '2024.06.12.', '내용': '이곳 우리 첫째때문에 방문했는데 과잉진료도 없고 정말 너무나 만족했습니다 의사 선생님도 정말 점잖고 친절하시네요 감사합니다', '좋아요': '0'}, {'작성자': '**', '별점': '5.0', '날짜': '2024.01.12.', '내용': '스케일링 때문에 별생각없이 가까운 치과로 방문했는데 아주 만족합니다. 얼마전 교통사고로 머리쪽을 박아서 한창 병원 다니는 중이였는데 선생님께서 교통사고이야길 듣고 여기저기 만져주면서 꼼꼼히 검진해주시더라고... 더보기', '좋아요': '0'}, {'작성자': '심각하면 후기씀', '별점': '5.0', '날짜': '2023.12.09.', '내용': '좋읍니당', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '휴무일', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:30', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
DMC수색신경외과의원,3.8,은평구 수색로 191 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD4502B085EF04FA19DA5B073591CC4FE,"[{'작성자': '오리너구리', '별점': '4.0', '날짜': '2023.07.15.', '내용': '입구 찾기 헷갈리는데 1층에 마트같은데 있어요 거기가 마트 입구가 아니라 건물의 입구네요 그리로 들어가심 되요', '좋아요': '1'}, {'작성자': 'dodoee', '별점': '4.0', '날짜': '2022.12.30.', '내용': '다 좋으나.. 처음 가시면 길 엄청\n헤맵니다.', '좋아요': '0'}, {'작성자': '릴리', '별점': '1.0', '날짜': '2022.08.11.', '내용': '의사 불친절. 체외파충격기 해주는 나이있는 여성분도 굉장히 불친절.', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
수색경희한의원,4.8,은평구 수색로 200 DMC센트럴자이 1층 126호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F714bc9098ec408fb8ba46a5307c9ce0be749e494%3Foriginal,"[{'작성자': '이케요', '별점': '5.0', '날짜': '2024.07.11.', '내용': '원장님이 굉장히 밝고 친절', '좋아요': '0'}, {'작성자': '홍밥러', '별점': '5.0', '날짜': '2024.06.05.', '내용': '한의사선생님, 직원분들 모두 친절하십니다. 내부 시설도 깔끔해요. 요일마다 진료 마감시간이 달라서 확인하고 예약 추천합니다.', '좋아요': '0'}, {'작성자': 'katarina', '별점': '5.0', '날짜': '2024.01.19.', '내용': '의사 선생님, 간호사샘 모두 친절하시고 꼼꼼히 진료 봐주십니다! 병원도 깔끔해서 좋아요.', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '14:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 20:00'}"
최내과의원,3.2,은평구 증산로9길 3 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F17379D9A5F1E4617A133E509C00FD919,"[{'작성자': '휘융', '별점': '5.0', '날짜': '2024.12.12.', '내용': '왜 후기가 안좋은지 모르겠네요..? 의사선생님 정말 친절하시고 병원도 쾌적해서 좋았습니다.', '좋아요': '0'}, {'작성자': '다신 안가고 싶은 곳만 리뷰 씀', '별점': '1.0', '날짜': '2024.06.05.', '내용': '안해도 될 기분 나쁜 말로 제 하루 기분 망치셨어요 \n원래 종종 갔는데 다신 안갑니다', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2023.12.28.', '내용': '별점 보고 고민했는데 엄청 친절하게 진료 해주시던데요...?! 먹지 말아야될거랑 도움되는 음식들 다 설명해주셔서 좋았습니당', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
