name,score,address,img_url,reviews,open_hour
가톨릭대학교 은평성모병원,2.7,은평구 통일로 1021,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTNfOTkg%2FMDAxNzM0MDk4NDgwNjc2.JGnszQRbe6lRZDIq9PgG1-1B9R7r5XD05y-npMLeJa0g.q8FaGBc5k9bbeViy8TF6qtgIFOfR_C9BiKUP6Y3UU-Qg.JPEG%2F480%25EF%25BC%25BF20241212%25EF%25BC%25BF140920.jpg%3Ftype%3Dw966,"[{'작성자': 'LJH', '별점': '2.0', '날짜': '2025.03.18.', '내용': '1년 전 신경 문제로 신경과 진료받았고, 뇌 MRI 촬영하고 아무 이상 없다는 소견을 받았습니다. 그래도 신경 문제가 지속되니 어떻게 하냐고 여쭈니, 현대의학으로 확인할 길은 없다... 더보기', '좋아요': '3'}, {'작성자': 'dldmd', '별점': '1.0', '날짜': '2025.02.27.', '내용': '성형외과 응대하는분 말투나 표정이 띠꺼움. 제가 친군가요? 2월 18일 수납받으신분. 반말에 생각나는대로 말하는분이네요', '좋아요': '1'}, {'작성자': '펠릭스양심공평', '별점': '2.0', '날짜': '2025.02.09.', '내용': '아내가 걷지못하고 주저앉자 응급실 내원 입원조치함 각종검사로 척추고정술 결정 한달간 염증치료 잡고 7시간수술한후 입원 2개월 수면장애 섬망 말할때 이상 어눌함 간호사... 더보기', '좋아요': '15'}]","{'화': '08:30 ~ 17:00', '수': '08:30 ~ 17:00', '목': '08:30 ~ 17:00', '금': '08:30 ~ 17:00', '토': '08:30 ~ 12:00', '월': '08:30 ~ 17:00'}"
가톨릭대학교 은평성모병원 응급의료센터,1.5,은평구 통일로 1021,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MjBfMTUx%2FMDAxNzI2ODEwMDU4NTM2.e223kFCTYM_OGGx95h5hvXbSDCLeJPNbHV9zFgHaSaQg.47qchgpTI5pAdY4CckauYshRMdQWwC3RCcBrnX0eSMcg.JPEG%2FSE-141dce18-9b81-4c37-90b2-61fd17f1c606.jpg%3Ftype%3Dw966,"[{'작성자': '그냥사람', '별점': '1.0', '날짜': '2024.11.19.', '내용': '친절까지는 아니더라도 예의라도 있었으면 안 빡쳤을 듯. 대기가 넘 길어요ㅠ', '좋아요': '0'}, {'작성자': 'J', '별점': '1.0', '날짜': '2024.08.20.', '내용': '그냥 무한 대기대기대기대기대기대기대기\n가면 기본5시간은 무한 대기 대기대기대기대기댜기대기대기대기대기대기대기', '좋아요': '0'}, {'작성자': '..', '별점': '1.0', '날짜': '2024.08.07.', '내용': '불친절의 끝판왕. 응급실에서 환자 상태도 안묻고 다른데로 보내버리네요. 누군지 알지만 의사 이름은 안적음..', '좋아요': '1'}]",{}
하늘마음한의원 은평점,0.0,은평구 진관2로 19 휴먼프라자1 3층 305호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjNfMTYx%2FMDAxNzM0OTM3OTE2NTc0.m4NyVFvSauHAs7-OQiLRMUKoyOoLx79KACdBcrtJpb0g.iRY4SOmqoPdhyuz0bwe5OT7qT8F6_fXLCPJFGpD6mhgg.JPEG%2FIMG_7166.JPG%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 18:00', '수': '휴무일', '목': '10:00 ~ 21:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 21:00', '휴무일': '매주 수요일, 일요일'}"
더편한이비인후과의원,4.0,은평구 진관3로 20,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb1820f7ab0402b4e155f277c65eedf673d2772f2%3Foriginal,"[{'작성자': '혜지니', '별점': '5.0', '날짜': '2025.02.25.', '내용': '약을 순하게 처방. 전문적이고 친절함. 다른 이비인후과에서는 주사맞으라고 하고  처방약이 너무 독해서 어지럽고 변비생겨 무지 고생했음. 근데, 의사선생님 정보가 없네요.', '좋아요': '0'}, {'작성자': 'k', '별점': '5.0', '날짜': '2024.10.15.', '내용': '어머니가 다른 불친절한 병원갔다가\n맘 상처받아서 이번에 여기로 다녀오셨는데 ... 더보기', '좋아요': '0'}, {'작성자': 'Jinsuk', '별점': '1.0', '날짜': '2024.06.20.', '내용': '간호사님들 진짜 친절해요. 주사맞을 때도 설명도 잘해주시고요~\n다만 의사가 치료에 적극적이지 않아보여요. 처음엔 몰라서 주는대로 약먹었는데 차도가 없어서 계속 아프니 시럽약... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
파스텔비뇨의학과의원,3.0,은평구 진관2로 12 메이플카운티 2차 2층 206호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD2C1412F13B44EC8AE87FA9BED0A392E,"[{'작성자': '낙타다', '별점': '1.0', '날짜': '2025.03.13.', '내용': '발기부전약 처방받으러 갔는데,\n카운터보는 여자가 사람많은데 대놓고\n어떤약 타러왔냐고 물어봄..\n민감할... 더보기', '좋아요': '0'}, {'작성자': '가지마세요', '별점': '1.0', '날짜': '2025.01.24.', '내용': '진짜 별로다. 갑질하는 병원. 전혀 전문적이지 않음.', '좋아요': '0'}, {'작성자': 'liilli1lli', '별점': '1.0', '날짜': '2024.09.24.', '내용': '결론 가지마셈.\n구파발에 비뇨기과가 여기 하나 뿐이라 웨이팅 김.\n성기에 두드러기 나길래 갔는데 마취하고 2개 레이저로 지졌나 20얼마... 더보기', '좋아요': '0'}]","{'화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 21:00', '토': '09:30 ~ 16:00', '일': '휴무일', '월': '09:30 ~ 21:00', '휴무일': '매주 일요일'}"
은평베스트성모내과의원,4.0,"은평구 통일로 1034 은평스카이뷰자이상가 2층 211, 212호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEyMzBfMTYg%2FMDAxNjcyMzU4NTg4NTI3.y3oUftazYiu8d7PzJVQdXtXhSXQNNpw93CiWMRjAnqMg.MLN9wd1ogQhWRodApkoKG00ATdKnRd6-PFDk7tbirpgg.PNG.iyunajoa2%2F4.png%3Ftype%3Dw966,"[{'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2024.10.08.', '내용': '간호사님 의사선생님 모두 너무 친절하시고 천천히 상세하게 다 들어주세요 감사합니다', '좋아요': '0'}, {'작성자': 'kkkk', '별점': '5.0', '날짜': '2024.10.02.', '내용': '3년째 잘 다니고 있음', '좋아요': '0'}, {'작성자': 'ㅡ', '별점': '5.0', '날짜': '2024.03.02.', '내용': '젊은 여의사분이신데 이것 저것 쓸데없는 거 물어봐도 말을 끊거나 면박주지 않고 꼼꼼하게 설명해주세요. 가끔 환자 무시하는 듯한 의사분들도 많은데 여기 원장님은 그렇지 않고 과잉진료도 없어서 좋아요.', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
달리마정형외과의원,4.3,은평구 진관2로 12 207~210호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd34417a43aa80f143045a56ec520bbde99a1c82a%3Foriginal,"[{'작성자': '표삥삥', '별점': '2.0', '날짜': '2024.10.24.', '내용': '아플 때 물리치료 받으러 오라길래 \n치료 받아도 어차피 걸으면 또 아파지는 거 아니냐\n근본적인 치료는 어떻... 더보기', '좋아요': '2'}, {'작성자': '0.0', '별점': '5.0', '날짜': '2023.08.09.', '내용': '원장님 PPT보며 쉽게 설명 잘 해주시고 치료사분들도 모두 친절함. 시설도 깨끗.   악플로 걱정했으나   꾸준히 다니기로함', '좋아요': '1'}, {'작성자': 'Lucian', '별점': '3.0', '날짜': '2023.06.24.', '내용': ""다들 친절하세요 근데 제 오해일수도 있겠지만 엉덩이 주사를 맞는데 간호사 선생님이 변태트라우마가 있는지 어쩐지 고압적으로 '아직 바지내리지마세요'하면서 미세하게 변태취급하는거 같아서 불쾌했네요 거기 가실분은 참고하세요"", '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
은평등대신경과의원,,"은평구 통일로 1030 은평헤스티아1차 상가2층 201,202호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F28805AD2DA774F9E8491087A08D9F8E4,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 13:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
미소가인피부과의원 은평점,,은평구 통일로 1080 은평뉴타운 솔하임 A동 202호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7DDC9DAEFB6E47A4942BC3B4C1AF5CEA,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '공휴일'}"
은평삼성화외과의원,4.5,"은평구 진관2로 29-21 드림스퀘어 3층 302,303호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMjJfODMg%2FMDAxNzI5NjA3OTQ2MDU4.SfzE_FObwuk10ejIHQN2y24rjhMQ6ku71O48-tXR8CIg.e_-pVU_ESM9zVsCwOjTmqZ8ZQ9Mdm2Hq0uNb3-wIpTAg.JPEG%2F20241022%25EF%25BC%25BF181652.jpg%3Ftype%3Dw773,"[{'작성자': '이재연', '별점': '5.0', '날짜': '2024.10.26.', '내용': '친절하고 하나도 안아프게 잘해주셨어요. 너무 명의세요', '좋아요': '1'}, {'작성자': '권유경', '별점': '5.0', '날짜': '2024.06.06.', '내용': '의사선생님 너무너무친절하세요\n안내해주시는 간호사선생님도 정말 친절하십니다', '좋아요': '0'}, {'작성자': '재쿄', '별점': '5.0', '날짜': '2024.05.28.', '내용': '원장님 정말 꼼꼼히 봐주시고 설명도 친절하게 해주셨어요. 믿음이 가요!!', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 19:00'}"
