name,score,address,img_url,reviews,open_hour
강북삼성병원,2.4,종로구 새문안로 29,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA2MjFfMjAx%2FMDAxNjU1ODE5Njk5MDk5.GaKyJZKxPWikG_kdIAA1SLhf32SZaDnBWcpQNZWb8qYg.tyrDyKN7XZJ303qFRdLZ62aM3BMc2GMSNIcvs-LCsiEg.JPEG.myoni77%2FIMG_2944.JPG%3Ftype%3Dw966,"[{'작성자': '쩝쩝도사의 길', '별점': '1.0', '날짜': '2025.02.26.', '내용': '별 하나도 아까움\n꼴값쮝이는 병원임 다른 병원가셈', '좋아요': '2'}, {'작성자': '처마밑에추녀', '별점': '5.0', '날짜': '2025.02.24.', '내용': '원유삼교수님 은 친절하시고 무엇 보다 환자입장에서  진료상담을해주신다 ㆍ\n 믿음이확 고해짐 \n 매번 감사합니다', '좋아요': '0'}, {'작성자': '김민정', '별점': '1.0', '날짜': '2025.02.19.', '내용': '유방 xxㄹ 친절을 떠나서 설명을 안함 \n\n교수보고 나온 결과는 결과지... 더보기', '좋아요': '3'}]","{'목': '08:30 ~ 17:00', '금': '08:30 ~ 17:00', '토': '08:30 ~ 12:30', '일': '휴무일', '월': '08:30 ~ 17:00', '화': '08:30 ~ 17:00', '수': '08:30 ~ 17:00', '휴무일': '공휴일'}"
서울적십자병원,2.8,"종로구 새문안로 9 지하1층,1-4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDZfMTYx%2FMDAxNzMzNDI0OTM3NzM4.3IzIlctmbw4TA87ZLIPmP_P-2cVUBPj-k5-5GP_J_uog.64SGEw8g0iUWS4x4y-QNh1vd2Za5o3G9tgh4eOqTUC8g.PNG%2Fimage.png%3Ftype%3Dw773,"[{'작성자': '카카오', '별점': '5.0', '날짜': '2025.03.06.', '내용': '친절하고 전문적인 최고의 병원입니다.\n세브란스병원 갔다가 실망하고 ,\n적십자 병원 가서 힐링되었습니다.', '좋아요': '0'}, {'작성자': '조영주', '별점': '5.0', '날짜': '2025.02.20.', '내용': '요노결석으로 비뇨기의과 진료받았는데 진짜 설명을.잘해주셨어요. 감사합니다', '좋아요': '0'}, {'작성자': '라미97', '별점': '1.0', '날짜': '2025.02.13.', '내용': '검진했는데\n진짜 최악이였어요\n\n몇일 뒤 뜬금없... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 17:00', '화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '휴무일': '공휴일'}"
강북삼성병원 응급실,3.0,종로구 새문안로 29 본관 1층,,"[{'작성자': '냠냠달암쥐', '별점': '5.0', '날짜': '2023.04.19.', '내용': '정말정말 친절하신 의사,간호사,수납, 경비 선생님들 감사합니다... 깜짝놀랬어요... 이 글을 보실 지 모르겠지만 다들 건강하세요!', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2023.04.14.', '내용': '80가까운 노모가 장내 출혈로 쓰러졌습니다\n일하던 중 딸 아이가 전화를 했더군요\n할머니 응급실간다고\n급하... 더보기', '좋아요': '1'}, {'작성자': 'Bona', '별점': '1.0', '날짜': '2022.10.19.', '내용': '응급실에 달려온 환자를 밖에 있는 플라스틱 의자에서 기다리게 하는 것 보고 다시는 오지 말아야 겠다 생각했습니다. 중증 환자만 가세요. 뇌진탕 환자는 받아주지도 않는 신기한 “병원”', '좋아요': '1'}]",{}
푸른나무내과의원,4.0,종로구 송월길 99 상가동 2층 2230호,,"[{'작성자': '김환', '별점': '5.0', '날짜': '2025.03.20.', '내용': '검사도 진료도 정말 친절하게 해주셨어요\n대기는 감안하셔야할듯', '좋아요': '0'}, {'작성자': '떡볶이러버', '별점': '1.0', '날짜': '2024.01.08.', '내용': '원장님 친절하다해서 갔더니 진료시간 너무 오래걸려서 기다리다 죽을뻔했음 무슨 한사람당 진료가 20분 걸림;..', '좋아요': '0'}, {'작성자': '임수현', '별점': '5.0', '날짜': '2023.10.31.', '내용': '직원분들도 넘 친절하시고 원장님도 너무너무 친잘하세요 아플 때 근처 내과 전전했는데 여기루 정착했습니다', '좋아요': '1'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '휴무일': '공휴일'}"
두리이비인후과의원 서대문점,,종로구 통일로 134 디타워 지하1층 B101 두리이비인후과,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7BA5E4DC624C4683BBEA674B54D6D512,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '08:30 ~ 13:30', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '공휴일'}"
연세조이산부인과의원,4.2,종로구 통일로 134 지하1층 B102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F65e3935c7168fca567bc5d6f29588e69f1a44039%3Foriginal,"[{'작성자': '모리코모리', '별점': '3.0', '날짜': '2025.02.11.', '내용': '친절하고 따뜻하신 분이에요~\n근데 생리 불규칙으로 배란일 확인하려고 자주 갔는데 초음파로 배란일을 잘 못맞추시더라고요ㅠㅠ 매번 초음파 비용도 부담되고 배... 더보기', '좋아요': '0'}, {'작성자': '엥12345', '별점': '5.0', '날짜': '2024.11.22.', '내용': '전문적이고 원장님 친절하세요 꼼꼼히봐주시고 설명도 잘해주십니다😊', '좋아요': '0'}, {'작성자': 'Yoa', '별점': '1.0', '날짜': '2024.11.20.', '내용': '3년넘게 다님 팩트만 적어요\n\n균검사 한다는 말 듣지도못했는데 초음파 후 나도 모르게 검사 나가서 결제할때 알게됨. 그... 더보기', '좋아요': '2'}]","{'목': '09:30 ~ 13:00', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 13:00', '수': '09:30 ~ 18:30', '휴무일': '공휴일'}"
서울적십자병원 응급실,3.0,종로구 새문안로 9,,"[{'작성자': '기사님맛집으로갑시다', '별점': '1.0', '날짜': '2024.10.27.', '내용': '심하게 베여 응급실 찾아갔는 데 의사가 3초보곤 소독해서 보내라함 다음날 다른 병원가보니 힘줄끊어져서 입원후 수술함\n다치신분 여기 들리지 말고 독립문역 세란병원가세요', '좋아요': '0'}, {'작성자': 'hjlee____', '별점': '5.0', '날짜': '2024.05.12.', '내용': '좋아요~', '좋아요': '0'}, {'작성자': '이든', '별점': '1.0', '날짜': '2022.10.29.', '내용': '애초부터 천식이 아니고 그냥 긴 공황이었다 싶으면 그냥 집으로 보내주시지 9만원 나올거라고 얘기해놓고 순납할때 29만7천원 나와서 응급실 나... 더보기', '좋아요': '3'}]",{}
경희궁비뇨의학과의원,5.0,종로구 송월길 99 경희궁자이2단지 상가동 2219호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F02C67373214D451E822A68E42A0A2A4C,"[{'작성자': '박형선', '별점': '5.0', '날짜': '2024.09.13.', '내용': '의사선생님 친절하시고 과잉진료 없어서 좋아요', '좋아요': '0'}, {'작성자': '임수현', '별점': '5.0', '날짜': '2024.06.25.', '내용': '방광염으로도 가보고 여드름 땨문에도 가봤는데 비뇨기+피부 모두 친절하고 꼼꼼히 봐주세요', '좋아요': '0'}, {'작성자': 'ㅇㅋ', '별점': '5.0', '날짜': '2022.12.15.', '내용': '너무 친절하시고 과잉진료도없이 꼼꼼하게 봐주세요 !!! 너무 추천입니다 ㅎㅎ', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30'}"
테라스의원,,종로구 송월길 99 경희궁자이2단지 상가동 2층 2203~2205호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD5C5435888FB406DB7E8046D77A3DB63,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '10:00 ~ 20:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 19:00', '수': '휴무일', '휴무일': '공휴일'}"
경희궁튼튼소아청소년과의원,2.6,종로구 송월길 99 경희궁자이 2217호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMjZfMjgg%2FMDAxNzI5OTI2NDYyNzA4.l-afKW61hwZDs6Iy8A5nHJKWG4JHwhg1Z5FuF7Muor8g.H-OOUeuyRMOKER-U0S29b52nEuKckAaxzoZZh6n9kNMg.JPEG%2FIMG_9319.JPG%3Ftype%3Dw773,"[{'작성자': '감자파워', '별점': '1.0', '날짜': '2025.01.11.', '내용': '탈모 온 간호사님 최악. 오픈 전에 먼저 접수 등록하고 자기 순서 지나쳐버리고 늦게 와도 봐주고 우선 진료 가능한가보네요? 옷차림 보면서 말투 달라지면서 사람 차별하고 진짜 웃기지도 않네요 ㅎㅎ', '좋아요': '0'}, {'작성자': '맛있는걸먹으면기분좋아짐', '별점': '2.0', '날짜': '2024.12.26.', '내용': '접수순이라고는 알고있는데 누군가가 와서 “먼저 봐주시면 안돼요?”라고 사정하면 해주시는 듯도 합니다.. 제 차례보다 늦게 진료된 것 같고순서대로 진행되는지 조금 모호한 것 같습니다.', '좋아요': '0'}, {'작성자': '조나영', '별점': '5.0', '날짜': '2024.12.01.', '내용': '최근에 몇번 갔는데 과잉처방이 없어요\n항생제 스테로이드 과잉으로 안쓰시는거같아여! \n... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '휴무일': '공휴일'}"
