name,score,address,img_url,reviews,open_hour
혜담한의원,5.0,종로구 혜화로 11,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc500291dc1e10a50952940590f32dc632aff8b07%3Foriginal,"[{'작성자': '사랑등', '별점': '5.0', '날짜': '2024.12.11.', '내용': '친절하십니다.', '좋아요': '1'}, {'작성자': 'LEE', '별점': '5.0', '날짜': '2024.03.15.', '내용': '원장님이 꼼꼼하게 침 놓아주시고 진료도 잘 봐주십니다. 상주하시는 직원분들도 다 너무 친절하셔서 좋았습니다. 허리 아파서 일상생활이 힘들었는데 이틀 치료 받고 허리 통증 완화돼서 기뻤습니다.', '좋아요': '1'}, {'작성자': '유경빈', '별점': '5.0', '날짜': '2024.03.06.', '내용': '여행중 넘어져 발목 접질러서 응급으로 찾아갔는데 찬찬히 짚어보시고 너무 섬세하고 꼼꼼히 치료해주셨습니다 치료받는 동안 저희 엄마 마음도 달래주시고요 발목이 훨씬 편... 더보기', '좋아요': '1'}]","{'금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30'}"
혜화가정의원,4.6,종로구 성균관로 34 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1a0d0e77663d7abb5735fb4d469df73ce171cc34%3Foriginal,"[{'작성자': 'vagabond', '별점': '5.0', '날짜': '2024.11.22.', '내용': '딱 두 번 간 병원.\n심각한 환자로 한 번 방문.\n너무나 심각한 문제가 한번에 해... 더보기', '좋아요': '2'}, {'작성자': '군청림', '별점': '1.0', '날짜': '2024.09.09.', '내용': '하 5점주는 사람들 이해는가는데 난 정말 마음에 안 듦 내가 평소 먹던 약이 있고 그 증상 그대로인데 자꾸 자기생각대로 엉뚱한 약을 주고싶어함 미쳐버리겠음', '좋아요': '0'}, {'작성자': '김주리', '별점': '5.0', '날짜': '2024.06.28.', '내용': '이런 병원은 정말 처음이네요. 그냥 간수치가 좀 안좋아서 막연히 갔는데 제 검진기록으로 정말 꼼꼼하게 상담을 해주셨어요. 모든 결과를 이렇게나 말름해주시는 분은 처음입니다.... 더보기', '좋아요': '2'}]","{'금': '08:30 ~ 19:00', '토': '08:30 ~ 14:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00'}"
다연한의원,5.0,종로구 성균관로 64,,"[{'작성자': '김현지', '별점': '5.0', '날짜': '2024.06.03.', '내용': '선생님께서 진료를 굉장히 잘 봐주시고, 다친 마음까지 치료받는 듯한 느낌입니다. 다른 병원들을 다녀봐도 큰 차도가 없었는데, 이곳에 와서 치료받으니 많이 나아졌습니다.', '좋아요': '1'}, {'작성자': '신준호', '별점': '5.0', '날짜': '2024.05.02.', '내용': '원장님 정말 친절하시고 침도 잘 놓아주십니다.', '좋아요': '1'}, {'작성자': '최주영', '별점': '5.0', '날짜': '2021.02.24.', '내용': '진심이 느껴집니다. 설명도 잘해주시고,  친절하십니다. 믿을 수 있는 우리동네 한의원.', '좋아요': '1'}]","{'금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 20:30', '목': '09:30 ~ 13:30', '휴무일': '공휴일'}"
최치원치과의원,4.4,종로구 명륜길 2 2층,,"[{'작성자': '간격', '별점': '5.0', '날짜': '2023.08.23.', '내용': '꼼꼼하고 확실하게 진료해주시는 곳 입니다 대학생때부터 다녔는데 졸업하고서도 여기만 가요. 멀어서 다른데갔더니 진료수준에서 차이가 너무 나서요. 진료비는 다른곳보다 ... 더보기', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '5.0', '날짜': '2023.01.30.', '내용': '사랑니 여기서만 두번 뽑았는데 진짜 뽑은 줄도 모르고 뽑으셔요.. 명의👍.... 사랑니 수술도 흔쾌히ㅜ해주십니다', '좋아요': '0'}, {'작성자': 'zc', '별점': '5.0', '날짜': '2021.08.29.', '내용': '원장님, 간호사선생님 모두 친절하시고 전문적으로 믿고 맡길 수 있다는 느낌 받았습니다!', '좋아요': '1'}]","{'금': '10:00 ~ 18:30', '토': '10:00 ~ 14:00', '월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '10:00 ~ 20:00', '목': '14:00 ~ 18:30'}"
서울봄빛치과,4.1,종로구 혜화로 13 주호빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF66EE82F67014933990467BA518414DE,"[{'작성자': 'sdjjd', '별점': '4.0', '날짜': '2025.02.25.', '내용': '간호사분 되게 친절하세요! 원장님도 설명 친절하게 잘 해주십니다. 충치치료 어금니 2개 인레이 권유해주셨는데 지인치과 가니 하나만 레진하면 된다고 진단받았아요!', '좋아요': '0'}, {'작성자': 'groovy', '별점': '5.0', '날짜': '2024.11.23.', '내용': '의사선생님도 친절하게 설명 자세히 해주시고 직원분들도 모두 친절하세요~', '좋아요': '0'}, {'작성자': 'ㅁㅁ', '별점': '1.0', '날짜': '2023.11.13.', '내용': '여기서 이악물기 습관 있다고 마사지(?)받았고 보톡스 권유도 받았는데 다른 치과갔더니 이악물기로 안보인다고 하네요.. 스케일링 할때도 치석이 과하게 많다고 잇몸치료 해야한다고 하시더니 과잉진료 하는 것 같아요..', '좋아요': '1'}]","{'금': '09:30 ~ 18:00', '토': '09:30 ~ 13:30', '월': '09:30 ~ 18:00', '화': '09:30 ~ 21:00', '목': '09:30 ~ 18:00'}"
박재찬치과의원,3.7,종로구 성균관로 56 3층,,"[{'작성자': '.', '별점': '1.0', '날짜': '2023.09.28.', '내용': '정직하고 저렴하고 실력좋은 치과!\n\n후기수정합니다.\n과도한 치료가 없어 좋은줄알았는데 \n결국 다 썪어서 결국 다른... 더보기', '좋아요': '1'}, {'작성자': '가나다', '별점': '1.0', '날짜': '2021.05.30.', '내용': '원장님이 직접 봐주고 합니다만 실력도 별로고 불편합니다. 보통 스케일링할때 위아래에 각각 한 뒤 입을 헹구고 마지막으로 조금 덜된곳 하는게 대부분인데 여기는 하면서 이빨 한두개 하고 입 헹구라고 하고 또 한두개 하고... 더보기', '좋아요': '1'}, {'작성자': '신원근', '별점': '5.0', '날짜': '2020.01.11.', '내용': '멀리 이사왔는데도 항상 여기만 오게되네요.\n고마운마음으로... 더보기', '좋아요': '1'}]","{'금': '10:00 ~ 18:30', '토': '10:00 ~ 14:50', '월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '14:00 ~ 18:30'}"
강규욱치과의원,0.0,종로구 혜화로 11,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
김패밀리의원,3.6,종로구 성균관로 49-1 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9FC9FC59DD1B41B19FBD2A9839C04935,"[{'작성자': '니시', '별점': '1.0', '날짜': '2024.08.09.', '내용': '목감기 있다고 했는데 코, 목은 살펴보지도 않고\n대충 냉방병 같은걸로 처방만 띡 내줌\n진료실 들어간지 1분만에 다시 나와서 약 받아왔는데 나아지는게 없음', '좋아요': '0'}, {'작성자': '현석행님', '별점': '5.0', '날짜': '2024.05.22.', '내용': '의사 선생님 친절하게 설명해주심 좋아요', '좋아요': '0'}, {'작성자': '째규', '별점': '1.0', '날짜': '2024.05.11.', '내용': '의사 선생님은 좋으나 간호조무사가 역대급….친절한금자씨에 나오는 배우 닮은 분만 봣는데 더 있는진 모르겠어요 암튼 그저 환자가 들어오는 순간부터 기분이 나쁜신가봄 세상 툴툴되면서 승질... 더보기', '좋아요': '0'}]",{}
강규욱치과의원,0.0,종로구 혜화로 46-1 류화빌딩 3층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '10:00 ~ 16:00', '토': '휴무일', '일': '휴무일', '월': '10:00 ~ 16:00', '화': '10:00 ~ 16:00', '수': '휴무일', '목': '10:00 ~ 16:00', '휴무일': '공휴일'}"
연세소아청소년과의원,4.3,종로구 혜화로 4 산곡빌딩 5층,,"[{'작성자': '사룽이🦖', '별점': '5.0', '날짜': '2024.05.04.', '내용': '진료 꼼꼼허게 잘봐주시고 좋아요^^', '좋아요': '0'}, {'작성자': '망고', '별점': '3.0', '날짜': '2022.07.26.', '내용': '너무 느려요…ㅠ', '좋아요': '0'}, {'작성자': '고랭이미래다', '별점': '5.0', '날짜': '2022.04.12.', '내용': '모든 분들이 친절하셨어요', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '휴무일': '1월1일'}"
