name,score,address,img_url,reviews,open_hour
SK에코플랜트&SK에코엔지니어링부속치과의원,5.0,종로구 율곡로2길 19 수송타워빌딩 2층,,"[{'작성자': '찐맛이거나 노맛일때 리뷰', '별점': '5.0', '날짜': '2022.04.22.', '내용': '최고최고최고입니다', '좋아요': '0'}]","{'금': '09:30 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '휴무일': '공휴일'}"
안국의원,5.0,종로구 윤보선길 48,,"[{'작성자': '김정일', '별점': '5.0', '날짜': '2025.03.10.', '내용': '눈에 염증이 있어 방문했는데 정확히 필요부분을  찾아 고름을 제거하고 해결해 주셨어요.\n믿음이 갑... 더보기', '좋아요': '0'}, {'작성자': 'KDK', '별점': '5.0', '날짜': '2025.02.06.', '내용': '건물과 인테리어가 깔끔하고 선생님이 친절하십니다.', '좋아요': '0'}]","{'금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 13:00', '목': '09:30 ~ 18:00', '휴무일': '매주 일요일'}"
용화당한의원,2.3,종로구 윤보선길 32 1층,,"[{'작성자': '-', '별점': '1.0', '날짜': '2023.12.27.', '내용': '멀쩡한 사람 약물중독(아산병원 피셜)으로 간이식 하게 만들었음. 간 다 망가질때까지 나타나는 증상들을 명현현상이라고.. 환자가 의사 말에 토달거나 믿지 않으면 치료해줄 수 없다고 가스라이팅해서 거기에 당함.', '좋아요': '0'}, {'작성자': '성현정', '별점': '5.0', '날짜': '2020.08.29.', '내용': '전 교통사고 후유증으로 3년 반동안 이곳 저곳 다니며 치료받았는데 그 어느 곳에서도 확실한 원인과 상태를 진단해주고 치료해 주지 못했어요. 시간이 흐를 수록 불안했고 무엇보다 평생 고통속에서 살지도 모른다는... 더보기', '좋아요': '0'}, {'작성자': '안녕하세요', '별점': '1.0', '날짜': '2019.07.03.', '내용': '돌팔이인것 같아요 한약값 더럽게 비싸요;;', '좋아요': '0'}]","{'금': '10:00 ~ 18:00', '토': '10:00 ~ 14:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00'}"
해정의원,3.0,종로구 삼일대로 461 운현궁SK허브 101동 2층,,"[{'작성자': '새벽', '별점': '5.0', '날짜': '2025.02.18.', '내용': '너무너무 친절하세요 \n정말 안친절한분이 없네요 \n검사도 꼼꼼하게 해 주셨어요', '좋아요': '0'}, {'작성자': '맛과 술', '별점': '5.0', '날짜': '2024.04.19.', '내용': '다들 친절하시고 참 좋아요 특히 원무과분들ㅎㅎ', '좋아요': '0'}, {'작성자': '부엉이', '별점': '5.0', '날짜': '2024.03.01.', '내용': '음...원장님마다 스타일이 다른 것 같은데, 최광준원장님은 과잉진료 없으시고 오히려 불필요한 검사등은 권하지 않는 방향이셨어요;; 그리고 설명도 정말 자세히 해주셨구요. 건강검진했던 모 종합병원에서 ... 더보기', '좋아요': '1'}]","{'금': '08:00 ~ 17:00', '월': '08:00 ~ 17:00', '화': '08:00 ~ 17:00', '수': '08:00 ~ 17:00', '목': '08:00 ~ 17:00'}"
참빛치과의원,5.0,종로구 우정국로 69,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '목': '09:30 ~ 18:30'}"
런던치과의원,4.6,종로구 종로5길 97 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FBD9213ED0116438CA8AED0D6F91CCE83,"[{'작성자': '김박사', '별점': '5.0', '날짜': '2024.05.02.', '내용': '선생님께서 정말 꼼꼼한 설명과 함께 잘 봐주시고 직원분들과의 분위기도 좋습니다. 치과에 있는 내내 편안하고 믿음도 가서 앞으로도 계속 이용하고 싶은 치과에요!', '좋아요': '0'}, {'작성자': '강산에들밥', '별점': '5.0', '날짜': '2024.04.11.', '내용': '급하게 처치 받을 일이 있어서 근처로 방문한 건데 신속 정확하게 필요한 것만 봐주시고 처리해 주셨습니다. 조금만 말씀 드려도 명확히 이해하고 처치해 주셔서 편하게 끝냈네요! 앞으로도 재방문 의사 있습니다.', '좋아요': '0'}, {'작성자': '숨고', '별점': '2.0', '날짜': '2023.12.06.', '내용': '가격은 평균이구요, 실력등 크게 메리트있지는 않았어요. 그냥 저냥 급할때 아니면 안갈거 같아요.', '좋아요': '0'}]","{'금': '10:00 ~ 19:00', '토': '휴무일', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '휴무일': '매주 토요일, 일요일'}"
웅선의원,4.0,종로구 율곡로 56 운현하늘빌딩 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMTNfMTY1%2FMDAxNzM5NDI2OTM5MjA3.S4uMyMMmmgzlA0yJo4uS_pFZF2QFIbwDTYRSGgBMKFcg.vsyfwod-3tQ3Me-R9F7ixxuCWRqyCoiXvSV_KXqW7KIg.PNG%2F28.png%3Ftype%3Dw966,"[{'작성자': '화이트컨슈머', '별점': '1.0', '날짜': '2022.04.28.', '내용': '전화상담했는데 관계자인지 실장인지 남자분이그러는데 남성형탈모인은 효과없다고 함\n하든지말든지식으로 영혼없는 상담이었음 ㅋ', '좋아요': '0'}]","{'금': '10:00 ~ 17:00', '토': '08:00 ~ 13:00', '일': '휴무일', '월': '휴무일', '화': '10:00 ~ 20:00', '수': '10:00 ~ 17:00', '목': '10:00 ~ 17:00', '휴무일': '매주 월요일, 일요일'}"
강화당한의원,0.0,종로구 윤보선길 26 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6E95FC5179A14D8DA3EDF4BF9D7522D5,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '10:00 ~ 18:00', '토': '10:00 ~ 13:00', '일': '휴무일', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '휴무일': '매주 일요일'}"
북촌소담정신건강의학과의원,5.0,종로구 율곡로 47 4층 401호,,"[{'작성자': '먀옹', '별점': '5.0', '날짜': '2024.02.15.', '내용': '약만 처방해주거나,  상담은 상담사랑만 하고 의사는 아주 짧게 보는 경우도 있는데 초진이라 그럴수도 있지만  환자 상황을 파악하려고 노력하시는 것 같아 좋... 더보기', '좋아요': '0'}, {'작성자': '공공이익study', '별점': '5.0', '날짜': '2024.02.06.', '내용': '진주정신병원 엘리엘리 북촌소담 등  송유화 이분 맞는거같은데 혹시 맞으면 싹싹바꾸면서 하면서 하는 그런거같은데 이런 사람 있음 진주음악심리 손경숙 비... 더보기', '좋아요': '1'}]","{'금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 14:00', '목': '10:00 ~ 19:00', '휴무일': '공휴일'}"
연세이엔오치과,3.6,종로구 율곡로 47 걸스카우트빌딩 4층 402~405호,,"[{'작성자': '짹짹이', '별점': '1.0', '날짜': '2024.08.01.', '내용': '왠만하면 이런 리뷰 안남기는데 여러사람 앉혀놓고 왔다갔다 치료해서 예약을 하고가도 오래걸림 언제 끝나냐 물어봐도 금방 끝난다 금방 치료해줄거다 이런얘기만 하고 계속 기다리게함 그래도 설명... 더보기', '좋아요': '0'}, {'작성자': '규', '별점': '5.0', '날짜': '2024.03.08.', '내용': '의사 선생님이 불친절하다는 리뷰가 있는데,\n조금 무뚝뚝하다 느껴질 수 있을지 몰라도\n꼼꼼하게 설명해주시고 과잉 진료 전... 더보기', '좋아요': '0'}, {'작성자': '군고구마헌터', '별점': '5.0', '날짜': '2024.01.19.', '내용': '데스크 간호사 분 엄청 친절하시고 의사선생님도 과잉진료 안하세요!!', '좋아요': '0'}]","{'금': '09:30 ~ 18:30', '토': '09:30 ~ 16:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 20:30', '목': '09:30 ~ 18:30', '휴무일': '공휴일'}"
