name,score,address,img_url,reviews,open_hour
서울숭인병원,1.8,종로구 종로 386 6~9층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F7AC1570A3BA9462F8432BB44A7BA9DD4,"[{'작성자': '.', '별점': '1.0', '날짜': '2024.06.15.', '내용': '여기가지마세요', '좋아요': '2'}, {'작성자': '양뿡', '별점': '5.0', '날짜': '2023.01.03.', '내용': '정말 스테프가 친절하고 좋아요', '좋아요': '0'}, {'작성자': '평론가', '별점': '1.0', '날짜': '2019.05.28.', '내용': '직원들간 소통이 안되어 환자가 직접 다해야 합니다. 비급여 진료를 환자의 상태와 무관하게 권하니, 보호자들은 꼭! 주의하시기 바랍니다. 회진을 의무적으로 하나, 경과기록이 제대로 작... 더보기', '좋아요': '3'}]","{'금': '09:00 ~ 18:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00'}"
네이처비뇨의학과의원 종로점,4.9,종로구 종로 344 종로대우디오빌 3층 303호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1872050407,"[{'작성자': '24k', '별점': '5.0', '날짜': '2025.03.15.', '내용': '친절하시고 자세한 설명에 믿음이갑니다', '좋아요': '0'}, {'작성자': '윤기현', '별점': '5.0', '날짜': '2025.02.20.', '내용': '원장넴 매우친절하심 직원분들도 친절하세요', '좋아요': '0'}, {'작성자': 'Skrrrrr', '별점': '2.0', '날짜': '2025.02.12.', '내용': '원장님 자기만 아는 말들만 절절 말해놓고. 자 질문. 이 난리 떠심.. 시술도 마취 없이 진행 한대.. 아프냐고 물어봤는데 안 아프다고 해서 걍 받았는데 식은땀 개흐르고 결국 피멍듬.. 직원들도 그닥…', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00', '휴무일': '공휴일'}"
연세동묘정형외과의원,,"종로구 종로 344 종로대우디오빌 1-2층 101,202호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMThfNzgg%2FMDAxNzM0NDk5NTE5ODU3.LUXg07ocmChVPySSmnUqf-mFA8QD-CrOtNWWzju574Ag.w8aQ9mtss_55-8eOZdEI8p9SgbkbQflStUSsvrr1tAwg.JPEG%2FIMG_0762.JPG%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
이용식이비인후과의원,2.8,종로구 종로 347 롯데캐슬천지인상가 204호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMjJfNjMg%2FMDAxNzI5NTc5NTMwOTA4.ZZG9MCkikyCZgSVZDHeyYZc7iMghzJlbWPXe_czr6OUg.OD_f82VtfytU7uHDlPTWfMmiGkYtmWI1FmJHce8KjvUg.JPEG%2FIMG_2739.jpg%3Ftype%3Dw773,"[{'작성자': '금냐', '별점': '1.0', '날짜': '2025.03.13.', '내용': '진료실 문에 녹음 촬영 하지 말라는 말이 적힌 종이 입 억지로 벌리고 아무말도 안하고 무표정으로 -_- 환자가 그만하라고 말할수도 없는데 꾹 누르면서 석션으로 지지는데는 처음봤음 콜록거리면서 목눌러서 그만하라고 말할... 더보기', '좋아요': '0'}, {'작성자': '킹콩', '별점': '1.0', '날짜': '2025.01.06.', '내용': '과잉진료 심함. 말도 안하고 코나 입에 의료기기 쑤시고 굳이 안써도 되는거 써서 진료비 더 나오는듯. 감기 진료보면서 이렇게 나온경우는 처음.... 심지어 반말 기분나쁨', '좋아요': '0'}, {'작성자': '후기', '별점': '5.0', '날짜': '2024.12.18.', '내용': '독감이어서 갔는데 간호사님들부터 의사선생님까지 너무 친절하고 따뜻세요.', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '휴무일': '공휴일'}"
뉴수도정형외과의원,4.1,종로구 지봉로 50 필빌딩 3-5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA8DDE489D6F9410BAFCAF687A2728DFA,"[{'작성자': '박자혜', '별점': '5.0', '날짜': '2024.08.02.', '내용': '무릎이 아퍼서 예약 없이 진료 보러 갔는데, 바로 도수치료랑 다른 치료도 예약해주시고 치료 받을 수 있었어요. 지금 도수 치료 계속 받고 있는데 무릎이 아퍼서 갔는데 알고보니 고관절을 안 써... 더보기', '좋아요': '0'}, {'작성자': '고승영', '별점': '5.0', '날짜': '2024.07.29.', '내용': '운동중 몸이 너무아파서 방문했는데, 인포 및 의사선생님, 치료를 해주신 치료사분도 너무친절하셨네요.물론 상담 및 치료도 만족스럽게 진행되었네요.', '좋아요': '2'}, {'작성자': '최준수', '별점': '5.0', '날짜': '2024.07.27.', '내용': '허리가 안좋아서 여기저기 많이다녀봤는데\n여기 여자 도수선생님한테 치료받고 많이좋아졌어요 설명도 잘해주시고 치료도... 더보기', '좋아요': '3'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
소통한의원,4.6,종로구 지봉로 50 필빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA4MDdfMTY2%2FMDAxNjU5ODUyMDM1NTA0.jAY8ODDy-iZwIFRqabErSUz3hPTqlfpEgbAHaZaUgxog.4jxm_MABI-7laJ3soYTtRtgIny2qVln1Y8M5i7gllrIg.JPEG.vkmjv86%2FIMG_5864.JPG%3Ftype%3Dw773,"[{'작성자': '냠냐미', '별점': '1.0', '날짜': '2025.02.27.', '내용': '여기 그냥 다이어트 환 파는 한의원..;\n다이어트 한방팔이ㅋㅋㅋ 하는 혜리 광고 스크린 크게 있고 린 다이어트? 반복재생... 더보기', '좋아요': '1'}, {'작성자': '써니', '별점': '5.0', '날짜': '2024.11.15.', '내용': '넘친절합니다  많이들치료받으러오세요', '좋아요': '0'}, {'작성자': '안정순', '별점': '5.0', '날짜': '2024.10.24.', '내용': '이 한의원의 \n** 가장 좋은 점은 일요일 포함한 휴일에도 진료한다는 것입니다.\n가끔 아플 때 방문합니다. 얼마 전에도 소화가 잘 되지 않아 방... 더보기', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 15:00', '일': '09:00 ~ 15:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00'}"
서울언제나치과의원,5.0,종로구 종로58길 44 본자 2층 201~206호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FDDB963B34EEF45E7A93D61BE0FD32827,"[{'작성자': '이승은', '별점': '5.0', '날짜': '2025.02.11.', '내용': '서울언제나치과 칭찬하고 추천합니다 ~~\n\n 원장님과 직원 분들 다 엄청 친절하시고 꼼꼼하게 진료하... 더보기', '좋아요': '0'}]","{'금': '09:30 ~ 19:00', '토': '09:00 ~ 14:30', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 20:30', '목': '09:30 ~ 19:00'}"
새희망내과의원,4.5,종로구 종로 347 롯데캐슬 천지인 인동 2층 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FC796F938FD1A4B57929FA36585C8B808,"[{'작성자': '김주현', '별점': '5.0', '날짜': '2025.02.13.', '내용': '장염증상이 있어서 소화기내과 전문의가 있는 여기로 왔는데 친절하시고, 여유있게 찬찬히 설명해주셔서 도움이 많이 됐습니다. 평일 낮이라 그런가 환자가 많이 없어서 거의 안 기다려서 좋았어요', '좋아요': '0'}, {'작성자': 'ekfmazkvpdud', '별점': '1.0', '날짜': '2024.12.10.', '내용': '...', '좋아요': '0'}, {'작성자': '댕댕이', '별점': '1.0', '날짜': '2024.06.07.', '내용': '진짜 여긴 정말 하늘이 무너져 모든병원이 문닫앗고 여기만 존재할때만 가세요 아파죽겠는데 곤조가 있는지 멋대로임! 환자 말을 들을 생각이 1도 없음!', '좋아요': '1'}]","{'금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30'}"
떨림과울림정신건강의학과의원,,종로구 종로 407 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F269C10471500423FBF29176A1192AF7F,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '10:00 ~ 20:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '목': '휴무일', '휴무일': '공휴일'}"
동묘백세치과의원,0.0,종로구 종로 367 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 17:30', '일': '09:00 ~ 14:00', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30'}"
