name,score,address,img_url,reviews,open_hour
서울대학교병원,2.4,종로구 대학로 101,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc68b243d051453489c0c7929b30cc43ee8269e7e%3Foriginal,"[{'작성자': 'J', '별점': '1.0', '날짜': '2025.03.24.', '내용': '오늘자로 하나만 덧붙일게요\n어딘지 특정하지는 않겟지만, 간호사 전화응대가 왜이렇게 불쾌하죠?\n서비스업이니 이딴... 더보기', '좋아요': '7'}, {'작성자': '함스터', '별점': '1.0', '날짜': '2025.02.25.', '내용': '통증아파죽겠는데 왜인지도 진료도 검사도 교통사고 crps확실한거 아니면 안받아준다는 규칙(?)있다는 헛걸음 규칙있는 노답인 벙원;;; 의사 대세다;', '좋아요': '0'}, {'작성자': '금나비', '별점': '4.0', '날짜': '2025.02.19.', '내용': '의지하게 되는 믿음이 제일 큰 병원 이기에 불편하거나 어려운점들은 이해하고 맞취 나간다는 생각은 가지고 있다.', '좋아요': '3'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '휴무일': '공휴일'}"
서울대학교치과병원,2.8,종로구 대학로 101,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTNfMTk4%2FMDAxNzM0MDQ4OTc3MTAw.1VDrzpE7bd_xECgarYTP6xGKqLXX6S8ZdXZZXYkb1vsg.KjCi3noM-__mNU5ybt7UnUOXljXIm4YB6-ctNpwy8Jwg.JPEG%2FIMG_5081.jpg%3Ftype%3Dw773,"[{'작성자': '..', '별점': '1.0', '날짜': '2025.03.01.', '내용': '평일에 못간다니까 토요일에 오면 된다고 이번주 토요일에 오시라고 얘기한 통화연결하신분. \n\n오늘 토요일인데 삼일절이라 응급진료만 본다... 더보기', '좋아요': '1'}, {'작성자': '맑음', '별점': '1.0', '날짜': '2025.01.08.', '내용': '서울대병원이라서 믿고 가봤는데  생각보다 별로네요.', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2025.01.01.', '내용': '교수 특진으로 했는데 레지던트가 90%진행하고 교합에 불편감이 있어 마무리는 교수 불러달라하면 예민한 환자 취급하고 교수는 대충 보고 결국 레지던트가 ... 더보기', '좋아요': '2'}]","{'금': '09:00 ~ 16:00', '토': '09:00 ~ 11:00', '일': '휴무일', '월': '09:00 ~ 16:00', '화': '09:00 ~ 16:00', '수': '09:00 ~ 16:00', '목': '09:00 ~ 16:00', '휴무일': '매주 일요일'}"
서울대학교어린이병원,3.3,종로구 대학로 101,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5106730fa92a345d8d5107ce4ef5a4af44750834%3Foriginal,"[{'작성자': '다단', '별점': '1.0', '날짜': '2023.09.27.', '내용': '20년도 리뷰중에 불친절하다는 말이 있는데 3년이 지난 지금도 변한게 없네요\n제가 엄청난 대접 원하는것도 아... 더보기', '좋아요': '1'}, {'작성자': '혁제', '별점': '1.0', '날짜': '2023.08.15.', '내용': '의사는 부족하고 환자는 많고...\n그래서 불친절해지는거 어쩔수없다고 생각하지만\n그럼 의대정원 늘리는거 동의해주시던가요\n\n태어난지 얼마안된... 더보기', '좋아요': '4'}, {'작성자': 'tree', '별점': '5.0', '날짜': '2023.04.05.', '내용': '소아과 당직하셨단 안경쓰신 젊은 남자쌤 넘 친절하세요ㅠㅠ', '좋아요': '0'}]",{}
서울대학교병원 암병원,2.1,종로구 대학로 101,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMzFfNTEg%2FMDAxNzMwMzYwNjkwNjUz.RttmUm3tdSzD7Q9rCeA0OmsN4kN46fiuWJYI5ljgISog.ecCF-AfpO5v2V5bqSU9wuToaE0TD76XyD0XOdZ8ooyYg.PNG%2F%25EC%2582%25AC%25EC%25A7%25842.png%3Ftype%3Dw773,"[{'작성자': '미식가나양', '별점': '1.0', '날짜': '2025.03.18.', '내용': '환자가 죽든말든 상관없고 다음 진료일 전에 약이 다 떨어질 것 같다고 문의했더니, 뭐가 중요한 약인지는 환자 본인이 알아서 판단해서 약을 먹던지 말던지 알라서하라는... 더보기', '좋아요': '0'}, {'작성자': '몽몽', '별점': '1.0', '날짜': '2025.01.06.', '내용': '암병원 바로 앞 길에서 병원 직원들 담배핌 진짜 꼴보기 싫음', '좋아요': '0'}, {'작성자': '맛보기', '별점': '1.0', '날짜': '2024.08.23.', '내용': '의사들... 시키는대로 했는데 환자탓하고 나중엔 딴소리. 병 다 모르고, 다 못거치는거 아니까 최소한 믿고 따른 환자에겐 미안하다거나 안타깝게됐다는 한마디도 못하는지. 회피만하고 다른 과 가보란 말만하는게 더 속상함.', '좋아요': '1'}]",{}
치휴한방병원 종로점,,"종로구 대학로 89 대학로빌딩 지하1층, 2~6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F75EA737930A845C1B01FD3218CFE13F2,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '휴무일': '공휴일'}"
지인내과의원,3.5,"종로구 율곡로 202-7 제일빌딩 A,B동 3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjNfNDQg%2FMDAxNzM0OTEwOTU5Mzgw.yyxo9eczOkqIZml-JsTd_ZS-AuL_4D1rYJ_FNo6UrzMg.cDKiv1T1Ol1U8GaqslvBw4nUCki-UrSPW9xnDivWNoQg.JPEG%2FIMG_6510.jpg%3Ftype%3Dw386,"[{'작성자': '맛맛', '별점': '2.0', '날짜': '2025.01.15.', '내용': '친절은 하시나,\n증상을 말하기까지 전혀 기다려주시지않으십니다.', '좋아요': '0'}, {'작성자': 'strawberry fields', '별점': '5.0', '날짜': '2024.10.26.', '내용': '종로구 혜화동 12년 살면서 아플때마다 간 단골병원. 친절하고 잘 봐주셔요. 아프면 지인내과 생각부터 남ㅋㅋㅋㅠㅠ', '좋아요': '0'}, {'작성자': '옌리스', '별점': '5.0', '날짜': '2024.08.11.', '내용': '전에 내시경받았을때 그냥그래서 안 가다 위가 자꾸 아파서 다시 갔는데 잉? 윤용선 원장님 세상 친절하구 재밌구 좋았습니다ㅎㅎ\n과잉진료도 없구 내시경다시... 더보기', '좋아요': '0'}]","{'금': '08:30 ~ 17:30', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '휴무일': '공휴일'}"
마로니에이비인후과,,종로구 대학로 128 21빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1527BD445045761102,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '휴무일': '공휴일'}"
마리앤라인의원,4.3,종로구 대학로 130 두손빌딩 5층,,"[{'작성자': '쭌이', '별점': '5.0', '날짜': '2024.12.30.', '내용': '너무 친절하심 다른 피부과 갔을 땐 같은 가격에 염증주사만 놓고 끝이었는데 여기서는 여드름에 따라서 압출도 해주시고 거즈도 붙여주셨어요 그리고 너어어어어무 친절하시고 아파서... 더보기', '좋아요': '0'}, {'작성자': 'ᅟ', '별점': '5.0', '날짜': '2024.10.03.', '내용': '과잉진료도 없고 너무 친절하심 최고임', '좋아요': '0'}, {'작성자': '071', '별점': '5.0', '날짜': '2024.09.13.', '내용': '보험진료도 잘 봐주시고 친절하십니다\n예약 안 하고 갔는데도 빠르게 진료받을 수 있었어요', '좋아요': '0'}]","{'금': '10:30 ~ 19:00', '토': '10:00 ~ 13:00', '일': '휴무일', '월': '10:30 ~ 19:00', '화': '10:30 ~ 19:00', '수': '휴무일', '목': '10:30 ~ 19:00', '휴무일': '공휴일'}"
서울대학교어린이병원 소아응급센터,3.0,종로구 대학로 101,,"[{'작성자': '.', '별점': '1.0', '날짜': '2025.03.10.', '내용': '아기가 위액까지 다 토할정도로 계속된 구토와 처짐으로 119연락후 방문할 응급실 안내받는데 전화해보니 주변 ... 더보기', '좋아요': '0'}, {'작성자': '다람쥐', '별점': '5.0', '날짜': '2023.05.21.', '내용': '저는 23개월 아이가 있습니다. 내아이도 소중하지만 남의아이도 소중하겠죠 여기 종사하시는 모든분들께 응원을 보냅니다. 언젠가 내 아이가 갈일이 없길 바라며...', '좋아요': '1'}, {'작성자': '네갸헤뭇', '별점': '1.0', '날짜': '2022.12.16.', '내용': '소아응급실 ㅎㅅㅇ의사 불쾌할 정도로 무례함.\n오전부터 열나서 저녁6시에 40도 넘어서 응급실 가니.. \nㅎㅅㅇ의사... 더보기', '좋아요': '0'}]",{}
서울대학교병원 응급의료센터,1.3,종로구 대학로 101,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA1MTNfMjYg%2FMDAxNzE1NTM4Nzg1MDIx.HYRKTuaL-fWog66q6_OT9dgg7sDfexc-wI8Tc5BA5t0g.K3dGS6ztv_C8JOHYulEBhyehs_7Z55Ad-JhJ6_kNWRUg.JPEG%2Foutput_1871812651.jpg%3Ftype%3Dw773,"[{'작성자': '박상현', '별점': '1.0', '날짜': '2024.03.31.', '내용': '오시면 신세계를 경험하실겁니다. 응급실 개념이 아닌 그냥 야간 진료정도 수준입니다. 이미 오셨다면 느껴보시길.', '좋아요': '1'}, {'작성자': '8krpm', '별점': '1.0', '날짜': '2024.01.02.', '내용': '응급실을 응급환자로갔는데 느긋하게 방치하는 병원..\n어이가없어서 ㅡㅡ', '좋아요': '0'}, {'작성자': '낱말', '별점': '1.0', '날짜': '2023.08.20.', '내용': '1. 탈골 돼서 병원 갔는데 경험 있는 사람이 하나도 없다.\n2. 우악스럽게 힘으로 집어넣으려 했으면 병원 방문도 안 했다. \n3. ... 더보기', '좋아요': '2'}]",{}
서울제이치과의원,4.0,종로구 대학로 132,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyMzAzMTZfMjg1%2FMDAxNjc4OTUyMTkwNTE4.Nj_MESIzg5zX5CtfKFXLIznknF9gM7RQnv8TwA6Gmcsg.wCY54zJZvYvKzme5jAZTVuwinKnbfWqZLXhngxgsAOkg.JPEG.rnjstjrqhde1%2F6.JPG%3Ftype%3Dw1,"[{'작성자': '손님', '별점': '1.0', '날짜': '2024.01.02.', '내용': '대충 설명해주세요.....', '좋아요': '0'}, {'작성자': '동그라미', '별점': '4.0', '날짜': '2023.12.15.', '내용': '다른 치과와 가격은 비슷하지만 합리적으로 필요한 부분만 치료하고 과잉진료는 없습니다. 시설 좋고 원장님 직원분들 친절하고.. 다만 충치치료 가격은 잘 알아보고 가세요.', '좋아요': '0'}, {'작성자': '♡Ae-Ry♡エリ', '별점': '5.0', '날짜': '2022.12.20.', '내용': '사랑니 발치하러 찾아갔는데, 리뷰처럼 의사선생님 너무 친절하시고, 그동안 사랑니뽑을때 항상 제가 마취가 잘 풀려 고생했는데, 마취도 너무 잘 놔주시고, 꼼꼼하게 배려해주시고, 치과 많이 다녀봤지만, 앞... 더보기', '좋아요': '0'}]","{'금': '10:30 ~ 19:30', '토': '10:30 ~ 14:30', '월': '10:30 ~ 19:30', '화': '10:30 ~ 21:00', '수': '10:30 ~ 19:30', '목': '10:30 ~ 21:00'}"
서울청춘치과의원,3.3,종로구 대학로10길 15-7 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA5MjZfMTM5%2FMDAxNjY0MjA0MDAxODUy.dteECDZMwBrW4zIrqvuOAc-UdUBar2-klNOdEJAZ6N4g.j3fGxlvsyoUVEuTyKaxAkLRjdvoU_5eaAmGG2Ja5u_kg.JPEG.gusskeh%2FIMG_1704.jpg%3Ftype%3Dw966,"[{'작성자': 'ookjay', '별점': '1.0', '날짜': '2024.12.20.', '내용': '치과인데 스케일링 않하신다고 하네요.', '좋아요': '0'}, {'작성자': '멍', '별점': '5.0', '날짜': '2023.12.05.', '내용': '예약 전화 한번에 성공하기 힘든 거 같긴합니다 \n저는 다음날 비어있는 시간에 바로 예약해서 갔는데 프론트 직원분은 상냥하신 분은 아니지만 저에게는 불친절정도는 아니었고 교수님은 ... 더보기', '좋아요': '0'}, {'작성자': 'E', '별점': '1.0', '날짜': '2023.06.19.', '내용': '선생님은 좋은신데 프론트 간호사들이 예의가 없음. 특히 전화응대가  제일 최악', '좋아요': '2'}]","{'금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '휴무일': '공휴일'}"
대학로힘정형외과의원,,종로구 율곡로 219-1 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB7D779EACA124C4EB2D442995027BB96,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
아름턱한의원,5.0,종로구 대학로 132 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyMjA3MjdfMjcg%2FMDAxNjU4ODkwMjY0MDY5.Wsmw_IL1cVOiuo1AhJBbYqtaMWLJIUcZfurLD37fLB8g.T38MhCbWQ184i5fSBgHMcPWC_ImN-X2UYD4sUh1dnhUg.JPEG.aulycee%2F1.jpg%3Ftype%3Dw1,"[{'작성자': '아르마다', '별점': '5.0', '날짜': '2023.06.21.', '내용': '카페스러운 세련된 분위기', '좋아요': '0'}]","{'금': '10:00 ~ 17:00', '토': '10:00 ~ 15:00', '화': '10:00 ~ 20:30', '수': '10:00 ~ 17:00', '목': '10:00 ~ 20:30'}"
대학로메리힐산부인과의원,2.6,종로구 대학로12길 4,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fstorep-phinf.pstatic.net%2Fcafe_004%2Foriginal_15.png%3Ftype%3Dp100_100,"[{'작성자': 'ㅋㅋ', '별점': '5.0', '날짜': '2025.02.21.', '내용': '방광염증상때문에 방문을 했는데 암검사,초음파도 할 시기가 지나서 겸사겸사 방문을 했습니다!\n제가 몰랐던 혹도 생겨서 놀랐지만 원장님께서 ... 더보기', '좋아요': '0'}, {'작성자': '🚨카페 오랑지 후기 조작중🚨', '별점': '5.0', '날짜': '2025.02.04.', '내용': '여기도 심하군요..근처에 성신여대쪽 ‘지인산부인과’ (후기 미제공인 병원)도 정말 비추합니다.. 진짜 상술 개심함', '좋아요': '1'}, {'작성자': '김우동', '별점': '1.0', '날짜': '2025.01.17.', '내용': '직원분들은 친절. 그러나 시스템 자체가 돈 되는 검사 기본으로 깔고 가려는 의도가 보임. 아무도 없는 병원에서 30분 이상 대기했고… 실장 만나서 먼저 상담하는데 당연하다는 듯이 검사하는 걸로 깔고 상담 시작… 질초... 더보기', '좋아요': '2'}]","{'금': '10:00 ~ 20:00', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '휴무일': '매주 일요일'}"
서울대학교병원 신경과,0.0,종로구 대학로 101,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '08:00 ~ 18:00', '토': '08:00 ~ 13:00', '일': '휴무일', '월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '휴무일': '공휴일'}"
본치과 의원,3.0,종로구 대학로12길 10,,"[{'작성자': '수', '별점': '1.0', '날짜': '2023.01.01.', '내용': '치위생사 1명이 유독 불친절', '좋아요': '0'}, {'작성자': '굼바구미', '별점': '1.0', '날짜': '2022.12.26.', '내용': '이 곳에서 교정했지만\n 현재 앞니 돌출이 개선되지 않고, 위 아랫니 사이 공간이 너무 커 이를 다물어도 치아 사이로 ... 더보기', '좋아요': '4'}, {'작성자': 'ell cheektos', '별점': '5.0', '날짜': '2020.11.14.', '내용': 'good job', '좋아요': '1'}]","{'금': '11:00 ~ 18:00', '토': '10:00 ~ 13:00', '월': '11:00 ~ 18:00', '화': '11:00 ~ 18:00', '수': '11:00 ~ 18:00', '목': '11:00 ~ 18:00'}"
이물비치과의원,1.0,종로구 동숭1길 12 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMTBfMTgw%2FMDAxNzM5MTY5ODcxNjA3.Y9VV3vteU09kLufcZJoAqjIHHgZUHBvq9CSU6H3j-Qgg.nXwuQCrTly9qWtTtDVBveRSEXFpWAbsEZ-NtyKEXBwEg.JPEG%2Ftyle-izv-01.jpg%3Ftype%3Dw966,"[{'작성자': '배', '별점': '1.0', '날짜': '2021.07.08.', '내용': '왜 치료 후에도 나아지는게 없죠.. ?', '좋아요': '0'}]","{'금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 21:00', '목': '09:30 ~ 18:30'}"
서울대학교병원 산부인과,1.0,종로구 대학로 101 본관 3층,,"[{'작성자': 'ㅤ', '별점': '1.0', '날짜': '2021.11.16.', '내용': 'https://n.news.naver.com/article/005/0001484211', '좋아요': '1'}]","{'금': '08:00 ~ 18:00', '토': '08:00 ~ 13:00', '일': '휴무일', '월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '휴무일': '공휴일'}"
서울청년클리닉,0.0,종로구 대학로 101 서울대학교병원 임상의학연구소,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
새생명한의원,5.0,종로구 율곡로19가길 3 3층,,"[{'작성자': '싸나이생도1', '별점': '5.0', '날짜': '2022.08.25.', '내용': '너무 친절 하십니다^^', '좋아요': '2'}, {'작성자': '안용주', '별점': '5.0', '날짜': '2020.02.20.', '내용': '선생님이 딱딱하고 정형화된 진료가아니라 친근감있고 알기쉽게 여기가 아픈데 여기여기를 치료하려는 이유를 설명해주시고 기계치료할때도 한번왔다 끝나는 알람소리에 오시는데 여러번 오셔서 기계조작 및 상태체크 해주시는게 좋았습니다', '좋아요': '3'}, {'작성자': 'Theo', '별점': '5.0', '날짜': '2018.03.08.', '내용': '친절하시고 잘봐주시네요', '좋아요': '3'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 12:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00'}"
바른이치과의원,1.0,종로구 율곡로 241-2 3층,,"[{'작성자': 'xstra71', '별점': '1.0', '날짜': '2022.04.15.', '내용': '처음가면 스케일링부터 하라고 함.\n권하는 치료 거부하면 안색돌변.\n치료중 누가... 더보기', '좋아요': '1'}]","{'금': '09:00 ~ 17:00', '월': '09:00 ~ 17:00', '화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00'}"
바이오인프라의원,0.0,종로구 율곡로 190 여전도회관 11층 1109호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fstorep-phinf.pstatic.net%2Fcafe_002%2Foriginal_10.gif%3Ftype%3Dpa50_50,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '08:30 ~ 17:00', '토': '휴무일', '월': '08:30 ~ 17:00', '화': '08:30 ~ 17:00', '수': '08:30 ~ 17:00', '목': '08:30 ~ 17:00', '휴무일': '매달 첫번째, 세번째, 다섯번째, 마지막 토요일'}"
위강원한의원,5.0,종로구 대학로 20,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA3MDZfMTU4%2FMDAxNjg4NjI2Mjg3MjAx.PU3C2wHaMWclQLFo_Fs6x8TIayTUnzobeLQ-ZNgdO-og.tOpYyJm-sGpVzibb6Zz6QlpNxbIMPgnMyjYPFBnoQ-8g.JPEG.rkdsoddlv%2FIMG_2375.jpg%3Ftype%3Dw773,"[{'작성자': '悠材', '별점': '5.0', '날짜': '2020.12.05.', '내용': '저희 엄마는 밤에 잠꼬대가 심하고 헛게 보이고 해서 일반 병원에 갔더니 신경안정제 처방해줘서 복용했으나 절대 낫지 않았는데 위강원한의원에서 지어준 한약을.드시고는 바로 좋아지셨다. 명의라고 생각되었다.', '좋아요': '1'}]","{'금': '10:00 ~ 18:30', '토': '10:00 ~ 17:00', '월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30'}"
기분좋은치과의원,4.7,종로구 대학로 19 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB6AA76DFBE83427AA8F44FD6F981220B,"[{'작성자': '은', '별점': '5.0', '날짜': '2024.11.08.', '내용': '치아가 아파서 급하게 방문 했는데 진료도 정말 꼼꼼히 봐주시고 마취도 하나도 안아팠어요.\n설명도 잘 해주셔서 이해 안 되는 ... 더보기', '좋아요': '0'}, {'작성자': '밍망뭉', '별점': '5.0', '날짜': '2024.11.05.', '내용': '연말이라 스케일링 받으러 갔어요.\n간김에 검진도 받고 충치치료도 했는데 친절히 잘 봐주시네요~\n리뷰이벤트도 진행중인 것 같아 선물도 받아왔습니다.', '좋아요': '0'}, {'작성자': '츅구러버', '별점': '5.0', '날짜': '2024.11.05.', '내용': '예약하고 방문했는데 의사선생님도 친절하시고 스케일링 해주신 치과위생사 선생님도 너무 친절하셨어요 2년망에 스케일링하는거라 무서웠는데 괜히 걱정했나싶어요 ㅎㅎ 충치있는 부분도있나 꼼꼼히 확인해주시고... 더보기', '좋아요': '0'}]","{'금': '10:00 ~ 20:00', '토': '휴무일', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '휴무일': '공휴일'}"
미래의원,5.0,종로구 종로41길 49 2층,,"[{'작성자': '박민호', '별점': '5.0', '날짜': '2024.05.29.', '내용': '우연히 들렸는데요. 너무 친절하셔서 병원을 다녀왔는데 기분이 좋아졌어요. 진짜 병원을 가는 느낌이랄까..ㅎㅎ하여튼 추천합니다.', '좋아요': '0'}, {'작성자': '김리나', '별점': '5.0', '날짜': '2024.04.04.', '내용': '설명을 잘 해 주십니다.', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
삼성화인마취통증의학과의원,4.7,종로구 대학로 13 스카이빌딩 3층,,"[{'작성자': '류현아', '별점': '5.0', '날짜': '2021.05.04.', '내용': '친절합니다', '좋아요': '1'}, {'작성자': '피곤함', '별점': '4.0', '날짜': '2020.11.08.', '내용': '원장님 친절하시고 이야기 잘 들어주십니다.', '좋아요': '1'}]","{'금': '09:00 ~ 18:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00'}"
