name,score,address,img_url,reviews,open_hour
연세솔이비인후과의원,4.6,종로구 지봉로 37-1 JS타워 1동 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD901CCA0B20D449DB5B3518D7C3552F4,"[{'작성자': '냠냠냠냠', '별점': '3.0', '날짜': '2025.02.21.', '내용': '의사선생님은 친절하셨어요! 대기시간도 별로 안 길었구요 근데 진짜 진료비 비싸네요..! 목구멍보시고 콧구멍벌려서 약넣어주셨는데 만원나왔어요', '좋아요': '0'}, {'작성자': '좋거나나쁠때리뷰씀', '별점': '4.0', '날짜': '2025.01.21.', '내용': '전반적으로는 만족합니다. 다만 의사쌤마다 대기시간 차이가 심해요.\n지금까지 한 5번 갔는데 매번 한 진료실 원장님만 대기가 엄청 길었어요. 이 동네 이사 오고 얼마 안 돼서... 더보기', '좋아요': '0'}, {'작성자': '으으', '별점': '5.0', '날짜': '2025.01.03.', '내용': '결혼식 막바로 전날, 죽어라퍼마셨던 술자리 다음날.. 매번 죽어가던 사람을 소생 시켜주신 이동원원장님..  진짜 감사합니다. 이사갔는데도 여기까지 찾아가서 1시간, 1시간30분 대기해가며 진료보려구 기다립... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '휴무일': '공휴일'}"
고려수내과의원,4.8,"종로구 종로 328 동대문빌딩 4,5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjZfMjU5%2FMDAxNzMyNjA5NTk2NjE3.1gkw220Oy6j2qCG50ftnFqydNwVGJAPW0kTug_CnztYg.2mT4mtIzqshYQ50ZlT3Ar-RxIjZuL1anncHOm5BSdO0g.PNG%2F241127_%25EA%25B3%25A0%25EB%25A0%25A4%25EC%2588%2598%25EB%2582%25B4%25EA%25B3%25BC_%25ED%2588%25AC%25EC%2584%259D%25ED%2599%2598%25EC%259E%2590%25EC%258B%259D%25EB%258B%25A8_%25EB%258C%2580%25EC%25A7%2580_1_%25EC%2582%25AC%25EB%25B3%25B8_4.png%3Ftype%3Dw966,"[{'작성자': '펄킴', '별점': '5.0', '날짜': '2024.09.20.', '내용': '처음 방문한 고려수내과 저의 병력을 친절하게 설명해주신 황태연원장님 감사했어요.. 담주 뵙겠습니다', '좋아요': '0'}, {'작성자': 'bd', '별점': '5.0', '날짜': '2024.08.21.', '내용': '야간투석 가능하고 병원도 커서 좋아요', '좋아요': '0'}, {'작성자': '임팀장', '별점': '5.0', '날짜': '2024.08.14.', '내용': '병원 깔끔하고 신장투석 전문이라 믿음이 가요.', '좋아요': '0'}]","{'토': '08:30 ~ 13:00', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30'}"
동묘더튼튼의원,,"종로구 종로 335 원풍빌딩 2,3층 201, 302호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F615E560FDEFB4B1195C7146E24A93E24,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '공휴일'}"
권안과의원,4.8,"종로구 종로 335-1 명제빌딩 4,5층",,"[{'작성자': '김준경', '별점': '5.0', '날짜': '2025.03.08.', '내용': '선생님이 친절하세요.', '좋아요': '0'}, {'작성자': 'sun', '별점': '5.0', '날짜': '2025.01.16.', '내용': '눈 염증으로 안과 여러곳 전전했는데, 여기가 제일 제 증상에 대해 속 답답하지 않게 명쾌하게 설명해주셨어요. 남자 원장님 친절하시고 좋았습니다.', '좋아요': '0'}, {'작성자': 'resemble', '별점': '5.0', '날짜': '2024.12.13.', '내용': '궁금한 점들 상세하게 납득 가게끔 설명해주시고, 인공눈물도 넉넉하게 처방해 주셔서 좋아요.', '좋아요': '0'}]","{'토': '09:30 ~ 13:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 13:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00'}"
비앤비클리닉,4.5,종로구 지봉로 43 허브클리닉빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1765394B4DDF2E1C22,"[{'작성자': '창희', '별점': '5.0', '날짜': '2025.03.12.', '내용': '좋아요~~', '좋아요': '0'}, {'작성자': 'Q_Q', '별점': '5.0', '날짜': '2025.03.11.', '내용': '여드름치료 받는 중인데 점점 호전되고 있는게 느껴져서 꾸준히 가게 되는것같아요!! 너무 좋습니다', '좋아요': '0'}, {'작성자': 'GilDDong', '별점': '5.0', '날짜': '2025.03.05.', '내용': '원장님 진짜 친절하시네요!', '좋아요': '0'}]","{'토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '휴무일': '공휴일'}"
한사랑안과의원,3.7,종로구 종로 335 원풍빌딩 4층,,"[{'작성자': 'zzzn', '별점': '1.0', '날짜': '2025.01.24.', '내용': '데스크 직원 쌰가지 없음 아오\n사람 머리 막 누르지 좀 마세요\n응대도 기분 나빴음', '좋아요': '0'}, {'작성자': '블라라', '별점': '2.0', '날짜': '2024.05.10.', '내용': '의사분이 불친절해요...', '좋아요': '0'}, {'작성자': '트루_', '별점': '5.0', '날짜': '2024.01.30.', '내용': '요즘 드문 친절하고 설명도 잘해주시는 의사선생님이네요 간호사분들도 엄청 친절하세요!', '좋아요': '0'}]","{'토': '09:30 ~ 12:30', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '휴무일': '공휴일'}"
유명한의원,5.0,종로구 지봉로5길 5 레스빌 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5D1265D68CA64EE6845B7186B99083AB,"[{'작성자': '성군', '별점': '5.0', '날짜': '2021.04.22.', '내용': '친절하고 성의있는 치료 추천합니다', '좋아요': '0'}, {'작성자': '하심', '별점': '5.0', '날짜': '2021.03.23.', '내용': '친절하고 잘 치료해주셔서 좋았습니다~', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 어린이날, 성탄절'}"
아이비여성의원,4.4,종로구 종로 339 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F33281131089544A6A56FBB91A741FD33,"[{'작성자': 'Oiia', '별점': '5.0', '날짜': '2025.02.07.', '내용': '생리통이 너무 심해서 검색해보다가 방문했눈데 여자 의사선생님이여서 불편함 없이 진료받았습니다! 데스크 분들도 친절하시고 환자 한명한명 신경쓴다는 것이 느껴져서 후기까지 남기게되었어요 ㅎㅎ', '좋아요': '0'}, {'작성자': '혜나', '별점': '5.0', '날짜': '2025.02.07.', '내용': '요즘 질염이 심해져서 다녀왔는데 여성 원장님께서 섬세하게 진료 봐주셔서 만족해용 실력도 좋으세요:)', '좋아요': '0'}, {'작성자': '옴', '별점': '5.0', '날짜': '2025.02.06.', '내용': '원장님 항상 설명 잘해주셔서 꾸준히 다니고 있습니다 직원분들도 안내 잘해주시구요  만족합니다~', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '휴무일': '공휴일'}"
삼성바른내과의원,3.8,종로구 지봉로 37-1 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4A638C845DA945DDAA9561843FAC3980,"[{'작성자': 'ㅇ.ㅇ', '별점': '1.0', '날짜': '2025.03.28.', '내용': '여기 가지마세요. 시간 돈 버립니다.\n아파서 갔는데 수액비가 7,7000원입니다.\n약 짓... 더보기', '좋아요': '0'}, {'작성자': '박태우', '별점': '5.0', '날짜': '2025.03.10.', '내용': '감기수액 맞고 너무 좋아졌습니다\n\n선생님들도 친절하... 더보기', '좋아요': '0'}, {'작성자': '맛집만 갑니다', '별점': '5.0', '날짜': '2025.03.05.', '내용': '간호사 의사 선생님 모두 친절하십니다 ^^', '좋아요': '0'}]","{'토': '08:00 ~ 13:00', '일': '휴무일', '월': '08:00 ~ 17:00', '화': '08:00 ~ 17:00', '수': '08:00 ~ 17:00', '목': '08:00 ~ 17:00', '금': '08:00 ~ 17:00', '휴무일': '공휴일'}"
미즈여성산부인과의원,,종로구 종로 335 원풍빌딩 3층 301호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMDNfMTYy%2FMDAxNjc1Mzg4MjgyMDM4.Ueg7apOvSGKPo8dYz5R0sKYtV_ixx6ihB_gebXg_XWQg.z6Fai0BwzPBGRmZqg9SPJ5Fov5atr_PWOPSjlbUNMYIg.JPEG.redrkawk2%2F%25EB%258F%2599%25EB%25AC%2598%25EC%2582%25B0%25EB%25B6%2580%25EC%259D%25B8%25EA%25B3%25BC004.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 18:30', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '휴무일': '공휴일'}"
