name,score,address,img_url,reviews,open_hour
서촌정신건강의학과의원,4.3,종로구 효자로7길 14 1층,,"[{'작성자': '타락천사', '별점': '2.0', '날짜': '2020.11.25.', '내용': '원장님은 친절하시나 치료가 안된다.', '좋아요': '1'}, {'작성자': 'ㅇㅈㄱ', '별점': '5.0', '날짜': '2020.05.11.', '내용': '편안하고 아늑해서 가는 것만으로도 힐링하는 것 같아요. 선생님도 친절하시고 대화가 잘 돼서 좋습니다. 다만 사람들이 많이 오기 시작하면서 상담시간은 좀 줄었어요. 그래도 약도 세심하게 조정해주시고 효과도 괜찮은 것 같아요', '좋아요': '0'}]","{'토': '휴무일', '일': '휴무일', '월': '휴무일', '화': '10:00 ~ 14:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '휴무일', '휴무일': '매주 월요일, 금요일, 토요일, 일요일'}"
공명한의원,5.0,종로구 자하문로 36,,"[{'작성자': '박성호', '별점': '5.0', '날짜': '2020.06.16.', '내용': '한의원은 세련되고 공진단은 효과가 좋아요!', '좋아요': '0'}, {'작성자': '윤동해', '별점': '5.0', '날짜': '2019.03.09.', '내용': '늘 감사합니다!', '좋아요': '0'}]","{'월': '10:30 ~ 18:30', '화': '10:30 ~ 18:30', '수': '10:30 ~ 18:30', '금': '10:30 ~ 18:30'}"
도반한방병원,4.6,"종로구 새문안로5가길 33 도반빌딩 2~12, 14층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FB2CB674092C44FC8814319440A9C4930,"[{'작성자': '름다리', '별점': '5.0', '날짜': '2025.03.25.', '내용': '식당에서 밥을 먹을지 병실에서 받아먹을지 결정도 할수잇고 아침점심저녁 다 잘나와서 초반에는 강제로 일어낫어요 밥이 워낙맛잇어서 놓치면 안돼요', '좋아요': '0'}, {'작성자': '기돌', '별점': '5.0', '날짜': '2025.03.17.', '내용': '무릎퇴행성이라 도반한방병원에서 자가골수줄기세포치료 받았습니다 선생님도 친절하시고 \n효과는 매우 빨리 회복되고 있습니다', '좋아요': '0'}, {'작성자': '정이', '별점': '4.0', '날짜': '2025.02.12.', '내용': 'NK면역활성도검사 받았습니다. nk세포에 관해서만 검사를 해주셔서 결과도 정확한 것 같네요 앞으로 치료 잘 받아야겠습니다 ^^;;', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
광화문하나이비인후과의원,3.0,종로구 자하문로2길 4 경복빌딩 5층,,"[{'작성자': '풍팡', '별점': '4.0', '날짜': '2024.03.27.', '내용': '오잉 저는 괜찮았는데 안좋은 후기가 많네요\n약이독하다는 의견이있는데 그만큼\n빨리나아요', '좋아요': '0'}, {'작성자': 'adelg', '별점': '1.0', '날짜': '2023.11.24.', '내용': '역근처라 급하면 가긴하는데 매반 처방약이 지나친 듯 언젠가는  임파선 약 복용하고 위 뒤집어져서 다른 내과갔음 \n그리고 쌤… 제 무릎에다 그 부위… 불편하고 불쾌했습니다 ㅜ', '좋아요': '0'}, {'작성자': 'JUNG', '별점': '1.0', '날짜': '2023.11.13.', '내용': '병원운영 이따구로 하지마쇼.\n의사면허 반납하시길\n\n다른병원가니까 축농증 아... 더보기', '좋아요': '1'}]","{'토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 13:00', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '휴무일': '매주 일요일'}"
한빛내과의원,3.1,종로구 사직로 107 한빛빌딩 3층,,"[{'작성자': '고영', '별점': '1.0', '날짜': '2025.03.25.', '내용': '간호사 쌤들은 친절한데 의사가 진료는 대충보고 무슨 짜증섞인 훈계를 하는건지 모르겠음. 환자가 더 잘 알아야 한다고요? 내가 그걸 알면 병원을 오겠냐고요. 다시는 가기 싫은 병원임', '좋아요': '0'}, {'작성자': '김준서', '별점': '5.0', '날짜': '2025.03.05.', '내용': '식사 후 혈당이 너무 많이 올라서 병원에서 검사를 받았는데 꼼꼼히 봐주셨어요.\n집에서 펩티드요법을 하면서 혈당을 관리하니 점점 정상 범위로 돌아오고 있어요. 감사합니다.', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2024.11.04.', '내용': '모두 엄청 친절하세요!', '좋아요': '0'}]","{'토': '08:00 ~ 13:00', '일': '휴무일', '월': '08:00 ~ 17:00', '화': '08:00 ~ 17:00', '수': '08:00 ~ 19:00', '목': '08:00 ~ 17:00', '금': '08:00 ~ 17:00', '휴무일': '공휴일'}"
박효대내과의원,3.1,종로구 자하문로2길 4 경복빌딩 2층 203호,,"[{'작성자': '깜냥', '별점': '5.0', '날짜': '2024.12.13.', '내용': '너무 친절하고 편안해요. 첫번째는 대상포진이 의심돼서, 두번째는 독감접종하러 갔었어요. 진료 꼼꼼히 봐주시고 분위기가 정말 편안합니다. 나이 지긋하신 두분이 운영하고 계세요. 오래 하셨으면 좋겠어요.', '좋아요': '0'}, {'작성자': '쏘다', '별점': '3.0', '날짜': '2024.06.05.', '내용': '후기가 다 왜이러나 했는데 진짜 데스크, 의사선생님 두분이 80대 중후반으로 보임.. 다리 절뚝거리시는 할머니고 자매이신듯?? 닮았음 귀여우심 ㅎㅎ 근데 이제 제대로 약을 주시나에... 더보기', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '4.0', '날짜': '2024.04.09.', '내용': '감기 1주일 동안 안 낫던 거 먹자마자 금방 호전증상 보였어요  진심으로 아픈 걸 공감해주시고, 걱정을 많이 하세요🤭... 더보기', '좋아요': '0'}]","{'토': '08:30 ~ 15:00', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '휴무일': '매주 일요일'}"
경복궁 경희한의원,4.2,종로구 자하문로2길 4 경복빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyMjA4MDhfMTIg%2FMDAxNjU5OTIyNzY1ODYy.IGiTWJrPkyjJWevYVujcZiap8FCBIGGAiEm1lhrCg04g.HR2VPv7E_fo6qZUfTUzmz-WSH21KJiY-Ofa9xZt_IPgg.JPEG.gbgacu2%2FSE-bd8a9a62-7e83-4116-a1c6-124b08a2910f.jpg%3Ftype%3Dw1,"[{'작성자': '민2맘', '별점': '5.0', '날짜': '2024.07.12.', '내용': '만성두통클리닉 통증치료 \n\n항상 친절하시고\n과잉 진료  ... 더보기', '좋아요': '0'}, {'작성자': '다먹고죽는다', '별점': '1.0', '날짜': '2024.02.21.', '내용': '여기 좀 신기해요ㅋㅋ 맥도 안 잡고 제가 ㅇㅇ같아요 하니까 그럴수있다 하고 바로 침 놔줬어요..;; 환자가 말한대로 진료해주는 곳도 있나요? 엥? 맥 안 잡아주는 병원은 처음이에요', '좋아요': '3'}, {'작성자': '미숙한 미식가', '별점': '1.0', '날짜': '2023.12.23.', '내용': '보통 한의원 다녀오면 즉각적인 효과는 있던데(그 효과가 오래 가진 못해도) 여긴 그마저도 없어서 신기할 따름. 밑에 댓글알바들 쓴 건지 의심될 정도. 유일한 장점=진료봐주신 선생님은 친절하심! 그런데 데스크에 안경 낀 통통한... 더보기', '좋아요': '2'}]","{'토': '09:00 ~ 17:00', '일': '09:00 ~ 17:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
큰나무정형외과의원,2.4,종로구 자하문로2길 4 경복빌딩 3층,,"[{'작성자': '박지영예찬승찬맘', '별점': '1.0', '날짜': '2025.03.18.', '내용': '별이 없는 것도  있다면  체크하고  싶을 정도..\n환자말은 듣지않고 자기 말만~~불친절  그이상', '좋아요': '0'}, {'작성자': '안세진 Phillip Ahn', '별점': '5.0', '날짜': '2024.10.02.', '내용': '친절한데 평점이 왜이리 낮죠? 엄청 자세히 설명해주시고 과잉진료도 안하시네요 저는 너무 만족스럽습니다^^', '좋아요': '0'}, {'작성자': '잠 안 오면 후기쓰는 사람', '별점': '5.0', '날짜': '2024.09.30.', '내용': '큰사고는 아니었지만 살면서 이렇게 피가 많이 난 적이 없어서 경황이 없었는데요. 제가 떨고 있으니 담요 덮어주신 간호사 선생님, 처치하는 동안 계속 괜찮다고 진정시켜주신 의사선생님 덕분에 정... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '휴무일': '공휴일'}"
제중안과의원,1.9,종로구 자하문로2길 4 302호,,"[{'작성자': '찐', '별점': '5.0', '날짜': '2025.03.28.', '내용': '회사근처여서 가봤는데 전 좋았습니다!!\n의사쌤은 진료 잘봐주시면 그게 최고아닌가 싶은데... 그렇게 후기처럼 불친절하지도 않으셨어... 더보기', '좋아요': '0'}, {'작성자': '훗또막기', '별점': '1.0', '날짜': '2025.02.12.', '내용': '진작에 후기 보고 연락 해볼걸 그랬어요. 불친절하다는 평이 많네요. 7시까지 진료본다기에 6시 조금 넘어 방문하길 원한다고 했더니, 6시 전 방문 안하면 접수 불가하다 딱 잘라 말씀하시는데 너무 사무... 더보기', '좋아요': '0'}, {'작성자': '박정우', '별점': '1.0', '날짜': '2024.08.07.', '내용': '이딴 병원이 왜 있는지 의문입니다. 근처에서 각막이 까져서 급하게 갔는데 제대로 된 진료도 없고 응대도 정말 최악으로 불친절했습니다. 안약 처방이랑 마취만 해주고 끝이길래 이걸로 괜찮은거 맞냐 물었더니... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30'}"
시중한의원,4.2,종로구 자하문로 11-1 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MzBfMjM3%2FMDAxNzIyMzUwMzY4OTY5.IPGaXGhXVPZkKZx9MngjitmTNKeS6pyblHgzAJlqBEYg.yzzXKMxsqauS9FbgY7Lw9aVaauS9ebqczvP3Jn-Brlsg.PNG%2F%25EC%25A7%2580%25ED%2595%2598%25EC%25B2%25A0_3%25ED%2598%25B8%25EC%2584%25A0_%25EA%25B2%25BD%25EB%25B3%25B5%25EA%25B6%2581%25EC%2597%25AD_2%25EB%25B2%2588_%25EC%25B6%259C%25EA%25B5%25AC_%25EC%2595%259E_%25EB%25B2%2584%25EC%258A%25A4%25EC%25A0%2595%25EB%25A5%2598%25EC%259E%25A5%25EC%2597%2590_%25EC%259E%2588%25EC%258A%25B5%25EB%258B%2588%25EB%258B%25A4._(1).png%3Ftype%3Dw966,"[{'작성자': '유동커피', '별점': '1.0', '날짜': '2024.04.17.', '내용': '크게 치료효과가 느껴지지는 않네요.', '좋아요': '0'}, {'작성자': '전강석', '별점': '5.0', '날짜': '2023.08.08.', '내용': '엘보우와 손목인대, 무릎 치료 받았는데 전문지식을 갖춘 원장님이 세심한 시술을 꾸준히 해주셔서 충분히 만족스런 결과를 얻었습니다. 환자와 의사의 신뢰가 자연스럽게 형성됩니다.', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2022.11.04.', '내용': '전문성을 가진 의사선생님이 꼼꼼하고 세심하게 충분한 시간을 가지고 봐주심. 특히, 침 잘 놓으심. \n데스크에 계신 선생님도 친절하시고,... 더보기', '좋아요': '0'}]","{'토': '09:30 ~ 14:30', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 어린이날, 성탄절'}"
