name,score,address,img_url,reviews,open_hour
로이병원,3.2,"종로구 평창문화로 75 글로리아타운 2, 3, 5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMzBfMjQ0%2FMDAxNzM1NTQ5OTk2NDk2.Cq8nzNGH44eodZVce7q8AHwWE6OHyF7zGeiNUmhGvqQg.QT3-Y3laJgYtHsJ5Zeyh8KWGTCjd_zbtn-rSLxafcZwg.JPEG%2FSE-CEC27161-4F5C-4DF6-9C53-09B40A6B80B3.jpg%3Ftype%3Dw773,"[{'작성자': '쭈-웅', '별점': '1.0', '날짜': '2024.11.24.', '내용': '여자 선생님이 정말 불친절함.\n몰라서 물어보러갔는데 그것도 모르냐는 식으로\n짜증내며 여기 왜 왔냐는 식으로 진료를 보시더라... 더보기', '좋아요': '0'}, {'작성자': '손광훈', '별점': '5.0', '날짜': '2023.07.11.', '내용': '재활은 본인의 절실함에 정비례한다.', '좋아요': '0'}, {'작성자': '냠', '별점': '5.0', '날짜': '2023.06.10.', '내용': '대표원장님 친절하고 자세하게 진료 봐주심', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '휴무일': '공휴일'}"
코숨한의원 서울종로본점,3.5,종로구 평창길 330,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6818D1CE3E5246FCBEC52F2390EB51D7,"[{'작성자': 'ㄱㄱ', '별점': '5.0', '날짜': '2025.01.06.', '내용': '제주도에서 코막힘으로  엄청나게 고생했는데\n우연찬게 알게되어  치료중입니다\n이비인후... 더보기', '좋아요': '0'}, {'작성자': 'ㅡ', '별점': '2.0', '날짜': '2023.07.13.', '내용': '침이 일시적이고 사혈하고 코에 20회를 맞는다 하더라도 비용도 그렇고 유지기간은 장담을 못하니 별 뺏어요.', '좋아요': '0'}, {'작성자': '후니', '별점': '5.0', '날짜': '2022.11.05.', '내용': '목 편도가 좋지 않았는데 약물로만 할때랑 차원이 다르다 너무 좋다. 목도 아침마다 좋지 않았는데 테이프 붙이고 아침이 상쾌하다', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '휴무일', '금': '09:00 ~ 18:00', '휴무일': '1월1일'}"
평창다인치과,5.0,종로구 평창문화로 39 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7c9bf4047b8564ce3ac7cd3089b4c71eb591c108%3Foriginal,"[{'작성자': '류~', '별점': '5.0', '날짜': '2024.08.27.', '내용': '친절하고 오랜경험에서 나오는 치료도 좋았다', '좋아요': '0'}, {'작성자': '최동준', '별점': '5.0', '날짜': '2024.03.26.', '내용': '친절해요.', '좋아요': '0'}, {'작성자': 'onest', '별점': '5.0', '날짜': '2022.09.10.', '내용': '원장님을 포함한 직원 분들 모두 친절하십니다.', '좋아요': '0'}]","{'토': '10:00 ~ 14:00', '월': '10:00 ~ 18:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00'}"
올림한의원 Olim clinic,5.0,"종로구 평창2길 2 1층, 지하1층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8C961F39FDC24635917E606A91E50117,"[{'작성자': 'Su', '별점': '5.0', '날짜': '2023.09.01.', '내용': '원장님이 진맥도 잘잡고 아픈곳뿐 아니라 전반적인 건강체크도 같이 해주셨어요.  친절하게 차근히 설명도 잘해주셨고, 건강보험으로도 된대요. 엘리베이터도 있어서 휠체어 타시는 어르신모시고 들려도 괜챤을것같아요.', '좋아요': '1'}, {'작성자': '나유진', '별점': '5.0', '날짜': '2022.10.27.', '내용': '보약먹고 좋아서 후기남겨요.\n피곤하고 머리가 아팠는데 설명도 잘해주시고\n친절... 더보기', '좋아요': '1'}, {'작성자': '오성민', '별점': '5.0', '날짜': '2022.07.23.', '내용': '원장님! 진료 받고 몇칠동안 그토록 심하게 아파던 허리가 신기하게 감쪽같이 치유되었습니다.^^\n난생 처음 한의원을 방문하였는데 정말 치료 잘해주... 더보기', '좋아요': '1'}]","{'토': '09:00 ~ 13:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '휴무일': '공휴일'}"
김창윤정신건강의학과의원,3.7,종로구 평창7길 90 2층,,"[{'작성자': 'talka', '별점': '1.0', '날짜': '2025.01.11.', '내용': '안 간 지는 꽤 됐지만 아직도 상처로 남아있어요.', '좋아요': '0'}, {'작성자': '미써니', '별점': '5.0', '날짜': '2023.06.21.', '내용': '좋은선생님을 만난게 행운이라는 생각이 드네요.\n자세하게 설명해주시고 친절하시며. 전문성이 높으셔서 믿음... 더보기', '좋아요': '0'}]","{'토': '09:30 ~ 14:00', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00'}"
일송정한의원,,종로구 비봉길 5 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMzFfNDEg%2FMDAxNzM1NjA3MjEyNDA0.3pKD-s-nYlHz1jgbUNpd8eXOQOHtG-7GGn1vvbMFHZYg.qr4HRX_jRlnKQ6aS0ibUoCJijd9tzW3cSlhKd9_OV20g.JPEG%2F%25EC%259D%25B4%25EC%2598%2581%25EC%2595%25A0_%25EC%2584%25A4%25EB%2582%25A0_%25EC%259D%25B4%25EB%25B2%25A4%25ED%258A%25B8_%25ED%2599%258D%25EB%25B3%25B4_%25EC%259D%25B4%25EB%25AF%25B8%25EC%25A7%2580_4.jpg%3Ftype%3Dw466,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:30 ~ 16:00', '일': '09:30 ~ 16:00', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 성탄절'}"
평화가정의원,2.5,종로구 진흥로 432 요진오피스텔쉐레이 2층 201호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC0CA138589D440E39440BFDF57841F5F,"[{'작성자': '밀크티하루1잔', '별점': '2.0', '날짜': '2025.01.02.', '내용': '다신 안갑니다 조금 더 멀리 가고 말겠습니다', '좋아요': '0'}, {'작성자': '쿨냥', '별점': '5.0', '날짜': '2024.07.20.', '내용': '근처에서 갑자기 다쳐서 급히 방문하게 되었는데 선생님도 친절하시고 전체적으로 다 좋았습니다. 많이 놀랐는데 치료 받고 금방 안심되었어요. 감사합니다!', '좋아요': '0'}, {'작성자': '하늘소망', '별점': '1.0', '날짜': '2023.11.20.', '내용': '링겔 맞을 때 손 침대 안쪽으로 놓으세요. 환자 손가락에 갖다 댑니다.ㅜㅜ 소름.', '좋아요': '0'}]","{'토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '휴무일': '공휴일'}"
신영연세의원,3.3,종로구 평창11길 3,,"[{'작성자': '김jw', '별점': '1.0', '날짜': '2024.10.05.', '내용': '항상 화나있고\n말자르고\n무시하는 말투', '좋아요': '0'}, {'작성자': 'kimho86', '별점': '5.0', '날짜': '2024.06.30.', '내용': '꼼꼼하게 설명해주시고 오랫동안 한의원에서도 잘 났지 않던 두통이 주사 치료로 호전이 많이 됐습니다.', '좋아요': '0'}, {'작성자': '으네', '별점': '5.0', '날짜': '2024.06.21.', '내용': '정확하고 꼼꼼하게 잘 진단해 주세요. 처방 잘 해주셔서 증상이 호전 됐습니다.', '좋아요': '0'}]","{'토': '09:00 ~ 12:30', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
우정의원,5.0,종로구 진흥로22길 3 2층,,"[{'작성자': '제프님', '별점': '5.0', '날짜': '2022.06.14.', '내용': '자상한 아빠같은 의사 선생닙 입니다.', '좋아요': '0'}, {'작성자': 'Leah', '별점': '5.0', '날짜': '2018.11.02.', '내용': '의사선생님 진짜 좋으세요', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '휴무일': '공휴일'}"
옹상욱치과,3.7,종로구 평창문화로 75,,"[{'작성자': '화이팅', '별점': '5.0', '날짜': '2024.11.28.', '내용': '여기 치과 최고입니다. 아래 안 좋은 리뷰가 있어서 반신반의 했는데.. 얼마나 더 만족을 바라는건지 오히려 의심이 가네요. 상업성에 빠진 병원들이 판치는 곳에서 이런 치과 찾아보기 힘듭니다.  최고 점수를 주고 싶습니다.', '좋아요': '0'}, {'작성자': '하늘소망', '별점': '5.0', '날짜': '2023.03.15.', '내용': '원장님 철학을 알면 다른 치과 못갑니다.\n다른 곳도 여러곳 다녀봤지만 여기 원장님은 다른 치과들처럼 임플란트도 권하지 않고 금이나 세라... 더보기', '좋아요': '1'}, {'작성자': '먹기위해 사는 사람', '별점': '1.0', '날짜': '2023.03.11.', '내용': '아직도 안망했나요? 여기 진짜 불친절의 끝 ㅡㅡ 한번가고 안가요. 스케일링하는데 이가 뽑히는줄 알았어요 진심; 진짜 무식하게 막하심.. 스케일링 몇번 안해봐서 원래이런가 했는데 다른치과 가보니까 여기가 막하는거 알았어요', '좋아요': '0'}]","{'토': '09:30 ~ 12:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00'}"
