name,score,address,img_url,reviews,open_hour
세검정한의원,3.0,종로구 세검정로6길 8 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F1760B9C1E3984DB7B6930468761D3E5B,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일'}"
세검정연세가정의학과의원,2.5,종로구 세검정로6길 104 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD807B8E090E3439283CC08D0A32591F0,"[{'작성자': '김현우', '별점': '1.0', '날짜': '2024.11.07.', '내용': '간호사가 최악이네요. 환자와 보호자 무시하는 발언을 하는 병원이라 다시는 안 갈 예정입니다', '좋아요': '2'}, {'작성자': '무위자', '별점': '1.0', '날짜': '2024.10.15.', '내용': '공감능력이 전혀 없는 의사임. 환자 말은 다 듣지도 않고 본인 이야기만 함. 궁금한게 해결이 안되서 다시 물어봤는데 정신과 가보라는 소리 듣고 황당했음. 진료도 제대로 안봐주면서 자기 병원... 더보기', '좋아요': '2'}, {'작성자': '슈슈', '별점': '1.0', '날짜': '2024.05.03.', '내용': '애가체끼가 있어 얼굴이 하얘져서 갔는데\n마스크는 제대로 쓰지도않고 실실 웃으면서\n어린이집 가기싫어서... 더보기', '좋아요': '4'}]","{'토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
부암치과의원,5.0,종로구 자하문로 266 222호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAzMDFfMTc3%2FMDAxNzA5MjIyMDE2OTQ2.koL1WXxnnDziziDFZ2pVJtgrXkWzEWyciomwKvS6ty4g.Muod_RfDil-CV-RGi19_K-tUaskvDDO9S87i-qguaKQg.JPEG%2F%25EB%25B6%2580%25EC%2595%2594%25EC%25B9%2598%25EA%25B3%25BC.jpg%3Ftype%3Dw966,"[{'작성자': '미스터,Boo', '별점': '5.0', '날짜': '2023.04.21.', '내용': '간호사님 친절 하시고요\n원장님 환자 입장에서\n치료해 ... 더보기', '좋아요': '0'}, {'작성자': '⌬정 ⃢모', '별점': '5.0', '날짜': '2021.03.15.', '내용': '예약필수', '좋아요': '0'}, {'작성자': 'G', '별점': '5.0', '날짜': '2020.11.25.', '내용': '실력 좋고 친절하고 깨끗하고.. 넘 좋네요\n주차도 되고.. 예약필수(환자많음)', '좋아요': '0'}]","{'토': '10:00 ~ 13:00', '월': '10:00 ~ 17:30', '화': '10:00 ~ 17:30', '수': '10:00 ~ 13:00', '목': '10:00 ~ 17:30', '금': '10:00 ~ 16:30'}"
부암한의원,5.0,종로구 자하문로 266 타임730빌딩 232호,,"[{'작성자': '♡""', '별점': '5.0', '날짜': '2024.12.10.', '내용': '10년 넘도록 단골 한의원! 예약 필수고 여한의사 선생님이셔서 편하게 갑니다.', '좋아요': '0'}]","{'토': '09:50 ~ 12:30', '월': '09:50 ~ 17:00', '수': '09:50 ~ 17:00', '금': '09:50 ~ 17:00'}"
우정의원,5.0,종로구 진흥로22길 3 2층,,"[{'작성자': '제프님', '별점': '5.0', '날짜': '2022.06.14.', '내용': '자상한 아빠같은 의사 선생닙 입니다.', '좋아요': '0'}, {'작성자': 'Leah', '별점': '5.0', '날짜': '2018.11.02.', '내용': '의사선생님 진짜 좋으세요', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '휴무일': '공휴일'}"
베스트의원,5.0,서대문구 홍은중앙로 100-1 2층,,"[{'작성자': '맛있는거만좋아함', '별점': '5.0', '날짜': '2021.07.09.', '내용': '백신 맞았는데 친절하세요', '좋아요': '1'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
홈메디칼의원,3.3,서대문구 홍은중앙로8길 17,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAxMTdfMTc3%2FMDAxNjczOTQ4NzAwMTQ1.owJ8N5jtQdJK1bAlEeWJj6WexZCMxtBdQcAxT__ic98g.Zk_DJgbvQTCcxJJDYgPIWkxpsMKliX21kCwONkQXBPEg.JPEG.jangan2351%2F1.jpg%3Ftype%3Dw966,"[{'작성자': '제시켜알바니까', '별점': '1.0', '날짜': '2023.11.12.', '내용': '간호사님들 친절하시다\n근데 환자가 진료에 불만이 생기면 개때가 되더라\n간호자격증없는 조무사인데 원장에게 의문이 생기면 간호사들이 ... 더보기', '좋아요': '0'}, {'작성자': 'YoungMan', '별점': '1.0', '날짜': '2023.05.22.', '내용': '근육파열로 내원하고 1주일 뒤 상태.. 깁스해야하지 않냐고 물어보니 뼈가 아니라서 상관없단다. 그리고 3일치 항생제 처방해주고 끝.. 일주일이 지나도 상태는 ... 더보기', '좋아요': '0'}, {'작성자': '1', '별점': '5.0', '날짜': '2023.01.11.', '내용': '도수치료 잘 받고 가요 ㅎㅎ 불편했던 부분이 덕분에 많이 나아졌답니다! 통증으로 불편함을 느끼셨던 분들께 정말 강추해요!', '좋아요': '1'}]","{'토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
홍은연세림치과의원,0.0,서대문구 홍은중앙로 100 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:30 ~ 12:30', '월': '09:30 ~ 18:00', '화': '09:30 ~ 21:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00'}"
평창다인치과,5.0,종로구 평창문화로 39 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7c9bf4047b8564ce3ac7cd3089b4c71eb591c108%3Foriginal,"[{'작성자': '류~', '별점': '5.0', '날짜': '2024.08.27.', '내용': '친절하고 오랜경험에서 나오는 치료도 좋았다', '좋아요': '0'}, {'작성자': '최동준', '별점': '5.0', '날짜': '2024.03.26.', '내용': '친절해요.', '좋아요': '0'}, {'작성자': 'onest', '별점': '5.0', '날짜': '2022.09.10.', '내용': '원장님을 포함한 직원 분들 모두 친절하십니다.', '좋아요': '0'}]","{'토': '10:00 ~ 14:00', '월': '10:00 ~ 18:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00'}"
올림한의원 Olim clinic,5.0,"종로구 평창2길 2 1층, 지하1층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8C961F39FDC24635917E606A91E50117,"[{'작성자': 'Su', '별점': '5.0', '날짜': '2023.09.01.', '내용': '원장님이 진맥도 잘잡고 아픈곳뿐 아니라 전반적인 건강체크도 같이 해주셨어요.  친절하게 차근히 설명도 잘해주셨고, 건강보험으로도 된대요. 엘리베이터도 있어서 휠체어 타시는 어르신모시고 들려도 괜챤을것같아요.', '좋아요': '1'}, {'작성자': '나유진', '별점': '5.0', '날짜': '2022.10.27.', '내용': '보약먹고 좋아서 후기남겨요.\n피곤하고 머리가 아팠는데 설명도 잘해주시고\n친절... 더보기', '좋아요': '1'}, {'작성자': '오성민', '별점': '5.0', '날짜': '2022.07.23.', '내용': '원장님! 진료 받고 몇칠동안 그토록 심하게 아파던 허리가 신기하게 감쪽같이 치유되었습니다.^^\n난생 처음 한의원을 방문하였는데 정말 치료 잘해주... 더보기', '좋아요': '1'}]","{'토': '09:00 ~ 13:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '휴무일': '공휴일'}"
