name,score,address,img_url,reviews,open_hour
삼성화인마취통증의학과의원,4.7,종로구 대학로 13 스카이빌딩 3층,,"[{'작성자': '류현아', '별점': '5.0', '날짜': '2021.05.04.', '내용': '친절합니다', '좋아요': '1'}, {'작성자': '피곤함', '별점': '4.0', '날짜': '2020.11.08.', '내용': '원장님 친절하시고 이야기 잘 들어주십니다.', '좋아요': '1'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
위강원한의원,5.0,종로구 대학로 20,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA3MDZfMTU4%2FMDAxNjg4NjI2Mjg3MjAx.PU3C2wHaMWclQLFo_Fs6x8TIayTUnzobeLQ-ZNgdO-og.tOpYyJm-sGpVzibb6Zz6QlpNxbIMPgnMyjYPFBnoQ-8g.JPEG.rkdsoddlv%2FIMG_2375.jpg%3Ftype%3Dw773,"[{'작성자': '悠材', '별점': '5.0', '날짜': '2020.12.05.', '내용': '저희 엄마는 밤에 잠꼬대가 심하고 헛게 보이고 해서 일반 병원에 갔더니 신경안정제 처방해줘서 복용했으나 절대 낫지 않았는데 위강원한의원에서 지어준 한약을.드시고는 바로 좋아지셨다. 명의라고 생각되었다.', '좋아요': '1'}]","{'토': '10:00 ~ 17:00', '월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30'}"
신일한의원,0.0,종로구 종로35길 25,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '10:00 ~ 15:00', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00'}"
연세해맑은치과의원,0.0,종로구 대학로 13 스카이빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEwMjRfMTE1%2FMDAxNjk4MTA0NzE4NjE1.m3Au4HjEQXtvnNJS62wPteZ7S_EoaVa90dzxN2nlVMIg.KoPjTRkO1P58AaGvFj7XjHJ_HaAVpE06Xg_sEWSeKE8g.JPEG.nester99%2FScreenshot%25EF%25BC%25BF20231024%25EF%25BC%25BF084149%25EF%25BC%25BFNaver_Map.jpg%3Ftype%3Dw466,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:30 ~ 13:00', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30'}"
성제한의원,4.5,종로구 대학로2길 45,,"[{'작성자': 'Golf player', '별점': '5.0', '날짜': '2024.10.25.', '내용': '정말 오래 다녔는데 실력 최고세요. 친절하시기도 하구요!', '좋아요': '0'}, {'작성자': '김성주', '별점': '5.0', '날짜': '2024.09.24.', '내용': '이곳은 작고 좁다.\n하지만, 진료와 친절은 최고다.', '좋아요': '0'}, {'작성자': 'Nairobi', '별점': '3.0', '날짜': '2022.09.22.', '내용': '허리아파 치료중~', '좋아요': '0'}]","{'토': '09:30 ~ 15:00', '월': '09:30 ~ 17:30', '화': '09:30 ~ 17:30', '수': '09:30 ~ 17:30', '목': '09:30 ~ 17:30', '금': '09:30 ~ 17:30'}"
남일한의원,0.0,종로구 종로35가길 30,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
선치과의원,5.0,종로구 대학로 20 1층,,"[{'작성자': '평가왕', '별점': '5.0', '날짜': '2024.11.02.', '내용': '악치과 만들어주소', '좋아요': '0'}, {'작성자': 'Gordon', '별점': '5.0', '날짜': '2022.05.11.', '내용': '어릴적 부터 치아가 안좋아 여러 치과를\n다녀 보았으나 여기선생님 처럼 꼼꼼히 \n봐주시는... 더보기', '좋아요': '1'}, {'작성자': '수진:P', '별점': '5.0', '날짜': '2019.11.25.', '내용': '최고', '좋아요': '0'}]","{'토': '10:00 ~ 12:00', '월': '09:00 ~ 17:00', '화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00'}"
동보한의원,0.0,종로구 종로35길 35,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
홍성한약방,0.0,종로구 종로35길 36,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
도성 한약방,0.0,종로구 대학로2길 65-4,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
