name,score,address,img_url,reviews,open_hour
연세웰이비인후과의원,3.8,중구 남대문로10길 9 경기빌딩 203호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F59BCC86734FD480DBBE5DDC674FF47E2,"[{'작성자': '햄스터', '별점': '5.0', '날짜': '2025.01.04.', '내용': '약이 잘 들어서 금방 나았어요', '좋아요': '0'}, {'작성자': 'Yn', '별점': '2.0', '날짜': '2024.10.18.', '내용': '병원은 깔끔하고 친절하시고 좋은데...\n중요한건 잘 낫지 않아요. 초기에 가볍게 잡아질 병을 키우는 느낌이라고 해야 하나?\n솔직히 추천은 못하겠습니다.', '좋아요': '1'}, {'작성자': '햅삐', '별점': '5.0', '날짜': '2024.02.29.', '내용': '약발 너무 잘 받아요🤍 감기걸리면 무조건 여기! 담에 체력떨어지면 수액 맞으러 갈게요~!', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '휴무일', '휴무일': '공휴일'}"
을지로신경외과의원,4.6,중구 남대문로10길 9 경기빌딩 3층 302~304호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F52CF926AAF8049FFB0C7F941C45123FA,"[{'작성자': '쩝쩝박사', '별점': '5.0', '날짜': '2024.12.20.', '내용': '직장근처라 검색하고 방문했습니다! 솔직히 카카오맵 평점이 좋기가 힘든데 병원측에서 관리하고 사기 치는 곳이 많아 반신반의로 갔어요~! 후기에 좋아요도 누... 더보기', '좋아요': '1'}, {'작성자': '쿵철', '별점': '5.0', '날짜': '2024.12.09.', '내용': '설명 자세히 잘해주시고 과잉진료도 없어요\n왜 평점이 좋은지 알겠어요', '좋아요': '1'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.08.01.', '내용': '제가 가본 정형외과 중에 최고예요👍🏻\n일단 사람 없고 조용해서 너무 좋고 대기없이 바로 들어갈 수 있습니다. 전화예약은 미리했어요.\n... 더보기', '좋아요': '2'}]","{'일': '휴무일', '월': '09:30 ~ 20:00', '화': '09:30 ~ 20:00', '수': '09:30 ~ 20:00', '목': '09:30 ~ 20:00', '금': '09:30 ~ 20:00', '토': '10:00 ~ 14:00', '휴무일': '공휴일'}"
황혜경치과의원,2.3,중구 남대문로10길 9,,"[{'작성자': 'jj', '별점': '1.0', '날짜': '2021.12.21.', '내용': '불친절', '좋아요': '0'}, {'작성자': '붉은오렌지', '별점': '5.0', '날짜': '2021.06.29.', '내용': '간호사가 바뀌었을까요? 다른 분 리뷰와 달리 저는 가보니 다 친절하더라고요. \n의사선생님도 편하게 해주시고 잘 설명해주셔서 저는 이제 여기로만 가려고 합니다. \n저... 더보기', '좋아요': '0'}, {'작성자': 'Nolza', '별점': '1.0', '날짜': '2020.08.20.', '내용': '간호사들이 친절했으면.. 예약 안하고 가면 좋아하지 않는 눈초리에 매우 뻘쭘해짐. 의사샘은 실력은 있으신 듯 하지만 역시나 물어보기가 엄하고 환자가 엄살을 부리는 것 같은 기분에 눈치를 보게 됨. 총평 불편.', '좋아요': '1'}]","{'월': '10:00 ~ 16:00', '화': '10:00 ~ 16:00', '수': '10:00 ~ 16:00', '금': '10:00 ~ 16:00', '토': '10:00 ~ 13:00'}"
을지로 신경외과,0.0,중구 남대문로10길 9,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
센터원지앤이내과의원,4.4,중구 을지로5길 26 미래에셋 센터원 지하1층 외부 계단 옆,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fstorep-phinf.pstatic.net%2Fogq_5f16947276e59%2Foriginal_1.png%3Ftype%3Dp100_100,"[{'작성자': '최종현.Gio=Joy', '별점': '5.0', '날짜': '2025.03.28.', '내용': '3가지 진료를 동시에 했으나, 잘 처방해주심. 그러나 많은 대기인원이 있어 타이밍을 잘 맞춰가야함(빠르게 빠지는 편). AC처방해주셔서 감사합니다😘', '좋아요': '0'}, {'작성자': '최성훈', '별점': '5.0', '날짜': '2025.03.05.', '내용': '식사 후 혈당이 너무 많이 올라서 병원에서 검사를 받았는데 꼼꼼히 봐주셨어요.\n집에서 펩티드요법을 하면서 혈당을 관리하니 점점 정상 범위로 돌아오고 있어요. 감사합니다.', '좋아요': '0'}, {'작성자': '이런이런', '별점': '1.0', '날짜': '2025.02.25.', '내용': '피검사했는데 의사선생님 너무너무 불친절해요..\n병 치료하러 병원갔는데 화병얻어서 올 판이에요.. 다른 병원 가시길..ㅠ 극심한 스트레스입니다 증말', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '휴무일', '휴무일': '공휴일'}"
을지로정형외과의원,4.3,중구 을지로 55 교원명동빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FDD3CCD00E3DD43C2868551591DE2B592,"[{'작성자': '엉따켜줘', '별점': '5.0', '날짜': '2025.03.20.', '내용': '내성발톱을 어떻게 어디서 치료받아야 하나 고민하다가 후기 보고 찾아갔는데 잘 치료해 주셔서 솔직히 좀 감동이었어요 감사합니다!', '좋아요': '0'}, {'작성자': '김서준', '별점': '5.0', '날짜': '2025.03.18.', '내용': '어머니 오십견 증상 있으셔서 모시고 다녀왔습니다 친절하게 설명해주시고 어떤 치료를 왜 받는지 상세히 안내해주셔서 여기서 치료받으려고 합니다', '좋아요': '0'}, {'작성자': '후기잘안남기는데', '별점': '5.0', '날짜': '2025.02.04.', '내용': '의사선생님께서 증상에 대해 친절하게 잘 설명해주십니다.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 13:00', '휴무일': '매주 일요일'}"
예본안과의원,3.8,종로구 종로 78 미려빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F24ce6f8877cdb04cd55ee1a76688b0c6e78fb0da%3Foriginal,"[{'작성자': '.', '별점': '1.0', '날짜': '2025.03.06.', '내용': '실력은 모르겠고 원장님이 화가 잔뜩 나셨네요\n다른 후기 꼭 읽어보고 가세요', '좋아요': '0'}, {'작성자': 'sema', '별점': '5.0', '날짜': '2025.02.22.', '내용': '2진료실에서 진료 받았는데 친절하세요.\n병원도 되게 넓고 쾌적했습니다.', '좋아요': '0'}, {'작성자': '돈아끼세요', '별점': '5.0', '날짜': '2025.02.21.', '내용': '좋고 나쁘고 할게 없음\n눈 침침한 거 같아서 갔더니 진단도 잘해주고 접수 직원분도 ... 더보기', '좋아요': '1'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '휴무일': '공휴일'}"
에스앤유피부과의원,2.8,종로구 종로12길 15 코아빌딩 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjdfMTI0%2FMDAxNzMyNjg3MDYyMTkz.cM1WwKZPacozyLbmuk7todyWFiQOXGoeHHP6Q1ICb5Qg.OcLZmW-_SR---e2Ynyyp1x10Z1aQhkBsNjXdnwAysEsg.JPEG%2Foutput_2643100906.jpg%3Ftype%3Dw386,"[{'작성자': '김진형', '별점': '5.0', '날짜': '2024.04.30.', '내용': '발톱무좀 치료 후 큰점 제거 두번째인데 생각보다 시술이 빨리 끝났고 통증도 전혀 없네요 비용도 만족합니다\n후기에 간호사들 불친절하다고 하던데 나는 ... 더보기', '좋아요': '2'}, {'작성자': '김세영', '별점': '1.0', '날짜': '2024.04.12.', '내용': '저 진짜 리뷰 이벤트 아닌 이상 귀찮아서 이런 거 절대 안 쓰는 사람입니다. 그런데 이 병원 갔다온 지 지금 2주가 넘어가는데도 생각할 때마다 화가 솟구쳐서 써요. 이두락 원장에게 진료 받았어요. 갑자기 피부염이 심해져서 ... 더보기', '좋아요': '14'}, {'작성자': '호이', '별점': '1.0', '날짜': '2023.12.07.', '내용': '간호사들 전반적으로 불친절함', '좋아요': '6'}]","{'일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '09:30 ~ 13:30', '휴무일': '공휴일'}"
연세아인의원,4.2,종로구 종로 60-1 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC5DBBA3E00804CB1A04DA67903D54021,"[{'작성자': 'andis', '별점': '5.0', '날짜': '2024.11.14.', '내용': '간호사 선생님들, 의사 선생님 모두 친절하셔서 감동했어요 🥹', '좋아요': '0'}, {'작성자': '상상용', '별점': '3.0', '날짜': '2024.09.27.', '내용': '조금 비싸다고 느껴지네요', '좋아요': '0'}, {'작성자': '호이안', '별점': '3.0', '날짜': '2024.08.01.', '내용': '원장님은 친절하시나 염증 주사 맞은 부분이 패였어요ㅠㅠ 가라앉지도 않아서 며칠 후 다른 병원가서 또 맞음', '좋아요': '0'}]","{'일': '휴무일', '월': '10:30 ~ 20:00', '화': '10:30 ~ 20:00', '수': '10:30 ~ 20:00', '목': '10:30 ~ 20:00', '금': '10:30 ~ 20:00', '토': '10:30 ~ 14:30', '휴무일': '공휴일'}"
삼성드림이비인후과의원 종로점,,중구 을지로 51 내외빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9CD62D1B76D842D290B254F18F82A760,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:00 ~ 14:30', '휴무일': '공휴일'}"
