name,score,address,img_url,reviews,open_hour
서울송도병원,,중구 다산로 78 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDZfNzgg%2FMDAxNzMzNDY0NDM1MTM2.h2K-Ua_sdnisvlUEPsdwOlCP9rer4jHD6BUzyEYlFHEg.TS5KJkSG7WjpMu8PUawtu12y6jNxF_wH7AZ1pmDygt8g.JPEG%2FIMG_7643.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00', '휴무일': '매주 일요일'}"
보아스이비인후과의원 약수본원,,중구 다산로 111 한미빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDNfMTA3%2FMDAxNzM1ODMwNjIzODE2.raUzQ7wEnec79QQXmeNehS4T915mtWMRyc6HiySUDXkg.7CsJJTW-HdvvpdJ6IKeBdpF2yJWqrbL1RkYV9dhuAjgg.JPEG%2FIMG_8213.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '매주 일요일'}"
서울베스트의료의원,,중구 다산로46길 17 두산위브더제니스 WEST동 2층 213~223호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F463F65599B4D4F1F929AA4AF84400DA3,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '08:00 ~ 20:30', '화': '08:00 ~ 18:00', '수': '08:00 ~ 20:30', '목': '08:00 ~ 18:00', '금': '08:00 ~ 20:30', '토': '08:00 ~ 14:00', '휴무일': '매주 일요일'}"
반도정형외과병원,3.9,중구 동호로 202,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F21295B38546D501034,"[{'작성자': '맛집탐방', '별점': '5.0', '날짜': '2024.12.30.', '내용': '폐결핵검사 기숙사 제출용으로 급했는데ㅠㅠ 여기는 당일에 나와서 너무 좋아요 감사합니다!!', '좋아요': '0'}, {'작성자': '평범한 1 인', '별점': '1.0', '날짜': '2024.08.18.', '내용': '싸이코 의사있으니 가려서 진료받아야 함. 골절된 손가락을 자기 말 잘 안들었다고 웃으면서 비틈. 신고할까 고민 중 ㅠ', '좋아요': '1'}, {'작성자': '솔직리뷰', '별점': '1.0', '날짜': '2024.06.06.', '내용': '평점이 예상보다 높은 곳이라 작성합니다.\n원무과 직원분이 좀 이상한 것 같아요. \n\n여기가 산재지정병원이라 전화로 산재 관련해서 문의했는데 요새... 더보기', '좋아요': '6'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '설전날, 설당일'}"
약수내과의원,4.6,중구 동호로 171 그레이스빌딩 5-6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F99C4A2CCBABE4251A08A941D673591A8,"[{'작성자': '최성훈', '별점': '5.0', '날짜': '2025.02.28.', '내용': '운동도 하고 식단 조절도 하는데 혈당이 잘 잡히지 않아서 상담받았어요.\n집에서 펩티드요법을 하면서 관리하니 수치가 점점 좋아지고 있어요. 감사합니다.', '좋아요': '0'}, {'작성자': 'KKK', '별점': '5.0', '날짜': '2025.02.17.', '내용': '시설, 인테리어 깔끔. 굿굿', '좋아요': '0'}, {'작성자': '나영', '별점': '5.0', '날짜': '2025.02.13.', '내용': '첫 내시경검사라 떨렸는데 받기 전에 안내사항을 꼼꼼히 말씀해주셔서 믿음직스러웠네요', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 13:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
리멤버피부과의원 약수역점,3.9,중구 다산로 128-1 CASA101빌딩 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F14cb3e533db819ad4366b34f75dbe739958c0a89%3Foriginal,"[{'작성자': '해피', '별점': '1.0', '날짜': '2025.03.22.', '내용': '진료 목적은 절대 방문 비추. 돈 아까움.', '좋아요': '0'}, {'작성자': '보편적 주관', '별점': '2.0', '날짜': '2025.02.22.', '내용': '집에서 제일 가깝고 전문의라고 해서 갔는데\n자세하게 쓰지 않... 더보기', '좋아요': '0'}, {'작성자': '샘샘', '별점': '3.0', '날짜': '2025.02.08.', '내용': '염증주사 맞았는데 원래 트러블보다 더 큰 패임 생겨서 한동안 스트레스 받았어요.', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 20:00', '수': '휴무일', '목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '휴무일': '매주 수요일, 일요일'}"
성모바른정형외과의원,4.8,중구 퇴계로 409 흥화브라운오피스텔 2층 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTNfMzcg%2FMDAxNzM0MDYwMDkwNDY5.f2mExMtNa20-pAu_45_xRyhNV5Plnrps_musNM9kqyEg._vN-DtiMArxwyBioVF2tZHSCmxhVPJitxTPU0dMufFwg.JPEG%2F900%25EF%25BC%25BFIMG%25EF%25BC%25BF3766%25EF%25BC%25BF007.JPG%3Ftype%3Dw966,"[{'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2025.01.07.', '내용': '후기대로 원장님이 쉽게 설명해주시고 과잉 진료 없습니다. 덕분에 빨리 호전된 것 같아요.', '좋아요': '0'}, {'작성자': '박현준', '별점': '5.0', '날짜': '2024.10.11.', '내용': '원장님이 너무 친절하시고 설명도 상세하게 잘 해주시고 환자의 입장에서 진료하시는 것을 느꼈습니다\n간호사분들도 환자의 요구에 웃는 낯으로 친절하게 응대해주셨습니다', '좋아요': '0'}, {'작성자': '이한솔', '별점': '5.0', '날짜': '2024.06.09.', '내용': '의사선생님이 유쾌하시고 친절하셔서 좋아요! 후기 보고 갔는데 만족합니다.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:30', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:30', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
일등이비인후과의원,,"중구 퇴계로 452-1 스타타워 A,B동 3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F819EDFE074C34DF6AA6276E7CCE71432,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '09:00 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 성탄절'}"
유태석내과의원,2.8,중구 동호로 180 대승빌딩 5층,,"[{'작성자': 'Patrisha', '별점': '1.0', '날짜': '2025.02.24.', '내용': '너무 대충 대충 봐줘요', '좋아요': '0'}, {'작성자': '우르', '별점': '1.0', '날짜': '2024.12.20.', '내용': '시험 때 아플까봐 도움받으러간건데 의사선생님이 훈수두시고 혼내셔서 마음만 안좋아지고 옵니다.. 걱정하는 마음으로 하신 건 알겠는데 제가 병원에 왜 왔을까요…\n기분이 안좋으신건지 진료실 들... 더보기', '좋아요': '0'}, {'작성자': '김상일 술지갑', '별점': '1.0', '날짜': '2024.10.22.', '내용': '직업으로 인한 손가락 통증으로 물리치료 차 방문하다보니 종합검진으로 손가락MRI 검사와 혈액검사로 수혈했는데 며칠이 지났는데도 혈흔이 가시지 안코 있... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:30', '휴무일': '매주 일요일'}"
소망안과 서울점,4.2,중구 다산로 171 한판유리빌딩 2~4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F79f637660726566e3621a50c9cfab3c6767f83be4a6ba3a9d5704ef7bd1cce99,"[{'작성자': 'koloso', '별점': '5.0', '날짜': '2025.03.03.', '내용': '시설 잘 되어 있고 깨끗하고 원장님 두 분 다 진료 잘 보시는 편인것 같은데요, \n\n2층, 3층 전체에 디퓨저 향이 ... 더보기', '좋아요': '0'}, {'작성자': 'MNO', '별점': '2.0', '날짜': '2024.11.06.', '내용': '눈 안쪽에 뭐가 난게 보여서 감.\n분명 눈알 옆쪽에 노란점 같은게 있다고 설명함.\n\n의사는 눈 주... 더보기', '좋아요': '1'}, {'작성자': 'suhlab', '별점': '5.0', '날짜': '2023.03.03.', '내용': '모니터를 장시간 보다보면 초점이 안맞고 흐릿해지는 증상때문에 갔더니 안구건조증으로 진단받고 두 종류의 약을 처방받았어요. 친절하고 자세한 설명 덕분에 도움이 되었습니다.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 13:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '휴무일': '공휴일'}"
