name,score,address,img_url,reviews,open_hour
JH제일의원 건강검진센터,3.1,중구 퇴계로 244 1~4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FCE28C4C5FF2C4B6087DE9D415E5A5275,"[{'작성자': '평일에만 방문함', '별점': '4.0', '날짜': '2025.03.12.', '내용': '원래 동네에서 유명한 병원이 재오픈한거고 첫 오픈때랑 비교하면 수납부 인원이 한분으로 확 적어졌네요.수납받는분이 접종... 더보기', '좋아요': '0'}, {'작성자': 'pete', '별점': '1.0', '날짜': '2025.03.04.', '내용': '수납하는 분이 혼자서 접종까지 하는데 매우 정신 없어 보였습니다. 오픈된 대기공간에서 의사상담까지 진행돼서 개인정보 보호도 안되는 것 같았고, 어느 의료기관에서나 기대되는 기본 절차가 부족했습니다. 저렴하... 더보기', '좋아요': '0'}, {'작성자': '서서', '별점': '1.0', '날짜': '2025.02.06.', '내용': '코로나환자 맨손으로 면봉으로 코후비시던간호사가 그대~로 주사실 와서 손소독제 함바르고 제 가다실 백신맞추는데 기분이 너무 더럽네요', '좋아요': '1'}]","{'월': '07:30 ~ 20:00', '화': '07:30 ~ 20:00', '수': '07:30 ~ 20:00', '목': '07:30 ~ 20:00', '금': '07:30 ~ 20:00', '토': '07:30 ~ 13:00'}"
서울제일마취통증의학과의원,4.6,중구 퇴계로 244 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3990D097EF114C80A8ABF83C5D859288,"[{'작성자': '도규태', '별점': '5.0', '날짜': '2025.01.24.', '내용': '엄청 신경써주시고 친절해서 좋았습니다', '좋아요': '0'}, {'작성자': '찐소감', '별점': '1.0', '날짜': '2024.10.21.', '내용': '다녀와서 다른 곳이 더 아파옴...\n이제 절뚝거리고 걷는 것도 안되고\n다... 더보기', '좋아요': '0'}, {'작성자': '랑랑', '별점': '5.0', '날짜': '2024.09.11.', '내용': '저희 어머님 허리가 너무 아프셔서 응급실도 가고\n대학병원도 가고 호전이 안되었었는데\n이영... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:30', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
제일내과의원,4.1,"중구 서애로1길 11 1층 123,124호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA2MjNfMTI3%2FMDAxNzE5MTQwMTg2NjM5.rsuzQ-Oka8wPY58Wz6JkljZispYARkX028cwc8WW4dcg.O4UzcfgUzMG7Pu9KHpdcnPXS6Q_itafUbp3MdHtFoSEg.JPEG%2FIMG_0693.jpg%3Ftype%3Dw773,"[{'작성자': '한건호', '별점': '5.0', '날짜': '2025.03.06.', '내용': '운동도 하고 식단도 조절했는데 혈당이 계속 높아서 상담받았어요.\n집에서 펩티드요법을 함께 하면서 관리하니까 점점 수치가... 더보기', '좋아요': '0'}, {'작성자': '대나무숲', '별점': '2.0', '날짜': '2025.01.09.', '내용': '서류를 한번에 안주고 달라고 해야 줍니다 사람 여러번 똥개훈련시키네요', '좋아요': '1'}, {'작성자': '이선희', '별점': '5.0', '날짜': '2023.03.23.', '내용': '원장님 친절하시고 꼼꼼하게 잘 봐\n주십니다\n근데 너무 많이 기다... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 17:00', '화': '08:30 ~ 17:00', '수': '08:30 ~ 17:00', '목': '08:30 ~ 17:00', '금': '08:30 ~ 17:00', '토': '08:30 ~ 13:00', '휴무일': '공휴일'}"
을지트윈타워정형외과의원,4.1,중구 을지로 170 을지트윈타워 3층 301-1호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyMjEyMDZfODIg%2FMDAxNjcwMzE5OTE0ODky.u94di7uHsutFM7P7Pp4d1--VkPtR8Ilde880vWkJTN4g.16zbIQqqovVTbOIyXUJT7_t4G0ycb30ojMcDKX1NoTYg.PNG.euljitoweros7%2F10_%25EC%259D%2584%25EC%25A7%2580%25EB%25A1%259C%25EC%25A0%2595%25ED%2598%2595%25EC%2599%25B8%25EA%25B3%25BC_%25EB%25B2%2588%25ED%2598%25B8.png%3Ftype%3Dw1,"[{'작성자': '니깟게알거없잖아', '별점': '5.0', '날짜': '2025.03.17.', '내용': '엑스레이에 안나오는거 초음파로 골절 찾아주심!', '좋아요': '0'}, {'작성자': '강창구', '별점': '2.0', '날짜': '2024.12.16.', '내용': '친절하고 의료서비스가 좋아요\n계속 이용하려고 합니다~^^', '좋아요': '0'}, {'작성자': 'illiioll', '별점': '2.0', '날짜': '2024.10.21.', '내용': '비급여 과잉', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
성모준이비인후과의원,,중구 을지로 170 을지트윈타워 3층 301-3호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MjhfMTQz%2FMDAxNzI0ODQ0NzYxNzE0.hR9EC-dQJzC5ggO-JP94EOSI0UuAk00sPB7MqUG3Vwgg.lFT9XFXzfBMKjknsS4gZG8lP89-SzBOl0nH1WQe-4-Qg.JPEG%2FIMG_9643.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00'}"
을지로마디튼튼신경외과의원,,"중구 을지로 164 베스트웨스턴호텔국도 3층, 지하1층",//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F82816C600F8249E3A6E0212628B20411,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '휴무일': '매주 일요일'}"
연세본치과,4.9,중구 을지로 177 일신빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F06d988720d616517f1980fb68b671b87f7af91bf%3Foriginal,"[{'작성자': '유ㅡ유', '별점': '5.0', '날짜': '2025.02.25.', '내용': '원장님 진짜 레전드로 친절하십니다.\n아파서 갔는데 기분이 좋아져서 나오게 됩니다.', '좋아요': '0'}, {'작성자': '고독한미식가', '별점': '5.0', '날짜': '2025.02.01.', '내용': '다른 치과에서 뽑으라고 한 거 자연치 그대로 잘 쓰게해주심. 치료한지 좀 됐는데(4-5년?) 편안하게 잘 쓰고있음. 지금은 검진만 하는중. 설명 잘 해주셔서 좋았어요.', '좋아요': '0'}, {'작성자': 'J', '별점': '3.0', '날짜': '2025.01.29.', '내용': '뭔가착각하는게 급여치료로도 돈벌수있다..', '좋아요': '0'}]","{'월': '10:00 ~ 19:00', '화': '10:00 ~ 20:30', '수': '10:00 ~ 19:00', '목': '14:00 ~ 20:30', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00'}"
백앤허치과의원,3.0,중구 퇴계로 235 남산센트럴자이아파트 A동 208호,,"[{'작성자': 'Burn', '별점': '5.0', '날짜': '2023.03.25.', '내용': '서울대학교치과병원에서 근 5년정도 제 전담 교수님이셨는데요. 정년퇴임하시고 충무로로 오셨네요. 겨우 수소문해서 개원한델 찾아왔습니다. 진짜 지금까지 만나본치과의중에서 최고입니다. 예전에 원인 모... 더보기', '좋아요': '1'}]","{'월': '09:30 ~ 17:30', '화': '09:30 ~ 17:30', '수': '09:30 ~ 17:30', '목': '09:30 ~ 17:30', '금': '09:30 ~ 17:30'}"
더맑은가정의학과의원,3.6,중구 을지로 158,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F30320b21caa250759a776043734da4b38005d76666fdf329f964c1a2f0ce49d0,"[{'작성자': 'ㄱㅁㅎ', '별점': '5.0', '날짜': '2024.03.29.', '내용': '최고의 병원.. 덕분에 과민성 많이 나아졌습니다', '좋아요': '1'}, {'작성자': '꼬북', '별점': '5.0', '날짜': '2024.01.03.', '내용': '예약해도 대기해야돼서 불편한 점은 있지만 .. 이장희선생님 덕분에 많이 나았어요!!', '좋아요': '0'}, {'작성자': '개', '별점': '5.0', '날짜': '2023.05.02.', '내용': '나만 다니고 싶지만 동시에 널리 알리고 싶은 곳. 의사선생님들 건강도 좀 챙기셨음 좋겠습니다. 그리고 사람 정말 많고 바쁩니다. 접수해주시는 선생님들 안웃는다고 불친절하다하지 말길. 접수 잘 하고 ... 더보기', '좋아요': '1'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
충무로필한의원,4.7,중구 퇴계로 244 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FDF08E7C2321346808966428762397D35,"[{'작성자': '내가 좋아하는 곳들 기록하기••', '별점': '5.0', '날짜': '2025.03.07.', '내용': '집 근처 한의원 찾다가 후기가 좋아서 반신반의한 마음으로 방문했는데 정말 좋았어요!! 세심하게 진료봐주시고 침술도 안 아프게 잘 놔주셨어요ㅎㅎ 무엇보다 지금껏 받아본 추나 치료 중 가장 효과 좋았어서 앞으로도 여기 다닐 것 같아요! 추천합니다', '좋아요': '0'}, {'작성자': 'Vitaly', '별점': '5.0', '날짜': '2024.02.29.', '내용': '이곳은 내가 인상만 좋은 첫 번째 병원이야! 여기 매우\n\n세심한 의사, 영어를 구사하며 친절한 직원이 있습니 다! 의사는 적절하고 효과적인 치료법을 처... 더보기', '좋아요': '0'}, {'작성자': 'H', '별점': '5.0', '날짜': '2022.08.20.', '내용': '며칠 동안 채기로 고생했었는데 병원 가고 그날 저녁에 나았습니다~ 의사선생님.간호사.직원분들 모두 친절하시고 병원도 깨끗하고 너무 좋아요!! 감사합니다~', '좋아요': '0'}]","{'일': '10:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 17:00'}"
