name,score,address,img_url,reviews,open_hour
충정로연세내과의원,,중구 서소문로 12 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00'}"
서울원하트내과,4.1,중구 청파로 464 브라운스톤 서울 212호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd24d18c2197336200117aa2a31a466692d7d7a10%3Foriginal,"[{'작성자': '마단디해라마', '별점': '4.0', '날짜': '2025.02.11.', '내용': '모두 다 친절하셨고 과잉진료도 없었어요~', '좋아요': '1'}, {'작성자': '이정원', '별점': '5.0', '날짜': '2024.10.22.', '내용': '신뢰가갑니당... 굿', '좋아요': '0'}, {'작성자': 'Yoona', '별점': '5.0', '날짜': '2024.08.13.', '내용': '교수님때도 지금도 너무 좋으신 선생님\n환자를 먼저 생각해주시고\n설명도 잘해주시고... 더보기', '좋아요': '1'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '휴무일', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:00', '휴무일': '공휴일'}"
충정로수이비인후과의원,4.4,"중구 중림로2길 6 2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb8c161610919f87ba8d331ffd5b4f4408b57aa6e%3Foriginal,"[{'작성자': '홍창기', '별점': '5.0', '날짜': '2025.03.18.', '내용': '물놀이 후 고막염이 심하게 걸렸는데 꼼꼼히 잘봐주시고 드레싱 해주셔서 잘 나았어요 석션도 소리때문에 무서웠는데 친절하게 대해주셔서 맘편히 진료받음', '좋아요': '0'}, {'작성자': '뇸뇸', '별점': '5.0', '날짜': '2025.01.06.', '내용': '회사근처라 감기는 여기만 와요 진료 깔끔하게 봐주시고 군더더기없습니다. 약도 잘드는 편 \n그런데 데스크 직원 불친절은 꼭 개선 좀 해주세요 의사선생님!', '좋아요': '0'}, {'작성자': '규', '별점': '1.0', '날짜': '2025.01.02.', '내용': '의사샘은 좋은데 간호조무사들이 개싸가지들임', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '14:30 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
참본정형외과의원 충정로점,,중구 서소문로 18 에이원빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBB3342870C3C43CCAA92ED349200246B,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
서울에이스마취통증의학과의원,,중구 만리재로 175 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_373653137,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 20:00', '화': '09:30 ~ 20:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 20:00', '금': '09:30 ~ 20:00', '토': '09:30 ~ 13:00', '휴무일': '공휴일'}"
오성당한의원,5.0,중구 청파로 464 브라운스톤 208호,,"[{'작성자': 'tj', '별점': '5.0', '날짜': '2024.10.23.', '내용': '막내가 늦둥이라 몸이 약했는데, 보약을 꾸준히 먹고 입시 기간을 무사히 잘 넘겨서 좋은 결과가 있었습니다. 수험생들이 복용하면 좋을듯...', '좋아요': '1'}, {'작성자': '이진영', '별점': '5.0', '날짜': '2024.07.09.', '내용': '원장님이 친절하시고 치료도 잘해주십니다', '좋아요': '1'}, {'작성자': '연우', '별점': '5.0', '날짜': '2022.02.15.', '내용': '추천해요', '좋아요': '1'}]","{'월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 13:00'}"
서울닥터박치과의원,5.0,중구 만리재로 175 402동상가 4층 401호,,"[{'작성자': 'gala', '별점': '5.0', '날짜': '2022.05.03.', '내용': '원장님 시크한 듯 자세히 설명해주시고 최대한 돈 안들게 해주셔서 너무 좋아요', '좋아요': '0'}, {'작성자': '고독한 탐식가', '별점': '5.0', '날짜': '2021.04.27.', '내용': '명의.\n21.05.04. 오른쪽 어금니 크라운 시술', '좋아요': '0'}, {'작성자': '조운', '별점': '5.0', '날짜': '2020.12.02.', '내용': '원장님의 꼼꼼한 진료 및 직원분들도 친절하십니다', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '휴무일': '공휴일'}"
연세다온소아청소년과의원,4.8,중구 만리재로 177,,"[{'작성자': '짜잔', '별점': '5.0', '날짜': '2025.01.08.', '내용': '늘 친절하고 하나라도 더 알려주시려고 쓴소리도 마다않는 선생님!! 혼나는느낌 전혀없고 항상 감사할따름입니다!! 다온쌤만 믿고 아가키워요 :)', '좋아요': '0'}, {'작성자': '김민욱', '별점': '5.0', '날짜': '2024.06.09.', '내용': '20년생 아이 4년 째 다니는 병원입니다. 아이들 사이에서 지금 유행하는 바이러스 고려하여 늘 과하지도 부족하지도 않게 처방해 주십니다. 휴원일에 아이 병원갈 일 있으면 다른 병원 ... 더보기', '좋아요': '0'}, {'작성자': 'Toshi', '별점': '5.0', '날짜': '2023.01.17.', '내용': '다들 너무 친절하고 좋으셨는데 이사가는 바람에 소아과를 옮겨야 하는 게 서글프네요', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '휴무일', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '매주 목요일, 일요일'}"
서울믿음치과의원,4.7,중구 서소문로 50 지하1층 109호,,"[{'작성자': 'ㅇㅈㄹ', '별점': '5.0', '날짜': '2024.08.28.', '내용': '근처에 일이 있어 갔다가 치아 통증이 있어서 지도에 검색해보고 예약 없이 갔는데 너무 친절하고 빠르게 진료 받을 수 있었습니다. 원장님도 너무 친절하셨어요. 꼼꼼하게 체크 해 주시고 다각도에서 문제를 짚어주셔서 감사드립니다.', '좋아요': '0'}, {'작성자': '슴베', '별점': '5.0', '날짜': '2024.04.22.', '내용': '돈 도 안되는 치료도 정성것 해주는 모습에 감동 받았습니다.  여기 찐입니다.', '좋아요': '0'}, {'작성자': 'ㄷㄹ', '별점': '5.0', '날짜': '2023.04.12.', '내용': '진짜 친절하세요 간호사분도 의사분도 다!', '좋아요': '1'}]","{'월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00'}"
사랑채한의원,5.0,중구 만리재로35길 47-4 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff920673ebcd44c07a1a99bb4ad770925008f609427e92fbac6bf0b3e0d969a55,"[{'작성자': '프로 리뷰러..', '별점': '5.0', '날짜': '2024.11.07.', '내용': '과잉진료 안하시고 친절합니다!!', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2023.11.20.', '내용': '깨끗하고 친절하고 따뜻하고 침도 안아프게 잘놔주시고 너무너무좋아요 최고❤️', '좋아요': '0'}, {'작성자': 'kmhanh', '별점': '5.0', '날짜': '2021.12.02.', '내용': '원장님 설명 잘해주시고, 진료도 꼼꼼히 봐주세요! 그리고 시설이 깨끗해서 좋아요', '좋아요': '0'}]","{'월': '07:00 ~ 18:00', '화': '07:00 ~ 18:00', '수': '07:00 ~ 18:00', '목': '07:00 ~ 21:00', '금': '07:00 ~ 18:00', '토': '07:00 ~ 13:00'}"
