name,score,address,img_url,reviews,open_hour
신당중앙정형외과의원,,중구 퇴계로 429 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2F060300F9E34C65905D251C213A3119,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설전날, 설당일, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
아미한의원,5.0,중구 난계로 159 헤세드빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F6119a97a86d560fe5e94034160ac7be60794afc8%3Foriginal,"[{'작성자': '김미리', '별점': '5.0', '날짜': '2022.12.31.', '내용': '시설도 좋고 침도 잘 놓으세요.\n모두 친절하셔서 잘 치료받았네요', '좋아요': '0'}, {'작성자': '럭셔리G원', '별점': '5.0', '날짜': '2022.01.17.', '내용': '웬만한 호텔~저리가라네여~', '좋아요': '0'}, {'작성자': '1', '별점': '5.0', '날짜': '2021.11.09.', '내용': '친절하고 좋아요 깨끗하고', '좋아요': '0'}]","{'월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '일': '09:00 ~ 13:00'}"
서울정통의원,3.5,"중구 난계로23길 1 4,5층",,"[{'작성자': 'whanki', '별점': '1.0', '날짜': '2024.11.30.', '내용': '과잉진료 \n비추합니다. \n다른 곳 가세요.', '좋아요': '0'}, {'작성자': '고미', '별점': '5.0', '날짜': '2024.10.23.', '내용': '연로해서 관절도 아프고 기력도 없는 아버지 어머니 두 분 다 이곳으로 모시고 다니는데, 선생님과 간호사분들 모두 친절하고 세심하게 배려해 주셔서 항상 감사하고 있습니다.', '좋아요': '0'}, {'작성자': '포테토', '별점': '1.0', '날짜': '2023.03.15.', '내용': '겁주기 -> 불필요한 검사 강권 -> 비싼 물리치료', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '휴무일', '휴무일': '매주 일요일'}"
신당센트럴이비인후과의원,5.0,중구 퇴계로 447 2층 218호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTdfMzgg%2FMDAxNzM0NDEwMzk4NTI0.wnqjvxi7CqCI7lHpPb38atUHMZXit5iItEiCtq-rJusg.VCcLMqtsYcrxVi3pFDCtqXDs98xV67UIj9ZNdjqWo-Ig.JPEG%2F%25EB%258B%25A4%25EC%259A%25B4%25EB%25A1%259C%25EB%2593%259C_(2)-003.jpg%3Ftype%3Dw466,"[{'작성자': '홍', '별점': '5.0', '날짜': '2024.12.12.', '내용': '걸어서 30분 거리라 고민하다가 갔는데, 간호사 선생님, 의사선생님 모두 매우 친절하시고 꼼꼼하고 깔끔하게 진료를 보시며, 초진비가 거의 없는지 가격도 저렴 했습니다. 바로 옆 약국도 친절했어요. 병원은 고... 더보기', '좋아요': '0'}, {'작성자': '홍', '별점': '5.0', '날짜': '2024.11.30.', '내용': '여기 의사 선생님은 저만 알고 싶어요....', '좋아요': '1'}, {'작성자': 'ㄷㅋ까지', '별점': '5.0', '날짜': '2024.10.18.', '내용': '권위적이지않고 친절하게 치료해주시는 의사 선생님이세요 좀 멀어도 찾아갑니다!', '좋아요': '1'}]","{'월': '09:00 ~ 18:20', '화': '09:00 ~ 18:20', '수': '09:00 ~ 18:20', '목': '09:00 ~ 18:20', '금': '09:00 ~ 18:20', '토': '휴무일', '일': '휴무일', '휴무일': '공휴일'}"
신당스카이정형외과의원,3.9,중구 퇴계로 447,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyMjEyMDJfMjEw%2FMDAxNjY5OTY1OTUxNTE4.1varaxOI0dik8zzEPGu56WKz3NcsDAHxHa_n60jBbLMg.b0TqFrmc4aEYu8UWuYrl29Zq5WLJje6LWw-roGYEAKog.JPEG.skyosss%2FKakaoTalk_20221202_160114224_15.jpg%3Ftype%3Dw1,"[{'작성자': '학년20511번유시진', '별점': '1.0', '날짜': '2024.12.05.', '내용': '의사싸가지없습니다.그리고화도○○○티냈니다', '좋아요': '0'}, {'작성자': '땡컨', '별점': '1.0', '날짜': '2024.11.02.', '내용': '리셉션 남자직원 너무 무례하네요\n다시는 안가요', '좋아요': '1'}, {'작성자': '강효림', '별점': '5.0', '날짜': '2024.06.28.', '내용': '다른곳에서 관절경 수술권유했는데 여기서 체외충격파로 고쳤어요. 원장닝과 직원분들도 완전친절해요', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '일': '휴무일', '휴무일': '공휴일'}"
온여성의원,,중구 마장로9길 49-9 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9C521098B95F40B584CF99E5515CEEC4,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 20:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일, 2025년 4월 12일 휴무, 2025년 4월 26일 휴무'}"
서울스타일치과의원,,중구 난계로 159 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMDZfNTEg%2FMDAxNzM4Nzg0NTM3MDky.bXVmUGFlzV-Hr33p6DOlcc1GHFEAST1gBRt7HLpvDZUg.7n6LQXgrvr7wVNLWZbCSVrdjW7_UyVzhpIvEJtTHPHIg.PNG%2FSE-3a9e1a4f-7a69-4889-b0ae-df816ac91d2d.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00'}"
맑은문피부과의원,3.8,중구 퇴계로 447 황학아크로타워 B동 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fee6171053f1bed98b44d47ce29c7863d955bce75%3Foriginal,"[{'작성자': '서창민', '별점': '5.0', '날짜': '2025.01.31.', '내용': '여기 후기왜이럼\n선생님 잘보시는데 ㅋㅋㅋ \n\n뭔예약이야 걍 ... 더보기', '좋아요': '0'}, {'작성자': '어영', '별점': '2.0', '날짜': '2024.12.28.', '내용': '점이 총 4개 있었는데 다른 병원에서 2개를 뺐을 땐 흉터가 안남았는데 이병원에서 뺀 점 두개는 모두 흉터가 남아서 너무 신경쓰여요ㅜ.ㅜ \n평이 좋아서 갔었는데 후회중입니다…', '좋아요': '0'}, {'작성자': '쥬니', '별점': '1.0', '날짜': '2024.08.24.', '내용': '필러 같은 거 아니면 예약을 안 해주네\n어디나 다 그렇지만 더 심한 듯', '좋아요': '1'}]","{'월': '09:30 ~ 20:00', '화': '09:30 ~ 19:00', '목': '09:30 ~ 20:00', '금': '09:30 ~ 19:00', '토': '09:00 ~ 14:00'}"
경희몸신한의원,5.0,중구 퇴계로 443 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MTlfMyAg%2FMDAxNzI0MDc0NzQ2MjAy.Tt2PkPrdJMrkp6siwgk4kiDkpRqikWlg92VrVKHaueMg.xaQWlKHpySzyUtDA2DJ6m7hDj54ngrIEjQf6s78r9TQg.JPEG%2F20231031%25EF%25BC%25BF235620.jpg%3Ftype%3Dw466,"[{'작성자': '유세나', '별점': '5.0', '날짜': '2022.09.13.', '내용': '선생님도 진료잘보시고 간호사님들도 너무 친절해요\n도수치료받고도 효과 못받는데\n여기 다니고 정말 좋아... 더보기', '좋아요': '0'}, {'작성자': 'Pisces', '별점': '5.0', '날짜': '2019.03.28.', '내용': '원장님이 친절하시고 좋아요', '좋아요': '0'}]","{'월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '목': '08:00 ~ 20:00', '금': '08:00 ~ 20:00', '토': '08:00 ~ 17:00', '일': '08:00 ~ 17:00'}"
연세스위트치과병원,,중구 퇴계로 447 황학아크로타워 2층 211~213호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F96612D2D4C5A4962AF5509FAA0EB90D1,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 21:00', '금': '10:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
