name,score,address,img_url,reviews,open_hour
연세맑은이비인후과의원 회현점,4.0,중구 퇴계로 36 삼선빌딩 303-1호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAxMjFfMjI3%2FMDAxNzA1ODMzMzU4NDQz.hEgkODhgSP7uMskWUeTxKCy1VQFhwmuqdiFVZSMhQNYg.U681p8naCdKCZzemsHWMD319DMCvdBPCOiEB9ijWS20g.JPEG.mrahnis%2FSE-098a1b5c-b2d8-11ee-80cb-fb3b3bf7a3de.jpg%3Ftype%3Dw773,"[{'작성자': '위대한왕잠자리', '별점': '4.0', '날짜': '2025.01.31.', '내용': '의사선생님보다 간호사선생님들이 훨씬 친절한 곳', '좋아요': '0'}, {'작성자': '뉴발란스', '별점': '5.0', '날짜': '2025.01.30.', '내용': '너무 좋아요ㅜ\n목하고 코가 심해져서 새벽에 잠을 못잤는데 의사선생님이 아픈곳 차근차근 물어봐주시고 꼼... 더보기', '좋아요': '0'}, {'작성자': '킄붕', '별점': '1.0', '날짜': '2025.01.13.', '내용': '1. 의사 싸가지없다 \n2. 개비싸다 (만원 이상 무조건 나옴) \n3. 약 3일이상 안준다', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 18:00', '일': '휴무일', '휴무일': '공휴일'}"
차 여성의학연구소 서울 역 난임센터,1.6,중구 한강대로 416 서울스퀘어 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F866A54B06F4A4B98828FE7C4949E4187,"[{'작성자': '쩝쩝이', '별점': '2.0', '날짜': '2025.02.14.', '내용': '산전검사 진료 잘 받았어요. 근데 수납직원들, 간호사분들은 격무 때문인지 다소 화가 나있네요.', '좋아요': '0'}, {'작성자': 'panda', '별점': '1.0', '날짜': '2025.01.27.', '내용': '아니뭔 대기도 긴데 간호사들 어리버리해서 30분-1시간 더 걸리게 만듬 개노답', '좋아요': '0'}, {'작성자': '호놀룰루', '별점': '1.0', '날짜': '2025.01.23.', '내용': '**제일 간단한 검사도 기본 2시간 이상 소요되니 날잡고 가거나 다른데 가세요**\n\n장점\n- 초음파, 진료 교수님들은 친절\n\n단점\n- 공... 더보기', '좋아요': '0'}]","{'월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '일': '휴무일', '휴무일': '매주 일요일'}"
골드만비뇨의학의원 서울역점,4.1,중구 세종대로 23 창화빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F26539950527066D83A,"[{'작성자': 'ㅁ', '별점': '1.0', '날짜': '2025.03.25.', '내용': '데스크 직원부터 간호사까지 최악입니다\n과잉진료에 상담부터 보험 이야기만 하루종일함', '좋아요': '0'}, {'작성자': '수채화풍', '별점': '5.0', '날짜': '2024.12.22.', '내용': '원장님이 차분히 설명잘하셔서 믿음이 가네요', '좋아요': '0'}, {'작성자': '한여름231', '별점': '5.0', '날짜': '2024.12.22.', '내용': '요즘 믿고 가는 병원 잘 없는데 여긴 좀 다른듯', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 16:00', '일': '휴무일', '휴무일': '공휴일'}"
나음피부과,4.2,중구 세종대로 13 화남빌딩 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F263D454E55CC7B590A,"[{'작성자': '코넬리', '별점': '1.0', '날짜': '2025.03.31.', '내용': '여긴 안내데스크 사람들이 문제네요.', '좋아요': '0'}, {'작성자': '다준다', '별점': '5.0', '날짜': '2025.03.23.', '내용': '친절하고 나았습니다:)', '좋아요': '0'}, {'작성자': 'ㅊ', '별점': '5.0', '날짜': '2025.02.25.', '내용': '남자선생님 정말 친절하시고 환자대기 많은데도 식생활 물어봐주시면서 두드러기원인 찾아주시고 질문에 자세하게답변해주시고. 10초진료 안하셔서 감동받았습니다.. 피부과는 약만받았어서 신기했습니다. 주사놓는간호사분도엄청친절하세요.', '좋아요': '1'}]","{'월': '10:00 ~ 19:30', '화': '10:00 ~ 19:30', '수': '10:00 ~ 02:00', '목': '10:00 ~ 02:00', '금': '10:00 ~ 02:00', '토': '10:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일, 2025년 4월 26일 ~ 2025년 4월 28일 휴무, 2025년 5월 1일 휴무, 2025년 5월 5일 휴무, 2025년 5월 6일 휴무'}"
연세대학교 세브란스헬스체크업,4.0,중구 통일로 10 세브란스빌딩 4-5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTJfMTcx%2FMDAxNzMzOTg2MjM5NjU3.tCPx6uAkczLOlOBV_5Y7rGcWX_wDK2m86-RJxYYan4cg.BOE12jjyMJR4QNWwYCrjWqLZSWOrMbbK931EKVNSoOUg.JPEG%2FKakaoTalk_20241212_153349171_02.jpg%3Ftype%3Dw773,"[{'작성자': '두산 베어스', '별점': '5.0', '날짜': '2024.12.03.', '내용': '좋아 좋아 좋아 좋아 좋아', '좋아요': '0'}, {'작성자': 'ddnd', '별점': '1.0', '날짜': '2023.04.10.', '내용': '지금까지 건강검진 10회 이상 받아봤는데(타 기관 검진횟수 포함) 이렇게 혈관 못찾는곳 처음봄. 바늘을 손등 포함 총 5회 찍고, 수면내시경때  수면약이 들어... 더보기', '좋아요': '0'}, {'작성자': '일상의즐거움', '별점': '5.0', '날짜': '2022.11.25.', '내용': '쾌적하고 친절합니다. 최고의 의료진께 믿고 검진 잘받았습니다.', '좋아요': '1'}]","{'월': '07:30 ~ 04:30', '화': '07:30 ~ 04:30', '수': '07:30 ~ 04:30', '목': '07:30 ~ 04:30', '금': '07:30 ~ 04:30'}"
이안안과의원,3.5,중구 통일로 10 연세재단세브란스빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDNfMTQ4%2FMDAxNzMzMjExNzE3MDU4.7nEeW7jumZZfAjx4F0VHSr0UUdpzhdHBOJn1zI2y8nkg.lch_7p-vx28_AQamqGWFyokhRdYZESeSBro1ym6VuBAg.JPEG%2Fold-people-616718_640.jpg%3Ftype%3Dw966,"[{'작성자': 'Abcdefg', '별점': '4.0', '날짜': '2025.01.17.', '내용': '원장님이 Ai느낌으로 친절하신 스타일은\n아니지만 (아파하기도 민망할만큼 무감정느낌) 그래도 정확하신거같아서 갑니다..', '좋아요': '0'}, {'작성자': '정정', '별점': '1.0', '날짜': '2024.09.29.', '내용': '남자의사한테 눈다래끼 치료 받았다가 더 곪아서\n다른 병원에서 치료 받고 나았습니다\n눈다래끼 고름 없는 초기 단계에 갔다가... 더보기', '좋아요': '1'}, {'작성자': '푸른밤', '별점': '5.0', '날짜': '2024.07.30.', '내용': '아침부터 고름 비슷한게 나와서 급한 마음으로 주변 안과를 검색하다가 가게 된 안과인데 10시 초반에 들렀는데도 사람들이 많이 있어서 한참 걸리겠다 싶었는데 다행히 일처리도... 더보기', '좋아요': '0'}]","{'월': '10:00 ~ 17:30', '화': '10:00 ~ 17:30', '수': '10:00 ~ 17:30', '목': '10:00 ~ 17:30', '금': '10:00 ~ 17:30', '토': '10:00 ~ 13:00', '일': '휴무일', '휴무일': '매주 일요일'}"
서울센트럴유외과,5.0,중구 퇴계로 15 에너지플러스빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyNDExMjVfNzIg%2FMDAxNzMyNDk5NzQ1Nzc0.L9_ZaYzq7S18x6wiaJUFOjFCZZbUm6O9zLCt7wNGU0Mg.09D3q9sj1hQ48YLGszGKnmwxqEDi35hRzknKpAIDcsMg.JPEG%2F20241105_143515-006.jpg%3Ftype%3Dw1,"[{'작성자': '🦄', '별점': '5.0', '날짜': '2025.02.24.', '내용': '의사선생님 너무너무 꼼꼼하시고 친절하시고 믿음직스럽게 진료봐주셔서 감사해요\n흔하지않은 귀한 선생님이셔요 ㅠㅠ 간호사님들도 친절하고 다정하십니다', '좋아요': '0'}, {'작성자': 'ㅇㅅㅇ', '별점': '5.0', '날짜': '2025.02.06.', '내용': '새로생겨서 시설도 너무 좋고 의사쌤도 친절하시고 유쾌하세요 ㅎㅎ 간호사쌤들도 친절하시구 시술 받았는데 일사천리로 잘 끝났습니다 세심한 배려 감사합니당 완전 추천하는 병원입니다!', '좋아요': '0'}, {'작성자': '맛집', '별점': '5.0', '날짜': '2024.12.17.', '내용': '갑상선관련해서 내원했는데 의사 선생님 간호사선생님 모두 너무너무 친절하시고 설명도 자세히 잘해주세요. 병원도 쾌적하고 너무 좋습니다.', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30'}"
서울센트럴이비인후과의원,3.5,중구 세종대로 11 조광빌딩 2-3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F61F067539C5040129AAEA3F380CA93EA,"[{'작성자': '펭하', '별점': '1.0', '날짜': '2025.02.12.', '내용': '감기때문에 처음 방문했는데 목이랑 코에 이것저것 약 바르더니 진료비 만원 받음 ㅜㅜ 감기 진료비가 어떻게 만원이죠.. 환자 선택권은 없는 의사 처치가 이렇게까지 이뤄질 수 있나여..', '좋아요': '0'}, {'작성자': '위대한왕잠자리', '별점': '3.0', '날짜': '2025.01.31.', '내용': '대기가 긴 만큼 한 분 한 분 오래 봐주시지만 의사선생님의 기분에 따라(?) 태도가 달라지셔서 당황스러워요', '좋아요': '0'}, {'작성자': '페이스호', '별점': '1.0', '날짜': '2025.01.24.', '내용': '여러분 오지 마세요. 가지 마세요. 진짜 줄 안줍니다. 이렇게 심한 이비인후과는 처음... 최소 50분 입니다. 환장해요 진짜. \n\n+ 추가:... 더보기', '좋아요': '0'}]","{'월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 14:00', '목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '토': '09:40 ~ 13:00', '휴무일': '공휴일'}"
올라한의원,,"중구 세종대로 14 그랜드센트럴 지하2층 B203,B204호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBA59BCBD6564413693D88F131516C6D0,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 20:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 13:00', '일': '휴무일', '휴무일': '매주 일요일'}"
서울역허브치과의원,3.9,중구 세종대로 27 5층,,"[{'작성자': '한라', '별점': '1.0', '날짜': '2023.07.18.', '내용': '몇년 지나니…밥 먹다가 한숨이…', '좋아요': '0'}, {'작성자': '조정', '별점': '1.0', '날짜': '2021.06.12.', '내용': '수정\n\n스케일링, 잇몸치료한답시고 잇몸도 까내리고 말로는 치아 살리는척.\n임시로 ... 더보기', '좋아요': '8'}, {'작성자': '한수지', '별점': '5.0', '날짜': '2021.05.26.', '내용': '진짜 친절하고 아프지 않게 잘해주세요', '좋아요': '1'}]","{'월': '10:00 ~ 20:30', '화': '10:00 ~ 18:30', '수': '10:00 ~ 20:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 20:30', '토': '10:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
