name,score,address,img_url,reviews,open_hour
서울특별시 북부병원,4.1,중랑구 양원역로 38,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA5MjlfMiAg%2FMDAxNjY0Mzc4ODQzODQ4.AFbwE3pswDscrBXlSlsee4vq8P6WnCny4KAFQxxQ7C8g.Elz2J76802C1TXFUG_EsJ-Dj5mnpwq7pi_JnLEiqimUg.JPEG.dmsgp3290%2F20220922%25EF%25BC%25BF151916.jpg%3Ftype%3Dw966,"[{'작성자': 'Winter fall', '별점': '5.0', '날짜': '2025.03.31.', '내용': '통합간병간호병동이라 좋았습니다. 환기가 좀 아쉽지만.. 시설은 괜찮았어요. 계신 의료진분들도 친절하고.. 다만 주차비가 너~무 비쌉니다. 차는 가져가지 마세요. 경의중앙선 양원역에서 도보로 5분입니다.', '좋아요': '0'}, {'작성자': '감사', '별점': '1.0', '날짜': '2025.03.21.', '내용': '재활실 작업 부실장이라는 사람만 기억 남니다. 능력 성의부족. 반말, 기본적인 인성이나 실력없는 병원의 이미지로 각인 되어있어요. 저기에서 작업치료 추천하지 않아요.', '좋아요': '0'}, {'작성자': ':D E', '별점': '5.0', '날짜': '2023.02.20.', '내용': '요양병원으로 착각하고 살았어욬ㅋ 배탈났을 때도 효과가 아주 끝내줬고 약간 이모님댁 놀러간 것 같은 평안한 분위기 입니당. 서울시 병원이라 그런지 가격도 착하고 물리치료도 잘 해주세요!', '좋아요': '1'}]","{'목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 17:00', '화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '휴무일': '매주 토요일, 일요일'}"
동부제일병원,3.1,"중랑구 망우로 511 지하1층,1~6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyMzA0MjRfMzQg%2FMDAxNjgyMzIxMTMzNTAy.AXQRIbDn6-kKpYXTUvNFi1B0Ma2lKmLCj5hfC_VTtu0g.F015irAW0qyunylwtTVSayDIkvVVLbuAnrIJpUA7QQQg.PNG.ab188%2Ftyle-w7d-01.png%3Ftype%3Dw1,"[{'작성자': '만두콩', '별점': '5.0', '날짜': '2025.02.16.', '내용': '동네 병원인 줄로만 알았는데... 근처에 경희대 병원만 다니다가 집 앞 1차 병원에서 여기가 제일 빠를 거라고 추천 받아서 온 건데 선생님들 전부 너무 친절하셔서 놀랐어요. 의사 간호사 물리치... 더보기', '좋아요': '0'}, {'작성자': '고전게임매니아', '별점': '4.0', '날짜': '2025.01.18.', '내용': '1. 간호사와 접수팀 본인 경험으로는 불친절 경험한적 없으며, 왕친절이라고 봐도 무방\n2. 진료과와 의사선생에 따라서 케바케이긴 한데, 전반적으로 친절하였음(정형외과 특정... 더보기', '좋아요': '2'}, {'작성자': '커피', '별점': '1.0', '날짜': '2024.09.08.', '내용': '응급실 ㅈㄴ 싸가지없고 진료 개판임', '좋아요': '1'}]","{'목': '08:00 ~ 17:00', '금': '08:00 ~ 17:00', '토': '09:00 ~ 12:00', '일': '휴무일', '월': '08:00 ~ 17:00', '화': '08:00 ~ 17:00', '수': '08:00 ~ 17:00', '휴무일': '매주 일요일'}"
이지함피부과 망우점,,중랑구 망우로 422 원동빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6B4294678FF54737A1922FAE8130FF69,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '휴무일', '금': '10:00 ~ 19:30', '토': '09:30 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 19:30', '화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '휴무일': '공휴일'}"
장스여성병원,3.9,중랑구 망우로 411 B동 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEyMDRfNyAg%2FMDAxNjcwMTQ2NTkyODky.V8N6KbR8ofAh0Vd_1vaEbVXk3RtUYQJN1JKmtZx3L1og.xGPLl5Zaomh28NpqDmFErt38nZrP5YSRjsby4mOlCWUg.JPEG.juhy1024%2FKakaoTalk_20221204_182449299_03.jpg%3Ftype%3Dw580,"[{'작성자': 'doo', '별점': '5.0', '날짜': '2025.02.05.', '내용': '*이인식 원장님 감사합니다*\n임신중 독감걸려서 죽을만큼 아프고 아이가 많이 걱정되었었는데 이인식 원장님 덕분에 금방나아서 건강히 ... 더보기', '좋아요': '0'}, {'작성자': 'jj', '별점': '4.0', '날짜': '2025.01.29.', '내용': '의료진 대부분이 친절하고 진료 잘 봐주셔서 괜찮은데 접수대의 일부 직원이 불친절해 점수 깎아먹음', '좋아요': '0'}, {'작성자': '애리양', '별점': '5.0', '날짜': '2025.01.24.', '내용': '원장님이 설명도 잘해주시고\n친절하게 이거저거 잘 알려주셔서 좋았어용 ㅎㅎ', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '07:30 ~ 20:00', '토': '07:30 ~ 17:00', '일': '09:00 ~ 17:00', '월': '07:30 ~ 20:00', '화': '07:30 ~ 20:00', '수': '07:30 ~ 20:00'}"
연세산돌병원,4.9,중랑구 봉우재로 234,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTdfMTEg%2FMDAxNzM0NDEwNDM2OTc4.Lg-DVs2I8TzDq-XVkBYtzTGhCVP8BOT_hLm9Tti9a0sg.m2MLs9JMpJP8icgxxididWO4ceIFOL_wxBbeD8oWW3Ag.JPEG%2F4.jpg%3Ftype%3Dw466,"[{'작성자': '정훈맘', '별점': '5.0', '날짜': '2025.02.18.', '내용': '허리 너무아파서 진료보고 원장님친절함에 한번 감동  주사치료해야된대서 척추주사실갔는데\n2층 주사실에계시는 남자간호사님... 더보기', '좋아요': '0'}, {'작성자': '눈흘기는강쥐', '별점': '5.0', '날짜': '2024.12.29.', '내용': '김병우 원장님, 물리치료 선생님 설명을 잘해주셔서 좋아요 이런병원 처음인것같아요', '좋아요': '0'}, {'작성자': '몰라님', '별점': '5.0', '날짜': '2024.12.19.', '내용': '이성인 원장님 수술 잘하시고 친절 하세요^^\n간호사 님들도 친절 ^^  감사합니다', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
러스크서울병원,3.6,중랑구 망우로 470,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA91C61EA96A74101A6B3F5D2A3662814,"[{'작성자': '고은', '별점': '1.0', '날짜': '2024.11.20.', '내용': '3층 간호사분 정말 불친절하십니다. 두 번 다시 가고 싶지 않은 병원임', '좋아요': '1'}, {'작성자': '최재성', '별점': '5.0', '날짜': '2022.11.28.', '내용': '입원 기간동안 좋은 기억만 있었던 병원이에요~\n의사선생님도 친절하시고 특히 수간호사 선생님! 입원하는 동안 살뜰히  챙겨주셔서 감사해요 ~~', '좋아요': '0'}, {'작성자': 'SR.C', '별점': '1.0', '날짜': '2022.11.11.', '내용': '원장님은 좋으신 분 같은데.... 간호사들 때문에 절대 비추입니다. 자세한 얘기는 안쓰겠지만 추천 못합니다.', '좋아요': '3'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
조앤조병원,4.2,중랑구 망우로 474 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8FCDFBBCB72D49DE9CAD093988DC7CD5,"[{'작성자': 'ㅇㄱㄹㅇ', '별점': '1.0', '날짜': '2025.03.29.', '내용': '아버지가 만성통증도 아니고 무거운거 드시다가 급성으로 팔이 아파서 병원에 간건데요 엑스레이 찍더니 석회가 많다 하면서 처음 방문한 날인데도 불구하고 바로 엔알아... 더보기', '좋아요': '0'}, {'작성자': 'DODOM', '별점': '5.0', '날짜': '2025.03.08.', '내용': '건물이 좀 노후됐고 주차가 힘듭니다. 그래도 노인 분들 많이 오시는 곳이라 그런지 응대해주시는 분들 모두 일처리가 빠르고 설명에 지침이 없으십니다. 스무스한 친절보단 싹싹하고 재빠른 친절(?)이 있어요. 예전에 동네 ... 더보기', '좋아요': '0'}, {'작성자': 'ㅎ', '별점': '5.0', '날짜': '2025.01.10.', '내용': '손목통증때매 방문했어요 꼼꼼히 진료 잘봐주심니다', '좋아요': '0'}]","{'목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 13:30', '일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '휴무일': '공휴일'}"
남정형외과의원,4.0,중랑구 용마산로 494 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjVfMjYx%2FMDAxNzMyNTA1NzM4MDc4.B6eF1OcUiW8inPacXomWDWbmi0BpAeeToA_xXBB3jfYg.wLyQwdZF35YdM0Ldkgt7aig-DQCz3S_HL5m3DNgSW3wg.JPEG%2FIMG_1781.JPG%3Ftype%3Dw773,"[{'작성자': '플라잉브로콜리', '별점': '5.0', '날짜': '2025.01.20.', '내용': '작년부터 진짜 매번 오는데 꼼꼼하게 잘 봐주셔서 너무 좋아요! 아침 일찍 오픈하자마자 오면 웨이팅 좀 있고, 오후 느즈막히 오는게 차라리 낫습니다. 선생님도 달리시는 분이... 더보기', '좋아요': '0'}, {'작성자': '뿌팟퐁커리', '별점': '1.0', '날짜': '2024.10.30.', '내용': '시간 아까웠어요ㅠ', '좋아요': '0'}, {'작성자': '눈흘기는강쥐', '별점': '4.0', '날짜': '2024.10.10.', '내용': '목요일 오전진료 안함\n14시부터 진료함', '좋아요': '0'}]","{'목': '14:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
강북송도외과의원 치질&대장내시경 &항문외과,4.1,중랑구 망우로 412 기성빌딩 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F245C3D4352452FBA02,"[{'작성자': '2nd life', '별점': '1.0', '날짜': '2025.03.25.', '내용': '들어서면  데스크 직원들의 불친절  그리고,,,\n비추', '좋아요': '0'}, {'작성자': 'weekdayend', '별점': '1.0', '날짜': '2024.12.06.', '내용': '별 하나도 아깝습니다.\n조무산지 데스큰지 3명 앉아 있는데 하나 같이 다 ‘싸가지’가 없습니다. \n더 잘하는 병원 많은데 같은... 더보기', '좋아요': '1'}, {'작성자': 'ED-Cha', '별점': '4.0', '날짜': '2024.09.03.', '내용': '심한 증상이 아니어서 잘 진료 받고 설명도 잘해주셨습니다!\n다만, 잘몰라서 질문하면 답해주기보단 왜 그런걸 물어보냐 \n처방이 별로냐 이런 식... 더보기', '좋아요': '1'}]","{'목': '09:00 ~ 17:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 17:00', '화': '09:00 ~ 17:00', '수': '09:00 ~ 14:00', '휴무일': '공휴일'}"
서울라본병원 본관,3.0,중랑구 망우로 476,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF4368D036E284BAA8D5CB3320E7EED57,"[{'작성자': '딩동', '별점': '1.0', '날짜': '2024.11.18.', '내용': '과잉진료 많이 함!', '좋아요': '0'}, {'작성자': '이지은', '별점': '5.0', '날짜': '2024.07.09.', '내용': '허리가 정말 끊어지듯이 아파서 방문했습니다.. 원장님께서 신경 성형술 받자고 하셔서 겁이 났지만 설명도 이해하기 쉽게 친절하게 해주시고 정말 감사했어요.. 시술 이후에 꼼꼼하게 상태 체크해 주시고 ... 더보기', '좋아요': '0'}, {'작성자': '이동민', '별점': '5.0', '날짜': '2024.07.09.', '내용': '허리통증 때문에 병원 방문했는데 원장님이 친절하게 진료해주셔서 좋았습니다 ㅎㅎ 일단 공장신 진료 아니라서 아주 만족하네요. 일단 물리치료 받아보고 상황 지켜보자고 하셨어요. 과잉진료도 안하시는것 것 같아 강추', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
