name,score,address,img_url,reviews,open_hour
녹색병원,,중랑구 사가정로49길 53,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjdfOTcg%2FMDAxNzM1MjgzMTUzNDM2.Z0j5OlZGxZMY2Vu-i3TPeBGnx7HlAMGap-ysTxGxuzcg.YbRZD0wihu_TbPYU7LXtPSxHh0U9E6GvE25UhiGw2iEg.JPEG%2F%25EB%2585%25B9%25EC%2583%2589%25EB%25B3%2591%25EC%259B%2590_%25EC%25A7%2581%25EC%2597%2585%25ED%2599%2598%25EA%25B2%25BD%25EC%259D%2598%25ED%2595%2599%25EA%25B3%25BC_%25EC%25A0%2584%25EB%25AC%25B8.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '휴무일': '공휴일, 5월 1일 휴무'}"
소리의원 면목,4.6,"중랑구 봉우재로 114 더소리빌딩 지하1-2층, 1-6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E6FFF0100684A4AB461865D8A7CA084,"[{'작성자': 'pjs', '별점': '5.0', '날짜': '2025.02.24.', '내용': '청각과민증 검사 받음.\n검사하고 의사샘과 상담함\n의사샘 친절, 설... 더보기', '좋아요': '0'}, {'작성자': '주유준', '별점': '5.0', '날짜': '2025.02.03.', '내용': '신생아 검사 리퍼 나와서 지인 소개로 내원했어요. 설명도 잘해주시고 안심시켜주시니 감사했어요.', '좋아요': '0'}, {'작성자': '임수희', '별점': '5.0', '날짜': '2025.01.31.', '내용': '외이도염으로 유명하다고 해서 방문해봤다. 확실히 귀만 보는 병원이라 자세한 설명과 함께 믿음직했다.', '좋아요': '0'}]","{'목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:00', '화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '휴무일': '공휴일, 2025년 5월 1일 휴무, 2025년 5월 3일 휴무, 2025년 5월 6일 휴무, 2025년 8월 16일 휴무, 2025년 10월 8일 휴무, 2025년 11월 29일 휴무'}"
88병원,,중랑구 동일로 679,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F3003C3FA275847EA9AE9B303803D0410,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
늘찬병원,,중랑구 동일로 643,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FED1E84EB7A7947A0BBCD0B8352D1F6F4,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
밝은S안과의원,4.9,중랑구 겸재로 164 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe9686e7253d80343858d843fce0e4aa1a2d067bf%3Foriginal,"[{'작성자': '혠', '별점': '5.0', '날짜': '2025.01.02.', '내용': '안과는 첫 방문인데 너무 친절하시고 상세한 설명 안내 감사드립니다!!', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2024.09.23.', '내용': '기계도 신식에 짱짱친절, 과하게 검사도 안해요! 필요한것만 권하십니다\n주기적으로 검진은 이곳으로 오r요🥰', '좋아요': '0'}, {'작성자': '대어🐟', '별점': '5.0', '날짜': '2024.08.27.', '내용': '적극 추천합니다.\n치과의사의 친절하고 상세한 설명과 간호원의 친절함에 오히려 환자입장에서 고마움을 느끼고 갑니다.', '좋아요': '0'}]","{'목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '휴무일': '공휴일'}"
나미피부과의원,4.6,"중랑구 사가정로 384 3,4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjBfMjU5%2FMDAxNzM0NjgxNDc1MDk4.MNBqrAOn3ZCQ6EV9NaD5vVxwGtoxaPbWSX_bvnFij3sg.b_MKTBcSi1v3pYOIrg7-BA32VtW-2xgHZaZSez622oUg.JPEG%2F01_008.jpg%3Ftype%3Dw966,"[{'작성자': '윤병수', '별점': '5.0', '날짜': '2024.11.01.', '내용': '방금 방문 했는데 너무 좋았습니다\n내부 도 너무 좋고 의사선생님 전문성 도 너무 좋습니다', '좋아요': '0'}, {'작성자': '시윤엄마', '별점': '5.0', '날짜': '2024.09.30.', '내용': '여기 의사쌤 친절하시고 양심적이어요~중딩 여드름땜에 방문했는데 진료도 빠르고 무리한 진료는 안하네요~강추', '좋아요': '0'}, {'작성자': 'wa', '별점': '2.0', '날짜': '2024.09.19.', '내용': '좋은지 모르겠음. 혜화보다 진료비 쫌 비쌈;', '좋아요': '0'}]","{'목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '월': '10:00 ~ 19:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 19:00'}"
연세본병원,3.8,"중랑구 면목로 310 극장빌딩 4~7층 401,501,601,702~703호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F7678F8B3B8F845CBB13D7592B5CB1300,"[{'작성자': '박태준', '별점': '1.0', '날짜': '2024.10.25.', '내용': '건강검진 받았는데요 결과서 받으려면 다시 내방하라는데 그냥 메일이나 우편주는곳가셔요들', '좋아요': '0'}, {'작성자': 'Wonsuk', '별점': '5.0', '날짜': '2024.09.26.', '내용': '이런거 잘안쓰는데, 지인이 추천해줘서 어머니 모시고 방문했는데 다른 병원에서는 수술하라고 했는데 여긴 안해도된다하더라구요~ 과잉진료 많이 듣긴했는데, 우선 수술안하고 통증조절로 주사 맞고 ... 더보기', '좋아요': '0'}, {'작성자': '루루미', '별점': '1.0', '날짜': '2024.08.26.', '내용': '진료에 성의가 없습니다\n안아프면 왜갔겠어요? \n별거 아니라는태... 더보기', '좋아요': '2'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
사가정탑재활의학과의원,4.7,"중랑구 사가정로 401 사가정메디타워 3,4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F3A43305A30914B6B97CC33220424E370,"[{'작성자': '재희', '별점': '5.0', '날짜': '2025.02.13.', '내용': '직원분들 친절하시고 근처 정형외과중 시설,직원분들 친절함이 좋아 허리 통증있을때마다 들르네요', '좋아요': '0'}, {'작성자': '박태윤', '별점': '5.0', '날짜': '2025.02.10.', '내용': '어깨랑 목이 아파 방문했는데요. 원장님 듣던대로 역시나 친절하셨구요.\n물리치료실 선생님들 불친절하다는 리뷰 보긴했는데 제가 받았을... 더보기', '좋아요': '0'}, {'작성자': '맛있는건 기부니가죠아', '별점': '2.0', '날짜': '2025.02.08.', '내용': '작년에 추천받고 한창 도수 다니던 병원\n올해 오랜만에 갔는데 의사선생님은 뭐 여전히 친절하심, 카운터는 친절까진 아니고 그냥 평범 ... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 20:00', '휴무일': '공휴일'}"
연세나이스 정형외과의원,,중랑구 겸재로 121 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F876BFEB12FBF41E288FF71B95930F9E8,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '08:00 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '추석당일, 설당일'}"
사암당한의원 중랑점,,"중랑구 겸재로 164 2, 7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD636E09E9D4646808038754636535B66,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 14:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 14:00', '수': '09:00 ~ 18:00'}"
