name,score,address,img_url,reviews,open_hour
마디세상병원,4.3,"중랑구 동일로 890 2-4, 6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4FC7A0EC0ED3484DA76FAE11407478AE,"[{'작성자': '재훈사랑♥', '별점': '5.0', '날짜': '2025.04.01.', '내용': '처음엔 가까워서 갔었는데 이제는 아플때마다 진료받고 있습니다.\n선생님들, 간호사님들 모두 친절하시고 진료도, 도수치료도 꼼꼼히 잘 해주세요~', '좋아요': '0'}, {'작성자': '쓰나', '별점': '5.0', '날짜': '2025.03.24.', '내용': '항상 갈때마다 친절하게 대해주셔서 조아요 \n6층 치료실 선생님들 다들 너무 친절해요 늘 감사합니다~^^ 의사선생님들도 꼼꼼히 설명해주시고 너무 좋아요', '좋아요': '0'}, {'작성자': '이성수', '별점': '5.0', '날짜': '2025.03.22.', '내용': '의사선생님들 직원들 모두 친절해서 너무 좋아요 \n설명도 너무 잘해주셔요', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
태릉마이크로의원,2.7,"중랑구 동일로 872 지하1층,1-6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MjRfMTYz%2FMDAxNzI3MTY3Njg0Mjg5.Iqr5ashebajPM9rgBXqwUEue0tIHFoFkAbTckze6TJQg.zRssAaGhxShDO-kN-P-uhqUlkDMTWRQhqHFHG6uC5xUg.JPEG%2FIMG_6808.JPG%3Ftype%3Dw773,"[{'작성자': 'SulRan', '별점': '5.0', '날짜': '2025.04.03.', '내용': '원장님이 명의세요👍\n봉합에 있어서 이런 실력 가지신 분이 옆 동네에 계셔서 감사했어요.\n당직의가 있어서 주말에 응급처치 정도는 할 수 있으... 더보기', '좋아요': '0'}, {'작성자': '푸르매', '별점': '4.0', '날짜': '2024.12.15.', '내용': '다 좋은데 몇 몇 간호사들과 데스크직원들 특히 여직원들 불친절 함.인사 해도 대꾸도 없음. 헐~~~', '좋아요': '0'}, {'작성자': '김진호', '별점': '5.0', '날짜': '2024.11.20.', '내용': '친절하고 편해요 ~', '좋아요': '1'}]",{}
강북제일내과의원,3.2,"중랑구 동일로 952 로프트원 2층 201, 202호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB4C961B367F842D698037BB8495BD874,"[{'작성자': '푸니', '별점': '2.0', '날짜': '2025.02.24.', '내용': '건강검진 때문에 방문\n여기 불친절하다는게 접수와 수납하는 직원들임.\n첫인상인데 불친절하니 검사전부터 짜증... 더보기', '좋아요': '0'}, {'작성자': 'ㅎㅇ', '별점': '5.0', '날짜': '2025.02.06.', '내용': '건강검진 받으러 갔는데 만족스러웠습니다. 후기들 보고 걱정했는데 다들 친절했고 병원도 깔끔했습니다. 검사 늦게 해준다고 진상 부리는 환자도 있었는데 간호사분들이 친절하게 대응하시... 더보기', '좋아요': '0'}, {'작성자': '태인태희맘^^', '별점': '5.0', '날짜': '2024.12.30.', '내용': '친절해요', '좋아요': '0'}]","{'목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 13:00', '월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00'}"
성모마음정신과의원,2.5,중랑구 동일로 903,,"[{'작성자': '나', '별점': '1.0', '날짜': '2024.07.11.', '내용': '꾸준히 목금 여자원장님 진료 보다가 시간이 안 맞아서 화요일 여자원장 진료 봤는데 초진으로 봤던 원장이더라고요.. 여전히 쳐다보지도 않고 화났는지 귀찮은건지 어떻게지냈어요? 한마디... 더보기', '좋아요': '2'}, {'작성자': 'dummy', '별점': '1.0', '날짜': '2024.07.10.', '내용': '여자선생. 너무 불친절하고 갔던병원가라고 하고...환자를 쓰레기보듯 한다', '좋아요': '2'}, {'작성자': '강인석F.Xavier', '별점': '1.0', '날짜': '2024.03.20.', '내용': '1.아동이 정서적, 정신적으로 문제가 있어서 치료를 맡겼는데 아이가 너무 힘들다고 전화해서 당장... 더보기', '좋아요': '3'}]","{'목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '휴무일': '매주 일요일'}"
이룸안과의원,5.0,중랑구 공릉로 8 대길빌딩 2층 201호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fdd3059877d5b9691e01c5a97760b26efc55047e3%3Foriginal,"[{'작성자': '^^', '별점': '5.0', '날짜': '2025.03.12.', '내용': '20대 저랑, 50대 부모님이랑 같이 방문했습니다.\n정기검진 차 방문했는데 시설도 너무 잘되어있고, 검사 여러가지 해볼 수 있어서 좋았습니다. 간호사, 검사선생님 포함해서 원장님이 세심... 더보기', '좋아요': '0'}, {'작성자': 'RRR', '별점': '5.0', '날짜': '2025.03.11.', '내용': '건조증때문에 방문했는데 원장님 진료도 친절하시고 직원분들도 다 친절해서 좋았습니다 .', '좋아요': '0'}, {'작성자': '고양이버스', '별점': '5.0', '날짜': '2025.03.04.', '내용': '병원을 바꾸어야해서 고민하던중 방문했는데\n원장님  상세한 설명으로 진료해주시고\n직원분들도... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '휴무일': '공휴일, 2025년 4월 19일 휴무, 2025년 12월 20일 휴무'}"
고려정형외과의원,3.4,중랑구 동일로 905,,"[{'작성자': '.', '별점': '5.0', '날짜': '2025.01.20.', '내용': '이 동네 잘 몰라서 근처 정형외과 중에 리뷰 제일 좋길래\n여기로 왔는데 의사선생님 친절하시고 잘봐주십니다\n후기에 물치쪽 불친절하다고 하는데 물치는 안받아서 모르겠습니다', '좋아요': '0'}, {'작성자': '최금화', '별점': '4.0', '날짜': '2024.11.11.', '내용': '아이가 내향성발톱이 있었는데 잘 몰라서 피부과에 가서 약과 연고 처방만 받다가 다른 피부과로 옮겨 4번 시술을 받았습니다. 그런데 그때뿐으로 몇... 더보기', '좋아요': '0'}, {'작성자': 'H', '별점': '5.0', '날짜': '2024.08.23.', '내용': '의사선생님이 친절하게 차근차근 설명해주셔서 안심이 돼요!', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
먹골바른신경외과의원,,"중랑구 공릉로 8 대길빌딩 4,5층 401,501호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD51C98A5E9CD49DD971939B5F0F3D311,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
보아스이비인후과 먹골의원,,중랑구 동일로 887 삼삼메디컬빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF3A475C070124F4DBB63CBFC3B07E0DF,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30'}"
늘푸른의원,4.8,중랑구 공릉로 77 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA1MTRfMTIy%2FMDAxNjg0MDQwNTgzNTE4.sGC7JfCtejT2Id3CstBOGpGSI1Rw2WQi_MPgTLEy2_Ug.sI6byhXuhCv6qklUGzWKwdEd5IIc36C9hd04RRlK_E4g.JPEG.guffy00%2FIMG_0666.jpg%3Ftype%3Dw966,"[{'작성자': '천명순', '별점': '5.0', '날짜': '2024.11.15.', '내용': '내성발톱 때문에  오랜고생끝에  드뎌 치료했네요\n4년전 코로나와함께  찿아온  발톱염증  때문에  근처  종합병원에서  양쪽  엄지발가락  수술하고  완치가... 더보기', '좋아요': '0'}, {'작성자': '그르르릉', '별점': '5.0', '날짜': '2023.07.07.', '내용': '요즘 병원가면 의사랑 이야기하는 시간이 1분 정도로 정말 패스트푸드 음식점 같은 곳이 많은데 여기 선생님은 정말 친절하세요. 상세하게 이것저것 물어보시고 봐주시고 성심성의껏 진료를 보십니다. 연휴에 병원이 다 닫아서 진... 더보기', '좋아요': '0'}, {'작성자': '두민', '별점': '5.0', '날짜': '2021.08.04.', '내용': '친절갑', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
우리한의원,0.0,중랑구 공릉로12가길 6 3층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
청추나한의원,,"중랑구 동일로 893 1,2층",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 17:00', '일': '09:00 ~ 17:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
박성택치과의원,4.4,중랑구 공릉로 58,,"[{'작성자': '큐찌', '별점': '5.0', '날짜': '2024.11.28.', '내용': '치과의사 가르치시는 숨은 고수 실력자 원장님\n합리적인 가격에 스케일링도 직접 해주시고\n전문적이셔서 믿고... 더보기', '좋아요': '0'}, {'작성자': '엔텀00', '별점': '1.0', '날짜': '2024.10.04.', '내용': 'ㅠㅠ...', '좋아요': '0'}, {'작성자': 'ㅎ용', '별점': '5.0', '날짜': '2023.10.25.', '내용': '집 근처여서 갔는데 직원분들 친절하시고\n선생님도 설명 꼼꼼히 해주셔서 좋았습니다.\n치료도 잘하시네요.', '좋아요': '0'}]","{'목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 12:00', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30'}"
자이안피부과의원,,중랑구 동일로 932 묵동자이 상가 202동 3층 303호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_84%2F1441027067026jA950_JPEG%2F126455584138105_1.jpg,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:30 ~ 18:00', '금': '09:30 ~ 20:00', '토': '09:30 ~ 14:30', '일': '휴무일', '월': '09:30 ~ 20:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '휴무일': '공휴일'}"
참사랑의원,1.8,중랑구 동일로 920,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MjFfMjAg%2FMDAxNzIxNTU4MDQwNzgy.LYKrQ8D4lPBv-v3HagozNOG4t3kSDmI0GG7-vwwV2q0g.ASKvPx9fKDDWpzEVAr-wK7m7IA8v--ErRj7TO3zdyKEg.JPEG%2F01.jpg%3Ftype%3Dw966,"[{'작성자': '우통대통', '별점': '1.0', '날짜': '2023.08.31.', '내용': '레이져치료했어요. 색소더올라오고 관리자체를잘못해주십니다. 전문의도아니고요. 시간과돈투자한게아까워요', '좋아요': '0'}, {'작성자': '콩콩', '별점': '1.0', '날짜': '2023.06.27.', '내용': '색소침착 레이저 효과 없음', '좋아요': '0'}, {'작성자': 'HW', '별점': '1.0', '날짜': '2023.06.13.', '내용': '전문성없음 \n그냥 시간낭비 돈낭비 하지마시고 \n더 전문성있는 큰병원가시... 더보기', '좋아요': '0'}]","{'목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '휴무일': '공휴일'}"
매일백세한의원 중랑구먹골본점,4.8,중랑구 공릉로 21 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8E99EB0020D44041920896EF6B54548F,"[{'작성자': '너나연지', '별점': '4.0', '날짜': '2023.04.01.', '내용': '남편이 추천해줬어요.\n다리 접질러서 간건데 2000cc이상 주차가 안돼요. \n... 더보기', '좋아요': '1'}, {'작성자': '찐닝', '별점': '5.0', '날짜': '2022.03.03.', '내용': '교통사고로 찾은 한의원인데 너무 마음에 듭니다.\n감사합니다.', '좋아요': '0'}, {'작성자': '이진옥', '별점': '5.0', '날짜': '2021.06.28.', '내용': '원장님이 꼼꼼하다 설명을 잘해준다 이거저거 물리치료가 많다', '좋아요': '0'}]","{'목': '09:30 ~ 20:30', '금': '09:30 ~ 20:30', '토': '09:30 ~ 15:30', '일': '09:30 ~ 15:30', '월': '09:30 ~ 20:30', '화': '09:30 ~ 20:30', '수': '09:30 ~ 20:30'}"
정영희산부인과의원,1.3,중랑구 동일로 861,,"[{'작성자': '얅굵', '별점': '1.0', '날짜': '2023.11.03.', '내용': '선생님도 무례하고 시설도 낡고 진료비도 부풀려받고 무엇보다 치료가 안됌..최악의 경험..', '좋아요': '0'}, {'작성자': '효영', '별점': '1.0', '날짜': '2022.11.28.', '내용': '질염으로 갔는데 갑자기 식초로 세척해야 한다고 설명없이 속에 넣고 여성세제 사용하지 말고 식초세척 하라는..이상한 진료에 항생제 한가득 이상한 약 처방..... 더보기', '좋아요': '6'}]","{'목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00'}"
