name,score,address,img_url,reviews,open_hour
디앤에프병원,2.8,중랑구 봉화산로 64,,"[{'작성자': '고옷감♥', '별점': '1.0', '날짜': '2023.08.25.', '내용': '여기..정말정말 비추합니다.. 병원 위생 너무 안좋아요.. 환자복도 너덜너덜... 소방시설 점검은 된건지 비상구도 막아져 있고 특히 비보험료가 많아서 병원비가 많이 나오니 참고하세요, 합병증 있으... 더보기', '좋아요': '0'}, {'작성자': 'noela', '별점': '1.0', '날짜': '2022.06.25.', '내용': '다른 합병증 없는사람만 가세요. 당뇨발 관련 비보험 치료가 많아요. 병원 청결도와 입원실 간호사들 수준이 많이 부족합니다.', '좋아요': '0'}, {'작성자': '코코쨩', '별점': '1.0', '날짜': '2022.05.28.', '내용': '초진은 9시50분부터 시작한다고 접수대에서 미리 얘기해줬으면 시간낭비 안했을텐데요 접수대직원 옆직원이랑 수다떨줄이나 알고 응대 정말 별로라서 두번다시 방문하고 싶지 않은 병원... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '휴무일': '공휴일'}"
메디렌느산부인과의원,4.7,중랑구 망우로 233,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4cbbec2069b0dde7fbd4215c64f3c97dd2efdd25%3Foriginal,"[{'작성자': 'zinzin', '별점': '5.0', '날짜': '2025.03.10.', '내용': '친절하십니다', '좋아요': '0'}, {'작성자': 'Hyobin', '별점': '5.0', '날짜': '2024.12.22.', '내용': '시설은 좀 노후화 ... 였으나 \n친절하시고 과잉진료 없음!! 이동네있는동안은 여기갈듯', '좋아요': '0'}, {'작성자': 'Kim Yuliya', '별점': '5.0', '날짜': '2024.12.05.', '내용': '친절해요! 예약 없어도 기다리지 않고 바로 상담 받았어요. 추천합니다! 😍', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 16:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 13:00', '수': '09:00 ~ 18:00', '휴무일': '추석당일, 설당일'}"
다온치과의원,5.0,"중랑구 중랑역로 62 2층 201, 202호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F813239BE442D41DBB42AFC798D6A1ECC,"[{'작성자': '오주영', '별점': '5.0', '날짜': '2024.01.10.', '내용': '다른치과 다니다가 여기로 정착했어요\n원장님 진료 잘보시네요^^', '좋아요': '0'}, {'작성자': '이정민', '별점': '5.0', '날짜': '2023.10.31.', '내용': '친절하게 설명 잘해주셨고 무엇보다 과잉진료 없이 편안하게 진료 잘 받고 왔습니다', '좋아요': '0'}, {'작성자': '행복하자', '별점': '5.0', '날짜': '2023.03.15.', '내용': '오른쪽 밑에 어금니 빼고 임플란트 수술 했는데요\n깔끔하게 잘되서 기분 좋네요 감사합니다!', '좋아요': '0'}]","{'목': '14:00 ~ 20:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 20:30', '수': '09:30 ~ 18:30', '휴무일': '공휴일'}"
백년튼튼정형외과재활의학과의원,,중랑구 동일로 796 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF680A9706EDE4A9BB22E011D690AAAEE,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '공휴일'}"
서울우리정형외과의원,2.6,"중랑구 동일로 786 두암빌딩 1,5,6층",//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F796558cd3116a690c178822c70189f88f66f8e39%3Foriginal,"[{'작성자': '아몬초코', '별점': '1.0', '날짜': '2024.10.24.', '내용': '의사쌤이 유쾌하시긴한데 \n진료시작이 9시인데 지각하셔서 진료가 더 늦어져요다른병원가려구요^^; 지각쟁이 의사쌤', '좋아요': '0'}, {'작성자': '푸짐푸짐', '별점': '2.0', '날짜': '2024.05.10.', '내용': '진료는 얼추 맞는 것 같지만 소통이 일방적이고 원무과부터 간호사까지 바빠서 그런지 자기 할말만 함 ㅎ\n원장님이나 보조하는 간호사나 얘기를 끝까지 듣고 답하는 경... 더보기', '좋아요': '1'}, {'작성자': '하늘향기(김향자)', '별점': '1.0', '날짜': '2023.11.10.', '내용': '의사선생님은 친즬하셔서 좋은데요\n병원이 너무 어두워서 조금 밝았으면... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
윤피부과의원,2.9,중랑구 동일로 802 대신빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA2MzBfMTk0%2FMDAxNjg4MTA2NjQ1MTI5.XjDG4DsXItFAE1I-XqOj3LT2Vedf6lJ0NGL4mHNAqXYg.nf_fkqa-MplAqwr0nfdr0u-XH_nOTZSGcmv2050iUf0g.JPEG.dermr%2F02.jpg%3Ftype%3Dw966,"[{'작성자': 'bleu', '별점': '1.0', '날짜': '2024.06.02.', '내용': '쓰던 약이 있는데 크림이랑 연고가 있다길래 몰랐어서 차이가 뭐냐니깐 얼버무리고 제대로 설명을 안해줘서 혼란이 와서 크림달랬다가 연고달랬더니 의사가 성가시다는듯이 째려보네요 병... 더보기', '좋아요': '0'}, {'작성자': '김영찬', '별점': '4.0', '날짜': '2024.02.24.', '내용': '요즘 세상에 찾기 힘든 레이저 뿅뿅이 말고 진료봐주는 피부과 의원 겁나 친절하진 않다...', '좋아요': '0'}, {'작성자': '박태성', '별점': '1.0', '날짜': '2023.07.07.', '내용': '의사 싸가지 없고 불친절. 실력도 별로인듯', '좋아요': '0'}]","{'목': '휴무일', '금': '09:30 ~ 17:30', '토': '09:30 ~ 12:30', '일': '휴무일', '월': '09:30 ~ 17:30', '화': '09:30 ~ 17:30', '수': '09:30 ~ 17:30', '휴무일': '매주 목요일, 일요일'}"
경희제일한의원,5.0,중랑구 동일로143길 29 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBC553D09EC3444369FA168F5A427F3BD,"[{'작성자': '박숙경', '별점': '5.0', '날짜': '2021.05.05.', '내용': '선생님이 정말 침을 잘 놓으십니다\n물론 친절도 하십니다\n어깨,허리 아플때 매번 도움 ... 더보기', '좋아요': '0'}, {'작성자': '금강', '별점': '5.0', '날짜': '2021.03.16.', '내용': '차분하고 친절하게 설명 잘 해주시고\n치료도 섬세하게 해주셔서 호전이 많이 되었습니다', '좋아요': '0'}, {'작성자': 'AJLee', '별점': '5.0', '날짜': '2020.06.05.', '내용': '원장님 덕분에 몸이 많이 나았습니다 \n친절하면서 꼼꼼한 진료 감사합니다~ \n직원 분들도 친절해서 감사하네요', '좋아요': '0'}]","{'목': '휴무일', '금': '09:30 ~ 19:00', '토': '09:30 ~ 15:30', '일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 21:00', '수': '09:30 ~ 19:00', '휴무일': '1월1일, 성탄절'}"
플러스비뇨기과피부과,3.4,중랑구 동일로 775 그린프라자 4층,,"[{'작성자': 'ㄱLynn', '별점': '5.0', '날짜': '2025.02.06.', '내용': '무뚝뚝하지만 치료비 타당성있고 아러지성 피부트러블 치료에 적절', '좋아요': '0'}, {'작성자': '든든', '별점': '1.0', '날짜': '2024.05.13.', '내용': '재발성 방광염 때문에 방문했는데 환자 상태에 대한 얘기는 들을 생각도 없고 약 처방하기 바쁜 의사네요. 항상제 이미 이주간 먹은 이력도 있었는데 다른 말없이 항생제 투여만 하고 얼른 가라는 식으로 진료봐서 절대 다시는 안 갈듯합니다;;', '좋아요': '1'}, {'작성자': '은현징', '별점': '5.0', '날짜': '2024.03.30.', '내용': '소개받고서 지하철 타고 1시간 걸려서 온 보람이 있슴.\n친절 하심.\n마케팅 화려한 피부과들이 하는과잉 진료도 없슴', '좋아요': '0'}]","{'목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30'}"
중랑연세내과의원,4.4,중랑구 망우로 203 중화동주상복합 203호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F34A062AA699D44A8B69E7E5F814F4CE7,"[{'작성자': '우혀니', '별점': '5.0', '날짜': '2025.04.01.', '내용': '오늘 감기기운도 있고 목도 너무 아파서 갔는데 주사 맞고 약 먹었더니 바로 나아버림..\n선생님 간호사분들도 친절하고 가까워서 자주 이용하고 있어요', '좋아요': '0'}, {'작성자': '라희', '별점': '5.0', '날짜': '2025.01.21.', '내용': '자주 가는 내과… 왜냐하면 “나를 이해해주기 때문” \n리뷰 알바라는 후기가 있길래 굳이 내 소비내역 중에서  찾아서 샷찍어서 올... 더보기', '좋아요': '0'}, {'작성자': 'prayer', '별점': '5.0', '날짜': '2024.06.28.', '내용': '언제나 처음처럼 웃음 잃지 않고 친절하게 한결 같으신 선생님!  편안하고 신뢰가 갑니다~', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '08:30 ~ 14:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '휴무일': '공휴일'}"
플러스내과의원,,"중랑구 봉화산로 39 3,4층",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '휴무일': '공휴일'}"
