name,score,address,img_url,reviews,open_hour
강남세계로약국,3.5,강남구 논현로 52 남현빌딩 1층,,"[{'작성자': '.', '별점': '1.0', '날짜': '2024.10.03.', '내용': '여긴 약도 약인데 펜데믹 때 성인한테 유아용 마스크도 팔던 곳이죠.. 아는 약 사러 가는 것 아니면 못 미더워서 못 사겠습니다', '좋아요': '1'}, {'작성자': '시민', '별점': '1.0', '날짜': '2024.09.06.', '내용': '다시는 안갑니다\n약사가 아니고 약장사입니다\n특히 여자약사는 매우 불친절합니다\n방문... 더보기', '좋아요': '1'}, {'작성자': '다람쥐', '별점': '5.0', '날짜': '2024.03.18.', '내용': '근처 병원갔다가 방문했는데 친절하시고 잘 설명해주셨어요^^ 크고 좋아요.', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30', '금': '09:00 ~ 21:30', '휴무일': '매주 일요일'}"
코리아약국,5.0,강남구 선릉로 34 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA1MjFfMjcy%2FMDAxNjg0NjU0ODg4NjY3.aZ7eex_6jxUaRS4fqINcTLZg2ajQQ0GE4NqPo0c2sQgg.Hi_32aIW-JACdkDSdVZfjqAbtP9QV8WSZTYO4VkTe2sg.JPEG.apccare%2FKakaoTalk_20230521_162651806_01.jpg%3Ftype%3Dw966,"[{'작성자': '류도우', '별점': '5.0', '날짜': '2024.07.28.', '내용': '너무 친철하십니다', '좋아요': '0'}, {'작성자': '이전', '별점': '5.0', '날짜': '2023.06.29.', '내용': '너무 친절하세요 짱짱', '좋아요': '0'}]","{'토': '08:30 ~ 16:00', '일': '09:00 ~ 13:00', '월': '08:30 ~ 22:00', '화': '08:30 ~ 20:30', '수': '08:30 ~ 22:00', '목': '08:30 ~ 20:30', '금': '08:30 ~ 22:00'}"
곰돌이약국,4.3,강남구 언주로7길 6 개포자이르네 1층 117호,,"[{'작성자': 'Le___', '별점': '5.0', '날짜': '2024.09.29.', '내용': '1점 도무지 이해가 안감..ㅋㅋ\n\n다른약국에서 처방받은 약에서 알러지 증상 일어나\n물어볼때가 없어서 근처... 더보기', '좋아요': '0'}, {'작성자': 'peress', '별점': '5.0', '날짜': '2024.02.11.', '내용': '일반약도 판매합니다. 아래 잘못된 정보예요. 막 구입하고 나오는 길입니다. 엄청 친절하세요.', '좋아요': '0'}, {'작성자': '뚠뚠', '별점': '3.0', '날짜': '2024.02.04.', '내용': '동물약만 판매합니다. 사람 약 안팔아요~‼️', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '일': '09:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 20:00'}"
소나무 약국,5.0,강남구 개포로 220 1층 238-9호 1층,,"[{'작성자': '김영현', '별점': '5.0', '날짜': '2024.11.16.', '내용': '일부러 먼 병원가도 여기서 약 지어요 소나무같이 언제나 친절하세요!', '좋아요': '0'}, {'작성자': '하루', '별점': '5.0', '날짜': '2024.02.16.', '내용': '모든 약국이 이랬으면 좋겠다,,', '좋아요': '0'}, {'작성자': '뚠뚠', '별점': '5.0', '날짜': '2024.02.04.', '내용': '다른 약국에 약사들은 약장수 마냥 물건 팔라고 온갖 호객행위를 다하는데 여기 <소나무 약국> 약사님은 그들과는 천지차이로 다릅니다. 고객이 필요로 하는 약을 잘 경청하고 파악해서 추천 해주시고요~ ... 더보기', '좋아요': '2'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
솔약국,,강남구 개포로 615 석탑프라자 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAyMTNfODgg%2FMDAxNzA3ODAzNDUwNjU0.SE10Nimtx3H_2SN2-xMpgdEFmimg3_aGufNO9CRiCrgg.P6u00S-biZK1vy6v2ecOizY1OgwHyQyUqFdAj2Mrc6Qg.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%2586%2594%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 17:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
자이1층엔약국,0.0,강남구 영동대로3길 17 자이스퀘어 131호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '일': '09:00 ~ 18:00', '월': '08:00 ~ 23:00', '화': '08:00 ~ 23:00', '수': '08:00 ~ 23:00', '목': '08:00 ~ 23:00', '금': '08:00 ~ 23:00'}"
개포종로온누리약국,5.0,강남구 선릉로 42 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjExMjZfMTkg%2FMDAxNjY5NDI4OTA4MTQ3.zvwUXKR_2Iqep7uah-P0Zocyv4MDO6sp09SGISRYYYQg.PvnbYLObuxXfubGhfJvEYZ04vmErKIheXoQTyZoS4jgg.JPEG.vnlist314%2F20221112%25EF%25BC%25BF160035.jpg%3Ftype%3Dw580,"[{'작성자': 'Lee J Y', '별점': '5.0', '날짜': '2025.03.18.', '내용': '친절하고 약 종류도 많고 처방전 미리 카톡 또는 문자로 보내주면 준비해서 연락 옵니다. 약값도  저렴했습니다.', '좋아요': '0'}, {'작성자': '먐먀미아핫세', '별점': '5.0', '날짜': '2019.10.22.', '내용': '친절하시고 약값도 적정해요', '좋아요': '0'}]","{'토': '09:00 ~ 20:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '공휴일'}"
365열린약국,0.0,강남구 삼성로 14 자이프레지던스 상가 S동 2층 216-2호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '일': '09:00 ~ 18:00', '월': '08:30 ~ 23:00', '화': '08:30 ~ 23:00', '수': '08:30 ~ 23:00', '목': '08:30 ~ 23:00', '금': '08:30 ~ 23:00'}"
개포서울약국,0.0,강남구 영동대로3길 17 개포자이 프레지던스 1층 105호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:30 ~ 17:00', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 20:30', '금': '08:30 ~ 20:30'}"
녹십자옵티마약국,2.3,강남구 논현로10길 24 1층,,"[{'작성자': 'ㅎㅂ', '별점': '1.0', '날짜': '2024.05.10.', '내용': '필요 없는 약 추천하고 드럽게 비쌈.\n1번 갔다 깜빡하고 다시 갔는데, 여긴 아님', '좋아요': '0'}, {'작성자': 'ㅇㅅㄹ', '별점': '4.0', '날짜': '2023.05.31.', '내용': '귀여운 동네약국. 약사님 친절하세요~', '좋아요': '0'}, {'작성자': '냉도리', '별점': '2.0', '날짜': '2022.12.09.', '내용': '몰라서 몇개 여쭤봤는데.. 귀찮음이 느껴지시네여 증상에 맞는 처방을 받고 싶어서 그런거였는데 아쉬웠습니다. 그래도 대답은 해주셨으니 두개 드리겠습니다..!', '좋아요': '0'}]","{'토': '10:00 ~ 19:00', '일': '10:30 ~ 18:00', '월': '10:00 ~ 20:30', '화': '09:30 ~ 20:30', '수': '09:30 ~ 20:00', '목': '10:00 ~ 20:30', '금': '10:00 ~ 20:00'}"
