name,score,address,img_url,reviews,open_hour
강남프라자약국,2.5,강남구 학동로 323 1층,,"[{'작성자': 'na', '별점': '4.0', '날짜': '2025.02.18.', '내용': '평이 너무 갈려서 긴장하며 들어감\n여자분만 약사복 입은걸로 봐서 남자분은 아닌듯\n웃는인상은 아니지만 앞손님에게도 나에게도 설명 많이 해 주고 친절', '좋아요': '0'}, {'작성자': 'J', '별점': '5.0', '날짜': '2024.10.14.', '내용': '처방약도 아닌데 자세히 설명해주시고 넘 친절하시던데요. 예전 후기를 보니 갸우뚱', '좋아요': '1'}, {'작성자': 'ㅎㄱ', '별점': '5.0', '날짜': '2023.12.11.', '내용': '너무 친절하세요', '좋아요': '0'}]","{'토': '09:00 ~ 22:00', '일': '10:00 ~ 21:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00'}"
제일그랜드약국 공공심야약국,2.7,강남구 강남대로 478 제우빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCEB25995BC8246C1926D243C2D9E198F,"[{'작성자': '.', '별점': '1.0', '날짜': '2025.01.12.', '내용': '여기 국가 허가받은곳 맞죠? 약사분이 아니라 그냥 일반사람이 계시는거 같은데 시간대가 달라서 그런가', '좋아요': '1'}, {'작성자': '산타', '별점': '1.0', '날짜': '2024.10.10.', '내용': '약을 너무 비싸게 팔아요. 감기약, 소염제에 뭔 만팔천원씩이나 받고 며칠 먹었는데도 차도가 전혀 없었어요. 값만 비싸게 받고 효과도 없는 약국 다신 안 갈래요. 약에 가격표도 안 붙여놓고 장사하는 거 보면 기분따라 가격 다르게 받는 거 같아요.', '좋아요': '0'}, {'작성자': '전지', '별점': '5.0', '날짜': '2024.08.26.', '내용': '후기 임산부인데요. 새벽4시반 위경련 통증이 심해서 지푸라기 잡는 심정으로 전화했어요. 젊은 남자분 목소리였는데 제가 약을 구입하는 것도 아닌데 정말 친절하게 복약상담 도와주셨습니다.', '좋아요': '1'}]",{}
에메랄드약국,4.1,강남구 도산대로 122 에메랄드타워 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA0MDRfMTE4%2FMDAxNjQ5MDU2MjMyMTA2.0xleUMOx4ZDWzcbv0-Rwp2bToLga5lhic0fSrVfOxnMg.0r93IGimAVV-0x7Qsd79roG30e6cNCLpHfdMOpupcr0g.JPEG.lhj7196%2FDSC08643.JPG%3Ftype%3Dw966,"[{'작성자': '맛집러버', '별점': '5.0', '날짜': '2024.10.08.', '내용': '전화로 비만주사 문의드렸는데 너무 친절하세요♡\n나오면 연락주시겠다고 메모까지', '좋아요': '0'}, {'작성자': 'medium', '별점': '1.0', '날짜': '2023.11.05.', '내용': '다른 약국 문 닫은 시간에 열려있고, 아주 친절하세요. 그런데 비싼약을 이것 저것 너무 많이 주세요. 그래서 다른 약국보다 약도 많고, 약값도 2-3배 정도 많이 들어요.', '좋아요': '0'}, {'작성자': 'kim1313', '별점': '3.0', '날짜': '2023.06.24.', '내용': '약국도 넓고 영업시간도 너무 용이하고 좋은데 약을 늘 2개 이상씩 추천해주세요... 가벼운 증상이라 이것저것 챙겨 먹기도 번거롭고 필요도 못 느끼는데 사알짝 부담스러워요😂 그것 빼고는 친절하시고 괜찮아요', '좋아요': '0'}]","{'토': '10:00 ~ 22:30', '일': '10:00 ~ 22:00', '월': '09:00 ~ 22:30', '화': '09:00 ~ 22:30', '수': '09:00 ~ 22:30', '목': '09:00 ~ 22:30', '금': '09:00 ~ 22:30'}"
희병약국,5.0,강남구 봉은사로43길 8 1층,,"[{'작성자': '.', '별점': '5.0', '날짜': '2022.02.16.', '내용': '왕 친절하시던데..\n기본적인 복용방법 뿐만 아니라 부가적인 설명들도 알아듣기 쉽게 이야기해주셨어요\n(호원약국 먼저 갔었는데 제가... 더보기', '좋아요': '1'}, {'작성자': '맛멋단', '별점': '5.0', '날짜': '2020.12.22.', '내용': '친절하시던데..', '좋아요': '2'}]","{'토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:30 ~ 19:30', '화': '09:30 ~ 21:00', '수': '09:30 ~ 19:30', '목': '09:30 ~ 21:00', '금': '09:30 ~ 21:00', '휴무일': '매주 일요일'}"
도산튼튼약국,0.0,강남구 언주로149길 5 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '10:00 ~ 17:30', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00'}"
청담엔약국,4.5,강남구 도산대로 330 서림빌딩 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FA8E836EB568446FF8F37C082D015870C,"[{'작성자': '.', '별점': '1.0', '날짜': '2024.09.21.', '내용': '구매할 때 말한 옵션과 차이있는 제품을 주심. 제품 설명서 안보고 약사말만 믿었으면 큰일 날 뻔했네요. 이게 성분이 좋다면서 다른 약 대비 가격이 두배 이상차이나는 제품을 파셨... 더보기', '좋아요': '0'}, {'작성자': 'KIMEUNJIN817', '별점': '5.0', '날짜': '2024.01.26.', '내용': '찾는건 거이 다 있고,우선 친절 친절…\n집앞약국있지만 일부러 이곳으로 옴!!', '좋아요': '0'}, {'작성자': '👋', '별점': '5.0', '날짜': '2023.07.21.', '내용': '이 근처 최고약국 ㅇㅇ\n약사님이 너무 친절하시고 섬세하게 설명해주십니다.', '좋아요': '0'}]","{'토': '09:15 ~ 16:30', '월': '09:15 ~ 20:00', '화': '09:15 ~ 19:00', '수': '09:15 ~ 20:00', '목': '09:15 ~ 19:00', '금': '09:15 ~ 20:00'}"
유한약국,2.5,강남구 논현로115길 71 1층 101호,,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.07.17.', '내용': '친절하시고 좋아요', '좋아요': '0'}, {'작성자': '영숙이', '별점': '2.0', '날짜': '2022.04.12.', '내용': '밑에 분들이랑 비슷한 의견^^;', '좋아요': '0'}, {'작성자': '웅이', '별점': '1.0', '날짜': '2020.12.01.', '내용': '좀 까칠하신듯;', '좋아요': '2'}]","{'토': '09:00 ~ 22:00', '일': '휴무일', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '휴무일': '매주 일요일'}"
탑약국,5.0,강남구 언주로 627 1층,,"[{'작성자': '이지은', '별점': '5.0', '날짜': '2025.02.15.', '내용': '친절하세요!! 추천', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.07.30.', '내용': '젊은 남자 약사님 굉장히 친절하시고 접수 받으시는 직원분도 친절하시고 아주 좋아요', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
강남정성약국,5.0,강남구 언주로 639 1층,,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.05.31.', '내용': '제가 가본 약국 중 가장 설명이 자세하고 친절하고 좋습니다', '좋아요': '0'}, {'작성자': '박지만', '별점': '5.0', '날짜': '2023.03.13.', '내용': '드링크 음료도 서비스로 주시고 굉장히 친절하시고 좋습니다', '좋아요': '0'}, {'작성자': 'jj', '별점': '5.0', '날짜': '2023.03.02.', '내용': '친절하다고 써있어서 어느정도인가 하고 갔더니\n여자약사분 너무너무 친절하시고 예쁘시고 착하시고...\n적게 일하고 많이 버세요ㅠ', '좋아요': '0'}]","{'토': '08:30 ~ 15:00', '일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '휴무일': '공휴일'}"
파낙스약국,2.3,강남구 논현로 629 파낙스빌딩 1층,,"[{'작성자': '편함', '별점': '1.0', '날짜': '2019.08.14.', '내용': '절뚝거리고 갔더니만 다른약국을알려줍니다 본분상실', '좋아요': '0'}, {'작성자': '유정표', '별점': '1.0', '날짜': '2019.06.29.', '내용': '토요일 17시 아파서 진통제 하나 사러 갔는데, 분명 약국은 열려있었고 급하게 진통제를 달라고 했지만, 현금만 가능하다며 계좌이체라도 하겠다는데 진통제 판매 거부로 쫓겨남. 정신을 가지고 운영하는 곳인지 의문이 들어서. 쫓겨나자마자 후기남김', '좋아요': '1'}]","{'토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 17:30', '금': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
