name,score,address,img_url,reviews,open_hour
강남새천년온누리약국,2.3,강남구 도곡로 523 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjNfMTA1%2FMDAxNzM0OTM5NTEwNDE5.IT1qZBVLTuHGzsJlL3QQb5DupbIAliIcitFCtaxB8OUg.vUnIg3I5_WyalSlGT9ltT9zT964ExZUFBfEygc43ufMg.PNG%2F1.png%3Ftype%3Dw773,"[{'작성자': 'jshin37', '별점': '1.0', '날짜': '2025.03.20.', '내용': '약사 가족이 세트로 ~\n\n... 더보기', '좋아요': '0'}, {'작성자': '맛집킬러', '별점': '1.0', '날짜': '2025.01.15.', '내용': '최악 중에 최악..', '좋아요': '0'}, {'작성자': '-/-', '별점': '1.0', '날짜': '2025.01.14.', '내용': '타약국 대비 비싸고 일반의약품 종류가 다양한데 설명도 없이 비싼 약부터 팔길래 환불하고 바꿔옴. 약국이 동네장사인데 그렇게 장사하냐', '좋아요': '0'}]",{}
종로약국,4.5,강남구 도곡로 419 쇼핑넷빌딩 1층,,"[{'작성자': 'MIN', '별점': '5.0', '날짜': '2024.04.02.', '내용': '파스 구매하러 갔는데 샘플까지 보여주시면서 차이점 자세하게 설명해주셨어요. 값도 저렴했어요!', '좋아요': '0'}, {'작성자': '수수파크', '별점': '5.0', '날짜': '2024.01.28.', '내용': '일단 타 약국엔 없는 약 종류가 매우 많고 약사분 설명 및 복약지도 친절하십니다', '좋아요': '0'}, {'작성자': '김인직', '별점': '5.0', '날짜': '2023.12.28.', '내용': '약사분이 굉장히 친절하심... 재방문하고 싶어지는 곳이네요', '좋아요': '0'}]","{'토': '09:20 ~ 20:00', '일': '휴무일', '월': '09:20 ~ 21:00', '화': '09:20 ~ 21:00', '수': '09:20 ~ 21:00', '목': '09:20 ~ 21:00', '금': '09:20 ~ 21:00', '휴무일': '매주 일요일'}"
허지웅약국,4.4,강남구 테헤란로 532 1층 105호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1bc00986f228abe89afe69ec4dd8bf0df567ea4d%3Foriginal,"[{'작성자': 'E', '별점': '5.0', '날짜': '2024.12.16.', '내용': '이 약국 다닌지 4년쯤 돼가는 것 같은데, 약사님 늘 바빠 보이시는데도 한결같이 진심 친절하십니다. 어쩜 세상에 이런 약국이 다 있을까 싶어요. 삼성역... 더보기', '좋아요': '0'}, {'작성자': '죠랭이떡', '별점': '4.0', '날짜': '2024.09.12.', '내용': '남자약사님 넘 친절하시고 설명도 자세히 해주셔서 감사했어요! 회사근처에 이런 좋은곳을 알게되어 너무 좋네요... 더보기', '좋아요': '1'}, {'작성자': '허지웅', '별점': '5.0', '날짜': '2024.04.02.', '내용': '안녕하세요? 허지웅약국입니다 바로 아래 “ㅇㅇ”님 1월 18일 기억합니다. 영수증 가지고 오셔서 가격이 이상하다고 하셔서 CCTV 확인 결과 용각산쿨의 가격을 오해하셨다는... 더보기', '좋아요': '3'}]","{'토': '09:00 ~ 16:00', '월': '08:00 ~ 21:00', '화': '08:00 ~ 21:00', '수': '08:00 ~ 21:00', '목': '08:00 ~ 21:00', '금': '08:00 ~ 21:00'}"
우리온누리약국,5.0,강남구 남부순환로397길 57 대치메디칼센터 1층 1호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc8f09a7b2fcf4383ad934f94d88d5bfdf2d4590b%3Foriginal,"[{'작성자': '가또', '별점': '5.0', '날짜': '2024.12.03.', '내용': '세심하게 잘 챙겨주시고 친절해서 좋았어요!', '좋아요': '0'}, {'작성자': '뇸뇸', '별점': '5.0', '날짜': '2023.12.28.', '내용': '넘 친절하세요', '좋아요': '0'}, {'작성자': 'AR', '별점': '5.0', '날짜': '2023.02.16.', '내용': '약사님이 의사보다 더 약을 잘아시고 약에대해 질문을 자주드렸는데도  한번도 짜증내시지 않고 친절히 설명해 주셔서 감동했습니다. 너무 감사하고 또 뵙겠습니다.', '좋아요': '0'}]","{'토': '08:00 ~ 16:00', '일': '휴무일', '월': '08:00 ~ 19:30', '화': '08:00 ~ 19:30', '수': '08:00 ~ 19:30', '목': '08:00 ~ 19:30', '금': '08:00 ~ 19:30', '휴무일': '매주 일요일'}"
대치약국,2.5,강남구 선릉로86길 42 참존빌딩 1층 102호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0784E96AEE344F098A879C6C07C167B7,"[{'작성자': '.', '별점': '1.0', '날짜': '2025.04.03.', '내용': '처방약 말고 그냥 약국에서 파는 미용?크림 샀는데 다른데보다 만원은 더 받네요.. ㅠㅠ 십만원에서 십일만원도 아니고 이만원에 파는걸 삼만원에 파셔서 쫌,,', '좋아요': '0'}, {'작성자': 'W', '별점': '1.0', '날짜': '2025.03.31.', '내용': '임산부가 먹을수있는약과 못먹는약을 구분못하네', '좋아요': '0'}, {'작성자': 'Submarine49', '별점': '5.0', '날짜': '2025.03.28.', '내용': '한약줬다고 별점 테러하는 댓글들 딱 봐도 약사들이네 ㅋㅋ 쓸거면 좀 티 안나게 쓰던지 ㅋㅋ 참 졸렬하다 졸렬해 ㅋㅋㅋ', '좋아요': '0'}]","{'토': '11:00 ~ 22:00', '일': '12:00 ~ 21:00', '월': '11:00 ~ 22:00', '화': '11:00 ~ 22:00', '수': '11:00 ~ 22:00', '목': '11:00 ~ 22:00', '금': '11:00 ~ 22:00'}"
테헤란건강약국,3.1,강남구 선릉로86길 17 선릉MT빌딩 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F516ad6721dfb7c7add5e92edf2459332030c79b0%3Foriginal,"[{'작성자': '리얼팩트후기', '별점': '5.0', '날짜': '2024.02.08.', '내용': '다녀왔는데 친절하시던데? 약국에서 vip 의전해줘야 친절한건가요?', '좋아요': '0'}, {'작성자': '건박사', '별점': '1.0', '날짜': '2023.08.29.', '내용': '약사님은 친절하신데 남자 직원 너무 불친절합니다.', '좋아요': '0'}, {'작성자': 'abcd', '별점': '1.0', '날짜': '2022.11.22.', '내용': '남자 약사 환자 응대를 형편없게 하고 오히려 훈계질을 하려는 모습을 보이던데 젊은 사람이 아프고 늙은 사람에게 그렇게 대해서는 안 된다고 생각한다. 남약사는 반성해야 할것.', '좋아요': '0'}]","{'토': '09:00 ~ 20:00', '일': '16:00 ~ 20:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00'}"
누네조은약국,3.7,강남구 테헤란로 408 7층 705호,,"[{'작성자': '힘차게달려라', '별점': '1.0', '날짜': '2024.11.23.', '내용': '이비인후과 방문후 약국약처방받음..\n약이 신경계통인데 쎄다고 반알씩 처방 받음.\n\n처방보... 더보기', '좋아요': '0'}, {'작성자': '김연회', '별점': '5.0', '날짜': '2023.08.17.', '내용': '주변 병원에서 약처방 받았는데 이 약국에 약 재고가 없자 주변 약국까지 전화로 일일히 재고 확인해 주셨어요. 처방 병원도 그렇게... 더보기', '좋아요': '0'}]","{'토': '08:40 ~ 13:00', '일': '09:00 ~ 13:00', '월': '08:40 ~ 18:00', '화': '08:40 ~ 18:00', '수': '08:40 ~ 18:00', '목': '08:40 ~ 18:00', '금': '08:40 ~ 18:00'}"
동호약국,2.0,강남구 테헤란로114길 16 1층 1호,,"[{'작성자': 'bbb', '별점': '1.0', '날짜': '2025.01.06.', '내용': '가지마세요. 불친절하고 말도 안통합니다. 사람 말 계속 끊고 뭐가 그렇게 아니꼬우신지.? 장사 대체 왜 하시는지 모르겠네요.', '좋아요': '0'}, {'작성자': '🌷', '별점': '3.0', '날짜': '2024.11.11.', '내용': '정확히 제품명으로 요청해서인지 불친절을 느낄새는 없었으나 다른 곳보다 비싸긴 해요', '좋아요': '0'}, {'작성자': '코코볼 도둑', '별점': '3.0', '날짜': '2023.10.27.', '내용': '다른데보다 비싸요', '좋아요': '0'}]","{'토': '08:00 ~ 16:00', '일': '휴무일', '월': '08:00 ~ 21:00', '화': '08:00 ~ 21:00', '수': '08:00 ~ 21:00', '목': '08:00 ~ 21:00', '금': '08:00 ~ 21:00', '휴무일': '매주 일요일'}"
메타팜약국,4.4,강남구 남부순환로 2941 대치프라자 1층 101호,,"[{'작성자': 'D-29', '별점': '5.0', '날짜': '2024.05.01.', '내용': '약사님 설명 잘 해주시고 따뜻한 말씨 친절하셔요', '좋아요': '0'}, {'작성자': '꾹꾹이', '별점': '5.0', '날짜': '2024.03.17.', '내용': '약사님들 친절하고 설명 잘 해주시고 매일 열어요', '좋아요': '0'}, {'작성자': '쑥톤심슨', '별점': '2.0', '날짜': '2023.07.01.', '내용': '에어컨을 잘 안트시나...약국이 좀 더웠어요...ㅜㅜ', '좋아요': '0'}]","{'토': '08:30 ~ 15:00', '일': '10:00 ~ 13:00', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30'}"
지킴약국,5.0,강남구 도곡로 431 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F975FB7A9F50645F3BC7C7DA35F70085E,"[{'작성자': '💕', '별점': '5.0', '날짜': '2024.08.31.', '내용': '친절해요  \n과다하지않게 증상에 맞는약 주셔요', '좋아요': '0'}, {'작성자': 'sun', '별점': '5.0', '날짜': '2024.08.29.', '내용': '친절하고 약 설명도 잘해주시네요~\n감사합니다 또 이용할게요~!!', '좋아요': '0'}, {'작성자': 'jude', '별점': '5.0', '날짜': '2024.08.27.', '내용': '약이 많고 저렴합니다', '좋아요': '0'}]","{'토': '08:30 ~ 22:00', '일': '10:00 ~ 22:00', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30'}"
