name,score,address,img_url,reviews,open_hour
관악그랜드약국,5.0,관악구 신림로 141 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTlfMTU3%2FMDAxNzM0NTkyNzQzNTU2.dvUQc_b-TU79eDOh0gqtasuP_BEp9JBU5VJftoYUktYg.9ZLjMXzXA4p6aUcjnjBCcs6eghayrlG07wSNnvLaHTcg.JPEG%2FKakaoTalk_Photo_2024-12-19-12-51-08_003.jpeg%3Ftype%3Dw966,"[{'작성자': '김모', '별점': '5.0', '날짜': '2025.01.23.', '내용': '약 설명도 자세하게 해 주시고 너무 친절하십니다!', '좋아요': '0'}, {'작성자': '별섬', '별점': '5.0', '날짜': '2025.01.02.', '내용': '좋긴한데 처리속도가 느려도 너무 느려요.... 안에 공간도 협소ㅠㅠ\n\n20250102 수정)\n예전보다 ... 더보기', '좋아요': '0'}, {'작성자': 'sj', '별점': '5.0', '날짜': '2023.04.13.', '내용': '일반약품 가격저렴하고 좋아요', '좋아요': '0'}]","{'토': '09:00 ~ 17:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
우리온누리약국,5.0,관악구 호암로 530 1층 103호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F77F1A95C1742496F8B21BFD881359F22,"[{'작성자': '뇽안', '별점': '5.0', '날짜': '2023.10.25.', '내용': '여기 약사님 제가 가본 약국 중에 제일 친절하십니다!! 👍👍 추천이에요!!!', '좋아요': '0'}, {'작성자': 'Roxie', '별점': '5.0', '날짜': '2022.06.24.', '내용': '약사님 진짜 친절함. 그리고 주말 공휴일에도 문 연다는게 너무 좋음!', '좋아요': '0'}, {'작성자': 'qwert', '별점': '5.0', '날짜': '2022.05.29.', '내용': '급하게 살 게 있었는데\n일요일인데도 열고 계셔서\n다녀왔네요 ㅎㅎ... 더보기', '좋아요': '0'}]","{'토': '08:40 ~ 15:00', '일': '휴무일', '월': '08:40 ~ 20:00', '화': '08:40 ~ 20:00', '수': '08:40 ~ 20:00', '목': '08:40 ~ 20:00', '금': '08:40 ~ 20:00', '휴무일': '공휴일'}"
인제약국,5.0,관악구 원신2길 17,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fefb01e4c7e6dd3160dc19049a21848fc3db416a8%3Foriginal,"[{'작성자': '신림동 역세권 주민', '별점': '5.0', '날짜': '2023.03.02.', '내용': '좋다고 말을 해야 하는건지,,,\n일단 명절이나 일요일까지도\n영업해서 좋습니다\n늦게까지 영... 더보기', '좋아요': '4'}]",{}
착한약국,0.0,관악구 호암로 526 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F24D2D765D835440EADD8021361D90122,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 14:30', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
국민힐링365,0.0,관악구 신림로 141,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
영암약국,1.0,관악구 원신2길 34,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
종로늘푸른약국,,관악구 신림로 137 조흥빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjhfNjcg%2FMDAxNzMyNzYwNzE3NDcw.-xFHNm-mH9oLwFlI8DFtdSR40ul5bto6wqn8uAmNn2Ig.RLpntGsgf637iFWqSvupdrs2ktygyhwKWkc3CIOvTXAg.JPEG%2FSE-e157a2d4-24c4-41de-bdb3-f600a0199b8e.jpg%3Ftype%3Dw466,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:30 ~ 01:00', '일': '10:00 ~ 01:00', '월': '08:30 ~ 01:00', '화': '08:30 ~ 01:00', '수': '08:30 ~ 01:00', '목': '08:30 ~ 01:00', '금': '08:30 ~ 01:00'}"
대학당약국,5.0,관악구 원신길 2-1,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjdfMjk3%2FMDAxNzMyNjY5NTQ2MTA2.x9igAsrFbmlh847r5zyjR6a0GJFrh-1gzCy00bD3Uowg.h771kCqpP7hAPotap4PakwDSGin-MasSKgaodtcOnD8g.PNG%2F%25EC%25A0%259C%25EB%25AA%25A9%25EC%259D%2584-%25EC%259E%2585%25EB%25A0%25A5%25ED%2595%25B4%25EC%25A3%25BC%25EC%2584%25B8%25EC%259A%2594_-001_-_2024-11-27T100543.022.png%3Ftype%3Dw966,"[{'작성자': '거리악사', '별점': '5.0', '날짜': '2021.08.07.', '내용': '자주가는 곳이네요.정말 좋은 약들로 주십니다.다른 약국하곤 정말 달라요', '좋아요': '0'}]","{'토': '08:00 ~ 19:00', '월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '목': '08:00 ~ 20:00', '금': '08:00 ~ 20:00'}"
팜프라자약국,4.0,관악구 신림로 150,,"[{'작성자': '냠', '별점': '5.0', '날짜': '2025.02.06.', '내용': '완전 친절하심. 인사도 엄청 밝게해주시고 설명도해주심', '좋아요': '0'}, {'작성자': '신림', '별점': '1.0', '날짜': '2024.02.14.', '내용': '메니에르 때문에 어지러워서 약 받으러 갔음\n위에 병원에서 설명을 절대 안해주길래 약을 왜 먹는지 물어보니 저보고 “본인 같이 예민한 사람들만 먹는거다, 예민하게 굴지말... 더보기', '좋아요': '1'}, {'작성자': '크링', '별점': '1.0', '날짜': '2023.04.26.', '내용': '바가지인듯..  가격이 두배네..', '좋아요': '0'}]","{'토': '09:00 ~ 17:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
밝은미래약국,0.0,관악구 신림로 135 육일빌딩 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
순환약국,4.7,관악구 호암로22길 60,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2fdd248e757ab547ff5e5c9d6b2828fceed757c0%3Foriginal,"[{'작성자': '하트', '별점': '5.0', '날짜': '2024.09.13.', '내용': '더 일찍 알았으면 좋았을걸!하는 생각이 드는 약국이에요. 강력 추천해요.', '좋아요': '0'}, {'작성자': '으악', '별점': '5.0', '날짜': '2024.04.19.', '내용': '되게 친절하심', '좋아요': '0'}, {'작성자': '.', '별점': '3.0', '날짜': '2023.08.12.', '내용': '문을 연 걸 못보네요\n6시라고 돼있는데 5시 조금 넘으면 닫으시는듯\nㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
영광메디컬약국,,관악구 신림로 158 영광빌딩 1층 1호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9A75F276BEFA4F85880985539209C9B0,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:00 ~ 14:00', '일': '휴무일', '월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '목': '08:00 ~ 20:00', '금': '08:00 ~ 20:00', '휴무일': '공휴일'}"
광장온누리약국,1.9,관악구 신림로 107 1층,,"[{'작성자': '임진욱', '별점': '1.0', '날짜': '2025.03.08.', '내용': '아이고 리뷰 감사합니다 계산하고 나왔다가 좀 비싼데 싶어서 리뷰 들어가봤다가 취소하고 나왔습니다 눈탱이 쳐맞고 나올뻔했네요;;', '좋아요': '0'}, {'작성자': '병주', '별점': '1.0', '날짜': '2024.05.13.', '내용': '구내염때문에 급하게 약사러갔는데 소염제 3통에 바르는거까지 16000원 나왔슴다 이상하다싶었는데 미리 리뷰보고 갈걸 후회했어요ㅠ', '좋아요': '0'}, {'작성자': '주먹밥김', '별점': '1.0', '날짜': '2023.09.24.', '내용': '일요일 야간에 영업 안합니다. 영업시간 수정하세요', '좋아요': '0'}]",{}
신지약국,4.8,관악구 신림로 105 1층,,"[{'작성자': 'ㅅㅋㅇㅎ', '별점': '5.0', '날짜': '2025.02.24.', '내용': '너~~~무 친절하시고 필요없다고 판단하신 제품을 수익을 포기하시면서도 판매하지 않으십니다.', '좋아요': '0'}, {'작성자': '냠', '별점': '5.0', '날짜': '2024.12.31.', '내용': '넘넘친절하시다', '좋아요': '0'}, {'작성자': '빅', '별점': '5.0', '날짜': '2024.08.09.', '내용': '진정한 약사이십니다.\n감기약 약만 먹으면 나타나는 특이한 증상이 있었는데 의사에게 물어도 안알려주는 약의 부작용을 약사님이 너무나 친절하게 알려주셔서 약 복용에 큰도움이 되었어요', '좋아요': '0'}]","{'토': '08:30 ~ 16:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00'}"
아림약국,3.5,관악구 호암로26길 57 1층,,"[{'작성자': 'qwq', '별점': '5.0', '날짜': '2024.04.09.', '내용': '약사님 친절하시고 최고', '좋아요': '0'}, {'작성자': 'pax', '별점': '2.0', '날짜': '2024.01.03.', '내용': '일반약 기준 인근 약국보다 비싸게 받는 편입니다', '좋아요': '2'}, {'작성자': '박수완', '별점': '1.0', '날짜': '2023.07.06.', '내용': '불 친 절', '좋아요': '1'}]","{'토': '10:30 ~ 20:00', '일': '휴무일', '월': '10:30 ~ 21:00', '화': '10:30 ~ 21:00', '수': '10:30 ~ 21:00', '목': '10:30 ~ 21:00', '금': '10:30 ~ 21:00', '휴무일': '매주 일요일'}"
새싹온누리약국,4.2,관악구 신림로 169 영창빌딩 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMTBfOTAg%2FMDAxNjc2MDA0ODM4NzM1.WmTynTvEhWpt9pIh5BPmYrojfydv-N08fZOdv_oA_C8g.wbQC6dBwKmVE516JtcMVmRgR4fuTaqBsnh2GQIED4A8g.JPEG.f1051183%2FSE-5ff16df2-7de2-444b-b5d7-dfcacc184cb3.jpg%3Ftype%3Dw773,"[{'작성자': 'yesirr', '별점': '5.0', '날짜': '2024.03.05.', '내용': '너무너무 친절하세요ㅜ', '좋아요': '0'}, {'작성자': 'MJ', '별점': '5.0', '날짜': '2023.12.11.', '내용': '갈 때마다 친절하세요', '좋아요': '0'}, {'작성자': '꽃', '별점': '1.0', '날짜': '2023.10.09.', '내용': '너무 느림.... 20분기다림', '좋아요': '0'}]","{'토': '08:30 ~ 15:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '휴무일': '설당일, 어린이날'}"
왕약국,3.0,관악구 대학5길 17 1층,,"[{'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2024.10.02.', '내용': '약사가 약팔이합니다.\n특히 남자약사.. 안사면 나갈때까지 벌레보... 더보기', '좋아요': '1'}, {'작성자': '에드', '별점': '1.0', '날짜': '2024.01.15.', '내용': '친구 아파서 구급차 부르고 나서 구급차 오기 전에 약 사려고 뛰어가서 급하다고 여러 번 불렀는데 쳐다만 보고 대꾸도 안하십니다 ㅋㅋ ... 약사가 왜 약사인가요 의료인 아닌가요..? 친구가 아파서 급하게 왔... 더보기', '좋아요': '2'}, {'작성자': '주먹밥김', '별점': '1.0', '날짜': '2023.09.24.', '내용': '일요일 야간 안합니다. 영업시간 수정하세요. 당번이라고 적어놓는거 보니까 매번 돌아가면서 하는 것 같은데 저처럼 피해보시는 분 없길 바랍니다.', '좋아요': '2'}]","{'토': '09:00 ~ 22:00', '일': '10:00 ~ 22:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00'}"
강원약국,1.6,관악구 대학길 36,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9276113c1ac2e13176fa32aa2497e8748619c6c6%3Foriginal,"[{'작성자': '은영', '별점': '1.0', '날짜': '2025.03.12.', '내용': '약비싸게 필요없는거까지 얹어서 팔아요\n간호산데\n특정 변비약 상품명 얘기하면서 그거만 달라했더니\n요즘 그런 약 누가 먹냐면서 다른 ... 더보기', '좋아요': '1'}, {'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2025.02.12.', '내용': '몰라서 보이길래 걍 갔는데 약값 만원 넘게 나옴... 병원비가 덜 나올듯', '좋아요': '0'}, {'작성자': '솔솔', '별점': '1.0', '날짜': '2025.01.27.', '내용': '예전 약 비싸서 안갔었는데 , 어머니도 갔다오시고 비싸게 팔라고 환장한 약사같다고 함. 여기 안가고 신지약국으로 가세요!', '좋아요': '1'}]","{'토': '09:00 ~ 21:30', '일': '휴무일', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30', '금': '09:00 ~ 21:30', '휴무일': '매주 일요일'}"
도울약국,0.0,관악구 신림동 1694,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
우경약국,5.0,관악구 호암로 528 1층,,"[{'작성자': '고로케', '별점': '5.0', '날짜': '2023.05.11.', '내용': '7시 반 오픈!!', '좋아요': '0'}]","{'토': '07:30 ~ 15:00', '월': '07:30 ~ 20:00', '화': '07:30 ~ 20:00', '수': '07:30 ~ 20:00', '목': '07:30 ~ 20:00', '금': '07:30 ~ 20:00'}"
한소망약국,5.0,관악구 신림로 198 1층,,"[{'작성자': '맛있는게제일좋아', '별점': '5.0', '날짜': '2023.10.11.', '내용': '친절하시고 바가지없이 좋아요!', '좋아요': '0'}]","{'토': '09:00 ~ 19:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
은성온누리약국,5.0,관악구 신림로 210 1층,,"[{'작성자': '김', '별점': '5.0', '날짜': '2024.11.19.', '내용': '친절하고 정확한 설명 감사합니다', '좋아요': '0'}, {'작성자': '개인기록용', '별점': '5.0', '날짜': '2024.08.04.', '내용': '친절함에 눈물흘리고 인류애채우고 갑니다', '좋아요': '0'}, {'작성자': '개발자', '별점': '5.0', '날짜': '2024.07.12.', '내용': '친절해서 감동받음', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30'}"
