name,score,address,img_url,reviews,open_hour
메디팜압구정약국,3.0,강남구 논현로160길 13 1층 101호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F49E7AA5B4A5248059E7E55CCAB7490CD,"[{'작성자': '김세윤 Agape K', '별점': '5.0', '날짜': '2023.05.17.', '내용': '약사님 친절하고 대로변 약국보다 조금 싼거 같아요.', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2020.03.24.', '내용': '전혀 다른 불친절을 경험했습니다.', '좋아요': '0'}]","{'토': '09:30 ~ 20:00', '일': '휴무일', '월': '09:30 ~ 20:00', '화': '09:30 ~ 20:00', '수': '09:30 ~ 20:00', '목': '09:30 ~ 20:00', '금': '09:30 ~ 20:00', '휴무일': '공휴일'}"
행운약국,3.0,강남구 논현로 836 삼신빌딩 1층 102호,,"[{'작성자': 'ㅁㅁ', '별점': '3.0', '날짜': '2024.01.13.', '내용': '여기 약봉지를 바꿔야 해요. 무슨약을 줬는지 약이 몇알인데 설명만으론 부족해요. 요즘은 대개 표시된 약봉지 주더라고요.', '좋아요': '0'}, {'작성자': '돼지', '별점': '1.0', '날짜': '2023.10.27.', '내용': '약사가 불친절합니다. 다음부턴 다른 약국으로 방문하려구요. 아파서 그냥 약받고 나왔네요..', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2023.10.07.', '내용': '주변 성형외과 항생제 처방이 많아서 가게되는데 약 잘못주고 불친절하고 비싼편...', '좋아요': '0'}]","{'토': '09:30 ~ 18:00', '일': '휴무일', '월': '09:30 ~ 20:00', '화': '09:30 ~ 20:00', '수': '09:30 ~ 20:00', '목': '09:30 ~ 20:00', '금': '09:30 ~ 21:00', '휴무일': '매주 일요일'}"
중앙약국,3.0,강남구 압구정로50길 28 101동 116~117호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F88520523B9214EE18AE1F3EEAE55A529,"[{'작성자': '쮸르', '별점': '5.0', '날짜': '2024.10.01.', '내용': '약사님이 엄청 친절하시고 접근성이 좋습니다.\n공휴일 토일 다 여는 몇없는 약국ㅜㅜ❤️', '좋아요': '0'}, {'작성자': '방랑자', '별점': '1.0', '날짜': '2023.10.21.', '내용': '불쾌한 약국', '좋아요': '0'}, {'작성자': '욜로', '별점': '1.0', '날짜': '2020.06.20.', '내용': '처방받은 약 잘 확인해보세요', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00'}"
샤인약국,3.7,강남구 압구정로50길 11 1층 105호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA1MjhfMTY0%2FMDAxNzE2ODcxODY3NjU3.knvEbmrcZk2DXM184OcWz0JDY8CGSeeJFMJlWWWj68Ug.wfTM4Cjpwmck-S79mu4dX64lahpuUv-Q8mR9XHZZTqog.JPEG%2FSE-ced49bcd-5f45-49fe-a612-5a1ac691ef0c.jpg%3Ftype%3Dw773,"[{'작성자': 'W', '별점': '1.0', '날짜': '2024.09.22.', '내용': '후기보고 갔다가 약값만 더 비싸고 먹고 효과는 없었음.\n회사 근처라 2번 갔는데 2번 다 효과없어서 집앞 약국에서 약 다시 사서 먹음. 열받아서 새벽에 일어나 리뷰남김.', '좋아요': '0'}, {'작성자': '%EB%8F%99%EB%9E%91', '별점': '5.0', '날짜': '2024.01.21.', '내용': '미쳤어요 약사님 진짜 친절하심\n압구정에 일욜날 문여는곳 여기밖에없어요ㅠㅠ', '좋아요': '0'}, {'작성자': '정송아', '별점': '5.0', '날짜': '2023.08.09.', '내용': '약사님이 친절해요', '좋아요': '0'}]","{'토': '10:20 ~ 19:00', '일': '13:40 ~ 19:00', '월': '10:00 ~ 20:30', '화': '10:00 ~ 20:30', '수': '10:00 ~ 19:30', '목': '10:00 ~ 20:30', '금': '10:00 ~ 21:00'}"
명옥약국,5.0,강남구 압구정로 212,,"[{'작성자': '메론멜론', '별점': '5.0', '날짜': '2020.03.16.', '내용': '일요일 오후 세시 마스크를 샀어요! 힘드실텐데 힘내세요', '좋아요': '0'}, {'작성자': '정규진', '별점': '5.0', '날짜': '2018.09.03.', '내용': '친절한 설명과 합리적인 가격 약국은 약사분이 중요한거 같아요~', '좋아요': '0'}]","{'토': '08:00 ~ 17:30', '일': '휴무일', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '휴무일': '매주 일요일'}"
소호약국,0.0,강남구 논현로 848 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 08:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
청담케이팜약국,4.0,강남구 도산대로 333 1층,,"[{'작성자': '수수파크', '별점': '4.0', '날짜': '2024.04.08.', '내용': '입지가 좋아 매출 잘 나올 것 같은 약국이라 엄청 친절하다거나 그렇진 않고 그냥 저냥 드라이하게 기본만 합니다', '좋아요': '0'}]","{'토': '09:00 ~ 17:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 21:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:30', '금': '09:00 ~ 21:00'}"
압구정감마약국,4.5,강남구 압구정로 336 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD49C426D186D446BB2409C519D38CFAC,"[{'작성자': '이지원', '별점': '5.0', '날짜': '2025.03.06.', '내용': '굉장히 엄청나게 눈물날정도로 친절👍', '좋아요': '0'}, {'작성자': '김ㅇㅇ', '별점': '5.0', '날짜': '2025.02.15.', '내용': '멀리서 사랑니 뽑으러왔다 들렸는데\n약값도 동네랑 비슷하고\n친절하세요', '좋아요': '0'}, {'작성자': '새끼표범', '별점': '5.0', '날짜': '2025.02.15.', '내용': '압구정 감마약국 굿', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '휴무일': '설당일'}"
생생온누리약국,,강남구 논현로 842 압구정빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F92F0AB7B491F49659E0474FC963705FC,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 20:00', '일': '12:00 ~ 20:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00'}"
압구정원약국,0.0,강남구 논현로 842 압구정빌딩 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:30 ~ 18:30', '월': '09:30 ~ 20:30', '화': '09:30 ~ 20:30', '수': '09:30 ~ 20:30', '목': '09:30 ~ 20:30', '금': '09:30 ~ 20:30'}"
