name,score,address,img_url,reviews,open_hour
신풍제약도매,5.0,강남구 역삼로 161,,"[{'작성자': '이태건', '별점': '5.0', '날짜': '2020.11.29.', '내용': '서울에 있어  다행입니다', '좋아요': '0'}]",{}
라온약국,,강남구 강남대로 318 1층 103호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 17:30', '일': '휴무일', '월': '08:40 ~ 21:30', '화': '08:40 ~ 21:30', '수': '08:40 ~ 21:30', '목': '08:40 ~ 21:30', '금': '08:40 ~ 21:30', '휴무일': '매주 일요일'}"
강남제일약국,3.0,강남구 테헤란로 139 신중앙빌딩 1층,,"[{'작성자': '다영', '별점': '1.0', '날짜': '2023.08.22.', '내용': '약 잘못주셔서 다시갔는데 사과한마디 없으시네요', '좋아요': '0'}, {'작성자': '김왕릉', '별점': '5.0', '날짜': '2021.11.13.', '내용': '친절해용', '좋아요': '0'}, {'작성자': '🙌', '별점': '3.0', '날짜': '2021.06.15.', '내용': '그냥 그래요~', '좋아요': '0'}]","{'토': '10:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
싱싱약국,,강남구 봉은사로54길 9 B549빌딩 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:30 ~ 15:00', '일': '휴무일', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '휴무일': '매주 일요일'}"
성지약국,4.5,강남구 강남대로106길 9 3층 301호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F04CB4D71F6C443B697FD4D9613820FE5,"[{'작성자': '기분이조크든요', '별점': '5.0', '날짜': '2025.03.11.', '내용': '이름값 하는 정말 아끼는 약국', '좋아요': '0'}, {'작성자': 'Tetsu', '별점': '5.0', '날짜': '2024.12.06.', '내용': '약사님 친절하심!!!!! 다른건 말 안해도 다들 아실 듯', '좋아요': '0'}, {'작성자': '사람1', '별점': '5.0', '날짜': '2024.03.05.', '내용': '약사님 친절하시고 타약국에 비해 가격이 많이 저렴합니다. 이름 그대로 성지', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '일': '휴무일', '월': '휴무일', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 삼일절, 어린이날'}"
강남역2번출구약국,3.4,강남구 강남대로 388 강남센타빌딩 지하2층 2호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MjlfMTk3%2FMDAxNzIyMjQ0OTk1OTkx.bIE0gjRFzD5qqJa_rN_ylSYVOiQ4_gitOAGCpKGRbJsg.X8UVC5tukoNol8TpSbKK5U99aCwF9paFC5DRASArphMg.JPEG%2F%25EB%259D%25BC%25EC%258B%259D%25EB%259D%25BC%25EC%2584%25B9_(1).jpg%3Ftype%3Dw773,"[{'작성자': '정아현', '별점': '5.0', '날짜': '2025.02.22.', '내용': '토요일 오후에 방문해서 인공눈물 구매했는데 너무 친절했어요^_^', '좋아요': '0'}, {'작성자': '행복한 하루', '별점': '1.0', '날짜': '2024.09.08.', '내용': '일요일 데크에 혼자계시는 여자분!\n처방받은 약과 기존에 가지고 있는 약을 함께 사용해도 되는지 성분에 대한 질문을 했는데 “의사분이 처방해 준 이유가 있는데 그대로 쓰세요?”... 더보기', '좋아요': '1'}, {'작성자': '👣', '별점': '1.0', '날짜': '2024.08.18.', '내용': '일요일만 알바를 쓰시는건지, \n다른 날들은 너어무 친절하신데, 일요일 일하시는 여자분은 정말 불친절해요. 휴....', '좋아요': '1'}]","{'토': '08:30 ~ 17:00', '일': '08:45 ~ 12:00', '월': '09:30 ~ 19:15', '화': '09:30 ~ 19:15', '수': '09:30 ~ 12:45', '목': '09:30 ~ 19:15', '금': '09:30 ~ 19:45'}"
연세열린약국,2.7,강남구 도곡로 255 studie 타워 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2Fk6zJT%2FbtsFnZs8mlp%2F7Si10osa7kQPHgp5Ay73gk%2Fimg.jpg,"[{'작성자': '차가운혓바닥', '별점': '1.0', '날짜': '2024.11.21.', '내용': '깨끗하고 위치 좋은데 평 안 좋은 이유?\n기본매너가 없기 때문에 ^^\n인사도 없고 안내도 없고... 더보기', '좋아요': '0'}, {'작성자': '_', '별점': '2.0', '날짜': '2024.02.21.', '내용': '새로오픈해서 깨꿋한데 약설명을 안해줌 약 설명서도 안줌 뭐임', '좋아요': '0'}, {'작성자': '읏쨔~', '별점': '3.0', '날짜': '2023.09.20.', '내용': '근처 다른 2곳 대비 시설은 깔끔하고 쾌적\n단, 다른 2곳은 당연히 있는데 이 곳만 없는게 있다.\n24년 2월에 마지막으로 한번만 ... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00'}"
약사랑약국,4.5,강남구 테헤란로 339 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjNfNTQg%2FMDAxNzM0OTQwOTcxMzM4.2WxOGxRE3HvDraBjz9ANUdG5TSrjawSfm8-3ytlAQYwg.iLbh32Pnyo6WvVEhkuhUd3B0zIyFM8uiaejqId0M1ycg.PNG%2F2.png%3Ftype%3Dw773,"[{'작성자': '방이동맨날밥사먹는사람', '별점': '5.0', '날짜': '2023.06.13.', '내용': '남자약사님 완전 친절하세요!!! 약국은 어차피 잠깐씩만 방문하는곳이지만 그래도 완전 친절하시고 설명도 딱딱 간결하게잘해주세요', '좋아요': '0'}, {'작성자': '여행가', '별점': '5.0', '날짜': '2023.02.21.', '내용': '약사님들 친절하세요!\n궁금한것 있으면 친절하게 안내도 해주세요.\n문 여는 시간도 길고 좋아요', '좋아요': '0'}, {'작성자': '🐣', '별점': '5.0', '날짜': '2022.06.30.', '내용': '이동할 수 없는 상황이라 전화로 약 주문했는데\n남성 약사분이셨고 매우 친절하셨어요\n약 받고 전화하면 ... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 20:00', '일': '10:00 ~ 19:00', '월': '09:00 ~ 23:00', '화': '09:00 ~ 23:00', '수': '09:00 ~ 23:00', '목': '09:00 ~ 23:00', '금': '09:00 ~ 23:00'}"
강남스퀘어약국,1.0,강남구 테헤란로 101 이즈타워 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMzBfNTcg%2FMDAxNzM1NTE3MzcxMjM4.OEkumutqs7PCcDjCii7vbMR34FgRkYo_G2QL6WAgq0Mg.SxppWpv6RifYLWRIVN3n1PzqtDD4XDjVR3N3_TpRwXQg.PNG%2F0.png%3Ftype%3Dw773,"[{'작성자': '냠냠', '별점': '1.0', '날짜': '2024.10.20.', '내용': '•이승미약사 완전 양아치였음\n•다른데보다 비쌈', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
선정릉케이약국,4.0,강남구 선릉로 567 대운 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MjNfODEg%2FMDAxNzIxNjk1MTE2MTE1.fZuf90veOiPt-2NRZy0nRF_8vrWEJ0vBAS8Ju7TMpY8g.Gv4iowS3smoJVxyL6TiyxgOcIRQEaVIQy0znMxxkIEsg.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%2584%25A0%25EC%25A0%2595%25EB%25A6%2589%25EC%25BC%2580%25EC%259D%25B4%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': 'ㅁㅁ', '별점': '1.0', '날짜': '2025.02.07.', '내용': '황당해서 리뷰써요  \n참약*  체인처럼 보여서 갔는데\n가짜에요 깜박 속았... 더보기', '좋아요': '0'}, {'작성자': '모찌', '별점': '5.0', '날짜': '2025.01.22.', '내용': '너무너무너무너무 친절하세요..💕', '좋아요': '0'}, {'작성자': '신인수', '별점': '5.0', '날짜': '2024.09.24.', '내용': '넘 친절한 약사님.. 감사합니다.', '좋아요': '0'}]",{}
한티365약국,4.0,강남구 선릉로 301,,"[{'작성자': '삐약', '별점': '1.0', '날짜': '2025.03.17.', '내용': '친절은 하신데 복약 안내를 잘못 해주셔서 안그래도 강한 약을 용량 두배로 먹을 뻔 했어요. 약 이름이 비슷한것 같아서 성분 겹치지 않는지 동시에 먹어도 되는지 한 번 더 여쭤봤는데 집에 와서 성분명 찾아보니 동일한 약이네요.', '좋아요': '0'}, {'작성자': '봄', '별점': '5.0', '날짜': '2025.03.13.', '내용': '약사님 넘 친절하셔용', '좋아요': '0'}, {'작성자': '패스', '별점': '5.0', '날짜': '2024.11.16.', '내용': '진짜 미쳐요 한티에 365일 야간 약국이 생기다니!!!!\n넘 최고 ㅜㅜ 영원히 번창하세요', '좋아요': '0'}]",{}
큰길약국,3.8,강남구 강남대로 370 지하1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjNfMjQ5%2FMDAxNzM0OTM5NzM3MjA4.ze7TjOhDxjhUqK6aRLYqGAa2TpIqVN1onv9USprhLGAg.dv-HiawY_g8KFk8rtNZgWU2RwEW-4rSSlPkmjtCKfY4g.PNG%2F5.png%3Ftype%3Dw773,"[{'작성자': '티티', '별점': '5.0', '날짜': '2025.03.02.', '내용': '친절하시고 연휴에도 열고 좋네요!', '좋아요': '0'}, {'작성자': '주민', '별점': '2.0', '날짜': '2025.02.12.', '내용': '친절하다고....? 여자한테만 친절하신가..^^;', '좋아요': '0'}, {'작성자': '나는하루에20시간은쉬어야만하니까', '별점': '5.0', '날짜': '2024.12.25.', '내용': '약사님 왕친절\n연중무휴 약국이라 비싸지 않을까도 걱정됐는데 평범한 가격이었어요', '좋아요': '0'}]","{'토': '휴무일', '일': '09:30 ~ 23:30', '월': '08:30 ~ 23:30', '화': '08:30 ~ 23:30', '수': '08:30 ~ 23:30', '목': '08:30 ~ 23:30', '금': '08:30 ~ 23:30', '휴무일': '매주 토요일'}"
호원약국,4.5,강남구 언주로108길 15 1층,,"[{'작성자': '만족하지못한곳은꼭씀', '별점': '3.0', '날짜': '2024.10.02.', '내용': '늦게까지 여는 건 좋은데 약값이 비싼거 같네요.\n\n스토마신캡슐 5천원에 샀는데,\n인터넷 ... 더보기', '좋아요': '0'}, {'작성자': '손로건', '별점': '5.0', '날짜': '2024.10.01.', '내용': '휴일에도 열고 늦게까지 열고\n근처에서 여기가 제일 좋아요', '좋아요': '0'}, {'작성자': '하리', '별점': '5.0', '날짜': '2024.08.09.', '내용': '약사님 정말 친절하세요. 늦은시간까지 열어주셔서 감사합니다.', '좋아요': '0'}]",{}
강남웰약국,1.7,강남구 강남대로 432 점프밀라노 지하1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1fd481f2e8cab3ad3ae660ad84615c7e7eb6089d%3Foriginal,"[{'작성자': '박지만', '별점': '5.0', '날짜': '2025.01.27.', '내용': '친절하십니다.', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.12.25.', '내용': '인공눈물 사려고 하는데 무슨 종류 있냐고 물어보니까 귀찮다는 듯이 짜증 내면서 필요한 인공눈물 이름을 말하라고 하더라구요 이름 말했더니 짜증내면서 그게 뭐냐고 되묻고. 정말 불친절합니다', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.12.08.', '내용': '사람이 어지러워서 주저앉았는데 장사 해야한다고 빨리 나가라네요 ㅋㅋ', '좋아요': '1'}]","{'토': '09:00 ~ 22:30', '일': '10:20 ~ 22:00', '월': '09:00 ~ 22:30', '화': '09:00 ~ 22:30', '수': '09:00 ~ 22:30', '목': '09:00 ~ 22:30', '금': '09:00 ~ 22:30'}"
한티참약국,3.4,강남구 선릉로 305 한티KR타워 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjNfMTM5%2FMDAxNzM0OTQxMTY4Nzk5.mO6pPUMZn7BScFIJNwYsadD7j-qT0o5bQXQsnOYxY7cg.yKEjfLgqT9nO2FQQ_LG-2QNlmfCL8wkZ8gX60hEWUzYg.PNG%2F2.png%3Ftype%3Dw773,"[{'작성자': '배만진 MJ Bae', '별점': '5.0', '날짜': '2025.01.31.', '내용': '한티참약국에서 받은 감동적인 서비스 경험을 공유합니다.\n\n최근 연휴 기간 동안 급하게 코로나 치료제가 필요했는데, 한티참약국에서 너무나... 더보기', '좋아요': '1'}, {'작성자': '이경희', '별점': '1.0', '날짜': '2024.10.09.', '내용': '감기약 사는데 건강보조식품을 너무 많이 끼워넣기 판매하네.\n감기약은 하난데 보조식품이 3개', '좋아요': '0'}, {'작성자': '4ree', '별점': '2.0', '날짜': '2024.06.06.', '내용': '친절은 하신데 약 달라고 말씀드렸는데 처음 들어보는 거 주시길래 일단 샀는데 비싸서 찾아보니 건강기능식품 주셨네요. 돈 많이 벌고 싶으신 듯', '좋아요': '0'}]","{'토': '08:30 ~ 21:00', '일': '09:00 ~ 21:00', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00', '목': '08:30 ~ 21:00', '금': '08:30 ~ 21:00'}"
