name,score,address,img_url,reviews,open_hour
청담더약국,3.7,강남구 선릉로 834 모던빌딩 1층,,"[{'작성자': '죠스빵', '별점': '1.0', '날짜': '2024.08.14.', '내용': '오픈시간에 오픈이 안되어있어요', '좋아요': '0'}, {'작성자': 'kwo', '별점': '1.0', '날짜': '2024.06.29.', '내용': '바쁜건 알겠는데 데스크에서 처방전 받아주시는 분 아이컨텍도 안하고 엄청 불친절하네요;;; 약 받으러 갔다가 기분만 안 좋아졌어요 ㅡㅡ 평점 왜 높은지 잘 모르겠어요 ㅋㅋ 조작한듯', '좋아요': '0'}, {'작성자': '정진우✨jinwoo', '별점': '5.0', '날짜': '2023.03.25.', '내용': '최고~!!👍🏻\n친절한데 무엇보다 약사님이 이쁘다ㅋ', '좋아요': '0'}]","{'토': '09:30 ~ 18:00', '일': '휴무일', '월': '09:30 ~ 20:30', '화': '09:30 ~ 20:30', '수': '09:30 ~ 20:00', '목': '09:30 ~ 20:30', '금': '09:30 ~ 20:30', '휴무일': '매주 일요일'}"
푸른온누리약국,4.7,강남구 도산대로 511 1층 102호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F113D22F2625F4C3FB1F248AAE166CC95,"[{'작성자': '허허', '별점': '5.0', '날짜': '2025.01.18.', '내용': '여약사님이 상담 친절하게 해주셨어요 😊😊', '좋아요': '1'}, {'작성자': '김민성', '별점': '5.0', '날짜': '2025.01.10.', '내용': '추천 받아서 먹기 시작했는데 효과 좋은것 같습니다', '좋아요': '1'}, {'작성자': '애플이', '별점': '5.0', '날짜': '2025.01.10.', '내용': '약사님이 예쁘고 친절하십니다.', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '월': '08:40 ~ 20:00', '화': '08:40 ~ 20:00', '수': '08:40 ~ 20:00', '목': '08:40 ~ 20:00', '금': '08:40 ~ 20:00', '휴무일': '설당일, 광복절'}"
청담수약국,4.4,강남구 학동로 423 청우빌딩 102호,,"[{'작성자': 'H', '별점': '5.0', '날짜': '2024.12.11.', '내용': '친절하시고 궁금한 점에 대해서는 섬세하게 알려주심', '좋아요': '0'}, {'작성자': 'AP', '별점': '1.0', '날짜': '2024.02.21.', '내용': '그냥 증상말하니까 \n종류 3-4개를 주면서 결제하니까 25000...\n병원을 가겠습... 더보기', '좋아요': '1'}, {'작성자': 'KMR', '별점': '5.0', '날짜': '2023.12.17.', '내용': '친절한 약사쌤과 자세한 복약지도가 좋았어요!!', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '일': '10:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
강남셀리뉴약국,5.0,강남구 도산대로 513 양원빌딩 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzExMDNfMTYg%2FMDAxNjk4OTY5MzkwMTU3.lgH4yQBKSVw-knOesC6duk5xxV_T6dH-qmxmACWkWXkg.B5yffzmZj2ggoedDwNwXDpJ6bgWGJ-nBs2g5GGj8CWAg.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EA%25B0%2595%25EB%2582%25A8%25EC%2585%2580%25EB%25A6%25AC%25EB%2589%25B4%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': 'Jung', '별점': '5.0', '날짜': '2024.10.27.', '내용': '젊은 분이 다른 약국과는 다르네요', '좋아요': '0'}, {'작성자': '범계역', '별점': '5.0', '날짜': '2024.01.13.', '내용': '약사님이 친절하게 상담을 잘해주세요. 병원에서 아토피치료 다 안나았는데 여기약국에서 약타먹고 많이좋아졌어요', '좋아요': '0'}, {'작성자': 'sese', '별점': '5.0', '날짜': '2024.01.02.', '내용': '약사님이 엄청 친절하시고 상담도 믿음가게 잘해주셔서 최근엔 여기만 갑니다 ㅎㅎ 셀리뉴가 세포재생(?)인가보네요', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
청담엘약국,5.0,강남구 학동로101길 11 엘프론트청담 1층 105호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAxMjVfMTk5%2FMDAxNzA2MTcxMTI1MDM4.3Btax9FEDZwVyYqd3CxzgLgNcGKNWS-OhrRHHZFwJzwg.CaEi46uYP4FaMWyHEt5uWia90NuIG1VvCN4j8lTLq7Ag.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%25B2%25AD%25EB%258B%25B4%25EC%2597%2598%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '휴무일': '공휴일'}"
바라기한약국,0.0,강남구 학동로81길 9 라테라스 청담 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F47775FF78DFE42B1943FD2ACE5262DFC,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '휴무일': '매주 일요일'}"
청담본약국,5.0,강남구 학동로97길 20 1층,,"[{'작성자': '절대강자', '별점': '5.0', '날짜': '2022.03.05.', '내용': '친절하고 좋아요.', '좋아요': '1'}, {'작성자': 'So do I!!', '별점': '5.0', '날짜': '2020.03.11.', '내용': '정말 친절하시고 자세히 설명해주시는 여성약사님이 계세요!! 갈 일이 없어야겠지만 자주 이용하고 싶어지는 약국입니다.', '좋아요': '1'}]","{'토': '08:30 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '휴무일': '공휴일'}"
청담와이약국,4.8,강남구 압구정로 461 네이처포엠 지하1층 B104호,,"[{'작성자': '서울리', '별점': '5.0', '날짜': '2024.12.28.', '내용': '정말 친절하셔요, 항상 감사합니다!!!', '좋아요': '0'}, {'작성자': '현이', '별점': '5.0', '날짜': '2024.11.23.', '내용': '친절하시고 주말 늦게까지하는 곳이 있어서 정말 다행이였어요ㅠㅠㅜ감사합니다', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.08.02.', '내용': '약사님 성격이 너무 좋으세요 요즘 살면서 인류애 바사삭이였는데 인류애 회복 하고 갑니다!!\n사람이 정말 좋으세요', '좋아요': '0'}]","{'토': '09:00 ~ 22:00', '일': '휴무일', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '휴무일': '1월 1일 휴무, 삼일절, 12월 25일 휴무'}"
청담메디웰약국,5.0,강남구 삼성로 772 로데오프라자 1층 105호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F88253EC69F454D58B377115822DFE76B,"[{'작성자': 'namyang217', '별점': '5.0', '날짜': '2024.12.14.', '내용': '약사님이 참 친절 하십니다. 감사합니다 또올께요', '좋아요': '0'}]","{'토': '09:30 ~ 16:00', '일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '휴무일': '공휴일'}"
청담약국,4.0,강남구 학동로 503 한성빌딩 1층 106호,,"[{'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2023.04.21.', '내용': '엄청 친절하세요!!', '좋아요': '0'}, {'작성자': '칭찬공장장 간공장장', '별점': '4.0', '날짜': '2023.02.20.', '내용': '친절했음', '좋아요': '0'}, {'작성자': '앤쮸', '별점': '3.0', '날짜': '2020.11.04.', '내용': '무난함\n손님한테무관심하면서도 본인 할일을 잘하심', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
