name,score,address,img_url,reviews,open_hour
중앙온누리약국,2.0,강동구 아리수로 427 중앙프라자 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe225f25818f272bd6dcad2c9e8c1aabd6587d1ba%3Foriginal,"[{'작성자': '야옹…', '별점': '4.0', '날짜': '2023.08.14.', '내용': '친절하셔요.  근무시간정보기록용 후기임', '좋아요': '0'}, {'작성자': 'ㅅㅁㅅ', '별점': '1.0', '날짜': '2022.11.25.', '내용': '저번에도 약 갯수 잘못지어주더니 이제는 환자에게 책임전가하고 지랄이다', '좋아요': '1'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
강일역1번출구약국,0.0,강동구 고덕로 433,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 15:30', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30'}"
순수한약국,0.0,강동구 아리수로93길 19 2층 202호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA2MTFfMjMw%2FMDAxNzE4MDk1ODQ5OTE4.IGoDgXqWiyewt8mQ05TiPS7uu0F0JfcGyvU39OyoP3kg.wG9-Vx5LYSqoGb1dkpnUYu-ykfCByWNd3yHjJz4eQaQg.PNG%2F20240611_173859.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
메디팜강일약국,3.0,강동구 아리수로93길 27 강일타워 106호,,"[{'작성자': '고경자', '별점': '5.0', '날짜': '2025.02.10.', '내용': '닥터나우 어플을 처음 사용했어요. \n\n비대면 진료 후에 약국을 고... 더보기', '좋아요': '0'}, {'작성자': '도영', '별점': '5.0', '날짜': '2025.01.28.', '내용': '박카스 600원에 잘샀어요~ 약사님 친절하시고 가격도 좋아요!', '좋아요': '0'}, {'작성자': 'BlackTurtle', '별점': '1.0', '날짜': '2024.12.25.', '내용': '바로 옆 건강플러스약국에서는 1만에 판매하는 오트리빈 1만4천을받네요...', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '일': '17:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
강빛약국,3.2,"강동구 아리수로93나길 26 성산타워 1층 109,110호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F3DE9396485A94D7695E575C45112EBBE,"[{'작성자': '미미', '별점': '2.0', '날짜': '2024.08.24.', '내용': '설명은 나름 잘해주시는데 손님이 와도가도 인사를 안함 헐', '좋아요': '0'}, {'작성자': '우아한걸', '별점': '1.0', '날짜': '2022.12.01.', '내용': '갈때마다 성분 같다며 다른 약 줌. 그러면서 비싼 약 주고 한두번도 아니어서 집이랑 멀어도 다른 약국 찾아가려고 함. 약사 마음대로 그래도 되는건가 싶음.', '좋아요': '0'}, {'작성자': 'lol', '별점': '5.0', '날짜': '2022.08.12.', '내용': '찾는 약이 없을 때 친절하게 응대해 주셨어요', '좋아요': '1'}]","{'토': '08:50 ~ 15:00', '일': '휴무일', '월': '08:50 ~ 20:30', '화': '08:50 ~ 20:30', '수': '08:50 ~ 20:00', '목': '08:50 ~ 20:00', '금': '08:50 ~ 20:30', '휴무일': '설전날, 설당일'}"
웰빙365약국,0.0,강동구 아리수로93나길 76,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MThfMjk1%2FMDAxNjkyMzM1MDY5MTI5.MSOrBIbc9OxnOKYukjCzYote4AbbE9y4TbpAxCftuY8g.WrGND4chn-3_yP53fcY9OgO7-40RtlBctDPWYfaWGe4g.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%259B%25B0%25EB%25B9%2599365%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
강일윤약국,5.0,강동구 아리수로93나길 60 골드프라자 109호,,"[{'작성자': '먹고 가본 곳만 리뷰함', '별점': '5.0', '날짜': '2023.08.23.', '내용': '젊은 남자약사님\n너무 친절하심', '좋아요': '0'}]","{'토': '08:30 ~ 13:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00'}"
비전약국,0.0,강동구 아리수로93나길 80 성산타워2 108호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA5MDRfMjM1%2FMDAxNjkzODA0MDAxMTQw.1-HD3mcUTi0WLhrJNZ0E4HLZXQoDHt5_sSdJ04qTLI0g.xDfZ5aINoN2MPTxTkazA91M98qkIpu17ngYWGVRPMp0g.JPEG.petnpharm%2FSE-548711f8-d28b-4c1f-bed7-a948c033242a.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:30 ~ 13:30', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30'}"
튼튼약국,5.0,강동구 아리수로93나길 50 MK프라자 1층 109호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F13B4A389C61F400E9C18974337934755,"[{'작성자': '우아한걸', '별점': '5.0', '날짜': '2022.12.07.', '내용': '약사님 진짜 친절하시고 설명 잘해주심. 집에 돌아서 가더라도 여기 다닙니다 ^^', '좋아요': '0'}, {'작성자': '념념', '별점': '5.0', '날짜': '2021.04.19.', '내용': '약사님이 친절하시고 딱 필요한 약만 권해주셔서 좋네요', '좋아요': '0'}, {'작성자': 'H❤️', '별점': '5.0', '날짜': '2021.03.18.', '내용': '친절하세요', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '공휴일'}"
참약국,5.0,강동구 아리수로 421 MIDC빌딩 105호,,"[{'작성자': 'J', '별점': '5.0', '날짜': '2023.04.08.', '내용': '친절하시고 복약지도 잘해주세요', '좋아요': '0'}, {'작성자': '까탈스런대식가', '별점': '5.0', '날짜': '2022.01.12.', '내용': '약사님이 명의입니다(?) 진짜 이 약국 다니고 싶어서 이 건물 병원 다니고 싶을 정도. 아니, 어떻게 약사님이 의사도 관심 없는 환자 증상을 걱정하시나요ㅠㅠ 참 약사님이 계신 참 약국!!', '좋아요': '0'}, {'작성자': '동백이', '별점': '5.0', '날짜': '2019.12.24.', '내용': '약사님 친절하시고 복약지도도 잘해주세요', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30'}"
