name,score,address,img_url,reviews,open_hour
두레약국,2.8,강동구 고덕로83길 6 101호,,"[{'작성자': '헤이배', '별점': '5.0', '날짜': '2025.03.22.', '내용': '10년 다녔지만 방문할때마다 웃는얼굴로 맞아주셨고, 처방전이 아닐땐 다양한 약소개로 선택권을 주셨습니다.\n노부부 약사님에서 이젠 자녀약사로 이어진듯 늘... 더보기', '좋아요': '0'}, {'작성자': '맛있는거 죠아', '별점': '1.0', '날짜': '2024.11.22.', '내용': '결제하시는 할아버지 불친절하시고\n약 잘못 주셨어요. 약 잘못 주시고 사과도 안 하시네요 ㅋㅋ 약 잘못 먹어서 사람 잘못되면 어떻게 하시려고요? ㅋㅋ', '좋아요': '0'}, {'작성자': '아지', '별점': '1.0', '날짜': '2023.08.14.', '내용': '남자 약사 싸가지 없음', '좋아요': '0'}]","{'토': '09:00 ~ 20:00', '일': '10:00 ~ 19:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
스타온누리약국,5.0,강동구 아리수로50길 50 래미안힐스테이트고덕아파트 상가 4층 405~407호,,"[{'작성자': '이완희', '별점': '5.0', '날짜': '2021.08.25.', '내용': '설명 잘해주시고 좋습니다', '좋아요': '0'}]","{'토': '08:30 ~ 16:00', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00'}"
남푸른약국,5.0,강동구 고덕비즈밸리로 26 강동U1센터 A동 1층 109호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMjZfMTgx%2FMDAxNzQwNTU0NTYwNjg0.msbuIuZKVHxt8XIAeJGbRLFzzyIgshi9BYVVdaqvHWEg.VoHY68fk9hiHmVjgzFqmtTiwRIjUBoeM_2D2m9w8Su8g.JPEG%2FSE-ccf21c33-7903-4c57-91df-20e8839e6a1e.jpg%3Ftype%3Dw386,"[{'작성자': 'JJ', '별점': '5.0', '날짜': '2024.06.22.', '내용': '주말에도 운영하고 친절해서 좋아요', '좋아요': '1'}, {'작성자': '조상 현', '별점': '5.0', '날짜': '2024.06.18.', '내용': '친절한 약사님과 다양한 약들이 구비 되어 있는 곳, 이 근방에 가시면 추천 드립니다 ^^*', '좋아요': '1'}]","{'토': '08:30 ~ 14:30', '일': '08:30 ~ 13:30', '월': '08:00 ~ 19:30', '화': '08:00 ~ 20:30', '수': '08:00 ~ 19:30', '목': '08:00 ~ 19:30', '금': '08:00 ~ 19:30'}"
정성약국,5.0,강동구 고덕로 385 고덕그라시움 제4상가 1층 107호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAzMjlfMTUz%2FMDAxNzExNjk3Njc1MDk2.QiE2wHyOiwChhx4dzW6SoA7AIY_JRQ3ft8cqNVx4azIg.fQ3JY2tToE5Pj0yHdWJt80BMCDz9-JYJBNVk2B4UZ_8g.JPEG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%25A0%2595%25EC%2584%25B1%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '박효근', '별점': '5.0', '날짜': '2024.09.10.', '내용': '약사님 친절하시고 복약지도 잘 하시네요', '좋아요': '0'}, {'작성자': '흥항홍', '별점': '5.0', '날짜': '2024.03.29.', '내용': '약사님이 너무 친절하시고 약이 저렴해요^^', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 21:00', '휴무일': '공휴일'}"
스마일약국,1.6,강동구 고덕로 391,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF6DA101DF4544628ADF5409431CECB0A,"[{'작성자': '초콜릿', '별점': '1.0', '날짜': '2024.05.07.', '내용': '이렇게 불친절한 약국은 처음 봄. 최악', '좋아요': '0'}, {'작성자': 'tm', '별점': '1.0', '날짜': '2024.04.27.', '내용': '건물에 병원은 많은데 약국은 하나라 여기로 다 몰림\n바쁜건 알겠는데 자신들이 실수해도 사과할줄 모름\n조제가 오래걸린다고 20분 있다 오래... 더보기', '좋아요': '0'}, {'작성자': '현규섭', '별점': '1.0', '날짜': '2022.09.20.', '내용': '보통 저녁약이 따로있으면 구두로 설명해주지 않나요?', '좋아요': '0'}]","{'토': '09:00 ~ 22:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00'}"
그라시움이화약국,4.0,강동구 고덕로 353 고덕그라시움 제1상가동 3층 320호,,"[{'작성자': '쿠쿠', '별점': '5.0', '날짜': '2025.03.19.', '내용': '친절하시고 편의도 잘 봐주셔서 좋아요', '좋아요': '0'}, {'작성자': '애용', '별점': '5.0', '날짜': '2024.09.18.', '내용': '약사님이 친절하시고 주변 다른 약국에 비해 약이 저렴한 편이예요.', '좋아요': '0'}, {'작성자': '시간아', '별점': '1.0', '날짜': '2023.06.17.', '내용': '세상바쁜 소아과와 이비인후과 덕분에 장사는 잘되는데… 매일 약사가 바뀌는것도 맘에 안들고 한번은 약을 30분 넘게 기다렸다 받은적도 있음..아무리 한달치 약이라서 오래... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '휴무일': '공휴일'}"
모세종약국,3.7,강동구 고덕로83길 18,,"[{'작성자': '맛있는거 죠아', '별점': '5.0', '날짜': '2024.11.22.', '내용': '약사님 좋아요.', '좋아요': '0'}, {'작성자': '장성민', '별점': '5.0', '날짜': '2024.08.06.', '내용': '약설명도 잘 해 주시고 친절합니다.', '좋아요': '0'}, {'작성자': 'w', '별점': '1.0', '날짜': '2023.01.14.', '내용': '이것저것 끼우지 말고 요점만.', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
은행약국,3.0,강동구 고덕로83길 14 2층 201호,,"[{'작성자': '김용준', '별점': '5.0', '날짜': '2024.10.25.', '내용': '엄청 친절하심', '좋아요': '0'}, {'작성자': '까탈스런대식가', '별점': '1.0', '날짜': '2024.06.24.', '내용': '조금 황당해서 남깁니다. 약국은 건물 뒤편 입구로 들어가 2층입니다. 가래가 너무 심해서 말도 제대로 못 할 정도라 진해거담제를 사러 들렀습니다. 진해거담제를 달라고 말씀드렸더니 약 하나를 주시면서... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30'}"
고덕퍼스트약국,4.3,"강동구 고덕로 353 고덕그라시움 1상가 254,255호",,"[{'작성자': '시간아', '별점': '5.0', '날짜': '2023.06.15.', '내용': '아이때문에 원래 3층 약국다녔는데 여기로 바꿨어요. 남자 약사님 친절하시고 같은 어린아이있는\n부모로써 약 ... 더보기', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2022.11.18.', '내용': '너무 불친절하시네요 다시는 여기 약국 안갈듯', '좋아요': '0'}, {'작성자': '집토끼', '별점': '5.0', '날짜': '2022.02.25.', '내용': '친절하심', '좋아요': '0'}]","{'토': '09:00 ~ 13:30', '일': '09:00 ~ 13:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
태극약국,0.0,강동구 아리수로76길 38 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
