name,score,address,img_url,reviews,open_hour
시민당약국,2.3,강동구 양재대로 1479 1층,,"[{'작성자': 'K', '별점': '1.0', '날짜': '2025.03.19.', '내용': '여기 약국이 아니라 안과인가요\n찾는 약 말하면 매대로 가져와 보여주지 않나요?\n저 멀리서 들고 계시면 어떻게 확인하나요 시력검사 하는 것도 ... 더보기', '좋아요': '0'}, {'작성자': '뉸뉴난나', '별점': '1.0', '날짜': '2025.01.01.', '내용': '여기 응대 왜 이렇게 기분 잡쳐요? 나참. 본인들이 잘못한 거 생각 안하고 왜 손님한테 역정을 내세요^^ 영업 그딴식으로 하지마세요', '좋아요': '0'}, {'작성자': '해피러스', '별점': '1.0', '날짜': '2023.12.24.', '내용': '처방전으로 사는 약값이 너무 비싸다고 했더니 아니라고 우겨서 취소하고 건너편 길동보룡약국에 갔더니 15,000 원이나 싼거 있죠! 너무 어처구니가 없네요ㅠ  이제까지 여기를 애용한 내가 너무나도 한심하기까지 하다니.....ㅠ', '좋아요': '0'}]","{'일': '09:00 ~ 21:00', '월': '08:00 ~ 22:00', '화': '08:00 ~ 22:00', '수': '08:00 ~ 22:00', '목': '08:00 ~ 22:00', '금': '08:00 ~ 22:00', '토': '08:00 ~ 22:00'}"
길동 보룡약국,2.4,강동구 양재대로 1478,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MjFfMTE0%2FMDAxNzI0MjEzNTU1ODM1.oF7YiPzc1X7z-t3GFHo6zrsK4foSDtrmqQeUg4ALxPwg.RQ_EAzRDs3PO7u6lGg9PJXCV8fd4t5vicVm8UrO2i2Ig.JPEG%2FIMG_3208.JPG%3Ftype%3Dw773,"[{'작성자': 'bluemonk', '별점': '5.0', '날짜': '2025.03.02.', '내용': '친절이고 나발이고 일단 저렴함.\n내가 쓰는 인공눈물이 1700원인데 다른 약국에선 비슷한 성분임에도 3000원이 넘음.', '좋아요': '1'}, {'작성자': 'Cride', '별점': '1.0', '날짜': '2024.12.31.', '내용': '별1개도 아깝다 0개가 없어서 못주는게 너무 아쉽\n하나라도 더 팔려면 친절이 기본아님? 이렇게 불친절한 약국 첨봄 다시는 안간다', '좋아요': '1'}, {'작성자': 'ㅇㅇㅇㅇ', '별점': '5.0', '날짜': '2024.09.03.', '내용': '약사님들이 항상 너무 친절하세요\n주변 약국에 비해 저렴해요', '좋아요': '0'}]","{'일': '09:00 ~ 22:00', '월': '08:00 ~ 22:50', '화': '08:00 ~ 22:50', '수': '08:00 ~ 22:50', '목': '08:00 ~ 22:50', '금': '08:00 ~ 22:50', '토': '08:00 ~ 22:50'}"
봄봄약국,0.0,강동구 명일로 248 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA6AAB4F940C047FEAFD0154C59C96FCF,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '09:00 ~ 14:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 15:00'}"
행복약국,5.0,강동구 천호대로 1113 가연빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FFE3AF0A7F5CF4D64B829BA915E504E24,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '토': '08:30 ~ 19:30', '휴무일': '석가탄신일, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
강동우리약국,0.0,강동구 천호대로173길 12,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '08:30 ~ 13:00', '휴무일': '매주 일요일'}"
솔약국,5.0,"강동구 진황도로 85 105,106호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2337A9505344D7CC3C,"[{'작성자': 'MINA_LEE', '별점': '5.0', '날짜': '2024.01.29.', '내용': '감기가 너무 독해서 급하게 찾아가게 되었는데 엄청 친절하시고 직장인 퇴근시간 이후에도 영업하고 계셔서 너무 좋았습니다!^^', '좋아요': '0'}, {'작성자': '★한규★', '별점': '5.0', '날짜': '2021.09.17.', '내용': '약사님도 친절하고 좋아요 ^^', '좋아요': '0'}]","{'일': '11:30 ~ 13:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '09:00 ~ 13:00'}"
오월애약국,5.0,강동구 천호대로 1107 SK허브 1층 102호,,"[{'작성자': '213', '별점': '5.0', '날짜': '2023.05.04.', '내용': '약사선생님 정말 친절하십니다.\n이 근처에 약국이 엄청 많은데, 꼭 여기로만 가요.', '좋아요': '0'}, {'작성자': '', '별점': '5.0', '날짜': '2020.12.16.', '내용': '여자약사님이 너무도 친절해서 다른곳으로 않가고 \n일부러 돌아와 찾아가는 약국입니다.', '좋아요': '2'}, {'작성자': 'Anonymous', '별점': '5.0', '날짜': '2020.04.02.', '내용': '약국의 두 분 모두 마스크 때문에 힘들고 지쳐있으신 것 같았는데도 친절하시고, 복약지도도 친절하고 알기쉽게, 천천히 해주셔서 정말 좋았습니다.', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 15:00', '휴무일': '매주 일요일'}"
혜민약국,0.0,강동구 천중로51길 56 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00'}"
강동더본약국,4.0,강동구 양재대로 1465 마루홈타운 1층 107호,,"[{'작성자': '탐방룩', '별점': '2.0', '날짜': '2023.06.19.', '내용': '설명을 빨리 훅 하셔서 다시 물어보는데\n한숨쉬고 귀찮아 하는게 상당히 상처받게 하네요\n그래도 억지로라도 설명을 해주시긴 합니다', '좋아요': '0'}, {'작성자': 'SJ', '별점': '5.0', '날짜': '2020.07.16.', '내용': '약사님이 겉은 거칠게 보이시는데\n\n 되게 섬세하시네요 최고최고', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2020.07.11.', '내용': '친절하고 좋아요!', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00'}"
참좋은온누리약국,5.0,강동구 성안로 156 1층,,"[{'작성자': '윤성', '별점': '5.0', '날짜': '2024.04.08.', '내용': '친절해요 :)', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '토': '08:30 ~ 16:00', '휴무일': '매주 일요일'}"
