name,score,address,img_url,reviews,open_hour
메디팜하나로약국,2.7,부천시 원미구 상일로 96 101호,,"[{'작성자': 'ㆍ', '별점': '1.0', '날짜': '2024.11.11.', '내용': '조제시간 15분', '좋아요': '0'}, {'작성자': '..', '별점': '1.0', '날짜': '2023.06.09.', '내용': '댓글알바인가 세상 불친절 하심… 친절을 바란건 아니지만 불친절을 바라지도 않는데 내가 내돈쓰면서 왜 이런 대우를 받아야하는건지', '좋아요': '0'}, {'작성자': '김한주', '별점': '4.0', '날짜': '2023.04.15.', '내용': '인근 주민들의 든든한 약국\n약사분들이 특히나 친절하거나 설명을 알기쉽게 해주시거나 한 건 ... 더보기', '좋아요': '0'}]","{'일': '11:00 ~ 21:00', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00', '금': '08:30 ~ 22:00', '토': '09:00 ~ 22:00'}"
광장약국,5.0,부천시 원미구 부일로 202-13 대명씨티프라자 107호,,"[{'작성자': '니깟게알거없잖아', '별점': '5.0', '날짜': '2024.09.23.', '내용': '송내역 여기 젤\n나음  스벅건물 사는데  일부러 1층\n안... 더보기', '좋아요': '0'}]","{'월': '08:45 ~ 19:00', '화': '08:45 ~ 19:00', '수': '08:45 ~ 19:00', '목': '08:45 ~ 19:00', '금': '08:45 ~ 19:00', '토': '08:45 ~ 19:00'}"
비타민약국,5.0,부천시 원미구 상일로 100 부건프라자 404호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
상동자이약국,5.0,부천시 원미구 부일로 203 상동스카이뷰자이 1층 108호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD4DC6AF76AF0452DB0C7766B33188D34,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 17:00', '휴무일': '추석전날, 추석당일, 추석다음날, 광복절, 개천절, 한글날, 성탄절'}"
송내메디칼약국,1.0,부천시 원미구 부일로 204 루치올라빌딩 104호,,"[{'작성자': '신현석', '별점': '1.0', '날짜': '2023.09.08.', '내용': '노스카나겔 보통 12,000~13,000원에 파는데 여긴 15,000원 뭔데?', '좋아요': '0'}, {'작성자': '김도싱', '별점': '1.0', '날짜': '2021.08.26.', '내용': '불친절한 거 공감. 들어가면 일단 쳐다보기만 하는 것부터 뭐지 싶고 응대도 귀찮다는 태도.. 대충 사고 쫓기듯이 나오는 기분 ㅎㅎ 다신 안 감.', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 19:00'}"
온누리성진약국,0.0,부천시 원미구 상일로 92 삼희월드프라자 307호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:30 ~ 16:30'}"
용문약국,0.0,부천시 원미구 상일로 69,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0B925309C5C048DBBBF978C426DA6819,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '휴무일': '매주 일요일'}"
승인약국,0.0,부천시 원미구 장말로 96 반달마을 상가동 1층 109호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 15:00'}"
목련약국,,부천시 원미구 신상로 54 목련마을상가 1층 101호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 17:00', '휴무일': '공휴일'}"
온누리정성약국,0.0,부천시 원미구 부일로 223 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '11:00 ~ 21:00', '화': '11:00 ~ 21:00', '수': '11:00 ~ 21:00', '목': '11:00 ~ 21:00', '금': '11:00 ~ 21:00', '토': '11:00 ~ 13:00', '휴무일': '매주 일요일'}"
