name,score,address,img_url,reviews,open_hour
강동태평양약국,3.3,강동구 양재대로 1343,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA5MjNfODcg%2FMDAxNjYzOTA4MzI0NjE3.EwLTxPX3dy-P3ZYcKBUnrLV3HILZeX_zS9HQGVXTRhkg.g99rEAMIRrzzSb6cSkcKYKypqrI_LHT3BHuI0i2fts0g.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EA%25B0%2595%25EB%258F%2599%25ED%2583%259C%25ED%258F%2589%25EC%2596%2591%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '여송', '별점': '5.0', '날짜': '2025.02.25.', '내용': '가족같은 분위기로 친절하게 상담해 주셔서 감사했습니다.\n좋은 약을 저렴하게도 구입했고요.', '좋아요': '0'}, {'작성자': 'EauRouge', '별점': '1.0', '날짜': '2024.10.23.', '내용': '나이드신 여자약사 극도로 불친절함. 약국이 전반적으로 지저분하고 공기도 답답함. 주위에 다른 좋은약국 많이있으니 거기로 가세요.', '좋아요': '0'}, {'작성자': 'factio', '별점': '5.0', '날짜': '2024.05.25.', '내용': '전 오히려 왼쪽에 계신 남자직원이 친절하시던데 리뷰 의외네요\n오래 열고 양심적이신 것 같아서 좋습니다', '좋아요': '0'}]",{}
엄약국,3.0,강동구 성내로14길 45 1층 105호,,"[{'작성자': '박선영*', '별점': '5.0', '날짜': '2023.06.24.', '내용': '늦게까지 약국문 열어주셔서 감사드려요.\n할아버지 약사님 건강하세요~~', '좋아요': '0'}, {'작성자': '투숙객', '별점': '1.0', '날짜': '2022.05.14.', '내용': '할아버지가 하는데 반말은 기본이고 귀찮다는 말투, 카드 돌려줄때도 받으려는 손 무시하고 자신쪽책상에 놓고 바로 들어가는데 고객을 무시하는 태도가 기분나쁘네요', '좋아요': '0'}]",{}
늘푸른약국,4.0,강동구 풍성로 214 동양빌딩 102호,,"[{'작성자': 'greenstar', '별점': '5.0', '날짜': '2022.04.02.', '내용': '요새 약사님들 다 불친절한데 여기 약사님은 친절하시네요!! 설명도 잘해주시고! 약품들도 잘 진열되있고 종류도 많아서 좋아요!', '좋아요': '0'}, {'작성자': '비오', '별점': '5.0', '날짜': '2022.03.16.', '내용': '약사님 친절하시구 좋아요', '좋아요': '0'}, {'작성자': '냥남', '별점': '2.0', '날짜': '2019.03.06.', '내용': '레이저 상처 아무는 약 달라고했는데 화장품 주셨어요.\n약국에서 화장품 추천은 좀 아닌거 같아요ㅜㅜ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
석원약국,5.0,강동구 강동대로53길 94,,"[{'작성자': '이주성', '별점': '5.0', '날짜': '2024.11.08.', '내용': '약사님 상세하게 설명 잘 주십니다~', '좋아요': '0'}, {'작성자': '김밥', '별점': '5.0', '날짜': '2022.10.03.', '내용': '친절하시고 약 오남용하지 않게끔 잘 설명해주셔요', '좋아요': '0'}, {'작성자': 'lover', '별점': '5.0', '날짜': '2022.09.08.', '내용': '건강히 오래오래 약국을 지켜주셨으면 좋겠습니다🙏🏻', '좋아요': '0'}]","{'월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 22:00'}"
땡큐약국,5.0,강동구 천호대로 1116 강동라이저빌딩 104호 땡큐약국,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB00DB7E705BF4409AE2043282FA3D4C6,"[{'작성자': '최지아', '별점': '5.0', '날짜': '2023.06.22.', '내용': '쾌적해요', '좋아요': '1'}]","{'일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
강남약국,2.2,강동구 양재대로 1355,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAzMjJfNzcg%2FMDAxNzExMDkzODg4NzA4.a0gXLp8U8s5xix32PwHt_oInPAL3QgVM96I4Jj5hK-cg.JQg2idUi8rI9SXkkNn_sOgTYHdU5VwJDuJ2nkj8kdbYg.PNG%2F3.png%3Ftype%3Dw773,"[{'작성자': '희희', '별점': '1.0', '날짜': '2022.02.18.', '내용': '지인짜 불친절해요', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '3.0', '날짜': '2021.10.04.', '내용': '기성품 약값이 다른곳보다 다소 비쌉니다', '좋아요': '0'}, {'작성자': 'Bottega', '별점': '1.0', '날짜': '2020.05.20.', '내용': '불친절한약국입니다. 특히 남자약사 뿐만아니라, 같이일하는 여자사람들도 불친절하네요..\n약국에 들어가서 공적마스크 살때 신분증 다음으로 계산부터 유도하... 더보기', '좋아요': '2'}]","{'일': '09:00 ~ 15:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 19:00'}"
강동프라자약국,5.0,강동구 올림픽로 624 강동메디컬센터 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA0MDdfMjMx%2FMDAxNjgwODI2NzI0MDE3.9kOR0qsTJ2-zzq-UPa9C__HUzeyuDdR2JaK0SmbH0u0g.aRWXoe0RJDwdkK8-MQf4Cvii3VkNFdK3acIp-MZivRIg.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EA%25B0%2595%25EB%258F%2599%25ED%2594%2584%25EB%259D%25BC%25EC%259E%2590%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '황우상', '별점': '5.0', '날짜': '2025.03.24.', '내용': '방금 처방받은 감기약입니다 7일치라고하는데 한번에뭉탱이로주시내요\n 처음에는 아무것도안쓰고 주시더니 써달라고해서 이정도... 더보기', '좋아요': '0'}]","{'월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00'}"
고은한약국,0.0,강동구 천호옛길 15 103호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1761020028,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
둔촌세계로약국,5.0,강동구 양재대로 1319 경일빌딩 1층 106호,,"[{'작성자': '수박화채', '별점': '5.0', '날짜': '2021.08.12.', '내용': '꼼꼼하게,  친절히 안내해주셔요..', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 16:00', '휴무일': '매주 일요일'}"
토성약국,5.0,강동구 풍성로 136 성내동삼성아파트 상가동 102호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
강동경희한약국,0.0,강동구 풍성로 200,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
천호브라운스톤약국,0.0,강동구 천호대로 1006,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 15:00'}"
