name,score,address,img_url,reviews,open_hour
수유온누리약국,2.5,강북구 도봉로 324 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMDdfNTkg%2FMDAxNjc4MTYwNjMwMjc4.6Af8vLX5U9WYqTHReJ-_OFXFI2A9JXei_80iEfyL6uMg.Sr8Joa6_j5POundBfiB7I7NzFiwJ2qCeFlbbCo97JE4g.JPEG.eun2264%2FIMG_8658.jpg%3Ftype%3Dw773,"[{'작성자': '쩡다❤', '별점': '1.0', '날짜': '2024.08.13.', '내용': '전화받는 태도가 참....대단하네 여기.\n일하기 싫고 짜증이 나시면 집에 계시지..', '좋아요': '0'}, {'작성자': 'hj tr..', '별점': '1.0', '날짜': '2024.07.25.', '내용': '여기는 항상 방문할때마다 느끼는건데 너무 불친절하다  특히 처방전 접수받는 뚱뚱한여직원은 방문자한테 인사하는걸 본적이 없다.  병원이 즐비한건물에 근처에 약국이 여기밖에 없다보니!!! 이렇게 불친절한 약국이 운영이 잘되는게 화가난다!!', '좋아요': '0'}, {'작성자': '댐댐', '별점': '1.0', '날짜': '2024.07.24.', '내용': '약사가 좀 불친절함. 두 번째 갔는데, 접수하는 아주머니도 불친절함. 불친절이 습관화된 약국', '좋아요': '0'}]","{'목': '08:30 ~ 21:30', '금': '08:30 ~ 21:30', '토': '08:30 ~ 20:00', '일': '10:00 ~ 14:00', '월': '08:30 ~ 21:30', '화': '08:30 ~ 21:30', '수': '08:30 ~ 21:30'}"
시원약국,2.9,강북구 오패산로 413 1층,,"[{'작성자': 'um', '별점': '1.0', '날짜': '2025.03.12.', '내용': '너무비싸요', '좋아요': '0'}, {'작성자': '박형준', '별점': '5.0', '날짜': '2025.01.07.', '내용': '애가 갑자기 열이난다는 연락을 받아 퇴근길에 찾아갔습니다.\n밤 11시가 다 되어가는 시간인데 수유역 근처에서 아직 영업중이셔서 약을 살 수 있었습니다.', '좋아요': '0'}, {'작성자': '매매', '별점': '1.0', '날짜': '2024.09.09.', '내용': '바가지 심한곳', '좋아요': '0'}]",{}
제일약국,0.0,강북구 도봉로 376 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
밝은현대약국,3.0,강북구 한천로132길 26 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F2C862B43BCEC44F682D76EBCC02DB322,"[{'작성자': '....', '별점': '1.0', '날짜': '2024.07.10.', '내용': '약국 이름은 밝은현대약국인데 무뚝뚝하고 불친절함', '좋아요': '0'}, {'작성자': '꿈꾸는자작나무', '별점': '1.0', '날짜': '2022.03.19.', '내용': '최악임..코로나때문에 현대병원에서 연락와서 아픈곳 말하고 약보내준다했는데 다음날 오후에야 약옴 약이 잘못와서 병원에 확인하고 계속전화해도 안받음 오늘은 토요일 내일은... 더보기', '좋아요': '0'}, {'작성자': '양이.에옹.또또', '별점': '5.0', '날짜': '2021.10.20.', '내용': '동물약품 없으면 주문도 해주시고 정말고맙습니다', '좋아요': '1'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
옵티마네오프라자약국,3.0,강북구 도봉로 352 효성네오인텔리안 102호,,"[{'작성자': 'very', '별점': '1.0', '날짜': '2024.12.17.', '내용': '기분 나쁠 정도로 엄청 불친절합니다 \n기분 상하기싫으면 가지마세요', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2024.12.17.', '내용': '괜히 퇴근 전에 가면 민폐끼칠까봐\n전화해서 몇시까진지 물어봤더니 불친절하게 말투랑, 목소리톤 전부 단답으로 몇시 하고 뚝 끊어... 더보기', '좋아요': '0'}, {'작성자': 'sw', '별점': '5.0', '날짜': '2021.11.09.', '내용': '친절합니다', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 19:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
가까운현대약국,5.0,강북구 한천로132길 28 1층,,"[{'작성자': 'Nyan', '별점': '5.0', '날짜': '2024.10.25.', '내용': '친절하신 여자약사님 감사합니다', '좋아요': '0'}, {'작성자': '양이.에옹.또또', '별점': '5.0', '날짜': '2021.07.26.', '내용': '정말 친절기부 많이 하는 약국', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
신통일약국,3.0,강북구 한천로123길 14,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc8d053a6af2d98b1f8f31410b6b83f6e07db585c%3Foriginal,"[{'작성자': '아하하', '별점': '4.0', '날짜': '2024.10.31.', '내용': '서울페이, 모바일 온누리상품권 모두 사용가능.\n방문시 약사님 친절하셨음.', '좋아요': '0'}, {'작성자': '김소영', '별점': '5.0', '날짜': '2023.07.21.', '내용': '친절할 때도 있고 무뚝뚝할 때도 있지만 절대 불친절한 정도는 아님', '좋아요': '0'}, {'작성자': '양이.에옹.또또', '별점': '4.0', '날짜': '2022.08.26.', '내용': '차갑', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30'}"
새솔약국,3.0,강북구 도봉로 332 홍승빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F5E4FA7ED22604B15BCE53C6930D29285,"[{'작성자': '감자최고', '별점': '1.0', '날짜': '2025.03.14.', '내용': '비급여 약이 다른 약국에 비해 비싼 편입니다😡', '좋아요': '0'}, {'작성자': '방토', '별점': '1.0', '날짜': '2025.03.05.', '내용': '약사가 싸가지가 없음..; 그리고 옆에 직원은 처방전 주니까 한숨 팍팍 쉬는데 이게 맞나요', '좋아요': '0'}, {'작성자': '배윤형', '별점': '5.0', '날짜': '2020.08.10.', '내용': '깨끗하고 약사님이 되게 친절하시네요 ㅎㅎ 역 바로 앞이라 찾아가기도 좋아요', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
번동종로약국,3.7,강북구 오현로34길 23-4 현대하니타운 104호,,"[{'작성자': '최병훈', '별점': '5.0', '날짜': '2024.03.02.', '내용': '오랜동안 단골약국...\n친절하고 언제 들르든 웃는 얼굴로 맞아주세요.', '좋아요': '0'}, {'작성자': '주작 노노', '별점': '1.0', '날짜': '2023.12.10.', '내용': '약사 베짱 장사 마인드 \n서비스 매우 최악 느낌받아서 \n최악 약국으로 다신 안갈예정임!!!!!', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 22:00', '일': '휴무일', '월': '09:30 ~ 20:30', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
이화약국,1.0,강북구 덕릉로40길 79 대명빌딩 1층,,"[{'작성자': '양이.에옹.또또', '별점': '1.0', '날짜': '2020.10.08.', '내용': '불친절', '좋아요': '0'}]","{'목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '토': '08:30 ~ 13:30', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30'}"
