name,score,address,img_url,reviews,open_hour
세화온누리약국,3.0,"강북구 도봉로77길 6 수유이테크밸리오피스텔 1층 101,102호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMjVfMjQ3%2FMDAxNzQwNDU0MDQyMzY0.HSl93TgX4RNC9fQUk44kjRAFF2oVEFiVM-DkBIRTDeog.fmnXLFfSHcJSvE6HaZS0OTpGQlDp1dNMZmsm_P1giOUg.JPEG%2FSE-b0f01a36-adf5-43fc-bc72-98dd926f0b47.jpg%3Ftype%3Dw773,"[{'작성자': '깐따삐야', '별점': '2.0', '날짜': '2025.03.27.', '내용': '약사님 감정기복이 너무심하신듯\n인스타나 블로그는 이모지쓰면서 항상 친절하시긴한데 방문할때마다 태도가 너무 차이나요\n약 물어볼때도 답변... 더보기', '좋아요': '0'}, {'작성자': '🍓', '별점': '5.0', '날짜': '2025.01.08.', '내용': '뭐.. 뭐지.. 남약사분 엄청 친절하셔서 감동받고 나왔는데..... 두 분이신가.... 너무 친절하셔서 좋습니다~!', '좋아요': '0'}, {'작성자': '힘들엉', '별점': '5.0', '날짜': '2024.10.30.', '내용': '항상 저렴하게 넥스가드 구매하러가요!\n친절하시고 좋음ㅎ', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '공휴일'}"
수유동약국,3.0,강북구 수유로 83 1층,,"[{'작성자': '차예안', '별점': '1.0', '날짜': '2024.10.18.', '내용': '페약 ""가지고 가니까  하나하나 까서 다시 가지고 오라고\n해서 바로옆 약국에 다시가지고 가니 그냥 받아주심 \n옆에서 까서 안주면 안받는다... 더보기', '좋아요': '0'}, {'작성자': '鲁', '별점': '1.0', '날짜': '2023.11.30.', '내용': '영업시간 제대로 쓰고 영업하세요', '좋아요': '0'}, {'작성자': '낭만고향이', '별점': '1.0', '날짜': '2023.01.02.', '내용': '영업시간 제대로 쓰고 영업해주세요. 괜한 사함 헛것음하게 만들지말고, 부탁드립니다~ 퇴근 후 9시 조금 넘어 다급하게 도착했는데 닫혀있네요 ㅠ', '좋아요': '1'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 20:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '설당일'}"
7번약국,4.5,강북구 도봉로 339 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA5MjBfMTkz%2FMDAxNjYzNjc1MzY2NDI1.SbGNcuNxJnjCa2by1lPZe7aj9gU8XYfc2f9qjCNOU_0g.oqYAtXofdOjieXBJUEcXhARXKtZSsJo7G8G4npvAjmIg.JPEG.wls10901%2FKakaoTalk_20220920_203710371_10.jpg%3Ftype%3Dw773,"[{'작성자': '스터디카페유목민', '별점': '5.0', '날짜': '2025.01.28.', '내용': '인공눈물 4000원에 파는 곳 처음 봅니다!', '좋아요': '1'}, {'작성자': '호야', '별점': '5.0', '날짜': '2025.01.13.', '내용': '친절하세요!', '좋아요': '0'}, {'작성자': 'err', '별점': '5.0', '날짜': '2024.12.16.', '내용': '여기 진짜 친절하시고 약사님 사람 좋으셔요!\n어르신들 병으로된 약 뚜껑도 따기쉽게 다 따주시는모습보고 충격이였는데..불친절하다는 댓글이 있다니ㅠㅜ댓글이 더 충격적;;', '좋아요': '1'}]","{'목': '09:00 ~ 22:30', '금': '09:00 ~ 22:30', '토': '09:00 ~ 21:00', '일': '10:00 ~ 18:00', '월': '09:00 ~ 22:30', '화': '09:00 ~ 22:30', '수': '09:00 ~ 22:30'}"
인수약국,4.0,강북구 덕릉로 17 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7C88C95D759C452997F8D3F3829EE5D6,"[{'작성자': '블루스맨', '별점': '1.0', '날짜': '2024.10.09.', '내용': '야간에 여는 약국 이지만 급할때 말고, 별로~\n서울페이 결쟈 된다고 나오는데 거부를 하네요!', '좋아요': '0'}, {'작성자': '우로마테라피', '별점': '5.0', '날짜': '2024.07.21.', '내용': '인자한 미소로 친절히 맞아주셔서 감사했습니다 ㅠㅠㅠ 늦은 밤에 급하게 약 구하러 방문했음을 알아차리셨는지, ""오느라 힘드셨죠? 이거 한... 더보기', '좋아요': '0'}, {'작성자': 'へぇ~', '별점': '5.0', '날짜': '2024.05.28.', '내용': '강북구에서 심야약국이면 이곳밖에없어요\n때론 엄청난 도움이된답니다', '좋아요': '0'}]","{'목': '13:00 ~ 01:00', '금': '13:00 ~ 01:00', '토': '13:00 ~ 01:00', '일': '21:00 ~ 01:00', '월': '13:00 ~ 01:00', '화': '13:00 ~ 01:00', '수': '13:00 ~ 01:00'}"
안국온누리약국,1.0,강북구 한천로 1058,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F49BF67C7263D4A35996C306D33D79FAD,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
강북우리약국,5.0,강북구 한천로 1081 1층,,"[{'작성자': '반달이', '별점': '5.0', '날짜': '2021.06.07.', '내용': '약사님의 친절한 설명과 안내로 마음이 편안해지고 아픈 몸도 치유되는 느낌입니다.  한결같은 모습에 정말 감사드립니다.^^', '좋아요': '0'}, {'작성자': 'myungjin', '별점': '5.0', '날짜': '2021.04.13.', '내용': '만나본 약사님중 젤 친절하심^^', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
송도약국,4.0,강북구 도봉로 343 야산빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAyMjZfMjQx%2FMDAxNzA4OTM2MDU1NDY3.dcNlwwY27FVaboUef1xK-ROBBRb__FVsIH4r8E2N4ewg.zC28IwC0sv2g2XVHD6YtVv1_nmuDfTCOYaa8xHcCJ_cg.JPEG%2F%25EA%25B0%2595%25EB%25B6%2581%25EC%2586%25A1%25EB%258F%2584_%25ED%2595%2598%25EB%258B%25A8%25EC%259D%25B4%25EB%25AF%25B8%25EC%25A7%2580_200420.jpg%3Ftype%3Dw966,"[{'작성자': '칠배스타', '별점': '5.0', '날짜': '2024.12.12.', '내용': '짱 친절함!!!', '좋아요': '0'}, {'작성자': '스터디카페유목민', '별점': '5.0', '날짜': '2024.12.10.', '내용': '친절하고 좋아요!', '좋아요': '0'}, {'작성자': 'ㅇㄱ', '별점': '5.0', '날짜': '2024.06.08.', '내용': '약사님이 너무 친절하세요', '좋아요': '0'}]","{'목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 20:00', '일': '10:00 ~ 18:30', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00'}"
봄봄약국,4.7,강북구 도봉로 323 용신빌딩 1층 102호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE6CD0698D3A844178D0F5B1B7592CBE4,"[{'작성자': '차예안', '별점': '1.0', '날짜': '2024.09.04.', '내용': '다른 약국 비해서 처방약가격이 비싼거 같아요 ~', '좋아요': '0'}, {'작성자': '붉은노을...', '별점': '5.0', '날짜': '2024.07.06.', '내용': '친절하시고 미남이세요 ㅋㅋㅋ', '좋아요': '1'}, {'작성자': 'Archangel', '별점': '5.0', '날짜': '2024.01.25.', '내용': '내부가 깔끔하고 약사님 친절하세요. 약값도 싼 편이네요', '좋아요': '1'}]","{'목': '08:30 ~ 21:00', '금': '08:30 ~ 20:30', '토': '09:00 ~ 17:30', '일': '10:00 ~ 16:00', '월': '08:30 ~ 20:30', '화': '08:30 ~ 21:00', '수': '08:30 ~ 20:30', '휴무일': '추석당일, 설당일, 1월1일, 성탄절'}"
지영약국,3.7,강북구 삼양로 423 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb06c7f5a77f717d5d6e475bdc487702f5f485267%3Foriginal,"[{'작성자': '하유안', '별점': '5.0', '날짜': '2023.12.01.', '내용': '약사님 친절하세요 주차공간은 없습니다', '좋아요': '1'}, {'작성자': '레드', '별점': '5.0', '날짜': '2023.04.28.', '내용': '본인이 가보고 판단하는게 좋을듯\n나는 가오리역에서 이약국만 감', '좋아요': '0'}, {'작성자': '1', '별점': '1.0', '날짜': '2023.04.01.', '내용': '약사 매우 불 친절.. 근처 다른 약국 가세요', '좋아요': '0'}]","{'목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 20:30', '일': '휴무일', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '휴무일': '매주 일요일'}"
삼성약국,4.0,강북구 한천로 1120 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjExMTFfMjgw%2FMDAxNjY4MTU2MzM0MDc5.V7esU5qRDxkgx3M52AC5qfkszmTV7CIERnUUf-xAQZQg.Ur-wG9WUqxmbpwlJcQMN-l2gh4HLQcmibsOMMcB8cXYg.JPEG.pet_pharm8%2FKakaoTalk_20221111_173913689_02.jpg%3Ftype%3Dw966,"[{'작성자': 'lilll', '별점': '5.0', '날짜': '2024.06.08.', '내용': '사진까지 보여줬는데.... 검은봉지에 있어서 몰랐는데 집에와서 보니까 다른약임\n황당', '좋아요': '0'}, {'작성자': '고민국', '별점': '5.0', '날짜': '2022.03.04.', '내용': '약사님이 친절하시고 잘 설명해주시네요~', '좋아요': '0'}, {'작성자': '최영준', '별점': '1.0', '날짜': '2021.03.21.', '내용': '일요일 연다고 써있어서 갔는데 닫았네요\n헛걸음', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '공휴일'}"
