name,score,address,img_url,reviews,open_hour
솔밭약국,4.2,강북구 삼양로 579 화성빌딩 1층,,"[{'작성자': '맛탐정', '별점': '1.0', '날짜': '2025.02.14.', '내용': '약국 개업 초기와 달리 운영방식, 일처리 방식이 다운 그레이드 되었습니다. 특히, 남자 페이 약사는 사후 처방전 처리방식에서 문제가 많았고 이에 대한 약국 주인의 문제 인식도 별반 차이가 없었습니다... 더보기', '좋아요': '1'}, {'작성자': '김영임', '별점': '5.0', '날짜': '2024.05.14.', '내용': '친절한 복용 설명이 너무 감사합니다', '좋아요': '0'}, {'작성자': '👍', '별점': '5.0', '날짜': '2023.12.03.', '내용': '평소에 먹던 약, 잘 듣는 약 있는지 물어봐주시고 엄청 친절하게 응대해주셨어요! 일요일에도 열어서 좋아요', '좋아요': '0'}]","{'목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 18:00', '일': '10:00 ~ 14:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00'}"
4.19약국,0.0,강북구 삼양로 497 씨엘빌딩 1층 102호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
덕성그린약국,,강북구 삼양로 530 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
수유파랑새약국,5.0,강북구 삼양로123길 6-8 1층,,"[{'작성자': '김동현', '별점': '5.0', '날짜': '2020.06.24.', '내용': '친절하세요^^', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 17:00', '토': '09:00 ~ 13:00', '일': '09:00 ~ 17:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
만남온누리약국,3.7,강북구 삼양로 675 1층,,"[{'작성자': 'Kowl', '별점': '5.0', '날짜': '2023.04.15.', '내용': '친절해요', '좋아요': '0'}, {'작성자': '승리', '별점': '1.0', '날짜': '2021.01.25.', '내용': '필요한 약이 있어서 갔더니 약사분이 자연스럽게 ~에는 이 약을 먹어야되는데~ 하면서 다른 약도 꺼내주고, 구매를 유도함... 말씀이 많으셔서 넋놓고 있다가 돈만 더 쓰고옴..', '좋아요': '0'}, {'작성자': '그루', '별점': '5.0', '날짜': '2019.12.08.', '내용': '처방전도 받지 않고 상담 조제에 열성을 다하시네요~', '좋아요': '0'}]","{'목': '14:00 ~ 21:00', '금': '11:00 ~ 21:00', '토': '11:00 ~ 20:00', '일': '휴무일', '월': '11:00 ~ 21:00', '화': '11:00 ~ 21:00', '수': '11:00 ~ 21:00', '휴무일': '매주 일요일'}"
늘봄약국,0.0,강북구 삼양로 603 아르 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCBB27A8B0F4B4E49903FD3ABE19F9EDC,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '공휴일'}"
하나약국,0.0,강북구 삼양로 613 우암빌딩 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
대한헬스팜,0.0,강북구 삼양로139길 23,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
힘찬약국,4.0,도봉구 삼양로 580-4 노스브릭 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjdfMjA2%2FMDAxNzMyNjgzNTU5OTI0.acpqKC325lpBa062aeohcKgaNZzncK8SCd6irGI0MpQg.Zq52D7DK8dDOEo3Wr7GLspNa4NnGZDO3mj1rXYawywgg.JPEG%2FIMG_2320.jpg%3Ftype%3Dw773,"[{'작성자': '장지수', '별점': '5.0', '날짜': '2023.08.08.', '내용': '드라마 봄밤에 나온 약국', '좋아요': '2'}, {'작성자': 'ㅅㄱ', '별점': '1.0', '날짜': '2023.05.04.', '내용': '정말 싸가지없음. 비대면 처방에 문제 생겨서 약이 안와 전화했더니 전화바꿨단 얘기도 안하고 말하라고 명령조로 약사가 말함. 어이가 없었지만 설명하려고 ‘닥터나우에서’ 한마디 내뱉으니 바로 말끊어버리면서 누구씨죠? 이... 더보기', '좋아요': '0'}, {'작성자': '++', '별점': '5.0', '날짜': '2023.01.02.', '내용': '시설 깨끗하고 직원 분들 친절했음 :)', '좋아요': '0'}]","{'목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 18:00', '일': '13:00 ~ 18:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '휴무일': '공휴일'}"
라라온누리약국,0.0,도봉구 삼양로 602,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MjZfMTkg%2FMDAxNzI0NjMxMjI5NTc4.up3JiDnWmxsUzUuJJQVENYEiBKR1Re_LGj73he5njIEg.wEWQx8-ErmAITH0eAkmlj9rLfAbbtBduMRhMgEfRbWkg.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EB%259D%25BC%25EB%259D%25BC%25EC%2598%25A8%25EB%2588%2584%25EB%25A6%25AC%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30'}"
