name,score,address,img_url,reviews,open_hour
동성약국,5.0,강서구 금낭화로23길 8 1층,,"[{'작성자': '가예', '별점': '5.0', '날짜': '2023.08.03.', '내용': '사장님이 되게 친절하셔요!!', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:30', '토': '09:00 ~ 21:00', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30'}"
삼정약국,0.0,강서구 금낭화로23길 25 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMzFfMjgg%2FMDAxNzMwMzU0MzY5Mzgx.l_SpGHy_7AtY6j_ag6bUf8W76o5mNv_MKyiRc6NBi70g.MP7RBOrdWlF5B3KCgpVQHdIyNJ9ncobOB4MFE11267Mg.JPEG%2FSE-2122a5e6-6c35-11ef-b726-89b6ab1fcae2.jpg%3Ftype%3Dw275,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 17:00', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00'}"
다마트약국,0.0,강서구 금낭화로 135 금강프라자,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
금강약국,5.0,강서구 금낭화로 135 금강프라자 411호,,"[{'작성자': '하짊', '별점': '5.0', '날짜': '2023.02.27.', '내용': '친절하세요', '좋아요': '0'}, {'작성자': 'JY', '별점': '5.0', '날짜': '2022.03.18.', '내용': '친절하세요^^', '좋아요': '0'}, {'작성자': '김예림', '별점': '5.0', '날짜': '2020.07.15.', '내용': '친절해용 :>', '좋아요': '0'}]","{'목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 14:00', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00'}"
하늘약국,0.0,강서구 금낭화로 136 에어뷰오피스텔 118호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
창현약국,5.0,강서구 금낭화로 127 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F948230874A874CD4A03F3B7624A4E35D,"[{'작성자': '정성훈', '별점': '5.0', '날짜': '2024.03.02.', '내용': '오늘 방문하였는데 종로 성지보다 제품에 따라 더 쌈 친절하고 외모 또한 키 크고 잘생기심 미리 가격 문의 하고 가세요 싸게 파는 이유 물어보니 싸게 팔고 싶어서 그렇다고함 단골 될 듯', '좋아요': '0'}, {'작성자': 'ㄹㄹㄹ', '별점': '5.0', '날짜': '2024.01.26.', '내용': '갈때마다 웃는 얼굴로 친절하게 해주셔서 기분이 좋아져요 설명도 자세하게 해주십니다.', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.01.20.', '내용': '진짜로 약사님 친절하고 잘생기심. 방화동 원탑.', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 19:00', '일': '09:00 ~ 19:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
방화우리약국,3.7,강서구 양천로 94 대승빌딩 1층,,"[{'작성자': '고구마호박', '별점': '5.0', '날짜': '2024.12.05.', '내용': '약사님이 설명도 자세히 해주시고 친절하시네요', '좋아요': '0'}, {'작성자': '나그네', '별점': '5.0', '날짜': '2019.07.25.', '내용': '새로 생긴듯한데 약사님이 정말 친절함!', '좋아요': '2'}]","{'목': '08:00 ~ 19:00', '금': '08:00 ~ 19:00', '토': '08:00 ~ 14:00', '월': '08:00 ~ 19:00', '화': '08:00 ~ 19:00', '수': '08:00 ~ 19:00'}"
온누리성원약국,5.0,강서구 방화동로16길 32,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '10:00 ~ 20:30', '금': '10:00 ~ 20:30', '토': '10:00 ~ 20:00', '월': '10:00 ~ 20:30', '화': '10:00 ~ 20:30', '수': '10:00 ~ 20:30'}"
메디팜인정약국,0.0,강서구 양천로 72 해성빌딩 202호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '토': '08:30 ~ 16:00', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30'}"
미래약국,3.0,강서구 양천로14길 23 효성빌딩 1층 101호,,"[{'작성자': ':D', '별점': '5.0', '날짜': '2024.07.01.', '내용': '친절하시고 설명도 잘해주심!', '좋아요': '0'}]","{'목': '08:50 ~ 20:00', '금': '08:50 ~ 20:00', '토': '08:50 ~ 13:10', '월': '08:50 ~ 20:00', '화': '08:50 ~ 20:00', '수': '08:50 ~ 20:00'}"
신방화약국,4.0,강서구 양천로 128 한림리첸빌 상가 1층 103호,,"[{'작성자': 'JY', '별점': '5.0', '날짜': '2022.03.18.', '내용': '넘 친절하세요', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
방화프라자약국,0.0,강서구 양천로16길 16,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
미소약국,0.0,강서구 양천로 73 108호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
미주약국,4.2,강서구 양천로6길 28 도시개발12단지아파트 상가동 108호,,"[{'작성자': '재성', '별점': '1.0', '날짜': '2024.10.27.', '내용': '영업중이라 떠서 뛰어갔는데 문 닫혀있어요..', '좋아요': '0'}, {'작성자': '', '별점': '5.0', '날짜': '2023.08.22.', '내용': '약사 선생님께서 매우 친절하시고 복용방법 또한 상세히 설명해주세요.', '좋아요': '0'}, {'작성자': 'Grace', '별점': '4.0', '날짜': '2023.03.08.', '내용': '9시반 방문시 영업안함', '좋아요': '0'}]","{'목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 22:00', '일': '18:00 ~ 22:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00'}"
메디칼건강약국,0.0,강서구 양천로 104,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 22:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00'}"
개화약국,0.0,강서구 양천로 31 푸른빌딩 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
하나메디칼약국,2.0,강서구 금낭화로 91-2 대승프라자 105호,,"[{'작성자': 'ㅎ ㅏ', '별점': '2.0', '날짜': '2024.06.28.', '내용': '가격을 너무 높게 받으시는 거 같아요..\n망원 합정 홍대 영등포보다 비싸... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30'}"
더플러스약국,0.0,강서구 양천로 73,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
에스메디약국,5.0,강서구 방화동로 92 에스메디컬 1층 103호,,"[{'작성자': '나', '별점': '5.0', '날짜': '2023.04.04.', '내용': '약사언니 정말 친절하고 여유있으세요! 덕분에 기분좋아진 하루였어요. 번창하세요~~', '좋아요': '0'}]","{'목': '08:30 ~ 19:10', '금': '08:30 ~ 19:10', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '08:30 ~ 19:10', '화': '08:30 ~ 19:10', '수': '08:30 ~ 19:10', '휴무일': '매주 일요일'}"
수약국,0.0,"강서구 방화동로 102 1층 102,103호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6DBF805914DA4D2FBEAC8AE1C2D037F8,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '휴무일': '공휴일'}"
푸른온누리약국,0.0,강서구 방화대로34길 12,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
푸른온누리약국,2.8,강서구 방화대로34길 92 불해빌딩 1층,,"[{'작성자': '시소노우', '별점': '1.0', '날짜': '2022.03.05.', '내용': '약이 맨날 없대요ㅋ', '좋아요': '0'}, {'작성자': 'Mimib_ :)', '별점': '1.0', '날짜': '2020.07.26.', '내용': '우리할머니가미워해요', '좋아요': '0'}, {'작성자': '정호진', '별점': '5.0', '날짜': '2020.03.19.', '내용': '친절  상식풍부', '좋아요': '0'}]","{'목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 18:30', '일': '휴무일', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '휴무일': '공휴일'}"
김포약국,1.0,강서구 방화동로 70,,"[{'작성자': '별파파', '별점': '1.0', '날짜': '2025.03.01.', '내용': '토요일 셔터 내림', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 19:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
