name,score,address,img_url,reviews,open_hour
주약국,1.0,강서구 공항대로 23,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F84d586e12d4e47bc6b42e00686eef7caae99a02f%3Foriginal,"[{'작성자': 'H', '별점': '1.0', '날짜': '2024.07.13.', '내용': '손님 말을 알아듣지도 못하고 잘못돈 상품 건내주고 큰소리 치시는데 그러다 약국 문닫으실 수 있으세요\n얼마나 대단한 일 하신다고 입술 삐죽나오십니까', '좋아요': '1'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.03.27.', '내용': '거의 5개월지난 약 판매함 죄송하단말도 없고 진작 말했어야죠 ○○○○ 보건소에 제 돈 수수료 지불하고 신고했어요 재고관리 안되는 약국은 시한폭탄임 리뷰에... 더보기', '좋아요': '1'}]","{'목': '08:00 ~ 22:00', '금': '08:00 ~ 22:00', '토': '08:00 ~ 22:00', '월': '08:00 ~ 22:00', '화': '08:00 ~ 22:00', '수': '08:00 ~ 22:00'}"
웰빙국내선약국,1.0,강서구 하늘길 112 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9050566f7eaacd6b36e8bb6d945d81c4598ab339%3Foriginal,"[{'작성자': '아', '별점': '1.0', '날짜': '2025.03.16.', '내용': '약값가지고 장난치지마세요. 복약지도 엉망에 소화제 이거밖에 없다고 9천원짜리 줍니다', '좋아요': '0'}, {'작성자': '느낌대로', '별점': '1.0', '날짜': '2025.03.15.', '내용': '아무리 생각해도 비싸서 환불하고 보니까 바가지로 유명하네요', '좋아요': '0'}, {'작성자': '🧸ྀི', '별점': '1.0', '날짜': '2025.03.04.', '내용': '필요한 약만 사려고 했는데 다른거도 추천해주시길래 괜찮다 했는데 안산다 하니 약 던져서 주시네요 역시 평점이 왜 낮은지 알겠더라고요 다신 방문 안해요 이런곳은', '좋아요': '0'}]","{'목': '07:00 ~ 20:00', '금': '07:00 ~ 20:00', '토': '07:00 ~ 20:00', '일': '08:00 ~ 20:00', '월': '07:00 ~ 20:00', '화': '07:00 ~ 20:00', '수': '07:00 ~ 20:00'}"
국제약국,0.0,강서구 방화동로 40 국제빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FFF402561064B48E1A41098F0468B93D1,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:00 ~ 19:30', '금': '08:00 ~ 19:30', '토': '08:00 ~ 14:30', '일': '휴무일', '월': '08:00 ~ 19:30', '화': '08:00 ~ 19:30', '수': '08:00 ~ 19:30', '휴무일': '매주 일요일'}"
송정온누리약국,2.5,강서구 공항대로 34 1층,,"[{'작성자': '김건우', '별점': '1.0', '날짜': '2024.05.28.', '내용': '약사 아주머니  우황청심원  하나달라는데 값이 많이\n올랐다고 손님 입장에선 모르니 물어볼수도있잖아요?? 긍데 겁나 짜증 섞인 말투로 대답하시는건 손님한테 너무 무례한거 아닌... 더보기', '좋아요': '0'}]","{'목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 16:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00'}"
자성당약국,1.0,강서구 방화대로21길 76,,"[{'작성자': '달JK', '별점': '1.0', '날짜': '2023.09.10.', '내용': '일요일 여는 약국이라고 해서 찾아왔는데 열지 않음...', '좋아요': '0'}, {'작성자': '리뷰맨', '별점': '1.0', '날짜': '2019.07.02.', '내용': '나이 있으신분 할아버지 할머니가 운영하시는데 개인적으로 가격도 비싸네요', '좋아요': '0'}]","{'목': '09:00 ~ 21:30', '금': '09:00 ~ 21:30', '토': '09:00 ~ 21:00', '일': '09:00 ~ 18:00', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30'}"
기린약국,5.0,강서구 하늘길 70,,"[{'작성자': '김치킨', '별점': '5.0', '날짜': '2023.02.27.', '내용': '아주 좋습니다', '좋아요': '0'}, {'작성자': '영등포인', '별점': '5.0', '날짜': '2021.12.21.', '내용': '츤데레 약사님 스위트하네요', '좋아요': '0'}]","{'목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 16:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '휴무일': '매주 일요일'}"
원약국,0.0,강서구 남부순환로11가길 104 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
에스엠메딕스,0.0,강서구 송정로 51,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
마곡여기약국,1.0,강서구 공항대로 165 원그로브 지하2층 102호,,"[{'작성자': 'oth', '별점': '1.0', '날짜': '2025.02.24.', '내용': '양심껏 하세요', '좋아요': '0'}]","{'휴무일': '매달 두번째, 네번째 일요일'}"
공항메디칼약국,0.0,강서구 공항대로 38 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 20:00', '금': '08:30 ~ 19:00', '토': '08:30 ~ 14:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 19:00'}"
공항약국,5.0,강서구 방화동로 10 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjFfMjIx%2FMDAxNzMyMTY5OTMzOTkw.hZNMrOQT-3Ce4D7zi34QA_Ak9UkTaneWcUbbkpX4nzog.C91oPIWxGCcj2OvOquMRnZok8rrNbina0sPpviaohr8g.JPEG%2FKakaoTalk_Photo_2024-11-21-13-49-42_002.jpeg%3Ftype%3Dw966,"[{'작성자': '득희', '별점': '5.0', '날짜': '2021.06.26.', '내용': '친절하게 응대 해주시는 약사님 최고', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
튼튼약국,0.0,강서구 공항대로 103 엠밸리9단지 상가1동 205호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 13:00'}"
경희행복나무 한약국,0.0,강서구 공항대로 38,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
숲속약국 원그로브점,0.0,강서구 공항대로 165,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
조광약국,3.4,강서구 방화동로 45 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA0MTNfNDEg%2FMDAxNjgxMzc1MTA4MjM2.OWIdobEG_-ExJkHSAK_qpH8TPCUGvP49SQMDDln-5TYg.dqBP37_2IEfWA--9B1gz53IdxXsM-nH__5OAIUGIQNMg.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%25A1%25B0%25EA%25B4%2591%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '야꾸루', '별점': '1.0', '날짜': '2024.06.28.', '내용': '400원짜지 관장약 카드로 결제하면 할머니약사 얼굴이 냉냉해지면서 말 씹어버립니다 옛날사람이라 그런가...사람을 돈으로 보는것같네요..안타까운 현실입니다...', '좋아요': '0'}, {'작성자': '게스트하우스리버사이드010520336', '별점': '5.0', '날짜': '2022.01.24.', '내용': '국민건강과 생명을 지켜주시는 조광약국 오약사님 최고십니다', '좋아요': '0'}, {'작성자': '이지현', '별점': '5.0', '날짜': '2021.09.22.', '내용': '우리 동네 단골약국 좋아요', '좋아요': '0'}]","{'목': '08:00 ~ 20:20', '금': '08:00 ~ 20:20', '토': '08:00 ~ 20:20', '월': '08:00 ~ 20:20', '화': '08:00 ~ 20:20', '수': '08:00 ~ 20:20'}"
