name,score,address,img_url,reviews,open_hour
기린약국,5.0,강서구 하늘길 70,,"[{'작성자': '김치킨', '별점': '5.0', '날짜': '2023.02.27.', '내용': '아주 좋습니다', '좋아요': '0'}, {'작성자': '영등포인', '별점': '5.0', '날짜': '2021.12.21.', '내용': '츤데레 약사님 스위트하네요', '좋아요': '0'}]","{'목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 16:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '휴무일': '매주 일요일'}"
국제공항약국 김포국제공항국제선,1.4,강서구 하늘길 38 3층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe7aa230c800dee2f50a0414c09dc190ca0bec087%3Foriginal,"[{'작성자': '득득이', '별점': '1.0', '날짜': '2024.07.11.', '내용': '바가지도 장난아니고 멀미약 사는데 16000원 받네요', '좋아요': '0'}, {'작성자': 'w', '별점': '1.0', '날짜': '2023.11.30.', '내용': '바가지 장난 아니넹 ㅋㅋㅋ', '좋아요': '0'}, {'작성자': '날강도', '별점': '5.0', '날짜': '2023.07.04.', '내용': '여약사님 친절하세요~안 비싸고..', '좋아요': '0'}]",{}
스카이약국,0.0,강서구 하늘길 38 지하2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
스카이약국,5.0,강서구 하늘길 38 지하2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MzBfMTg4%2FMDAxNzI3Njc4MzMyNDM4.-OSq6p2SXvr8WIhP0xSWAQEE9NCf0A_llvmabTR3Rskg.ia2s3h5Uu2gyoZt0jU1GcZWwwGuSu9vSUVKoauJ_ZcMg.JPEG%2FSE-7C61A880-5516-4C28-97C4-F152F4C958EE.jpg%3Ftype%3Dw466,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.02.13.', '내용': '공항 약국말고 여기로 왔어요\n롯데몰안에 롯데마트 앞에 있어요! 지하!\n10분이면 오는데 굳', '좋아요': '2'}, {'작성자': 'SS906', '별점': '5.0', '날짜': '2022.09.30.', '내용': '병원처방이랑 약효과가 좋아서 멀리서라도 시간내서 갑니다. 아가 약병도 예쁜데 잘 안흐르네요.\n좋은 아이템 친절하심 상황에 맞는 처방 모두 좋았습니다. 앞으로도 자주가려고요!', '좋아요': '1'}, {'작성자': '맛집찾는 두더지', '별점': '5.0', '날짜': '2021.09.06.', '내용': '군입대 한다고 하니까\n주인 아주머니가 자신의 아들도 군대에 가 있다며\n여러가지 꿀팁과 가져가야할 물품을 자세하게 알려주셨습니다. 제가 알... 더보기', '좋아요': '3'}]","{'목': '10:00 ~ 21:00', '금': '10:00 ~ 21:00', '토': '10:00 ~ 18:00', '일': '10:00 ~ 18:00', '월': '10:00 ~ 21:00', '화': '10:00 ~ 21:00', '수': '10:00 ~ 21:00'}"
웰빙국내선약국,1.0,강서구 하늘길 112 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9050566f7eaacd6b36e8bb6d945d81c4598ab339%3Foriginal,"[{'작성자': '아', '별점': '1.0', '날짜': '2025.03.16.', '내용': '약값가지고 장난치지마세요. 복약지도 엉망에 소화제 이거밖에 없다고 9천원짜리 줍니다', '좋아요': '0'}, {'작성자': '느낌대로', '별점': '1.0', '날짜': '2025.03.15.', '내용': '아무리 생각해도 비싸서 환불하고 보니까 바가지로 유명하네요', '좋아요': '0'}, {'작성자': '🧸ྀི', '별점': '1.0', '날짜': '2025.03.04.', '내용': '필요한 약만 사려고 했는데 다른거도 추천해주시길래 괜찮다 했는데 안산다 하니 약 던져서 주시네요 역시 평점이 왜 낮은지 알겠더라고요 다신 방문 안해요 이런곳은', '좋아요': '0'}]","{'목': '07:00 ~ 20:00', '금': '07:00 ~ 20:00', '토': '07:00 ~ 20:00', '일': '08:00 ~ 20:00', '월': '07:00 ~ 20:00', '화': '07:00 ~ 20:00', '수': '07:00 ~ 20:00'}"
조광약국,3.4,강서구 방화동로 45 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA0MTNfNDEg%2FMDAxNjgxMzc1MTA4MjM2.OWIdobEG_-ExJkHSAK_qpH8TPCUGvP49SQMDDln-5TYg.dqBP37_2IEfWA--9B1gz53IdxXsM-nH__5OAIUGIQNMg.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%25A1%25B0%25EA%25B4%2591%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '야꾸루', '별점': '1.0', '날짜': '2024.06.28.', '내용': '400원짜지 관장약 카드로 결제하면 할머니약사 얼굴이 냉냉해지면서 말 씹어버립니다 옛날사람이라 그런가...사람을 돈으로 보는것같네요..안타까운 현실입니다...', '좋아요': '0'}, {'작성자': '게스트하우스리버사이드010520336', '별점': '5.0', '날짜': '2022.01.24.', '내용': '국민건강과 생명을 지켜주시는 조광약국 오약사님 최고십니다', '좋아요': '0'}, {'작성자': '이지현', '별점': '5.0', '날짜': '2021.09.22.', '내용': '우리 동네 단골약국 좋아요', '좋아요': '0'}]","{'목': '08:00 ~ 20:20', '금': '08:00 ~ 20:20', '토': '08:00 ~ 20:20', '월': '08:00 ~ 20:20', '화': '08:00 ~ 20:20', '수': '08:00 ~ 20:20'}"
주약국,1.0,강서구 공항대로 23,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F84d586e12d4e47bc6b42e00686eef7caae99a02f%3Foriginal,"[{'작성자': 'H', '별점': '1.0', '날짜': '2024.07.13.', '내용': '손님 말을 알아듣지도 못하고 잘못돈 상품 건내주고 큰소리 치시는데 그러다 약국 문닫으실 수 있으세요\n얼마나 대단한 일 하신다고 입술 삐죽나오십니까', '좋아요': '1'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.03.27.', '내용': '거의 5개월지난 약 판매함 죄송하단말도 없고 진작 말했어야죠 ○○○○ 보건소에 제 돈 수수료 지불하고 신고했어요 재고관리 안되는 약국은 시한폭탄임 리뷰에... 더보기', '좋아요': '1'}]","{'목': '08:00 ~ 22:00', '금': '08:00 ~ 22:00', '토': '08:00 ~ 22:00', '월': '08:00 ~ 22:00', '화': '08:00 ~ 22:00', '수': '08:00 ~ 22:00'}"
미주약국,4.2,강서구 양천로6길 28 도시개발12단지아파트 상가동 108호,,"[{'작성자': '재성', '별점': '1.0', '날짜': '2024.10.27.', '내용': '영업중이라 떠서 뛰어갔는데 문 닫혀있어요..', '좋아요': '0'}, {'작성자': '', '별점': '5.0', '날짜': '2023.08.22.', '내용': '약사 선생님께서 매우 친절하시고 복용방법 또한 상세히 설명해주세요.', '좋아요': '0'}, {'작성자': 'Grace', '별점': '4.0', '날짜': '2023.03.08.', '내용': '9시반 방문시 영업안함', '좋아요': '0'}]","{'목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 22:00', '일': '18:00 ~ 22:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00'}"
김포약국,1.0,강서구 방화동로 70,,"[{'작성자': '별파파', '별점': '1.0', '날짜': '2025.03.01.', '내용': '토요일 셔터 내림', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 19:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
공항시장샘온누리약국,5.0,강서구 방화동로 37 메디스타워 1층 102호,,"[{'작성자': '은영🌸', '별점': '5.0', '날짜': '2022.09.18.', '내용': '약설명도 꼼꼼히 해주시고 친절하세용', '좋아요': '0'}, {'작성자': 'ㅇㅇㅇㅇ', '별점': '5.0', '날짜': '2020.06.27.', '내용': '정말 친절하심', '좋아요': '0'}]","{'목': '08:00 ~ 19:30', '금': '08:00 ~ 19:30', '토': '08:00 ~ 14:00', '일': '휴무일', '월': '08:00 ~ 19:30', '화': '08:00 ~ 19:30', '수': '08:00 ~ 19:30', '휴무일': '설당일'}"
