name,score,address,img_url,reviews,open_hour
마곡아임약국,,강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB45EE69C1FA343EAA2CAF3C42A34C211,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '07:30 ~ 23:00', '금': '07:30 ~ 23:00', '토': '10:00 ~ 23:00', '일': '10:00 ~ 22:00', '월': '07:30 ~ 23:00', '화': '07:30 ~ 23:00', '수': '07:30 ~ 23:00'}"
가장큰이대약국,4.0,"강서구 공항대로 248 대방건설빌딩 1층 111~115, 206호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FAF0348135FF747BC8FDD20472859E6A7,"[{'작성자': '단디🌸', '별점': '1.0', '날짜': '2024.08.16.', '내용': '친절하고 가던데니까, 가격 다 비슷하겠지 생각해서 갔었는데요. 아니네요. 코로나 때문에 수요 올라가니까 바로 가격 2배로 올려버리는데 어이가 없네요. 아픈사람들 대상으로 이렇게 장... 더보기', '좋아요': '0'}, {'작성자': '오대표', '별점': '5.0', '날짜': '2024.06.10.', '내용': '동물약 종류가 많습니다. 구매하러 여러 곳 다녀도 없던 동물약도 있고 좋습니다.', '좋아요': '0'}, {'작성자': '귀요미', '별점': '5.0', '날짜': '2023.08.30.', '내용': '여기가 세상에서 가장 싼 거 같아요', '좋아요': '1'}]","{'목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '토': '09:00 ~ 19:00', '일': '12:00 ~ 18:00', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '휴무일': '추석당일, 설당일'}"
이화햇살약국,,강서구 공항대로 261 발산파크프라자 113호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6DD0F673194944F0AAE5A91AFB52DBF1,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '07:30 ~ 21:00', '금': '07:30 ~ 21:00', '토': '09:00 ~ 21:00', '일': '09:00 ~ 21:00', '월': '07:30 ~ 21:00', '화': '07:30 ~ 21:00', '수': '07:30 ~ 21:00'}"
김비타약국,5.0,강서구 공항대로 206 나인스퀘어 1층 111호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F508538927E1244D08CA97A1BCF899FB1,"[{'작성자': 'beeeni', '별점': '5.0', '날짜': '2024.10.31.', '내용': '여기 약사님 엄청 친절하시고 상세하게 잘 알려주고 진짜 최고 짱짱이에요 !! 엄청 예의바른 청년의 느낌 약사님이십니당ㅎ 적게 일하시고 많이 버세요 !!', '좋아요': '0'}, {'작성자': '밤토루', '별점': '5.0', '날짜': '2021.09.16.', '내용': '친절하세요!', '좋아요': '0'}, {'작성자': '마녀_테레사', '별점': '5.0', '날짜': '2021.08.30.', '내용': '약사분이 약국에 찐텐이에요!!! 밝고 명량하시고 명쾌하십니다 이름이 왜 김비타인지 알것 같아요   제가 땀띠로 고생해서  집 에서 크림 바르면 낫겠거니 생각하고 있다가 낫... 더보기', '좋아요': '0'}]","{'목': '10:00 ~ 19:00', '금': '10:00 ~ 21:00', '토': '10:00 ~ 14:40', '일': '휴무일', '월': '10:00 ~ 21:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '휴무일': '공휴일'}"
마곡하나약국,3.3,강서구 강서로 385 우성에스비타워 106호,,"[{'작성자': '준수한집만리뷰씀', '별점': '3.0', '날짜': '2025.03.06.', '내용': '비닐 니 머선 문제있나 진짜..\n\n재방문 하니까 비닐 바꼈음 다행임', '좋아요': '0'}, {'작성자': '네이비', '별점': '1.0', '날짜': '2024.04.17.', '내용': '조제약 먹을때 비닐이 잘 안 찢어져서 힘드네요 다른약국이랑 달라요 조제약 비닐을 바꾸셔야 할거 같습니다 약사님이 약설명을 좀더 친절하게 하셨음좋겠어요 짜증이 느껴졌어요', '좋아요': '1'}, {'작성자': 'qwerty', '별점': '5.0', '날짜': '2023.09.23.', '내용': '여약사님이 짱 친절', '좋아요': '0'}]","{'목': '08:30 ~ 21:30', '금': '08:30 ~ 21:30', '토': '휴무일', '일': '09:00 ~ 18:00', '월': '08:30 ~ 21:30', '화': '08:30 ~ 21:30', '수': '08:30 ~ 21:30', '휴무일': '매주 토요일'}"
빠른대학온누리약국,3.0,강서구 마곡중앙4로 74 이웰메디파크 101~103호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAzMjJfMjQz%2FMDAxNzExMDkyNDI3MzE0.pUQ0wtk9sqwQUkB5VO0OU_8drOH9DC96y4mVc9ISnOEg.Du2CLkyWwvBON_8UTqiV4BENWP2BskgcFhttF0qeKAMg.PNG%2F3.png%3Ftype%3Dw773,"[{'작성자': 'Audaicity', '별점': '3.0', '날짜': '2023.10.08.', '내용': '약 처방이 너무 느림\n\n손이 느린 건지\n\n손님이 ... 더보기', '좋아요': '0'}, {'작성자': '세22222', '별점': '1.0', '날짜': '2023.09.20.', '내용': '시끄럽고, 어수선하고, 다시 안갈 요량. 옆에 약국 쎘어!!!', '좋아요': '0'}, {'작성자': '성영호', '별점': '1.0', '날짜': '2023.08.26.', '내용': '전혀 안빠르고 의자도 대한합실 수준.\n30분 걸려 고객들 기다러도 직원들은 점심드시고ᆢ', '좋아요': '0'}]","{'목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '토': '09:00 ~ 13:30', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00'}"
봉약국,4.9,강서구 공항대로 195 123호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F80c18e98baed6219e69cc87941b1813137641b7e%3Foriginal,"[{'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2023.04.12.', '내용': '좋아요', '좋아요': '0'}, {'작성자': '냠냠', '별점': '5.0', '날짜': '2022.04.08.', '내용': '퇴근해도 열려있는 약국 유일한 약국. \n+약사님 친절하심.', '좋아요': '0'}, {'작성자': '홍♡', '별점': '5.0', '날짜': '2021.11.06.', '내용': '오아시스같은 약국\n약사님  \n엄청 ... 더보기', '좋아요': '0'}]","{'목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '휴무일', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '휴무일': '공휴일'}"
명진팜약국,1.8,강서구 마곡중앙로 161-17 보타닉파크타워1 110호,,"[{'작성자': '맛집게이터', '별점': '1.0', '날짜': '2022.08.06.', '내용': '남자분 겁나 불친절하심', '좋아요': '0'}, {'작성자': '키츠', '별점': '1.0', '날짜': '2022.08.02.', '내용': '이렇게 응대하실거면 약국 왜 하세요? \n다시는 가기 싫네요\n괜찮은 약국 찾기가 이렇게 힘들줄은..', '좋아요': '0'}, {'작성자': '김', '별점': '1.0', '날짜': '2021.10.24.', '내용': '너무 비싸요', '좋아요': '0'}]","{'목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 20:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00'}"
숨약국,5.0,강서구 양천로 344 마곡센트럴대방디엠시티오피스텔 2층 208-2호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9F2404345F424FA4B8689921ABE91D0D,"[{'작성자': '선호', '별점': '5.0', '날짜': '2025.03.23.', '내용': '2층으로 이전되서 더 커졌어요\n깔끔하고 친절해요', '좋아요': '0'}, {'작성자': 'j', '별점': '5.0', '날짜': '2024.07.01.', '내용': '약사님 설명 잘해주시고 친절하십니다. 찾아갈만 하네요.', '좋아요': '0'}, {'작성자': '박지수', '별점': '5.0', '날짜': '2024.04.05.', '내용': '깨끗하고 여약사님 친절하고 예쁘세요~', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 15:00', '일': '09:00 ~ 15:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30'}"
아란약국,3.6,강서구 마곡중앙1로 10 한일노벨리아타워 1층 117호,,"[{'작성자': '횰미', '별점': '3.0', '날짜': '2025.03.08.', '내용': '불친절하진않은데 살짝 정신없어요. 차광약을 자꾸 그냥주고 설명을안해주심..', '좋아요': '0'}, {'작성자': 'ㅁ', '별점': '2.0', '날짜': '2024.09.27.', '내용': '왜 카카오맵엔 07시30분까지 영업중으로 뜨나요?\n새벽1시에 급하게 멀리서부터 약국 들렸다가 헛걸음 했네요..영업중 기재 똑바로 해주세요.', '좋아요': '1'}, {'작성자': 'g', '별점': '3.0', '날짜': '2024.02.14.', '내용': '일반의약품들이 없는게 많음', '좋아요': '0'}]","{'목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '토': '08:30 ~ 14:30', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30'}"
