name,score,address,img_url,reviews,open_hour
수태평양약국,1.0,강서구 공항대로 531 한울밸리움 1층 104호,,"[{'작성자': '체크', '별점': '1.0', '날짜': '2024.06.20.', '내용': '제가 이용했을때, 연세있으신 분하고 안경 쓴 좀 젊은 직원이 있는데 말투가 진짜 싸가지가 없어요. 두 번 다시 이용 안합니다. 거지같에서 말이죠. 뭔 귀찮은 사람대하듯이 하는지. 진짜 열받아서 환불 생각까지했습니다.', '좋아요': '0'}]","{'목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '토': '08:30 ~ 14:00', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30'}"
비전약국,3.1,강서구 공항대로 627 대신빌딩 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9f4817e92dc6578cc8c3302ae30fc8fc83c35e5c%3Foriginal,"[{'작성자': '🤔', '별점': '1.0', '날짜': '2024.06.07.', '내용': '약사님만 친절하시고 처방전 받는 직원분은 진짜 싸가지 그 자체입니다. 말투 왜 그따구인지 모르겠는데 그냥 처방전 달라고 하면 되는걸 꼭 그따구 어투 사용해야 지 분이 풀리는 사람인가?', '좋아요': '0'}, {'작성자': 'SKM', '별점': '5.0', '날짜': '2024.05.14.', '내용': '약사님이 친절하시구 약설명을 잘해주세요~', '좋아요': '0'}, {'작성자': '향기로운커피한잔', '별점': '3.0', '날짜': '2024.04.09.', '내용': '처방전엔 3일분인데 이틀분만 주심.\n전화하니 기계가 하는 거라 그럴 일이 절대 없다고 하심. 그럼 하루치는 누가 먹었나?', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
금비약국,5.0,강서구 양천로69길 11 1층 101호,,"[{'작성자': '$※♤☆♧ㄱㅣㅁㅈㅜㄴㅁㅕㅇ♧☆♤※$', '별점': '5.0', '날짜': '2023.12.28.', '내용': '좋다.', '좋아요': '1'}, {'작성자': '🐾', '별점': '5.0', '날짜': '2023.09.18.', '내용': '약사님 항상 너무너무 친절하세요!\n항상 약 사러 갑니다 ^^', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
송약국,5.0,강서구 양천로 637 삼성아파트상가 104호,,"[{'작성자': '로제떡볶이', '별점': '5.0', '날짜': '2025.01.26.', '내용': '토요일 늦은시간에 급하게 약국을 찾았는데\n늦게까지 열어주셔서 감사합니다🙏\n그약을 못샀다면 저는 새벽에 아파죽었을거에요ㅠㅠ', '좋아요': '0'}, {'작성자': '먹는낙', '별점': '5.0', '날짜': '2025.01.01.', '내용': '약사님 너무 친절하세요! 굿', '좋아요': '0'}]","{'목': '08:00 ~ 21:30', '금': '08:00 ~ 21:30', '토': '08:00 ~ 21:30', '일': '08:00 ~ 13:30', '월': '08:00 ~ 21:30', '화': '08:00 ~ 21:30', '수': '08:00 ~ 21:30'}"
하나로약국,,강서구 양천로 677 염창하이츠빌딩 1층 102호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:30', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '공휴일'}"
솔트약국,0.0,강서구 양천로 660 지층 L02호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FD48BFF14315344A6982C6FE4C9A5C843,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '토': '08:30 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '휴무일': '매주 일요일'}"
밝은약국,1.6,강서구 양천로 690 1층,,"[{'작성자': '마크툽', '별점': '1.0', '날짜': '2024.03.27.', '내용': '안밝고 불친절함\n쳐다도 안보고 처방전 받는데 킹받음', '좋아요': '1'}, {'작성자': 'zok', '별점': '1.0', '날짜': '2023.09.07.', '내용': '약사가  드럽게 불친절하네 정말  말투도 퉁명스럽고  귀찮아 하는게 너무 보임', '좋아요': '1'}, {'작성자': '쩡이엄마', '별점': '1.0', '날짜': '2021.09.14.', '내용': '영업시간 수정좀 하세요', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
서울프라자약국,0.0,강서구 양천로 683 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MTJfMTYw%2FMDAxNzIwNzQ2NTk0MzIw.955uRzJNXyon4Y4tu4DGjj_X18vx1tK5y73a_Bcap0Mg.-qyDTh78GL4RgZfz2LwpgiFBKJpSPnSglTGfbNlcdsAg.JPEG%2Foutput_1012769095.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:00 ~ 20:00', '금': '08:00 ~ 19:30', '토': '휴무일', '일': '08:00 ~ 13:30', '월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '휴무일': '매주 토요일'}"
이화밝은약국,5.0,강서구 공항대로 543 센터스퀘어 1층 112호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FAC73E7B468BD41A0A38C4F2ED5081559,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:20 ~ 19:00', '금': '09:20 ~ 19:00', '토': '휴무일', '일': '휴무일', '월': '09:20 ~ 19:00', '화': '09:20 ~ 19:00', '수': '09:20 ~ 19:00', '휴무일': '공휴일'}"
영일약국,3.7,강서구 양천로 658,,"[{'작성자': 'J', '별점': '5.0', '날짜': '2023.02.14.', '내용': '복약안내문 뽑아주시는건 처음이라 너무 좋았어요.', '좋아요': '0'}, {'작성자': 'Jerry', '별점': '1.0', '날짜': '2022.05.09.', '내용': '약사가 이렇게 불친절한 경우는 처음봐서 신기함에 평 남깁니다.', '좋아요': '0'}, {'작성자': '강서구민', '별점': '5.0', '날짜': '2022.04.04.', '내용': '친절하심', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 17:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
우리동네온누리약국,5.0,강서구 양천로 713,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMDJfNDEg%2FMDAxNzMwNTQ5MjE4NDQ4.XumycoQbL8NNtpyaN5d6X3BcFpKybJ-VUPvFTfHO2MYg.NFmO-HNJuW0MtkwOdJOqhHabPsF9sh0Xeh4_qSqWUW8g.JPEG%2FIMG_5937.jpg%3Ftype%3Dw966,"[{'작성자': '노현진', '별점': '5.0', '날짜': '2023.11.01.', '내용': '약사님이친절하세요. 너무좋으시네요.', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
라파엘,0.0,강서구 공항대로 637,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
다제스팜,0.0,강서구 공항대로 637,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
메디윌,0.0,강서구 공항대로 659,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
애플약국,5.0,강서구 양천로 684 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 16:00', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00'}"
바이오인터팜,0.0,강서구 양천로 660,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
가고싶은서우약국,0.0,강서구 양천로 624 주산빌딩 1층 103호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '휴무일': '공휴일'}"
