name,score,address,img_url,reviews,open_hour
기린약국,5.0,강서구 하늘길 70,,"[{'작성자': '김치킨', '별점': '5.0', '날짜': '2023.02.27.', '내용': '아주 좋습니다', '좋아요': '0'}, {'작성자': '영등포인', '별점': '5.0', '날짜': '2021.12.21.', '내용': '츤데레 약사님 스위트하네요', '좋아요': '0'}]","{'목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 16:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '휴무일': '매주 일요일'}"
웰빙국내선약국,1.0,강서구 하늘길 112 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9050566f7eaacd6b36e8bb6d945d81c4598ab339%3Foriginal,"[{'작성자': '아', '별점': '1.0', '날짜': '2025.03.16.', '내용': '약값가지고 장난치지마세요. 복약지도 엉망에 소화제 이거밖에 없다고 9천원짜리 줍니다', '좋아요': '0'}, {'작성자': '느낌대로', '별점': '1.0', '날짜': '2025.03.15.', '내용': '아무리 생각해도 비싸서 환불하고 보니까 바가지로 유명하네요', '좋아요': '0'}, {'작성자': '🧸ྀི', '별점': '1.0', '날짜': '2025.03.04.', '내용': '필요한 약만 사려고 했는데 다른거도 추천해주시길래 괜찮다 했는데 안산다 하니 약 던져서 주시네요 역시 평점이 왜 낮은지 알겠더라고요 다신 방문 안해요 이런곳은', '좋아요': '0'}]","{'목': '07:00 ~ 20:00', '금': '07:00 ~ 20:00', '토': '07:00 ~ 20:00', '일': '08:00 ~ 20:00', '월': '07:00 ~ 20:00', '화': '07:00 ~ 20:00', '수': '07:00 ~ 20:00'}"
스카이약국,5.0,강서구 하늘길 38 지하2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MzBfMTg4%2FMDAxNzI3Njc4MzMyNDM4.-OSq6p2SXvr8WIhP0xSWAQEE9NCf0A_llvmabTR3Rskg.ia2s3h5Uu2gyoZt0jU1GcZWwwGuSu9vSUVKoauJ_ZcMg.JPEG%2FSE-7C61A880-5516-4C28-97C4-F152F4C958EE.jpg%3Ftype%3Dw466,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.02.13.', '내용': '공항 약국말고 여기로 왔어요\n롯데몰안에 롯데마트 앞에 있어요! 지하!\n10분이면 오는데 굳', '좋아요': '2'}, {'작성자': 'SS906', '별점': '5.0', '날짜': '2022.09.30.', '내용': '병원처방이랑 약효과가 좋아서 멀리서라도 시간내서 갑니다. 아가 약병도 예쁜데 잘 안흐르네요.\n좋은 아이템 친절하심 상황에 맞는 처방 모두 좋았습니다. 앞으로도 자주가려고요!', '좋아요': '1'}, {'작성자': '맛집찾는 두더지', '별점': '5.0', '날짜': '2021.09.06.', '내용': '군입대 한다고 하니까\n주인 아주머니가 자신의 아들도 군대에 가 있다며\n여러가지 꿀팁과 가져가야할 물품을 자세하게 알려주셨습니다. 제가 알... 더보기', '좋아요': '3'}]","{'목': '10:00 ~ 21:00', '금': '10:00 ~ 21:00', '토': '10:00 ~ 18:00', '일': '10:00 ~ 18:00', '월': '10:00 ~ 21:00', '화': '10:00 ~ 21:00', '수': '10:00 ~ 21:00'}"
국제공항약국 김포국제공항국제선,1.4,강서구 하늘길 38 3층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe7aa230c800dee2f50a0414c09dc190ca0bec087%3Foriginal,"[{'작성자': '득득이', '별점': '1.0', '날짜': '2024.07.11.', '내용': '바가지도 장난아니고 멀미약 사는데 16000원 받네요', '좋아요': '0'}, {'작성자': 'w', '별점': '1.0', '날짜': '2023.11.30.', '내용': '바가지 장난 아니넹 ㅋㅋㅋ', '좋아요': '0'}, {'작성자': '날강도', '별점': '5.0', '날짜': '2023.07.04.', '내용': '여약사님 친절하세요~안 비싸고..', '좋아요': '0'}]",{}
오정고은약국,0.0,부천시 오정구 오정로 250 1층 103호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
나눔온누리약국,4.0,계양구 동양로 101 명일프라자 1층 104호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MjhfMjU5%2FMDAxNzI0ODA3OTU5MDk0.K0BNYWhzCbUMVzuzDgFJrGw8jzCPG-RmVPJ7DPYrnG8g.Q_9BNilVs7XB4rjymAV79iqbI1kEeQ7TgfkhL5Fy1Bwg.JPEG%2FKakaoTalk_20240418_122925455_01.jpg%3Ftype%3Dw773,"[{'작성자': '읭??', '별점': '5.0', '날짜': '2024.10.09.', '내용': '젊은 약사님들이 친절하시고\n동네에 정형외과나 피부과가 없어서인지 헛걸음 할 뻔 했는데\n없는 약은 최대한 빠르게 주문해주셔서 받을... 더보기', '좋아요': '0'}, {'작성자': '키다리', '별점': '2.0', '날짜': '2024.07.16.', '내용': '일반약이 가격이 비싼것 같습니다. \n차라리 전철역쪽으로 나가 약을. 사야할듯', '좋아요': '0'}, {'작성자': 'akaka', '별점': '5.0', '날짜': '2024.07.08.', '내용': '친절해요 약이 잘들어요', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '휴무일': '매주 일요일'}"
주약국,1.0,강서구 공항대로 23,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F84d586e12d4e47bc6b42e00686eef7caae99a02f%3Foriginal,"[{'작성자': 'H', '별점': '1.0', '날짜': '2024.07.13.', '내용': '손님 말을 알아듣지도 못하고 잘못돈 상품 건내주고 큰소리 치시는데 그러다 약국 문닫으실 수 있으세요\n얼마나 대단한 일 하신다고 입술 삐죽나오십니까', '좋아요': '1'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.03.27.', '내용': '거의 5개월지난 약 판매함 죄송하단말도 없고 진작 말했어야죠 ○○○○ 보건소에 제 돈 수수료 지불하고 신고했어요 재고관리 안되는 약국은 시한폭탄임 리뷰에... 더보기', '좋아요': '1'}]","{'목': '08:00 ~ 22:00', '금': '08:00 ~ 22:00', '토': '08:00 ~ 22:00', '월': '08:00 ~ 22:00', '화': '08:00 ~ 22:00', '수': '08:00 ~ 22:00'}"
오정은혜약국,5.0,부천시 오정구 오정로 249 오정프라자 106호,,"[{'작성자': 'SH', '별점': '5.0', '날짜': '2020.07.09.', '내용': '약사님 두분계셨는데 다 너무 친절하심 ㅎㅎ', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
경인종로약국,5.0,부천시 오정구 오정로 242 낙원빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA0MjVfMTU1%2FMDAxNjgyMzgxNTAyMDEy.5k8CinfY79A1-UgmBkd6Lu_VyzStDmAKw3TiwqG4H0sg.ggCvDewdznSY9gOef2EYYWufbmHdYmXcJV2DvwP5Trgg.JPEG.pet_pharm8%2FKakaoTalk_Photo_2023-04-25-09-05-32_001.jpeg%3Ftype%3Dw966,"[{'작성자': '나영', '별점': '5.0', '날짜': '2024.05.23.', '내용': '약사님 친절해요.', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
동양약국,2.0,계양구 동양로 103 세진프라자104호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMTFfMTUg%2FMDAxNzI4NjEwODM3OTY4.sr1fggyKiS7M5mZJ8c1iKg5cL9395A-3LmmdhWxo8KQg.5maCxNm3iisR3hb8UPA9bpm6KP1_9r4FmMZdyKGS34Ig.PNG%2F%25EC%25A0%259C%25EB%25AA%25A9%25EC%259D%2584-%25EC%259E%2585%25EB%25A0%25A5%25ED%2595%25B4%25EC%25A3%25BC%25EC%2584%25B8%25EC%259A%2594_-001_(20).png%3Ftype%3Dw966,"[{'작성자': 'L', '별점': '1.0', '날짜': '2025.01.29.', '내용': '.', '좋아요': '0'}, {'작성자': '봉구르빙봉', '별점': '5.0', '날짜': '2024.11.14.', '내용': '왜 가지말라는지 이해안돼욤 ,, 후기보고 안갔었는데 내과 갔다가 처방약 지으러 갔더니 너무 친절하시고 유쾌하시던데요 ㅎㅎ 가끔 약 사러 갈 것 같아요!', '좋아요': '0'}, {'작성자': '키다리', '별점': '1.0', '날짜': '2024.07.15.', '내용': '다른 약국으로 가세요.', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
