name,score,address,img_url,reviews,open_hour
웰빙국내선약국,1.0,강서구 하늘길 112 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9050566f7eaacd6b36e8bb6d945d81c4598ab339%3Foriginal,"[{'작성자': '아', '별점': '1.0', '날짜': '2025.03.16.', '내용': '약값가지고 장난치지마세요. 복약지도 엉망에 소화제 이거밖에 없다고 9천원짜리 줍니다', '좋아요': '0'}, {'작성자': '느낌대로', '별점': '1.0', '날짜': '2025.03.15.', '내용': '아무리 생각해도 비싸서 환불하고 보니까 바가지로 유명하네요', '좋아요': '0'}, {'작성자': '🧸ྀི', '별점': '1.0', '날짜': '2025.03.04.', '내용': '필요한 약만 사려고 했는데 다른거도 추천해주시길래 괜찮다 했는데 안산다 하니 약 던져서 주시네요 역시 평점이 왜 낮은지 알겠더라고요 다신 방문 안해요 이런곳은', '좋아요': '0'}]","{'목': '07:00 ~ 20:00', '금': '07:00 ~ 20:00', '토': '07:00 ~ 20:00', '일': '08:00 ~ 20:00', '월': '07:00 ~ 20:00', '화': '07:00 ~ 20:00', '수': '07:00 ~ 20:00'}"
태평양약국,4.0,부천시 오정구 성지로 101 보영빌딩 108호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7121BFA1A34B48AF9ADF9E46B5B03549,"[{'작성자': '행복', '별점': '5.0', '날짜': '2025.02.23.', '내용': '가격이 합리적이고 친절해요 ㅎ', '좋아요': '0'}, {'작성자': '원종맘스', '별점': '5.0', '날짜': '2025.02.22.', '내용': '친절하고 좋아요', '좋아요': '0'}, {'작성자': 'post', '별점': '1.0', '날짜': '2025.01.29.', '내용': '소비기한 한달남은 약주고 약값도 다른곳보다 비싼편', '좋아요': '0'}]","{'목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 19:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '휴무일': '공휴일'}"
부천수약국,3.0,부천시 오정구 소사로 802-1 성운빌딩 1층 103호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F16E845E268BE4159BD82370F0F779345,"[{'작성자': '이순웅', '별점': '1.0', '날짜': '2024.10.15.', '내용': '정말 궁금해서 그러는데 그쪽분이 약을 준비못해서 내가 나중에 찾으러 와야하는거면 그상황은 누구의 잘못인겁니까?', '좋아요': '0'}, {'작성자': '낼름후루룹깡쥐', '별점': '5.0', '날짜': '2023.12.18.', '내용': '약사님이 친절해요!!!!', '좋아요': '0'}]","{'목': '08:30 ~ 21:00', '금': '08:30 ~ 21:00', '토': '08:30 ~ 21:00', '일': '09:00 ~ 21:00', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00'}"
대은약국,0.0,부천시 오정구 소사로808번길 6 부원빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF5EAB54073F24214BB4922C3C2FEDFFE,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 20:30', '금': '08:30 ~ 20:30', '토': '08:30 ~ 20:00', '일': '10:30 ~ 18:30', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30'}"
오정고은약국,0.0,부천시 오정구 오정로 250 1층 103호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
동아온누리약국,3.0,부천시 오정구 소사로 791 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 17:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
원종백문약국,5.0,부천시 오정구 소사로 773 1층,,"[{'작성자': '황영하', '별점': '5.0', '날짜': '2023.12.25.', '내용': '국경일에도 운영하는 고마운곳', '좋아요': '0'}]","{'목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 22:00', '일': '11:00 ~ 22:30', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00'}"
주약국,1.0,강서구 공항대로 23,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F84d586e12d4e47bc6b42e00686eef7caae99a02f%3Foriginal,"[{'작성자': 'H', '별점': '1.0', '날짜': '2024.07.13.', '내용': '손님 말을 알아듣지도 못하고 잘못돈 상품 건내주고 큰소리 치시는데 그러다 약국 문닫으실 수 있으세요\n얼마나 대단한 일 하신다고 입술 삐죽나오십니까', '좋아요': '1'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.03.27.', '내용': '거의 5개월지난 약 판매함 죄송하단말도 없고 진작 말했어야죠 ○○○○ 보건소에 제 돈 수수료 지불하고 신고했어요 재고관리 안되는 약국은 시한폭탄임 리뷰에... 더보기', '좋아요': '1'}]","{'목': '08:00 ~ 22:00', '금': '08:00 ~ 22:00', '토': '08:00 ~ 22:00', '월': '08:00 ~ 22:00', '화': '08:00 ~ 22:00', '수': '08:00 ~ 22:00'}"
생명사랑약국,3.7,부천시 오정구 소사로 793 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA0MjJfNiAg%2FMDAxNjgyMTMxNjU3Njc5.NEoHzIwepJ9ug1K9OIbuHt0jkd4-VRr_dMwb6IKYBKMg.i9ZvVFKSo4mtrpNHpVhsbnofN2wCFYQc1JnuaoyPORAg.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%2583%259D%25EB%25AA%2585%25EC%2582%25AC%25EB%259E%2591%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '여름', '별점': '5.0', '날짜': '2024.07.26.', '내용': '계속이유없이 목감기걸려서 그냥면역력약한건줄ㄴ알았는디ㅔ 약사님이 듣더니 상담해주시고큰병원가라고ㅠ해주신 덕분에,,제코구조상 뮨제가 있다는걸발견하게 됏서여 덕분에 수술하고교정하기루함,, 약사님상담아니엿으면 평생 몰랐을뻔 ㅜ감사', '좋아요': '0'}, {'작성자': '곰돌이', '별점': '5.0', '날짜': '2024.07.24.', '내용': '약 설명도 잘해주시고 몸걱정해서 밥먹고 먹으라고 하시는게 엄마같고 좋네요 약잘받아갑니다~', '좋아요': '0'}, {'작성자': '💥', '별점': '1.0', '날짜': '2023.09.26.', '내용': '가격물어보면 급발진한다는 후기에 동의함~', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 17:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
경인종로약국,5.0,부천시 오정구 오정로 242 낙원빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA0MjVfMTU1%2FMDAxNjgyMzgxNTAyMDEy.5k8CinfY79A1-UgmBkd6Lu_VyzStDmAKw3TiwqG4H0sg.ggCvDewdznSY9gOef2EYYWufbmHdYmXcJV2DvwP5Trgg.JPEG.pet_pharm8%2FKakaoTalk_Photo_2023-04-25-09-05-32_001.jpeg%3Ftype%3Dw966,"[{'작성자': '나영', '별점': '5.0', '날짜': '2024.05.23.', '내용': '약사님 친절해요.', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
샘물약국,0.0,부천시 오정구 성지로101번길 38 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 19:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
원종센타약국,0.0,부천시 오정구 소사로 799 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMjhfMjE2%2FMDAxNjc3NTQwNjQwNDY2.YJgbB6rUbfGdfnofuxD_8Kju1wB95lMXhncvH96l_Xgg.mSCRRLShroSlT4h2GlMpdwyc6zMLRkHrN7CWrCixEEkg.JPEG.pet_pharm8%2FKakaoTalk_Photo_2023-02-28-08-13-35_002.jpeg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
동서약국,1.0,부천시 오정구 오정로 252 우암빌딩 1층,,"[{'작성자': 'Ls', '별점': '1.0', '날짜': '2020.05.07.', '내용': '여자 약사님 너무 짜증이 심하세요;;;', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
기린약국,5.0,강서구 하늘길 70,,"[{'작성자': '김치킨', '별점': '5.0', '날짜': '2023.02.27.', '내용': '아주 좋습니다', '좋아요': '0'}, {'작성자': '영등포인', '별점': '5.0', '날짜': '2021.12.21.', '내용': '츤데레 약사님 스위트하네요', '좋아요': '0'}]","{'목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 16:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '휴무일': '매주 일요일'}"
늘사랑약국,5.0,부천시 오정구 소사로 801 1층,,"[{'작성자': 'ㅇㅇㅇ', '별점': '5.0', '날짜': '2022.01.09.', '내용': '친절하시다는 후기 보고 갔는데 정말 친절하십니다 동네 약국 많은데 이쪽으로만 가려고합니다', '좋아요': '0'}, {'작성자': '광진', '별점': '5.0', '날짜': '2019.12.07.', '내용': '친절하세요!', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 13:30', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
오정은혜약국,5.0,부천시 오정구 오정로 249 오정프라자 106호,,"[{'작성자': 'SH', '별점': '5.0', '날짜': '2020.07.09.', '내용': '약사님 두분계셨는데 다 너무 친절하심 ㅎㅎ', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
