name,score,address,img_url,reviews,open_hour
국민약국,5.0,강서구 곰달래로 225,,"[{'작성자': '영주', '별점': '5.0', '날짜': '2023.12.18.', '내용': '약사님 친절하심', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 19:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
화곡태평양약국,2.0,강서구 강서로 205 1층,,"[{'작성자': '승', '별점': '5.0', '날짜': '2021.11.28.', '내용': '정신없이 갔는데 너무 친절하게 잘 도와주셔서 감사했습니다. 번창하세요', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '1.0', '날짜': '2020.11.17.', '내용': '여약사님한테 타이레놀 달라니까 이알서방정을 주심(6개입). 그래서 500미리짜리 하얀거 10개입짜리 달라며 가격물어보고 한개 더 달라고 하니 없다고 함. 근데 슬쩍보니 5개정도 더 쌓여있음 ㅋㅋㅋ 싸우기싫어 결제후 그냥 나옴. 앞으론 딴데가야지...', '좋아요': '0'}, {'작성자': '동현', '별점': '1.0', '날짜': '2019.12.07.', '내용': '가격을 뭔 전화로 안 알려주는지,, 뭐 귀한약도 아니고 흔히 우리가 알고있는 강아지 약 인데.. 참..', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 19:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
파랑약국,5.0,강서구 화곡로 339 오선빌딩 1층,,"[{'작성자': '이용', '별점': '5.0', '날짜': '2023.03.19.', '내용': '실력, 친절, 외모등 다 출중하시다\n두 분 모두..', '좋아요': '0'}, {'작성자': '와파결핍', '별점': '5.0', '날짜': '2020.10.26.', '내용': '엄청 친절하시다. 요구하면 약 성분 설명도 상세하게 해 주심. 약끼리 섞어먹으면 안되는지도 알려주시고 설명도 잘해주셔서 좋았음', '좋아요': '0'}]","{'목': '08:00 ~ 18:30', '금': '08:00 ~ 18:30', '토': '08:00 ~ 13:30', '월': '08:00 ~ 18:30', '화': '08:00 ~ 18:30', '수': '08:00 ~ 18:30'}"
곰달래약국,5.0,강서구 곰달래로 226 1층,,"[{'작성자': '안성준', '별점': '5.0', '날짜': '2022.08.06.', '내용': '약사님이 항상 친절하고 꼼꼼하게 설명을 잘 해주십니다. 정말 괜찮고 좋습니다.', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
강서자연애약국,4.0,강서구 강서로 43 도양라비앙타워 지하1층 B101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2CC651F8B9354482A8AA54AE23DA4417,"[{'작성자': 'ㄱ                  즈', '별점': '1.0', '날짜': '2025.01.01.', '내용': '여기 가지마세요 이거 제가 매일 사는건데 여름철 땀 안흘리게 하는겁니다 이 근처 다른 약국들 15000원 팔고 공휴일이라 여기로 갔는데 떡하니 15000원 붙어잇는데 17000원 결제... 더보기', '좋아요': '1'}, {'작성자': '맛집에진심', '별점': '5.0', '날짜': '2024.09.07.', '내용': '친절하고 정확하세요', '좋아요': '0'}, {'작성자': '솔직후기리뷰', '별점': '5.0', '날짜': '2024.07.15.', '내용': '약사님 두분께서 정말 친절하시고 약 설명도 잘해주셨습니다.ㅎㅎ', '좋아요': '0'}]","{'목': '08:30 ~ 21:00', '금': '08:30 ~ 21:00', '토': '09:00 ~ 22:00', '일': '09:00 ~ 22:00', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00'}"
라온365온누리약국,4.9,강서구 화곡로 166 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA3MDRfODYg%2FMDAxNjg4NDQyNjc3OTE3.z4mduCmDlhVcHayvzVGlCp-o2BHEk2_O0Xo9F5QCHCUg.i4bUz4jyH-OuUjfG8vHRPGSv-0gzohRUNgHLBOc6aWIg.PNG.pharmacy88%2FSE-4a471a4e-2225-44da-bce2-6ca4c7c7ae69.png%3Ftype%3Dw386,"[{'작성자': 'heureux', '별점': '5.0', '날짜': '2025.01.01.', '내용': '약사님이 매우 친절하십니다👍🏻👍🏻', '좋아요': '0'}, {'작성자': '슈', '별점': '5.0', '날짜': '2023.05.22.', '내용': '일욜 방문했는데 손님 많은 와중에도 친절히 잘 설명해주셧고 아픈마음에 다소 위로를 받았습니다.', '좋아요': '0'}, {'작성자': '송주현', '별점': '5.0', '날짜': '2022.09.24.', '내용': '약사님.. 숙취에 죽어가던 저를 살려주신 분.. 주시는 숙취해소제 짱이었어요..', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 19:00', '일': '09:00 ~ 19:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '휴무일': '연중무휴'}"
우리약국,4.0,강서구 강서로18다길 34,,"[{'작성자': 'jjc', '별점': '5.0', '날짜': '2022.08.04.', '내용': '친절하세요', '좋아요': '0'}, {'작성자': '우주를줄게', '별점': '5.0', '날짜': '2021.03.19.', '내용': '약사님 넘 친절하셔서 좋아요!', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
강서메디칼약국,4.5,강서구 까치산로4길 3 1층,,"[{'작성자': '꾸웅', '별점': '4.0', '날짜': '2023.08.13.', '내용': '이동네에서 주말에도 늦게까지 여는 구원의 약국', '좋아요': '1'}, {'작성자': 'Superstar', '별점': '5.0', '날짜': '2020.12.17.', '내용': '좋아요~', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
감초약국,5.0,강서구 강서로 38,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MTJfMjUz%2FMDAxNzEyOTA1OTMyMjYy.jSgMapiORrRzseHj4LDVioom_355ZghsKrjiu3HK2XYg.jUOeemdb6tFTCRtO4AkEVgCPsxIBCalRHYx9bw5VUlIg.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EA%25B0%2590%25EC%25B4%2588%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': '피자', '별점': '5.0', '날짜': '2025.03.21.', '내용': '약사님 정말 친절하시고 똑똑하심', '좋아요': '0'}, {'작성자': '내모든것  아끼지 않으리라', '별점': '5.0', '날짜': '2023.05.25.', '내용': '감초약국  가끔가면  친절하게  대해주시고  약사님도 넘좋으셔서  좋아여 \n그런데 요 몇칠전에 가... 더보기', '좋아요': '0'}, {'작성자': 'Analeigh', '별점': '5.0', '날짜': '2022.07.07.', '내용': '약사님* 갈때마다 아파서 가는데 , 몸은 아파도 , 약사님들 덕에 마음은 항상 따뜻해져서 나오게 됩니다 * 감초약국 너무 좋아요 *', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 20:00', '월': '10:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
일심당약국,3.0,강서구 강서로7길 90 1층,,"[{'작성자': '까만오리', '별점': '5.0', '날짜': '2020.12.28.', '내용': '우리 동네를 밝혀주는 등대같은 약국~ 친절한 약사님과 다양한 상비약이 두루 구비된 최고의 약국^^', '좋아요': '0'}, {'작성자': '양누리', '별점': '1.0', '날짜': '2020.09.04.', '내용': '임산부 복용이 가능한 특정 약을 찾으러 감. \n해당 약이 약국에 없었는데 전성분에 대한 확인도 없이 일부 주성분만 보고 같은 약이라며 임산부 복용이 불가한 약을... 더보기', '좋아요': '0'}]","{'목': '09:30 ~ 21:00', '금': '09:30 ~ 21:00', '토': '09:30 ~ 21:00', '월': '09:30 ~ 21:00', '화': '09:30 ~ 21:00', '수': '09:30 ~ 21:00'}"
