name,score,address,img_url,reviews,open_hour
사당365약국,4.3,관악구 과천대로 955 삼오빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Feaf81d74497a4ddc3392f068c35e6b9d80c77ffa%3Foriginal,"[{'작성자': '애옹', '별점': '5.0', '날짜': '2025.03.13.', '내용': '약사님 엄청 친절하시고 가격도 저렴한 편인 것 같아요!', '좋아요': '0'}, {'작성자': '원용만', '별점': '5.0', '날짜': '2024.12.24.', '내용': '완존 대박 친절ᆢ\n약도  싸요ᆢ', '좋아요': '1'}, {'작성자': '평가왕', '별점': '5.0', '날짜': '2024.11.25.', '내용': '앞에 로또판매점 터지다', '좋아요': '1'}]",{}
참약사장수약국,2.3,관악구 남부순환로 2062,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd36220bc45eb6705eab582763f61c02b02d23880%3Foriginal,"[{'작성자': '이민엽', '별점': '1.0', '날짜': '2024.06.16.', '내용': '3천원짜리 크림 사러 왔는데 3만원 결제 할뻔 했네요 그러지마세요', '좋아요': '2'}, {'작성자': '윙윙꿀벌', '별점': '5.0', '날짜': '2024.03.20.', '내용': '밑에 후기보고 걱정했는데 저는 건강기능식품 끼워팔기도 없었고 딱 필요한것만 주셨어요! 질문도 많이했는데 친절하고 자세하게 답변해주셔서 좋았습니다!', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '1.0', '날짜': '2024.02.22.', '내용': '감기약은 삼천원인데 만원짜리 건강기능식품을 끼워파시네요 되게 친절은하신데 그냥 약만 주세요..', '좋아요': '1'}]",{}
명진팜약국,5.0,관악구 남부순환로 2064 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjExMTVfMTM4%2FMDAxNjY4NDg2NDE4ODk5._Iu6uAiX7aYkG-_4-Pi5gkXtr1UpvjgumdnOQ_2RKCog.Tc4KyvmmpYtdYEWha9w_Tsk-4DEv_gD0Y0AVLJQdTyAg.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EB%25AA%2585%25EC%25A7%2584%25ED%258C%259C%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '리리리리', '별점': '5.0', '날짜': '2024.10.15.', '내용': '노약사님이 너무 친절하세요', '좋아요': '0'}, {'작성자': 'jijia', '별점': '5.0', '날짜': '2024.08.15.', '내용': '생긴지얼마안되서 깨끗하고 친절하세요', '좋아요': '1'}, {'작성자': 'ㅇㅅㅇ', '별점': '5.0', '날짜': '2024.01.11.', '내용': '감기로 조퇴 중에 들렀는데  친절하게 상담해주십니다', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
사당미소약국,5.0,관악구 과천대로 939 르메이에르강남타운2 3층 309호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F7A3ADA2DEDA24A498AAE00AA772A2BC7,"[{'작성자': '성근모 Brian Sung', '별점': '5.0', '날짜': '2024.11.25.', '내용': '연중 무휴.. 사소한 파스 같은 것도 증상과 부위에 적절한 것 추천해주시니 좋네요 ^^', '좋아요': '0'}, {'작성자': '다현 Dahyun', '별점': '5.0', '날짜': '2024.08.01.', '내용': '주변 약국 중에 평일 저녁 8시까지 하는 약국이 여기더라구요ㅠㅠ병원 처방전 들고 헤매다가 여기로 왔는데 약사님이 친절하시고 약 설명도 잘해주셨어요!\n다만 방문하는 분들이 많... 더보기', '좋아요': '0'}, {'작성자': '마음에 드는 곳만 리뷰 남김', '별점': '5.0', '날짜': '2024.06.15.', '내용': '설명 자세하고 친절하게 해주세요 가면 기분 좋은 곳!', '좋아요': '0'}]","{'토': '08:00 ~ 18:00', '일': '08:00 ~ 16:00', '월': '08:00 ~ 20:00', '화': '08:00 ~ 19:00', '수': '08:00 ~ 19:00', '목': '08:00 ~ 20:00', '금': '08:00 ~ 19:00'}"
글로리약국,0.0,관악구 과천대로 939,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:30 ~ 21:30', '월': '09:30 ~ 21:30', '화': '09:30 ~ 21:30', '수': '09:30 ~ 21:30', '목': '09:30 ~ 21:30', '금': '09:30 ~ 21:30'}"
사랑약국,,관악구 남부순환로 2082-33 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjExMDVfMzIg%2FMDAxNjY3NjAzMjcwNTk1.L40BDAwVVVWAP3h3hZU2ncapfXYfWkwx-FryMtLIdvAg.IglpZzbuIdzlx78O4kJoXxeMMEAV_LOnD_qOeCwjWPQg.JPEG.jijh1230%2F20221104%25EF%25BC%25BF180148.jpg%3Ftype%3Dw580,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
마음약국,5.0,관악구 남현길 7 한일프라자 1층 107호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB6315B1CF7A14D8FAFDCFF6FBCACD6ED,"[{'작성자': 'uuuuuu', '별점': '5.0', '날짜': '2024.11.18.', '내용': '약사님이 친절하시고 상담도 잘해주세요 ^^', '좋아요': '0'}, {'작성자': '토이토이토이', '별점': '5.0', '날짜': '2024.04.12.', '내용': '아이들때문에 약국 자주 가는데 친절해요. \n다만 문을 조금 일찍 닫는거 같아요\n(병원 진료시간 끝나면 거의 닫는듯..)', '좋아요': '0'}, {'작성자': '⭐️', '별점': '5.0', '날짜': '2021.10.08.', '내용': '여자 약사분 친절하세요', '좋아요': '0'}]","{'토': '09:00 ~ 14:30', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '휴무일': '공휴일'}"
아이봄약국,5.0,관악구 남부순환로 2056 태림빌딩 지하1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMDhfMjEx%2FMDAxNzMxMDUxNDMyMzEz.Z3-RdX5Tizfcyze269nDOTQZkX71GDoEYqSN8gXGC4og.hOFuhK_OFhh4QcvVgYBSKsYn0xjFgD-NeVdM6EOyS10g.JPEG%2FKakaoTalk_20241108_163406685_01.jpg%3Ftype%3Dw386,"[{'작성자': 'jiy', '별점': '5.0', '날짜': '2024.10.22.', '내용': '가끔 보면 말도안되게 가격 올려서 파는 약국들이 있는데, 여기는 가격 합리적이에요 ! \n끼... 더보기', '좋아요': '0'}, {'작성자': ':)', '별점': '5.0', '날짜': '2023.12.28.', '내용': '친절하신 약사님 덕분에 마음이 따뜻해졌어요', '좋아요': '0'}, {'작성자': '밥', '별점': '5.0', '날짜': '2023.06.19.', '내용': '약사분이 젊으시고 정보를 최대한 알려드리고 싶어하는게 보여서 좋았음. 추가로 어떤걸 하면 병의 호전에 좋은지 어떤약 찾아보면 좋은지 이런걸 알려주심.', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 19:00'}"
사당솔약국,5.0,관악구 남부순환로 2054,,"[{'작성자': 'ㅇ', '별점': '5.0', '날짜': '2024.11.12.', '내용': '원래 있던 약국 자리에 새로 생겼는데 약사님 친절하시고 설명도 잘 해주십니다', '좋아요': '0'}]","{'토': '08:30 ~ 14:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00'}"
사당건강약국,1.0,동작구 남부순환로 지하 2089 사당역 지하1층 226-113호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
