name,score,address,img_url,reviews,open_hour
애프터팜 윤약국,4.9,관악구 관악로 174 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F3d276422c66ff68202ae8083384a4ef279ad6b87%3Foriginal,"[{'작성자': '왕큰쥐', '별점': '5.0', '날짜': '2025.04.03.', '내용': '서울대입구역쪽 약국은 여기가 최고예요!\n여쭤보기도 전에 약사님이 먼저 설명해주셔요👍🏻\n연고 하나조차도 부작용 사... 더보기', '좋아요': '0'}, {'작성자': '다니', '별점': '5.0', '날짜': '2025.03.31.', '내용': '난 기분 나쁘게하는 불친절한 장소만 후기남기는 편인데 여긴친절해서 갑자기 생각나서 남기게됨.. \n약사분 이렇게친절한 분 본적이없음,,... 더보기', '좋아요': '0'}, {'작성자': '서나', '별점': '5.0', '날짜': '2025.03.26.', '내용': '아기 약사러 방문했는데 태어나 가본 약국증 제일 친절하시네요 . 아침 일찍 눈뜨자마자 갔는데 덕분에 하루 시작이 너무 좋습니다. 감사합니다.', '좋아요': '0'}]","{'토': '09:00 ~ 22:40', '일': '10:00 ~ 19:00', '월': '08:00 ~ 22:40', '화': '08:00 ~ 22:40', '수': '08:00 ~ 22:40', '목': '08:00 ~ 22:40', '금': '08:00 ~ 22:40'}"
신성심약국,3.5,관악구 관악로 205 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA1MzFfMTc2%2FMDAxNzE3MTQxNDY2NDYw.Td-uf8QmMf2Wh7p-A8FoeGERxbBO-kX2ir8yJlLluJMg.OHJSvHJpLv8VWSyqjj1_Q_P5GXxSt-EtiYOm2KEeTw0g.PNG%2FArtboard_3.png%3Ftype%3Dw773,"[{'작성자': 'S', '별점': '5.0', '날짜': '2025.01.08.', '내용': '다른데보다 가격이 저렴해서 나중에 또 오려고 리뷰 남겨요. 친절도 덤', '좋아요': '0'}, {'작성자': '코코스야자', '별점': '5.0', '날짜': '2024.11.07.', '내용': '다른곳보다 약 가격이 싸요 안약, 상비약 필요할때 항상 방문합니다', '좋아요': '0'}, {'작성자': '프로맛집러', '별점': '5.0', '날짜': '2024.10.29.', '내용': '여기만가영 넘 친절하심', '좋아요': '0'}]","{'토': '09:00 ~ 18:30', '일': '09:00 ~ 18:30', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
인수당약국,0.0,관악구 인헌17길 3,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 21:30', '일': '휴무일', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30', '금': '09:00 ~ 21:30', '휴무일': '매주 일요일'}"
대림약국,4.6,관악구 낙성대로 22,,"[{'작성자': '7751', '별점': '1.0', '날짜': '2025.01.26.', '내용': '늦게까지 여는거 말곤 딱히 좋다라고 느껴지지 않았던 상황이였습니다 ㅜ\n필요한게있어서 연락드렸는데 “그게뭔지 모르겠네” “뭐라는지 모르겠네ㅋㅋ” “그런건 없어요” “그거 주사기 사면 있는... 더보기', '좋아요': '0'}, {'작성자': '상민', '별점': '5.0', '날짜': '2025.01.03.', '내용': '서울대생인데 학부부터 박사까지 10년째 여기만 갑니다\n약사 선생님이 정말 친절하시고, 환자를 최우선으로 생각하십니다\n밤늦게, 휴일에도 열어주심에 늘 감사한 곳입니다', '좋아요': '0'}, {'작성자': '맛집사냥꾼', '별점': '5.0', '날짜': '2024.12.08.', '내용': '덕분에 몇번 살아났습니다…', '좋아요': '0'}]",{}
광주약국,1.7,관악구 관악로 268,,"[{'작성자': '핫핫', '별점': '1.0', '날짜': '2024.05.09.', '내용': '장염 환자에게 비염 약을 파는 약국', '좋아요': '0'}, {'작성자': '평가왕', '별점': '3.0', '날짜': '2024.02.08.', '내용': '아따 평가가 왜 이 모양이여', '좋아요': '0'}, {'작성자': 'art62최윤희', '별점': '2.0', '날짜': '2023.09.03.', '내용': '오래된곳이지만 별로입니다.', '좋아요': '0'}]",{}
휴베이스다정약국,3.4,관악구 남부순환로 1944 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F26528F3D55FB738507,"[{'작성자': '오더리움', '별점': '1.0', '날짜': '2024.07.24.', '내용': '건강기능식품 끼워팔기', '좋아요': '0'}, {'작성자': 'summer', '별점': '5.0', '날짜': '2024.04.04.', '내용': '상비약 사기에는 종류도 많고 다른데보다 저렴해서 여기 감', '좋아요': '0'}, {'작성자': '김민동', '별점': '1.0', '날짜': '2024.01.28.', '내용': '장염걸렸는데 장염 관련 약은 하나도 없네요ㅋㅋㅋ 술 입에 댄적도 없는데 밀크시슬은 왜있는건지.. 환불예정', '좋아요': '0'}]","{'토': '09:00 ~ 22:00', '일': '10:00 ~ 22:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00'}"
동보당약국,4.3,관악구 관악로 236 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F889811a0672cbf03184a0018501ce4663310e3cf%3Foriginal,"[{'작성자': '구굴', '별점': '5.0', '날짜': '2024.02.13.', '내용': '여약사님 친절하심 강아지동반 가능 좋네요', '좋아요': '1'}, {'작성자': '서울입주민', '별점': '5.0', '날짜': '2024.02.13.', '내용': '여기서 영양제를 꾸준히 구매하고 있습니다. 원하는 종류의 영양제를 알기 쉽게 설명해주시고, 엄청 친절하세요! 적극 추천합니다 :)', '좋아요': '0'}, {'작성자': '당근케이크', '별점': '5.0', '날짜': '2024.02.12.', '내용': '갈 때마다 늘 친절하시네요. 설명도 잘 해주십니다. 영양제 사러도 종종 가는데 가격도 합리적이에요', '좋아요': '0'}]","{'토': '08:30 ~ 20:30', '일': '휴무일', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 20:30', '금': '08:30 ~ 20:30', '휴무일': '추석당일, 설당일, 1월1일'}"
바른약국,5.0,관악구 남부순환로 1714-1 1층,,"[{'작성자': '눈누난나', '별점': '5.0', '날짜': '2024.09.27.', '내용': '늘 친절하세요… 없는 약도 새로 주문해십니다ㅠ 약국 갈 일 있으면 여기로 가요', '좋아요': '0'}, {'작성자': '이미미미밈', '별점': '5.0', '날짜': '2024.08.08.', '내용': '중년 여성 약사님 넘넘 친절하세요!! 가려움증 때문에 방문했는데 약 주시면서 돼지고기, 닭고기 피하고, 물 많이 마시라는 방법도 자세히 알려주셨어요. 대용량  돼... 더보기', '좋아요': '0'}, {'작성자': '김준성', '별점': '5.0', '날짜': '2024.03.21.', '내용': '너무너무 친절하세요..', '좋아요': '0'}]","{'토': '09:30 ~ 22:00', '월': '09:30 ~ 22:00', '화': '09:30 ~ 22:00', '수': '09:30 ~ 22:00', '목': '09:30 ~ 22:00', '금': '09:30 ~ 22:00'}"
대동약국,2.5,관악구 관악로 185 1층,,"[{'작성자': '예진', '별점': '2.0', '날짜': '2024.01.12.', '내용': '질세정제 달랬더니 청결제 줌..', '좋아요': '0'}, {'작성자': 'idkdw', '별점': '3.0', '날짜': '2022.08.20.', '내용': '처방약 받으러는 가면 안되는 곳\n다 다른 병명으로 세 번 찾아갔었는데\n세 번 다 ... 더보기', '좋아요': '0'}]","{'토': '10:00 ~ 22:00', '월': '10:00 ~ 22:00', '화': '10:00 ~ 22:00', '수': '10:00 ~ 22:00', '목': '10:00 ~ 22:00', '금': '10:00 ~ 22:00'}"
늘푸른온누리약국,4.4,관악구 남부순환로 1925 1층,,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.02.08.', '내용': '언제나 친절하시고 전문적이십니다!!', '좋아요': '0'}, {'작성자': '김밥', '별점': '5.0', '날짜': '2020.12.14.', '내용': '친절하세요', '좋아요': '0'}, {'작성자': 'N', '별점': '5.0', '날짜': '2020.11.13.', '내용': '약 필요한 걸로 설명도 잘해주시고 약사님 진짜 친절하세요ㅠㅠ!!', '좋아요': '0'}]","{'토': '10:00 ~ 17:00', '일': '휴무일', '월': '10:00 ~ 21:00', '화': '10:00 ~ 21:00', '수': '10:00 ~ 21:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 21:00', '휴무일': '매주 일요일'}"
