name,score,address,img_url,reviews,open_hour
용상약국,3.0,광진구 아차산로 626,,"[{'작성자': '이소원', '별점': '5.0', '날짜': '2024.10.30.', '내용': '마감 직전에 급하게 갔는데 친절하세용', '좋아요': '0'}, {'작성자': '찬원사랑', '별점': '5.0', '날짜': '2020.05.05.', '내용': '친절한 오래된 약국', '좋아요': '0'}, {'작성자': '할말은한다', '별점': '1.0', '날짜': '2020.01.20.', '내용': '요새 아직도 이런 약국이?\n불법으로 약을 지어주질 않나 이름도 없는 제약사의 약들만 한가득...\n어찌나 불친절 한지 갔다가 기분만 잡치고 옴', '좋아요': '1'}]","{'일': '12:00 ~ 20:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 20:00'}"
애플약국,3.8,광진구 아차산로 506 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F65e99fe641c103a0adbffcf81ff879b9378f4db6%3Foriginal,"[{'작성자': '고엉이', '별점': '1.0', '날짜': '2024.04.25.', '내용': '약이 전반적으로 더 비싸요.', '좋아요': '0'}, {'작성자': 'TG', '별점': '4.0', '날짜': '2022.11.24.', '내용': '없는 약 없이 다 구매할 수 있고, \n깔끔하고 체계적으로 의약용품들이 구비되어 있어 이용하기 좋습니다. \n약사님은 설명 잘 해 주시... 더보기', '좋아요': '0'}, {'작성자': 'wdld', '별점': '5.0', '날짜': '2022.02.21.', '내용': '코로나로 감기약 빠르게 무료 배송 받았어요. 한시간 안걸렸고 매우 친절하세요.', '좋아요': '0'}]","{'월': '08:20 ~ 19:30', '화': '08:20 ~ 19:30', '수': '08:20 ~ 19:30', '목': '08:20 ~ 19:30', '금': '08:20 ~ 19:30', '토': '08:20 ~ 14:20'}"
청구약국,1.9,광진구 아차산로 502 진넥스오딧세이빌딩 106~107호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4ebc760a26d8724c97e2f32b588e9ae90fd76476%3Foriginal,"[{'작성자': '나나', '별점': '1.0', '날짜': '2024.03.08.', '내용': '사람이 왔는데 거들떠도 안보냐.. 개무시', '좋아요': '0'}, {'작성자': '이정훈', '별점': '3.0', '날짜': '2023.05.09.', '내용': '특별할 것 없는 동네 의원많은 약국..... \n비오는 날 토요일 오전.... 약국에도 손님이 많네요....', '좋아요': '0'}, {'작성자': '이종은', '별점': '1.0', '날짜': '2020.12.04.', '내용': '불친절에 끝판왕\n평가하려고 별한개 의미없어요\n귀안들리는 약사에 딸로보이는 싸가지없는 입력원... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '토': '08:30 ~ 15:30', '휴무일': '매주 일요일'}"
명약국,3.5,광진구 아차산로 532 진넥스빌딩 101호,,"[{'작성자': '한식구 샘터어린이집', '별점': '5.0', '날짜': '2022.11.14.', '내용': '동네라 가끔 가는 약국입니다.  \n세심한 배려가 느껴지는 믿음이 가는 약국입니다.\n친절까지는 모르겠지만, 불친절한적은 ... 더보기', '좋아요': '1'}, {'작성자': 'Van', '별점': '2.0', '날짜': '2019.09.25.', '내용': '약사도 직원도 불친절해요.', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00'}"
노르웨이약국,0.0,광진구 아차산로 552 광장극동아파트 상가 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:05 ~ 19:30', '화': '09:05 ~ 19:30', '수': '09:05 ~ 19:30', '목': '09:05 ~ 19:30', '금': '09:05 ~ 19:30', '토': '09:00 ~ 15:00'}"
스마일약국,3.7,광진구 아차산로 546 삼성아파트상가 104호,,"[{'작성자': 'S', '별점': '1.0', '날짜': '2023.10.31.', '내용': '불친절 손님에게 소리지르는 곳 가지마세요', '좋아요': '0'}, {'작성자': '박주현', '별점': '5.0', '날짜': '2022.11.24.', '내용': '친절,섬세한 복용지도에 감동했어요~~^^', '좋아요': '0'}, {'작성자': '가지나뭇', '별점': '5.0', '날짜': '2022.11.12.', '내용': '엄청 친절하시고 따뜻하세요 :-)', '좋아요': '0'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00'}"
광진온누리약국,5.0,"광진구 아차산로69길 8 103,104호",,"[{'작성자': '민킴2', '별점': '5.0', '날짜': '2020.02.13.', '내용': '약사선생님, 직원분들 전부 친절하시고 원하는 약 잘 찾아서 주십니다', '좋아요': '1'}]",{}
엔피팜,0.0,광진구 아차산로78길 75,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
워커힐약국,0.0,광진구 워커힐로 177 워커힐호텔 컨벤션동 지하1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '10:00 ~ 21:00', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '휴무일', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 21:00', '휴무일': '매주 수요일'}"
하늘약국,5.0,광진구 광나루로 604 진넥스 베르디엠 1층 2호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MDVfMTcz%2FMDAxNzEyMzA0MjAyMzE3.wTeLxLCRb76h9r89tse4Cwip4RX3kBM0h2RkLCAh27Ug.ADlqHbIMJk2Nlz_jF9Gyl-P3qji1QBFZccDN9L-E2wsg.JPEG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25ED%2595%2598%25EB%258A%2598%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '구의데릭', '별점': '5.0', '날짜': '2023.10.29.', '내용': '아주 친절해요', '좋아요': '0'}]","{'월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '토': '08:30 ~ 14:00'}"
