name,score,address,img_url,reviews,open_hour
신백구약국,5.0,광진구 군자로 86-1,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA3MjJfOTYg%2FMDAxNjkwMDI1Mjk3MzIz.KUMZomDDmavjA3A8KhCXH6L8DvtwL6auq21PhPWkmiog.1MbZYWFbOkoefCwoEPrPrGQB7UZlTPNeaEpdFcZCpQ0g.JPEG.roem03%2FIMG_1130.jpg%3Ftype%3Dw466,"[{'작성자': '서쪽사람', '별점': '5.0', '날짜': '2023.05.10.', '내용': '약 찾을 일이 있어 전화했는데 다시 전화주셔서 그 약의 대체 약은 다른 약이니 가까운 약국가서 그 약 달라구 하라고 친절하게 다시 전화주셔서 너무 감사했어요\n정말 친절하신 것 같아요 감사합니다 !', '좋아요': '1'}, {'작성자': '분석가', '별점': '5.0', '날짜': '2023.02.24.', '내용': '엄청 친절하십니다!', '좋아요': '1'}, {'작성자': '.', '별점': '5.0', '날짜': '2022.09.09.', '내용': '부부가 운영하시는데 두 분 다 천사같아요..\n어쩜 이렇게 나긋나긋하고 친절하신가요ㅠㅠ', '좋아요': '1'}]",{'토': '10:00 ~ 15:30'}
당근온누리약국,5.0,광진구 능동로 261 1층 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb598696f2cb7a48f3acb2832ab0af5b569bf5551%3Foriginal,"[{'작성자': 'minni', '별점': '5.0', '날짜': '2025.01.17.', '내용': '너무 친절하시고 직접 나오셔서 설명 일일히 해주시구 제 지갑 너무 귀엽다고도 이야기해주셔서 넘 기분이 좋았어요…  ♡', '좋아요': '0'}, {'작성자': '바세린', '별점': '5.0', '날짜': '2025.01.03.', '내용': '참약사분이 계세요…! 약만 파는게 아니고 자세히 설명해주시고 정말 제가 낫길 바라는 마음이 느껴져요 ㅠ 몇번 갔었는데, 오늘도 따수움 얻고 왔습니다🫶', '좋아요': '0'}, {'작성자': '총총이', '별점': '5.0', '날짜': '2024.11.20.', '내용': '바쁘신데도 제 식습관이나 이것저것 물어보시고 하나라도 더 알려주시려고 했어요. 약파시려고 하시는 게 아니라 정말 설명만 해주셔서 감동…', '좋아요': '0'}]","{'휴무일': '추석당일, 설당일, 성탄절'}"
하하약국,5.0,광진구 능동로 295 ES빌딩 1층 101호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc2c55b3540aacfafab9b24ae9962924bc7a3a704%3Foriginal,"[{'작성자': '베갱', '별점': '5.0', '날짜': '2025.01.01.', '내용': '약사님들 다 친절하고 좋습니다', '좋아요': '0'}, {'작성자': 'Dong!k', '별점': '5.0', '날짜': '2024.03.22.', '내용': '약사님이 친절해서 좋았고\n약국도 깨끗해요', '좋아요': '0'}, {'작성자': '뇽뇽', '별점': '5.0', '날짜': '2024.03.14.', '내용': '새로 생겨서 깔끔하고 약사님도 너무 친절하세요.', '좋아요': '0'}]","{'월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '목': '08:00 ~ 20:00', '금': '08:00 ~ 20:00', '토': '08:00 ~ 17:30', '휴무일': '석가탄신일'}"
늘푸른약국,5.0,광진구 천호대로 538 스테이더디자이너스 군자 1층 103~104호,,"[{'작성자': '균균균', '별점': '5.0', '날짜': '2024.09.21.', '내용': '약사님이 약에 대해 정말 잘 알고 계셔서 믿음이 가요. 새로 오픈했는데 자주 가려구요~', '좋아요': '0'}, {'작성자': '건동', '별점': '5.0', '날짜': '2024.09.21.', '내용': '약사님이 엄청 친절하고 설명을 자세히 해주셔서 방문하고 기분이 좋아지는 약국입니다💊', '좋아요': '0'}, {'작성자': '송준', '별점': '5.0', '날짜': '2024.09.17.', '내용': '밤늦게 급히 연락드렸는데 정말 친절하게 응답해주셨습니다. 새로 오픈하셨다고 세심하게 챙겨주셨어요', '좋아요': '0'}]","{'일': '휴무일', '월': '08:00 ~ 19:00', '화': '08:00 ~ 19:00', '수': '08:00 ~ 19:00', '목': '08:00 ~ 19:00', '금': '08:00 ~ 19:00', '토': '08:00 ~ 14:00', '휴무일': '공휴일'}"
화양백화점약국,0.0,광진구 광나루로 351 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MzBfMjAx%2FMDAxNzIyMzA1MzA0ODk1.de-kKZTMFOJ-eUbGIAUD3bzfMzOdRZq6dWGOUgrv56cg.5IQrrWwCsf-MI4pAqXH2GMsi9KsNaIfwyrXZ4FLUKIYg.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25ED%2599%2594%25EC%2596%2591%25EB%25B0%25B1%25ED%2599%2594%25EC%25A0%2590%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '08:40 ~ 19:00', '화': '08:40 ~ 19:00', '수': '08:40 ~ 19:00', '목': '08:40 ~ 19:00', '금': '08:40 ~ 19:00', '토': '08:40 ~ 15:00', '휴무일': '공휴일'}"
진약국,3.0,광진구 동일로60길 14,,"[{'작성자': 'DEEN', '별점': '5.0', '날짜': '2021.11.19.', '내용': 'The pharmacist was very kind and helpful.', '좋아요': '0'}, {'작성자': '길치', '별점': '1.0', '날짜': '2019.08.26.', '내용': '다른데서 5천원 하는 후시딘 10g  7천원 합니다  최고에요', '좋아요': '0'}]","{'일': '휴무일', '월': '08:00 ~ 20:30', '화': '08:00 ~ 20:30', '수': '08:00 ~ 20:30', '목': '08:00 ~ 20:30', '금': '08:00 ~ 20:30', '토': '08:00 ~ 19:00', '휴무일': '매주 일요일'}"
화양종로약국,5.0,광진구 군자로 73 1층,,"[{'작성자': '베갱', '별점': '5.0', '날짜': '2025.01.01.', '내용': '친절하시고 좋아요', '좋아요': '0'}, {'작성자': '오광철', '별점': '5.0', '날짜': '2020.05.01.', '내용': '약사분 친절 하시네요', '좋아요': '0'}, {'작성자': '녹차', '별점': '5.0', '날짜': '2019.09.01.', '내용': '다른 약국보다 약에대해 친절하게 잘 설명해주세요~ 단골입니다~', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:30', '휴무일': '매주 일요일'}"
군자세계로약국,1.0,광진구 천호대로 548,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEyMjlfMzAg%2FMDAxNjcyMjgyMTczOTUy._dxvNE4Zd82FDRmB5XB5i-pdJWjONXlJkb3GcM5elHIg.XqsS_rfYhj7dKhdYuac1RMi7fiDigh74zvEKlFZjWK4g.JPEG.kkulkkulkkulkkul%2FSE-C1E7E648-17A5-4A89-9EFD-55C1E92D1FA6.jpg%3Ftype%3Dw966,"[{'작성자': 'inyeop', '별점': '1.0', '날짜': '2025.03.07.', '내용': '영업 종료 시간 전에 문 닫음', '좋아요': '0'}, {'작성자': '날아라슈퍼보드', '별점': '1.0', '날짜': '2024.02.05.', '내용': '병원건물 1층 세계로 약국 \n불친절 한거는 알고 있었지만 비도 오고\n혹시나? ... 더보기', '좋아요': '0'}, {'작성자': '열이룽', '별점': '1.0', '날짜': '2023.03.18.', '내용': '후 착하게 말해서 불친절이지\n그냥 모든 약사와 직원 4가지 없음\n자기들... 더보기', '좋아요': '0'}]","{'월': '08:00 ~ 18:30', '화': '08:00 ~ 18:30', '수': '08:00 ~ 18:30', '목': '08:00 ~ 18:30', '금': '08:00 ~ 18:30', '토': '08:00 ~ 18:30'}"
메디칼약국,5.0,광진구 광나루로 355,,"[{'작성자': '쩝쩝박사', '별점': '5.0', '날짜': '2022.02.19.', '내용': '약사님 넘 친절하세요!', '좋아요': '0'}, {'작성자': '블랑', '별점': '5.0', '날짜': '2019.02.26.', '내용': '여자 약사님 친절하세요!', '좋아요': '0'}]","{'월': '09:00 ~ 18:40', '화': '09:00 ~ 18:40', '수': '09:00 ~ 18:40', '목': '09:00 ~ 18:40', '금': '09:00 ~ 18:40', '토': '09:00 ~ 16:00'}"
세종약국,2.7,광진구 능동로 209 세종대학교 대양 AI센터 1층,,"[{'작성자': '씨니', '별점': '2.0', '날짜': '2025.01.31.', '내용': '자주 가는데 가끔 무례하게 굴 때가 있어요.', '좋아요': '0'}, {'작성자': '성북주민센터', '별점': '1.0', '날짜': '2023.10.12.', '내용': '와 어린약사 싸가지가없네', '좋아요': '0'}, {'작성자': 'Jihye☀️', '별점': '5.0', '날짜': '2020.01.15.', '내용': '약국도 깔끔하고 선생님도 친절하시고 좋아요:)\n약도 하나하나 잘 설명해주시고 약도 딱 필요한 것만 권해서 주셔서 좋아요!', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
