name,score,address,img_url,reviews,open_hour
무지개약국,3.8,"광진구 뚝섬로 498-1 A,B동 1층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMThfMjYg%2FMDAxNzM5ODM2NzQ3NzQ1.jCmixJzA7vBUsQHxIastCcb8HJMQzvvQ4awHmW5I2lkg.eYY8Q__ys_FR0voizqNDWwUsmFBaTlCbku7aOFfIrLcg.JPEG%2F900%25EF%25BC%25BF20250216%25EF%25BC%25BF163416.jpg%3Ftype%3Dw966,"[{'작성자': '따망', '별점': '5.0', '날짜': '2025.01.01.', '내용': '항상 친절하세요!', '좋아요': '0'}, {'작성자': '호야', '별점': '5.0', '날짜': '2023.05.30.', '내용': '친절하신 편입니다~~', '좋아요': '0'}, {'작성자': '맑게밝게', '별점': '2.0', '날짜': '2023.03.09.', '내용': '반말하지마세요.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
365자양미소약국,3.0,광진구 뚝섬로 606 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6FC0D28BDBA04C7FB2BDE6E47833CE92,"[{'작성자': '리뷰어', '별점': '5.0', '날짜': '2024.04.18.', '내용': '4,5번 갔는데 갈때마다 남자약사님 여자약사님 친절하셨습니다.', '좋아요': '0'}, {'작성자': '고대길', '별점': '1.0', '날짜': '2024.03.24.', '내용': '남자약사 지 기분에 따라 친절했다가 싸가지없게 했다가 장사를 지멋대로 기분대로 하는데에요 별로별로 비추천', '좋아요': '1'}, {'작성자': 'kk', '별점': '1.0', '날짜': '2024.03.01.', '내용': '남약사 불친절해요', '좋아요': '1'}]",{'휴무일': '연중무휴'}
제일약국,1.0,광진구 자양로15길 26 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F83577080D22E4CBFAEE11D6E9B8AEDD4,"[{'작성자': '🌕', '별점': '1.0', '날짜': '2024.04.25.', '내용': '새로 열린곳이라 가봤으나\n약이 다른약국대비 좀 비쌈', '좋아요': '0'}]",{}
태평양약국,3.8,광진구 자양로 48 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fad99c24638c0c9d81ec1aaa6cc821f969e9a64d2%3Foriginal,"[{'작성자': '@A@', '별점': '5.0', '날짜': '2025.02.26.', '내용': '친절하고 세심한 약국입니다 추천합니다!', '좋아요': '0'}, {'작성자': '당기리당당', '별점': '5.0', '날짜': '2022.02.20.', '내용': '친절하세요! 약도 다른곳보다 저렴하고요.  굳이 여기까지걸어서 사곤합니다', '좋아요': '0'}, {'작성자': '도둑후레쉬', '별점': '5.0', '날짜': '2021.08.04.', '내용': '약 저렴하고 남자약사님? 친절하세요! \n영양제 성지로 유명하길래 강남에서 여기까지 왔는데 넘 잘한것 같아요~ 영양제 다 먹으면 또 방문할거에요!', '좋아요': '0'}]","{'월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 16:00'}"
세영약국,3.7,광진구 뚝섬로27길 65,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MjZfMjMy%2FMDAxNzI3MzExNjk4MTU5.Xfg5Whsieuztfc6eEVPPozFBm_aLXUi-0zjt1ZD84wEg.fO_3k7HuWm49PVAwi3nyzH3MvvO6hkQbRMhdWdlf3wUg.PNG%2F%25EB%25A7%25A5%25EC%258A%25A4_%25EC%25BD%2598%25EB%2593%259C%25EB%25A1%259C%25EC%259D%25B4%25ED%258B%25B4.png%3Ftype%3Dw773,"[{'작성자': '냠냠', '별점': '5.0', '날짜': '2024.09.08.', '내용': '주말 밤 늦게 찾아갔는데\n처방전에 없는 약도 하나하나 찾아서 대체해서 주셨어요 ㅜㅜ 정말 급했는데\n감사합니다', '좋아요': '0'}]","{'일': '09:00 ~ 22:00', '월': '08:15 ~ 22:00', '화': '08:15 ~ 22:00', '수': '08:15 ~ 22:00', '목': '08:15 ~ 22:00', '금': '08:15 ~ 22:00', '토': '08:15 ~ 22:00'}"
누리온누리약국,5.0,광진구 자양로15길 18 혜성빌딩 1층,,"[{'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2021.03.13.', '내용': '선생님  친절하시고위트도 있으세요\n 어르신께 친철하셔서 보기 좋으세요', '좋아요': '0'}, {'작성자': '박철민', '별점': '5.0', '날짜': '2018.01.08.', '내용': '사장님 친절하고 재미 있고 눈이 작아요', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00'}"
자양종로약국,5.0,광진구 뚝섬로23길 29 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F97B8CAA592AB48F2BC87FA6CDF11EC69,"[{'작성자': '장원영', '별점': '5.0', '날짜': '2024.04.28.', '내용': '급성 소화불량으로 체해서 약을 사러 갔는데\n이상한 한약 말고 정확한 성분 명시된 약을 주셔서 좋았습니다', '좋아요': '0'}, {'작성자': '남술', '별점': '5.0', '날짜': '2023.08.06.', '내용': '약국장님이 상담을 진지하게 해주시고 설명도 너무 잘해주십니다. 잘되셨으면 좋겠습니다!', '좋아요': '0'}, {'작성자': '이유현', '별점': '5.0', '날짜': '2023.07.08.', '내용': '약사님이 친절히 설명해주셔서 좋았어요~\n가격도 착하네요~', '좋아요': '0'}]","{'일': '10:00 ~ 19:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00'}"
더샵스타시티약국,4.5,광진구 아차산로 272 1층,,"[{'작성자': 'Where the light is', '별점': '5.0', '날짜': '2024.08.01.', '내용': '약사님 친절하시고\n가격도 좀 저렴한거 같아서\n\n멀리 있는 병원에서 처방 받... 더보기', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.01.21.', '내용': '여기 약사님 너무 친절하시고 이것저것 알려주셔서 너무 좋았어요 ㅠㅠ', '좋아요': '0'}, {'작성자': '욤얌냠', '별점': '5.0', '날짜': '2023.10.18.', '내용': '집 근처에서 제일 친절하시고 저렴해서 조금 걸어도 항상 여기와요', '좋아요': '0'}]",{}
치료의빛예은약국,4.2,광진구 동일로 74 1층 102호,,"[{'작성자': '.', '별점': '5.0', '날짜': '2022.12.03.', '내용': '젊은 남자 약사분 너무 친절하고 약설명도 꼼꼼히 해주세요', '좋아요': '0'}, {'작성자': '와룡', '별점': '1.0', '날짜': '2022.11.30.', '내용': '여자 약사(?)님은 끼워팔기의 달인?\n종합감기약을 달랬더니 이것저것을 자꾸 같이 먹으라고 권유함~\n정신없어서 마시는 약 하나더 구매... 더보기', '좋아요': '0'}, {'작성자': '온정', '별점': '5.0', '날짜': '2021.03.19.', '내용': '약사님 너무 친절하시고 꼼꼼하게 설명해주세요^^ 여기 약국만 가요!', '좋아요': '1'}]","{'일': '10:00 ~ 21:30', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '휴무일', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 21:30', '휴무일': '매주 수요일'}"
진주약국,0.0,광진구 자양로15길 9 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '08:30 ~ 21:30', '화': '08:30 ~ 21:30', '수': '08:30 ~ 21:30', '목': '08:30 ~ 21:30', '금': '08:30 ~ 21:30', '토': '09:00 ~ 16:00'}"
