name,score,address,img_url,reviews,open_hour
태리약국,5.0,광진구 능동로 313 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F8964ba7a18ba52cb12b67f008598a733acfacaad%3Foriginal,"[{'작성자': '등대', '별점': '5.0', '날짜': '2025.04.08.', '내용': '올때마다 넘 친절하시구 약이나 다른 판매제품 물어봐도 상세하게 답변주셔서 넘 좋습니다!!', '좋아요': '0'}, {'작성자': '솔직한 리뷰어', '별점': '5.0', '날짜': '2024.11.27.', '내용': '약사님 너무 친절하셔서 감덩..', '좋아요': '0'}, {'작성자': 'tofu', '별점': '5.0', '날짜': '2024.10.04.', '내용': '우연히 처음 방문했는데 친절하게 설명도 잘 해주시고 너무 착하세요 ㅠ 청심원 구매해서 시험 본다고 하니 응원도 해주셨어요...🥺 다음에 또 방문하겠습니다! 번창하세요~♡', '좋아요': '0'}]","{'일': '09:00 ~ 13:00', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 20:30', '금': '08:30 ~ 20:30', '토': '08:30 ~ 15:00', '휴무일': '공휴일'}"
성진약국,0.0,광진구 면목로 203,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:30 ~ 16:00'}"
광진프라자약국,5.0,광진구 면목로 113-1 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00'}"
중곡종로약국,4.7,광진구 용마산로 46,,"[{'작성자': '뿡', '별점': '4.0', '날짜': '2024.03.17.', '내용': '일요일 10시까지 기다렸는데 안열었어요', '좋아요': '0'}, {'작성자': '신현우', '별점': '5.0', '날짜': '2021.09.26.', '내용': '항상 일요일에 열어주셔서 좋은 약국', '좋아요': '1'}]","{'일': '08:30 ~ 22:00', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00', '금': '08:30 ~ 22:00'}"
우리들약국,5.0,광진구 영화사로 30 1층,,"[{'작성자': '잠', '별점': '5.0', '날짜': '2023.07.07.', '내용': '무난 친절~', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:40', '화': '09:00 ~ 20:40', '수': '09:00 ~ 20:40', '목': '09:00 ~ 20:40', '금': '09:00 ~ 20:40', '토': '09:00 ~ 17:00', '휴무일': '매주 일요일'}"
군자종로약국,1.0,광진구 천호대로 561 1층,,"[{'작성자': '배불러', '별점': '1.0', '날짜': '2024.12.22.', '내용': '진짜 불친절\n그리고 처방약도 약국마다 비싸게 받을수도 있나..?\n가지마세... 더보기', '좋아요': '0'}, {'작성자': 'one and only', '별점': '1.0', '날짜': '2024.12.07.', '내용': '짜증내고 불친절, 바퀴벌레도 봤어요 평점과 다른 후기도 역시..ㅋㅋ', '좋아요': '0'}, {'작성자': '슈웅', '별점': '1.0', '날짜': '2024.07.02.', '내용': '약사 아닌 사람이 조제함', '좋아요': '0'}]","{'월': '07:00 ~ 19:50', '화': '07:00 ~ 19:50', '수': '07:00 ~ 19:50', '목': '07:00 ~ 19:50', '금': '07:00 ~ 19:50', '토': '07:00 ~ 16:00'}"
새수정온누리약국,3.0,광진구 용마산로 5 1층 101호,,"[{'작성자': '장작구이', '별점': '5.0', '날짜': '2024.03.31.', '내용': '주인이 바뀌었는데 너어무 친절해요', '좋아요': '0'}, {'작성자': '장조림민석', '별점': '1.0', '날짜': '2023.07.13.', '내용': '약국 분들은 친절하신데, 잠깐 약사려고 앞에 주차 했더니 주차 관리인인지 누구인지 나와서, “빨리 차 좀 빼세요 ㅡㅡ” 이러면서 소리지르시네요. 약국에서 약 사서 나온거 뻔히 다 봐놓고서는.. 어이 없어서 대꾸도 안... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '토': '08:30 ~ 14:00', '휴무일': '매주 일요일'}"
프라자사랑약국,4.6,광진구 능동로 315 DM빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAzMDhfMjU0%2FMDAxNzA5ODcyNTc3ODE3.dhdv3o7UsvEj99nSQ5TfG0Em1eP2zmIlHmc9IzPx7i4g.hOGbStViUudwwFj88QbVKIXkxFO6b_E19rS51rkmUqEg.JPEG%2F%25ED%2594%2584%25EB%259D%25BC%25EC%259E%2590%25EC%2582%25AC%25EB%259E%2591%25EC%2595%25BD%25EA%25B5%25AD1.jpg%3Ftype%3Dw966,"[{'작성자': 'JWM', '별점': '5.0', '날짜': '2024.02.05.', '내용': '처음가봤는데 약사님 진짜친절하심 앞으로 자주 올듯 싶습니다!', '좋아요': '0'}, {'작성자': '뿅', '별점': '5.0', '날짜': '2023.12.16.', '내용': '약사님 친절하셔서 좋음 ㅎㅎ', '좋아요': '0'}, {'작성자': 'Y', '별점': '5.0', '날짜': '2022.11.10.', '내용': '항상 너무 친절하셔서 약국은 여기만 가요 ! 최고최고', '좋아요': '0'}]","{'월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 16:00'}"
아나파약국,2.7,광진구 면목로 168,,"[{'작성자': 'sky', '별점': '1.0', '날짜': '2023.07.21.', '내용': '다른 약국보다 약이 비싸고 친절함이 없어요.', '좋아요': '0'}, {'작성자': '진영（晋荣）', '별점': '5.0', '날짜': '2023.06.09.', '내용': '안아파요', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 17:00', '휴무일': '매주 일요일'}"
광제사약국,5.0,광진구 면목로 130 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F86035AC4BA7C40B29B07AA07093B6B7D,"[{'작성자': '쁘미', '별점': '5.0', '날짜': '2024.08.01.', '내용': '애견의약품도 팔아서 좋아요', '좋아요': '0'}, {'작성자': 'tt', '별점': '5.0', '날짜': '2024.04.22.', '내용': '젊으신 약사분들로 개편되고 \n더 친절해졌어요~~\n설명도 너무 잘해주시고요.\n왠만한 약은 다... 더보기', '좋아요': '0'}, {'작성자': '브리또', '별점': '5.0', '날짜': '2022.03.28.', '내용': '친절하십니다', '좋아요': '0'}]","{'일': '12:00 ~ 19:00', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00', '목': '08:30 ~ 21:00', '금': '08:30 ~ 21:00', '토': '08:30 ~ 19:00'}"
