name,score,address,img_url,reviews,open_hour
한마을약국,2.0,구로구 경인로 382 한마을아파트 상가 1층,,"[{'작성자': 'kota', '별점': '5.0', '날짜': '2025.01.26.', '내용': '일요일에 열어주는 것만 생각해도 너무 감사한 약국입니다.', '좋아요': '0'}, {'작성자': '유창수', '별점': '1.0', '날짜': '2024.03.08.', '내용': '내가 원하는 약이 없으면 없는거지\n그 약을 왜 찾는지 이해가 안 가네라는 식으로 지껄이는지 기분 나빠서 두 번 다시는 가고 싶지 않음', '좋아요': '0'}, {'작성자': '맛있는거 먹고싶당', '별점': '1.0', '날짜': '2022.11.21.', '내용': '추천한다며 5천원짜리 감기약이나 영양제 파는거에 두번 당하고 기분상해서 이제 안갑니다. \n다른분들 후기보니 나만 당한게 아니네요.', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '일': '10:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
365열린약국,2.3,구로구 남부순환로97길 3 KS프리미어빌딩 105호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4b7b94666cb324b64db15684827c20457548c2ee%3Foriginal,"[{'작성자': '냠', '별점': '5.0', '날짜': '2024.12.25.', '내용': '친절하세요~ 설명도 잘 해주시고 ^^', '좋아요': '0'}, {'작성자': '홍연숙', '별점': '1.0', '날짜': '2024.08.31.', '내용': '새로온 남자 약사분 너무 불친절함. 갈때마다 설명 뜩뜩 끊고 질문하면 바쁜 척', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '1.0', '날짜': '2024.07.07.', '내용': 'ㅋㅋㅋ이미 리뷰에 써있네 불친절. 아줌마약사 팔짱끼고 응대하는데 불만있음 일을 하지마시길..', '좋아요': '0'}]",{}
가람약국,5.0,구로구 경인로40길 12 GB빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC7819F74F5FA4EBE9C7FDE9058CFB600,"[{'작성자': '떡하나주면안잡아먹지', '별점': '5.0', '날짜': '2025.01.16.', '내용': '아니.. 약사님 너무 친절해요.. 저 이렇게 친절한 약사분 처음 봐요.. 설명만 들어도 벌써 다 나은거 같아요..! 친절하신데 젠틀하기까지 하시고 앞으로 무조건 여기로 오려구요..❤', '좋아요': '0'}, {'작성자': '윤용환', '별점': '5.0', '날짜': '2024.08.19.', '내용': '구로구에 몇 없는 친절한 약국', '좋아요': '0'}, {'작성자': '린나이', '별점': '5.0', '날짜': '2023.09.09.', '내용': '약사님이 멀리서 오는 환자를 보고 반겨주시는데 벌써 나음\n+친절하다는 후기 쓰러 왓는데 이미 개봉인들은 알고잇군', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '일': '11:00 ~ 15:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
구로프라자온누리약국,3.0,구로구 개봉로 30 로얄타워 1층,,"[{'작성자': '창빈', '별점': '1.0', '날짜': '2023.11.03.', '내용': '여자 약사분은 손님대하는 기본이 안되있는듯', '좋아요': '0'}]",{'휴무일': '매달 세번째 일요일'}
차기정약국,2.3,구로구 개봉로3길 76 1층,,"[{'작성자': '하찌', '별점': '1.0', '날짜': '2024.08.12.', '내용': '9시까지라고 써놓지를 말던가요…\n열고싶을 때 열고 닫고싶을 때 닫는 약국..', '좋아요': '0'}, {'작성자': '쫑', '별점': '5.0', '날짜': '2023.05.23.', '내용': '약사가 복약지도외에도 상태에따라서 병원을가라고 권유하는게 뭐가 잘못됀거냐? 돈만내면 약주면 약사가 왜있어 자판기로 팔지', '좋아요': '0'}, {'작성자': '평론가', '별점': '1.0', '날짜': '2023.03.09.', '내용': '약사가 ♪♪~♪ 의사인줄 아는 ♩♬♬♬♪. 약을 달라고 하니까 그냥 병원가라고 문전박대를 하네 인성이 못되먹은 ♬♪♩♩. 내가 무슨 마약을 달라고 했냐 이 개♪♩♬♪아? 조용히 약이나 팔고 숨죽이고 살아. 부탁할게 개씨♪♩♬♪아.', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
즐거운약국,4.0,구로구 경인로 320 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FBF53DA23C4FC4F94BE67C77115A6884A,"[{'작성자': '눈누난나', '별점': '5.0', '날짜': '2023.08.25.', '내용': '친절하시고 기존에 이 약국에서 타갔던 약 정보도 보시고 예전에 먹었던 건 어땠는지도 물어보시고 저는 좋았어요.', '좋아요': '0'}, {'작성자': '이종성', '별점': '5.0', '날짜': '2021.04.22.', '내용': '복약지도 잘해주심', '좋아요': '1'}, {'작성자': '쥐뿔', '별점': '5.0', '날짜': '2020.12.22.', '내용': '약사님께서 약만 처방해주시는 것이 아니라 환자가 정말 치료되기를 바라시고 진심으로 대해주셔요', '좋아요': '1'}]","{'목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 16:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00'}"
정광약국,2.3,구로구 남부순환로97길 11,,"[{'작성자': '수퍼보드', '별점': '1.0', '날짜': '2020.03.28.', '내용': '마스크가 아무리 급해도 여기선 사지 않습니다.\n한번만 가셔도 두번 다시 가고 싶지 않을거에요.', '좋아요': '0'}, {'작성자': '조민경', '별점': '1.0', '날짜': '2020.03.22.', '내용': '불친절해요\n아무리 급해도 불쾌해서 갈 것 같지 않네요', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
금약국,5.0,구로구 고척로 132 서정빌딩 1층 2호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAyMjhfMTk0%2FMDAxNzA5MDk4ODU3MDMy.cK4kyJIJ_1zzL2yEecObzMf0PBb3npuFrB4fgEhMElQg.K9iYPl2jr01g3RK9tAIc4U7XFrJDlX3mWw5UVt2ItM4g.JPEG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EA%25B8%2588%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '코리아나쓰', '별점': '5.0', '날짜': '2021.12.14.', '내용': '상담 감사해요. 박카스라도 사올껄ㅠㅅㅠ\n번창하세요!', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:30', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30'}"
은하약국,5.0,구로구 개봉로 68 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEwMTlfMTgy%2FMDAxNjY2MTUzOTE3Mjcy.cfmuAkrHHyG-xSHcTJT54Rogyw8wcLROSHVxgF8CYrEg.0HCYpTe5VthbIVHIF1ti7grVO3IAns4FWVdI6M1y30Qg.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%259D%2580%25ED%2595%2598%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '냠', '별점': '5.0', '날짜': '2024.12.25.', '내용': '친절하세요', '좋아요': '0'}, {'작성자': 'LY', '별점': '5.0', '날짜': '2023.12.17.', '내용': '친절합니다', '좋아요': '0'}, {'작성자': '로즈', '별점': '5.0', '날짜': '2023.12.04.', '내용': '약사님 너무 친절합니다.', '좋아요': '0'}]","{'목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '토': '08:30 ~ 14:00', '일': '13:00 ~ 17:00', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30'}"
건강온누리약국,3.0,구로구 고척로21나길 18 1층,,"[{'작성자': '오규하', '별점': '5.0', '날짜': '2024.09.27.', '내용': '약사님 너무친절하심 지역발전에 애쓰시는것 같아요 노인손님들 엄청많고차분하게잘설명해주세영', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '1.0', '날짜': '2020.03.19.', '내용': '마이너스 하고싶은곳.. 약국에 약파는 남자 진짜 불친절 ㅡㅡ \n다신 안가.. 최악', '좋아요': '1'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
성인약국,3.0,구로구 개봉로 9 1층,,"[{'작성자': '^^', '별점': '5.0', '날짜': '2024.06.18.', '내용': '제품도 다양하고 항상 가면 친절히 설명해주셔서 감사합니다', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2023.04.20.', '내용': '남자 약사님은 정말 친절한데 까운 안 입은 여자분 진짜 별루', '좋아요': '0'}, {'작성자': '구로구', '별점': '1.0', '날짜': '2020.05.03.', '내용': '별 한개는 무조건 줘야된다는게 아까움.. 집앞이라 몇 번 갔는데 여자 약사 너무 불친절해서 다신 가고싶지 않음.', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '일': '10:00 ~ 20:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
