name,score,address,img_url,reviews,open_hour
열린약국,4.0,구로구 고척로 142-1,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MDFfOSAg%2FMDAxNzIyNDgzNjg4MDYy.CpbZfWSxEYBA5WI9Tmh8rmwx1cnTdYXFa-FSrlkZbKQg.ERXCUDwvSEDeFJXE48QqsArTgYXtNiLTzn7awBIjHt8g.JPEG%2FSE-4c6e9904-0859-4583-8c50-74f838df7958.jpg%3Ftype%3Dw966,"[{'작성자': 'ㅎㅇ', '별점': '5.0', '날짜': '2024.08.06.', '내용': 'tmi가 될수도 있지만 약에대한 설명 주의 잘해줘서 좋아요', '좋아요': '0'}, {'작성자': 'llill', '별점': '1.0', '날짜': '2024.03.16.', '내용': '안경쓰신 남자분이 \n아이에게 생각없이 하시는 말이 넘 상처가 되네요. \n옆 약국으로 옮깁니다..', '좋아요': '0'}, {'작성자': '개봉동 주민', '별점': '5.0', '날짜': '2022.07.16.', '내용': '남자 약사님이 진짜 친절하시고 꼼꼼하세요~어디가 아픈지 체크하시고 약복용때도 자세히 설명해주세요~ 고척동에 이런약국이 있는지 몰랐는데...너무 좋아요..앞으로 여기 약국 이용하려구요^^ 약을 처방받았는데 마음이 치료된것 같아요!', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 19:00', '일': '11:00 ~ 18:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
유풍약국,2.3,구로구 경인로47길 54,,"[{'작성자': '냐옹', '별점': '1.0', '날짜': '2025.04.01.', '내용': '진짜 불친절의 끝판왕\n어플로 비대면 진료해서 약만 받으러갔는데 아주머니 약사님은 이런게 있는걸 모르시는건지 자꾸 이거 처방받아야되는건데? 안되는건데? 그게뭐에요? ... 더보기', '좋아요': '0'}, {'작성자': '베이지', '별점': '1.0', '날짜': '2024.07.25.', '내용': '다짜고짜 반말을..', '좋아요': '0'}, {'작성자': '촬리', '별점': '5.0', '날짜': '2020.09.14.', '내용': '여의사님이 세심하고 친절하게 상당한 시간동안 진료해 주시더라구요. 대기하는 환자도 꽤 있었는데.', '좋아요': '0'}]","{'목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 18:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30'}"
고척시장약국,,구로구 경인로47길 126 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBB604973449E455F9DCE2913E10BD8A9,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '휴무일': '매주 일요일'}"
수태평양약국,5.0,구로구 고척로 144 두발로빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEyMDdfMjky%2FMDAxNzAxOTE1MDQyNTQ3.hAVFaVCVlRZXbPmJLtRxiJEAhZt8GJR-7g-nOqnPZ4gg.HI0tRykcBqEeM7t4eKGlX_okBLtLkvmSCIKANNZZOM0g.PNG.hahahataejeon%2F001.png%3Ftype%3Dw773,"[{'작성자': '👊', '별점': '5.0', '날짜': '2021.09.12.', '내용': '주말에도 해서 좋아요', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '일': '09:00 ~ 19:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
고척스카이약국,2.5,구로구 경인로 387 스카이타워 1층,,"[{'작성자': '아파요', '별점': '1.0', '날짜': '2025.02.18.', '내용': '여기서 약 처방 받았는데, 주차 정산 안해줬어요', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2024.12.29.', '내용': '감기라고 몸살있다고 그러니까 다른 증상 없냐고 짜증나게 계속 물어보더니 약은 무슨 3개나 팔았으면서 몸살약은 1개도 없음', '좋아요': '1'}, {'작성자': '개봉동', '별점': '1.0', '날짜': '2024.02.19.', '내용': '저도 다른 약국 갈게요ㅋㅋㅋ약에 대해서 뭐 하나도 물어봐도 안 되고 조용히 입 닫고 받아가야 하나봅니다…ㅎㅎ', '좋아요': '1'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:20', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '공휴일'}"
은혜온누리약국,3.0,구로구 경인로43길 49 고척아이파크 MD동 2층 B204-1호,,"[{'작성자': 'ㅈ', '별점': '1.0', '날짜': '2025.03.29.', '내용': '토요일 18시 문 닫아있음', '좋아요': '0'}, {'작성자': 'gangjuniverse', '별점': '1.0', '날짜': '2025.03.10.', '내용': '일찍 닫고 들어가실거면 영업시간을 수정하시던지', '좋아요': '1'}]","{'목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 20:00', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '휴무일': '매주 일요일'}"
구로솔약국,3.0,구로구 경인로 433 1층,,"[{'작성자': 'Estelle.', '별점': '1.0', '날짜': '2025.02.13.', '내용': '다친 거 관련해서 여쭤보는데 응대하기도 귀찮아 할 뿐더러 진짜 불친절함. 가지 말걸 하고 후회하게 만드는 약국.', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.09.02.', '내용': '전화로 약 문의드렸는데 대답없이 그냥 끊어버리시는건 뭔가요 ㅡㅡ 불친절해서 다신 안가려구요', '좋아요': '0'}, {'작성자': '팩트폭행', '별점': '1.0', '날짜': '2019.09.04.', '내용': '진짜 사실을 다말하고싶은데\n제가누군지알까봐말을못하겠네요', '좋아요': '0'}]","{'목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '토': '08:30 ~ 15:00', '일': '휴무일', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '휴무일': '매주 일요일'}"
조이약국,5.0,구로구 고척로 230 한수빌딩 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMTBfMjY4%2FMDAxNzI4NTI2MTU3MzIz.iI2UkxKdfAfR_zsXR7K3_NUKPfQwGs4sl9RThM_oq78g.FBQR8qCNdy4kmtL35w0SxWYwvacgTXitUcUkEt1CzGkg.PNG%2F%25EA%25B3%25A0%25EC%25B2%2599%25EB%258F%2599_%25EB%25A7%2588%25EC%258B%259C%25EB%258A%2594%25EC%2588%2598%25EC%2595%25A1_%25EB%25A0%2588%25EC%258A%25A4%25ED%2581%2590%25EB%259D%25BC%25EC%259D%25B4%25ED%258A%25B8_%25ED%2594%258C%25EB%259F%25AC%25EC%258A%25A4%25EC%2595%25A1_%25ED%2586%25A0%25ED%2595%25A0%25EB%2595%258C_%25EC%2597%25B4%25EB%2582%25A0%25EB%2595%258C_%25EC%2584%25A4%25EC%2582%25AC%25ED%2595%25A0%25EB%2595%258C_%25EC%25A2%258B%25EC%259D%2580_%25EC%259D%258C%25EB%25A3%258C_%25ED%258C%258C%25EB%258A%2594_%25EC%2595%25BD%25EA%25B5%25AD_%25ED%258C%258C%25EB%258A%2594%25EA%25B3%25B3_%25EB%25B3%2591%25EC%259B%2590.png%3Ftype%3Dw966,"[{'작성자': 'ㅎㅇ', '별점': '5.0', '날짜': '2024.11.13.', '내용': '약사님 친절하시고요\n무엇보다\n증상별로 약이 구분되어있어서 골라서 ... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30'}"
장수약국,1.0,구로구 경인로47길 94,,"[{'작성자': '.', '별점': '1.0', '날짜': '2022.07.07.', '내용': '팔아 먹을려고만 하고 어떤 약에대한 효능이나 주의사항 같은건 알려주지 않으며 심지어 30일 짜리 복용약을 주면서 유통기한이 두달밖에 안남은 약을 줌 약국 많으니 다른데 가세요', '좋아요': '0'}]","{'목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 18:00', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '휴무일': '매주 일요일'}"
종로약국,5.0,구로구 고척로 142 1층,,"[{'작성자': 'ㅎㅇ', '별점': '5.0', '날짜': '2024.08.06.', '내용': '친절하고 싸요\n고개너머 동네인데\n동네약국 3곳 비싸서 여기오구... 더보기', '좋아요': '0'}, {'작성자': 'Sinsu', '별점': '5.0', '날짜': '2024.05.06.', '내용': '친절,  에크논  크림 / 노스카나 겔 적정가격으로  판매하시는  양심적인 곳!', '좋아요': '0'}, {'작성자': '동경', '별점': '5.0', '날짜': '2023.06.20.', '내용': '정말정말 친절하십니다♡♡♡ 다른 약국 많지만 여기만 가요', '좋아요': '0'}]","{'목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 20:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30'}"
수약국,5.0,구로구 중앙로15길 107 1층,,"[{'작성자': 'kallismar', '별점': '5.0', '날짜': '2021.04.17.', '내용': '약사님이 어엄청 친절하셔요 \n이제는 하늘나라 계신 아버지께서 \n생전에 이사갔는대도 일부... 더보기', '좋아요': '1'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 15:30', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30'}"
태평양약국,5.0,구로구 경서로 6 1층,,"[{'작성자': '흥 치', '별점': '5.0', '날짜': '2024.12.05.', '내용': '친절하시고 좋아요', '좋아요': '0'}]","{'목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '토': '08:30 ~ 14:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00'}"
온누리최정숙약국,1.0,구로구 중앙로1길 36 2001아울렛,,"[{'작성자': '임재현', '별점': '1.0', '날짜': '2021.07.29.', '내용': '여자분은 괜찮은데 남자분은 더럽게 불친절함\n다시는 가고 싶지 않은곳. 남자분은 이와중에 마스크도 안쓰고 있음.\n별 한개도 아까움', '좋아요': '0'}]",{}
부강약국,0.0,구로구 중앙로14길 27 104호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTNfMTgw%2FMDAxNzMxNDU2NzgzMzA0.juAeq7Ycr2WiB8yrPrLcfDiy91upX0ZMiwWARD8LciYg.8DnvTdRHQseQkBCeqDSlDZAdsqJZjywAAFBZis2Ye0Eg.JPEG%2F%25EB%25B8%2594%25EB%25A1%259C%25EA%25B7%25B8-%25EB%258C%2580%25EB%25AC%25B8.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 15:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30'}"
온누리백제약국,2.3,구로구 고척로 212 오토젠빌딩 102호,,"[{'작성자': '써니', '별점': '1.0', '날짜': '2023.11.10.', '내용': '별 하나도  아까운 약국이에요 . 절대 가지 마세요 ..약사가 들어갈때부터 어떤 사람이랑 수다를 떠는데 약을  제조 할 때에도 마스크 미착용으로 계속 수다중이고  약사 기본이 안 된것  같아요  장갑도 착용하지 않고 ... 더보기', '좋아요': '0'}, {'작성자': 'lera', '별점': '1.0', '날짜': '2023.10.13.', '내용': '손님 와도 본체만체\n제가 왜 사장님 전화로 수다 떠는 거 기다려야하죠', '좋아요': '0'}]","{'목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 20:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30'}"
정성약국,0.0,구로구 경인로 373 문화골든타워 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00'}"
