name,score,address,img_url,reviews,open_hour
메디팜제일약국,,구로구 오리로 1270 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
독일약국,4.0,구로구 오리로 1297 청파빌딩 1층,,"[{'작성자': '카카오', '별점': '5.0', '날짜': '2023.06.03.', '내용': '근처에 저녁 8시까지 여는 곳은 여기밖에 없는듯', '좋아요': '1'}, {'작성자': '영', '별점': '2.0', '날짜': '2022.04.09.', '내용': '약 성분 효능 잘 모르시니 답답합니다. 개인적으로 잘 알아보고 약사러 가야할듯..', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 20:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
뉴딜팜,0.0,구로구 부일로9길 98,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
온수약국,5.0,구로구 부일로1길 22,,"[{'작성자': '25년 37살 박유수 화이팅', '별점': '5.0', '날짜': '2022.11.14.', '내용': '약사님께서 친절하고 설명을 잘 해주십니다 온수약국 번창하기를 바라고 앞으로도 이용 할겁니다', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
메디칼으뜸약국,4.2,양천구 신정이펜2로 12 이펜하우스타워 1층 104호,,"[{'작성자': 'Leslie', '별점': '5.0', '날짜': '2025.02.13.', '내용': '아기가 서남병원을 다녀서 바로 앞 약국이라 자주 들리는데요\n상비약도 저렴하구요 \n무엇보다 아기 약 조제해주실때 너무 깔끔하게 포장 잘 해서 주... 더보기', '좋아요': '0'}, {'작성자': '오쇼', '별점': '5.0', '날짜': '2023.05.31.', '내용': '직원분 친절하심', '좋아요': '0'}, {'작성자': '박현희', '별점': '1.0', '날짜': '2023.05.14.', '내용': '일요일 16:00까지 영업중이라 열심히 갔더니 문닫았음. 영업중이라 나오지나 말던가..', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
준약국,3.0,구로구 경인로 31-28 1층,,"[{'작성자': '🤍', '별점': '3.0', '날짜': '2025.01.15.', '내용': '타 약국보다 비싼 느낌.. 자주 가진 않을 듯', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
이펜약국,5.0,양천구 신정이펜2로 12 105호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
다민약국,0.0,양천구 신정이펜2로 20 서남프라자1 401호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
서남고은약국,3.0,"양천구 신정이펜2로 14 서남프라자2 106,107호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA5MTFfMzQg%2FMDAxNjk0NDE1NTI4MTcw.mi_35iBKImAfX5J4NV988yNJnlSEmf9KvvlChntKji0g.fBg1gZ98mTSMk7KOPIs0-9hD6VLcM7mcUTm_ndGLyGQg.JPEG.shin1230ing%2Fse%25EF%25BC%25BFone%25EF%25BC%25BF20230911%25EF%25BC%25BF155517%25EF%25BC%25BFa.jpg%3Ftype%3Dw966,"[{'작성자': 'w', '별점': '5.0', '날짜': '2023.10.21.', '내용': '대표약사님이 친절하세요!', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
한빛약국,5.0,구로구 경인로 164 대일빌딩 3층,,"[{'작성자': '눙눙', '별점': '5.0', '날짜': '2020.08.22.', '내용': '친절하세요ㅎㅎ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
시티프라자약국,0.0,"구로구 경인로 176 시티월드상가 1층 105,106호",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '토': '08:30 ~ 14:30', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00'}"
태양약국,5.0,구로구 경인로 191,,"[{'작성자': '워니워니', '별점': '5.0', '날짜': '2022.09.09.', '내용': '약사님 약 설명도 너무 친절하게 해주시고 좋으셔요! 단골 예약입니다^^', '좋아요': '0'}, {'작성자': '윤석범', '별점': '5.0', '날짜': '2021.10.26.', '내용': '약사님이 정말 친절하세요^^', '좋아요': '0'}, {'작성자': '냠냠박사', '별점': '5.0', '날짜': '2021.07.16.', '내용': '매우 친절하십니다:)', '좋아요': '0'}]","{'목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 22:00', '일': '10:00 ~ 22:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00'}"
개성약국,5.0,구로구 경인로 176 시티월드 3층 308호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MjNfMjY0%2FMDAxNzI3MDU5MDkzODY4.eIa8b5f1KLw3AOqCKsVMc0y6vOMMC8bBWmx2lrelDvkg.xTUkHD8RkZrycHUPCtjf_rdEWm_HBrrfLJO1hSqvlWAg.JPEG%2FIMG_0583.JPG%3Ftype%3Dw966,"[{'작성자': 'JY🤹\u200d♀️', '별점': '5.0', '날짜': '2023.12.11.', '내용': '약사님 너무 친절하세요ㅠㅠ\n약국위치가 너무 아쉬운곳..\n많은 분들이 알았으면 하는곳입니다!\n1층 ... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
오류온누리약국,0.0,구로구 경인로 201 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 17:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
건강온누리약국,3.0,구로구 고척로21나길 18 1층,,"[{'작성자': '오규하', '별점': '5.0', '날짜': '2024.09.27.', '내용': '약사님 너무친절하심 지역발전에 애쓰시는것 같아요 노인손님들 엄청많고차분하게잘설명해주세영', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '1.0', '날짜': '2020.03.19.', '내용': '마이너스 하고싶은곳.. 약국에 약파는 남자 진짜 불친절 ㅡㅡ \n다신 안가.. 최악', '좋아요': '1'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
오류중앙약국,0.0,구로구 경인로 195 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
동일프라자약국,3.0,양천구 신정로7길 60-5 동일프라자빌딩 107호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 19:30', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30'}"
믿음약국,0.0,구로구 고척로21나길 17,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 16:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30'}"
